,PLOD1,LCE1E,MFSD9,SNX18,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,KRTAP3-2,CTSA,Diagnosis
SEQ12179,7.588666842,4.727253356,7.050049126,8.339312366,8.202125592,5.902109584,7.705171895,8.18897141,7.245528632,4.727253356,6.179014565,0
SEQ12182,7.836463021,5.102763929,7.008253276,8.099043647,8.010038979,5.886627287,7.765419257,7.97908004,7.326354578,4.727253356,6.465081594,1
SEQ12199,8.087722413,5.236380368,7.160530213,8.069764032,8.033148546,6.339412466,7.51139616,7.779864783,7.676206047,4.727253356,6.46542534,0
SEQ12196,8.022214924,4.727253356,7.097758534,8.127395692,8.079820048,6.162711563,7.779959669,7.975246677,7.39781407,4.727253356,6.369550755,1
SEQ12201,7.794187707,4.727253356,6.986740693,8.204556554,8.026745794,6.100512727,7.605585772,7.874200691,7.441407538,4.991627941,6.578724757,0
SEQ12155,7.827996926,4.727253356,7.007973622,8.121350942,8.124358037,6.012662345,7.69188471,7.900229218,7.345775815,4.939767402,6.183646291,1
SEQ12121,7.959360336,4.727253356,7.376661165,8.402266419,8.043468666,6.408650806,7.509061469,8.214201991,7.488983107,4.980952835,6.408650806,0
SEQ12164,7.700559725,4.727253356,7.098866982,8.246811896,8.184463816,6.04481953,7.92540811,7.90336486,7.447878753,5.104437828,6.259093931,1
SEQ12102,7.958038743,4.988457422,7.239049528,8.056696368,7.85195625,6.354743373,7.565644076,7.921811929,7.496313535,4.727253356,6.302140501,0
SEQ12118,8.045810124,5.319050063,7.078613542,8.134375203,7.887725038,5.791048438,7.294456847,8.102806988,7.430026982,4.727253356,6.329280106,1
SEQ12137,7.795951307,5.134874843,6.987727284,7.877633034,8.19243979,6.056556117,7.850930072,7.912466314,7.347881776,4.727253356,6.286206289,0
SEQ12116,8.022510442,5.082421097,7.008270086,8.028528098,8.146564237,6.125510781,7.663867587,7.929025091,7.398751811,4.727253356,6.212801161,1
SEQ12104,8.06178984,4.727253356,6.959776724,8.14351275,8.233258551,5.984683116,7.903703745,8.05241128,7.601527583,4.727253356,6.075249405,0
SEQ12115,7.984221742,5.318502145,7.138844909,8.240260028,8.108529488,5.913730157,7.359249052,7.904020564,7.391427127,4.727253356,6.345953268,1
SEQ12103,8.042602119,5.1147252,6.979853274,8.053186704,8.031937696,6.256973035,7.735147063,7.908983224,7.21132812,4.727253356,6.297447154,0
SEQ12119,7.962806386,5.14883397,6.914362761,8.117253349,8.002219583,6.051243184,7.621393592,7.800598081,7.420553242,4.938605398,6.346423913,1
SEQ12101,8.004723311,5.211208691,6.960764007,8.055061122,7.92869062,6.055140834,7.598209775,7.867278445,7.590579799,5.007536019,6.387269572,0
SEQ12162,7.664906044,4.727253356,6.372671745,8.002246217,7.94662862,5.582696367,7.556791491,7.828338726,7.398114099,4.727253356,5.920526918,1
SEQ12163,8.057645646,5.451883572,7.257628838,8.348989573,8.265537986,5.891220542,7.607002902,8.199568589,7.068073267,4.727253356,6.378747464,0
SEQ12109,7.929016684,5.279668686,7.174253798,8.131600197,7.963906269,6.116905139,7.664155898,7.940742752,7.300265292,4.727253356,6.446077882,1
SEQ12123,7.604942633,5.06953982,7.627381827,8.718759305,7.935754414,6.294452682,7.558947114,8.232704107,7.316749353,4.727253356,6.294452682,0
SEQ12106,7.884269491,4.727253356,7.151726436,8.13840373,8.009342898,5.95781937,7.91349782,7.87580581,7.452785139,4.727253356,6.198541036,1
SEQ12198,7.707438967,5.007477362,7.204201896,8.263621514,8.296428329,5.9458718,7.749009468,8.108468262,7.183779084,4.727253356,6.327876173,1
SEQ12176,8.096864867,5.070814116,6.966845732,8.035335503,7.957780031,5.997188237,7.832807059,7.95334385,7.596043987,4.970473803,6.076402568,0
SEQ12180,8.053117339,4.727253356,6.900397873,8.273283693,8.176593878,6.25450571,7.558764184,7.950212509,7.328831322,4.727253356,6.329696622,1
SEQ12178,7.76834862,4.727253356,6.962480863,8.142543915,7.973445356,6.032720221,7.617616179,7.701843426,7.074738609,4.727253356,6.415720724,0
SEQ12122,7.935515375,4.970010881,7.034141125,8.051632917,8.018211843,6.054784376,7.686008628,7.970927395,7.557052103,4.727253356,6.522827983,0
SEQ12113,7.886519361,5.167727125,7.155953591,8.296948924,7.997272532,6.0759224,7.458539737,8.17707368,7.394419597,5.039317743,6.469278368,1
SEQ12099,8.018065622,4.727253356,6.970865351,7.990787872,8.213329667,6.184957303,7.713930508,8.034850572,7.481781376,4.944264148,6.350603816,0
SEQ12107,7.934453274,5.092448363,7.112069157,8.08863605,8.023241198,5.85616415,7.379365536,8.106778328,7.33308517,5.092448363,6.251470069,1
SEQ12111,7.79364562,5.156042117,6.938801196,8.070333353,8.078824818,6.280492515,7.708168733,7.83450516,7.455119399,5.156042117,6.34465863,0
SEQ12120,7.831433144,4.727253356,7.34570875,8.281442591,8.031113667,6.186325914,7.685248253,8.058232941,7.224041734,4.727253356,6.532431171,1
SEQ12139,7.860567788,5.102959363,7.27645362,8.541697663,8.147426434,6.039957278,7.691744783,8.090668537,7.205359865,4.727253356,6.13049915,1
SEQ12166,7.840425188,4.954597494,7.037178542,8.221357128,8.04368507,5.878963989,7.703604825,7.976590552,7.166552008,5.048435599,6.408026574,0
SEQ12177,7.833559112,5.359281291,7.193013534,8.090180246,8.150971753,6.130988053,7.944935476,8.124274789,7.231938891,4.727253356,6.498453549,1
