,PLOD1,RHBG,MFSD9,RBM5,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,PEX1,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,C14orf39,IGDCC4,NOXO1,TBC1D24,KRTAP9-8,ZNRF4,ANGPTL6,LIM2,SLC27A5,CTSA,EDA2R,Diagnosis
SEQ12179,7.588666842,6.11631927,7.050049126,7.108861478,8.713614244,5.902109584,6.34839585,7.944350842,8.339312366,7.896414704,9.298785568,6.708645741,8.202125592,5.902109584,7.705171895,8.18897141,7.245528632,6.179014565,7.48351118,7.019640545,7.192510476,5.367471116,7.461485458,5.181797022,4.727253356,6.747131968,5.902109584,7.079778871,6.179014565,5.81902545,0
SEQ12182,7.836463021,6.700111056,7.008253276,7.129291066,8.699835207,5.37406351,6.213321829,7.859367048,8.099043647,7.813179269,9.190179031,6.827431519,8.010038979,5.886627287,7.765419257,7.97908004,7.326354578,6.465081594,7.624991939,6.802957773,6.827431519,5.102763929,7.275384594,4.727253356,4.727253356,6.588164523,5.829930923,6.920958249,6.465081594,5.9401617,1
SEQ12199,8.087722413,6.953942201,7.160530213,6.870032001,8.636103974,5.600288224,6.435152452,7.484207716,8.069764032,8.182619178,8.758214077,6.733031124,8.033148546,6.339412466,7.51139616,7.779864783,7.676206047,6.46542534,7.442393887,6.870032001,6.993970186,4.727253356,7.757484178,4.727253356,5.349217022,6.63278189,5.730464561,7.277167537,6.46542534,5.526189543,0
SEQ12196,8.022214924,6.79526052,7.097758534,7.081268433,8.652746652,5.620590683,6.354898132,7.885624027,8.127395692,7.935620256,9.171795244,6.742622017,8.079820048,6.162711563,7.779959669,7.975246677,7.39781407,6.309801598,7.505186009,6.977796437,7.114047976,4.969555604,7.654803525,5.069520137,5.210169927,6.8458308,5.884413855,7.146045268,6.369550755,5.837488498,1
SEQ12201,7.794187707,6.649578821,6.986740693,6.997307372,8.557203518,5.665197767,6.078244013,7.543639459,8.204556554,8.186855957,9.080474328,6.817101082,8.026745794,6.100512727,7.605585772,7.874200691,7.441407538,6.389831706,7.330971967,6.80496541,7.048913364,4.991627941,7.536582608,4.727253356,5.420998474,6.876129825,6.100512727,7.098593711,6.578724757,5.69934345,0
SEQ12155,7.827996926,6.714584769,7.007973622,7.219450735,8.640201662,5.684347862,6.308237728,7.716178622,8.121350942,8.034449564,9.214754431,6.95292952,8.124358037,6.012662345,7.69188471,7.900229218,7.345775815,6.388040246,7.612037866,6.95292952,7.142474728,5.094677565,7.417315448,4.727253356,5.245484406,6.67163182,5.844577391,7.17854842,6.183646291,6.028016804,1
SEQ12121,7.959360336,6.671504531,7.376661165,7.102031822,8.471048599,5.520524621,5.982563196,7.561221687,8.402266419,8.011352366,9.007797546,6.512174859,8.043468666,6.408650806,7.509061469,8.214201991,7.488983107,6.361376843,7.567605814,6.835032514,6.999679445,4.727253356,7.495708358,5.165552614,5.085579326,6.919939873,6.188186327,6.989971601,6.408650806,5.4807398,0
SEQ12164,7.700559725,6.405252537,7.098866982,7.058448233,8.729956844,5.638569495,6.370394958,7.892212454,8.246811896,7.787647155,9.156564746,7.098866982,8.184463816,6.04481953,7.92540811,7.90336486,7.447878753,6.472044864,7.416728512,6.951675784,7.098866982,5.25917524,7.231458636,4.727253356,5.104437828,6.859551977,6.04481953,6.883198769,6.259093931,5.83464541,1
SEQ12102,7.958038743,6.854147786,7.239049528,7.075070684,8.537159302,5.654293285,6.106727083,7.638107819,8.056696368,8.047134875,8.797437337,6.721525542,7.85195625,6.354743373,7.565644076,7.921811929,7.496313535,6.405080388,7.625210364,6.721525542,7.186575738,5.247551066,7.650886918,4.988457422,5.096150635,6.807487197,5.9698671,7.094310426,6.302140501,5.459184564,0
SEQ12118,8.045810124,6.820955678,7.078613542,7.190842964,8.460685982,5.409040359,6.016517222,7.688330732,8.134375203,8.149899454,9.17384669,6.623377668,7.887725038,5.791048438,7.294456847,8.102806988,7.430026982,6.49847339,7.576840306,6.549965501,7.044741849,5.319050063,7.677574712,5.211570816,4.727253356,6.779617603,5.932478281,7.251015655,6.329280106,5.682876751,1
SEQ12137,7.795951307,6.630988327,6.987727284,7.146519686,8.857061736,5.5974947,6.37189165,7.622037798,7.877633034,8.000006208,9.01224631,6.685404172,8.19243979,6.056556117,7.850930072,7.912466314,7.347881776,6.37189165,7.459402727,6.706529521,7.077390247,5.060442088,7.321817463,4.963114555,5.134874843,6.696010913,5.940624446,6.826422518,6.286206289,5.940624446,0
SEQ12116,8.022510442,6.943787419,7.008270086,7.173781215,8.726176404,5.538808329,6.369363929,7.648210015,8.028528098,8.227101088,8.940994217,6.854929598,8.146564237,6.125510781,7.663867587,7.929025091,7.398751811,6.430505379,7.445102321,6.697107908,7.151351616,5.185009104,7.690852316,4.932654237,5.185009104,6.728707682,5.941550994,7.520488444,6.212801161,5.653332036,1
SEQ12104,8.06178984,6.695337512,6.959776724,7.32208393,8.587113517,5.647302896,6.828560476,7.743280727,8.14351275,8.066455905,9.138103347,6.720616211,8.233258551,5.984683116,7.903703745,8.05241128,7.601527583,6.217272861,7.330006352,6.695337512,7.079094987,4.727253356,7.806308319,4.727253356,5.30371962,6.574843163,5.774167756,7.725587298,6.075249405,6.075249405,0
SEQ12115,7.984221742,6.909575869,7.138844909,7.09998937,8.568158566,5.374045695,6.172325046,7.66465055,8.240260028,8.127443184,8.955304524,6.558487769,8.108529488,5.913730157,7.359249052,7.904020564,7.391427127,6.481120523,7.611434284,6.765303386,7.266643975,5.102753473,7.334609502,4.993145661,5.374045695,6.777960941,5.990914167,7.039504745,6.345953268,6.062641511,1
SEQ12103,8.042602119,6.808227922,6.979853274,7.047062525,8.422468673,5.734885413,6.214999889,7.490076782,8.053186704,8.268034103,8.792824014,6.411012781,8.031937696,6.256973035,7.735147063,7.908983224,7.21132812,6.44656098,7.787050535,6.933070604,7.090053294,4.727253356,7.735147063,4.727253356,5.394432056,7.025035536,6.125973047,7.068731013,6.297447154,5.734885413,0
SEQ12119,7.962806386,6.627017457,6.914362761,7.004252319,8.577474548,5.634325113,6.189322921,7.707888851,8.117253349,7.956129142,9.065366775,6.738365509,8.002219583,6.051243184,7.621393592,7.800598081,7.420553242,6.504754967,7.675567646,6.572089439,7.29725833,5.198180091,7.524613478,4.938605398,5.198180091,6.721859729,5.990532861,7.137708208,6.346423913,5.925959648,1
