,PLOD1,RHBG,GRHL1,CEBPZ,MFSD9,CCDC115,RBM5,OR5H14,ODAM,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,MALSU1,PEX1,ZNF398,C8orf22,UBQLN1,S1PR3,OR1Q1,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,TPCN1,CCDC60,ZMYM5,C14orf39,IGDCC4,FEM1B,NOXO1,TBC1D24,UMOD,RAC3,ANGPTL6,OR1I1,CYP4F2,CCDC8,LIM2,SLC27A5,C20orf194,CTSA,EDA2R,CTAG1A,CDY2B,MT-ND5,Diagnosis
SEQ12179,7.588666842,6.11631927,8.528317676,6.34839585,7.050049126,5.81902545,7.108861478,4.727253356,5.181797022,8.713614244,5.902109584,6.34839585,7.944350842,8.339312366,7.896414704,9.298785568,6.294684139,6.708645741,8.18897141,6.049739275,8.202125592,5.902109584,4.727253356,7.705171895,8.18897141,7.245528632,6.179014565,7.48351118,9.002562942,7.82984881,7.705171895,7.019640545,7.192510476,7.321366484,5.367471116,7.461485458,5.81902545,5.367471116,6.747131968,5.367471116,6.399743036,5.181797022,5.902109584,7.079778871,8.995066356,6.179014565,5.81902545,4.727253356,5.181797022,4.727253356,0
SEQ12182,7.836463021,6.700111056,8.415606717,6.588164523,7.008253276,5.769542438,7.129291066,5.102763929,4.727253356,8.699835207,5.37406351,6.213321829,7.859367048,8.099043647,7.813179269,9.190179031,6.497036091,6.827431519,8.030307586,6.252831386,8.010038979,5.886627287,5.102763929,7.765419257,7.97908004,7.326354578,6.465081594,7.624991939,9.05934323,7.753220494,7.556161134,6.802957773,6.827431519,7.468781979,5.102763929,7.275384594,5.769542438,5.557776956,6.588164523,4.727253356,6.129817934,5.557776956,5.829930923,6.920958249,8.860244559,6.465081594,5.9401617,5.102763929,5.102763929,4.727253356,1
SEQ12199,8.087722413,6.953942201,8.462024245,6.494956126,7.160530213,5.788779411,6.870032001,4.727253356,5.236380368,8.636103974,5.600288224,6.435152452,7.484207716,8.069764032,8.182619178,8.758214077,6.46542534,6.733031124,7.907133558,5.843556048,8.033148546,6.339412466,4.727253356,7.51139616,7.779864783,7.676206047,6.46542534,7.442393887,9.249002578,7.823581724,7.734739997,6.870032001,6.993970186,7.228404458,4.727253356,7.757484178,6.120044827,5.944415473,6.63278189,4.727253356,6.891519452,5.667940414,5.730464561,7.277167537,8.712915907,6.46542534,5.526189543,5.349217022,4.727253356,4.727253356,0
SEQ12196,8.022214924,6.79526052,8.337222831,6.369550755,7.097758534,5.735800952,7.081268433,4.727253356,5.266549244,8.652746652,5.620590683,6.354898132,7.885624027,8.127395692,7.935620256,9.171795244,6.309801598,6.742622017,8.135171907,6.012984302,8.079820048,6.162711563,4.727253356,7.779959669,7.975246677,7.39781407,6.309801598,7.505186009,9.104538917,7.97089832,7.547080673,6.977796437,7.114047976,7.222863439,4.969555604,7.654803525,6.197107617,5.735800952,6.8458308,5.447511367,6.570160175,5.407085967,5.884413855,7.146045268,8.860672159,6.369550755,5.837488498,5.447511367,4.969555604,4.969555604,1
SEQ12201,7.794187707,6.649578821,8.393690201,6.607551835,6.986740693,5.665197767,6.997307372,4.727253356,5.253815068,8.557203518,5.665197767,6.078244013,7.543639459,8.204556554,8.186855957,9.080474328,6.143708177,6.817101082,8.204556554,6.055496604,8.026745794,6.100512727,4.727253356,7.605585772,7.874200691,7.441407538,6.389831706,7.330971967,9.216760978,7.536582608,7.571513016,6.80496541,7.048913364,7.35539702,4.991627941,7.536582608,6.100512727,5.823877875,6.876129825,5.253815068,6.47215122,5.76379317,6.100512727,7.098593711,8.842594298,6.578724757,5.69934345,5.315164011,5.183895954,4.991627941,0
SEQ12155,7.827996926,6.714584769,8.416548291,6.462784477,7.007973622,5.807121443,7.219450735,4.939767402,5.245484406,8.640201662,5.684347862,6.308237728,7.716178622,8.121350942,8.034449564,9.214754431,6.296375935,6.95292952,8.015112304,6.260035191,8.124358037,6.012662345,5.094677565,7.69188471,7.900229218,7.345775815,6.388040246,7.612037866,9.072014173,7.667160555,7.637750484,6.95292952,7.142474728,7.319292516,5.094677565,7.417315448,5.997074829,5.566207221,6.67163182,5.456307117,6.50349485,5.393941571,5.844577391,7.17854842,8.910039233,6.183646291,6.028016804,5.027523131,5.094677565,4.939767402,1
SEQ12121,7.959360336,6.671504531,8.341072605,6.581067743,7.376661165,5.959578522,7.102031822,4.980952835,5.232717081,8.471048599,5.520524621,5.982563196,7.561221687,8.402266419,8.011352366,9.007797546,6.169307883,6.512174859,8.457555001,5.809009261,8.043468666,6.408650806,4.980952835,7.509061469,8.214201991,7.488983107,6.361376843,7.567605814,9.129415648,7.724073898,7.55480804,6.835032514,6.999679445,7.361952763,4.727253356,7.495708358,6.090343602,5.781390166,6.919939873,5.232717081,6.540197629,5.723449727,6.188186327,6.989971601,8.84936742,6.408650806,5.4807398,5.344764019,4.727253356,4.980952835,0
SEQ12164,7.700559725,6.405252537,8.494157551,6.680643843,7.098866982,5.376915214,7.058448233,4.727253356,5.475362645,8.729956844,5.638569495,6.370394958,7.892212454,8.246811896,7.787647155,9.156564746,6.297400652,7.098866982,8.128751731,6.21944813,8.184463816,6.04481953,5.376915214,7.92540811,7.90336486,7.447878753,6.472044864,7.416728512,8.943093736,7.846697056,7.835084124,6.951675784,7.098866982,7.537318992,5.25917524,7.231458636,6.259093931,5.708982793,6.859551977,5.104437828,6.760395338,5.83464541,6.04481953,6.883198769,8.882971538,6.259093931,5.83464541,5.25917524,5.104437828,5.104437828,1
SEQ12102,7.958038743,6.854147786,8.474636796,6.265688762,7.239049528,5.654293285,7.075070684,4.988457422,5.096150635,8.537159302,5.654293285,6.106727083,7.638107819,8.056696368,8.047134875,8.797437337,6.189062082,6.721525542,8.042329775,6.169052804,7.85195625,6.354743373,4.988457422,7.565644076,7.921811929,7.496313535,6.405080388,7.625210364,9.214823134,7.694713244,7.572390108,6.721525542,7.186575738,7.430795592,5.247551066,7.650886918,5.9698671,5.811280818,6.807487197,5.412810261,6.629326162,5.688069568,5.9698671,7.094310426,8.861160928,6.302140501,5.459184564,5.308188664,4.988457422,5.362792932,0
SEQ12118,8.045810124,6.820955678,8.246866444,6.388401045,7.078613542,5.623125587,7.190842964,4.727253356,5.319050063,8.460685982,5.409040359,6.016517222,7.688330732,8.134375203,8.149899454,9.17384669,6.131004432,6.623377668,8.28246689,6.056078407,7.887725038,5.791048438,4.727253356,7.294456847,8.102806988,7.430026982,6.49847339,7.576840306,9.327496185,7.699004505,7.553427759,6.549965501,7.044741849,7.078613542,5.319050063,7.677574712,6.016517222,6.094199951,6.779617603,5.211570816,6.692710372,5.558513825,5.932478281,7.251015655,8.872859842,6.329280106,5.682876751,5.623125587,5.070517615,4.727253356,1
