,FAH,SALL4,CIRH1A,LRRIQ1,NCCRP1,STAC2,PDP2,FAM47C,ZNF737,MAX,CSTA,MMS19,C2orf91,VENTX,C3orf30,SH3BP5L,NCAM2,PIK3R3,CNNM1,DHCR7,RP4-758J18.2,HECW2,ORM2,TACC1,SYNDIG1,NOXRED1,KCTD17,COL25A1,OR6Y1,DEFB110,RAB20,MAP3K7CL,DUOX1,MMP2,SERPINB2,NXPH1,SIPA1L2,AASDH,TOR1B,PLEKHM3,GLTP,ADAM11,BLID,RP11-178C3.1,SYCP1,MKNK1,TOPBP1,TNFRSF12A,LRRC3C,DCLRE1B,TCFL5,PEX5L,CEBPZ,RBFOX3,ART1,NUS1,CCDC50,DPEP2,LINC00346,NXF1,KIAA1755,TYRO3,LPAR4,TMEM255A,FAM163A,FAM200A,CD5,ARL3,PCP4L1,AC009060.1,PRICKLE1,DBH,TUBB4A,HOMER2,ITGB5,RRAGD,AVPI1,WRB,ST8SIA5,FRG2C,KEL,GLIS3,TCF20,AP3S1,RP11-480I12.4,CTB-129P6.11,UBE3C,OR10J5,RP11-286N22.8,TIMM21,ISOC2,RING1,RMDN1,TMSB4Y,MPHOSPH6,RP11-162A12.2,FSD1,GAGE2C,MRPL14,RP11-257K9.8,SERTAD3,RP11-552I14.1,SLCO1B3,TRAPPC3L,KRT35,CDKAL1,CD53,PQLC2,POU2F3,C19orf18,SMC3,COL4A6,ZNF626,GSTA4,PPFIBP1,ZNF570,OR1J4,CCDC11,HMGB3,PPP1R1A,POR,AKR1B10,B3GALT5,SBK3,LILRB4,STRA6,ZNF619,TXNDC15,LIMS3,NBPF9,C16orf47,TOMM7,AC016586.1,UBAP2L,OR13C2,AL133318.1,EFTUD2,GLT8D2,RNF181,HOXA3,AC008132.1,VILL,OR2A2,NOP10,UTS2R,HKDC1,GABARAPL3,TMEM114,RP11-794P6.2,SRGAP1,RNF187,METTL17,SWSAP1,SLC26A2,HIST1H1B,PRPSAP2,COL3A1,CCDC7,ZBTB26,NMNAT3,FUOM,OSBP,KLRG1,SLC27A6,ARHGEF39,HCAR1,PCDHB14,DNAJC28,WDR5B,FLJ00325,EBLN1,SCN1A,XPNPEP3,NOX1,GDF9,CHST8,RP11-58C22.1,SUN5,MLX,ASPH,DYNAP,RNF151,FAM208A,C3orf36,TRMU,EMC7,CCDC113,SFRP2,PEA15,ARID3A,NFE2L1,OR5AN1,ASS1,FAM71F1,TCTEX1D4,FBXL16,DEDD,MED25,CYP7B1,SIDT2,Diagnosis
SEQ12179,7.741940934,6.627973431,7.863525706,7.192510476,6.179014565,6.496228211,6.923984884,5.181797022,5.902109584,8.29094391,6.784492334,7.393213095,6.784492334,5.625525106,5.181797022,6.988518889,8.85296257,8.442484386,7.741940934,7.245528632,5.508235522,9.523606858,5.81902545,9.334831996,8.162291469,7.245528632,6.708645741,10.02033192,5.508235522,5.181797022,8.135099983,8.599409327,7.165200864,7.928552679,7.019640545,7.547557331,8.528317676,7.461485458,6.585601549,9.685822329,7.686418065,6.627973431,4.727253356,6.294684139,6.988518889,8.253556576,7.880066324,5.508235522,6.11631927,6.399743036,7.345736742,7.741940934,6.34839585,9.437847516,6.923984884,7.48351118,7.777768398,5.508235522,5.367471116,6.627973431,7.505191077,6.784492334,5.508235522,6.784492334,7.019640545,6.448955465,7.667408817,7.741940934,7.050049126,5.181797022,8.538692822,6.541728617,6.34839585,9.507911526,9.648143405,8.020791869,6.399743036,7.416349088,7.608774019,5.625525106,6.448955465,9.771545622,9.767158867,8.303191052,6.399743036,5.625525106,9.398657914,4.727253356,7.880066324,6.238334032,6.541728617,6.049739275,6.049739275,5.367471116,6.923984884,7.505191077,7.219278984,6.294684139,7.108861478,6.294684139,5.81902545,5.727687226,5.181797022,6.34839585,4.727253356,11.11719688,6.820797189,7.27128026,7.912575369,6.179014565,7.27128026,7.393213095,6.627973431,6.11631927,9.486714494,6.049739275,4.727253356,6.238334032,5.902109584,5.727687226,9.158296573,6.11631927,7.219278984,5.367471116,6.627973431,6.747131968,5.625525106,7.245528632,7.812702605,7.526536269,7.050049126,6.11631927,6.11631927,7.608774019,4.727253356,4.727253356,7.628594582,7.723677288,5.367471116,7.050049126,7.296553419,7.165200864,4.727253356,5.508235522,4.727253356,7.393213095,5.181797022,5.625525106,5.508235522,9.533976103,6.399743036,5.978622576,5.625525106,6.923984884,4.727253356,8.609282586,6.34839585,7.48351118,6.66895539,8.517866593,5.181797022,7.608774019,7.369680488,8.362893846,6.708645741,8.793658407,4.727253356,5.727687226,5.625525106,4.727253356,5.181797022,7.461485458,8.362893846,6.238334032,5.978622576,7.896414704,6.179014565,6.784492334,6.179014565,9.381529882,5.81902545,5.625525106,7.846788157,5.367471116,7.079778871,6.399743036,7.648136861,5.625525106,6.294684139,8.819375605,6.541728617,4.727253356,7.741940934,7.137326359,5.978622576,6.179014565,6.294684139,6.747131968,8.61908812,7.137326359,0
SEQ12182,7.556161134,7.008253276,7.651597869,7.527643514,5.472096252,6.291008171,6.920958249,5.102763929,6.432256288,8.554376414,6.528171091,7.407296521,6.752568462,5.557776956,5.886627287,6.920958249,8.89357732,8.699835207,7.703333169,7.326354578,5.37406351,9.764326105,5.886627287,9.293558887,8.423256878,6.920958249,6.558533119,10.09011293,5.102763929,5.472096252,8.244659252,8.336757376,6.673045949,7.893038259,7.204309711,7.690578046,8.648636732,7.240312521,6.558533119,9.619435753,7.813179269,6.700111056,5.102763929,6.291008171,7.422927284,8.352880329,7.847961704,5.102763929,5.704761957,6.851450897,7.167322234,7.777512687,6.588164523,9.310088422,6.920958249,7.049831799,7.391485908,5.37406351,5.557776956,6.432256288,7.422927284,6.875034006,5.472096252,7.167322234,7.240312521,6.129817934,7.597867418,7.570202927,6.851450897,5.37406351,8.808745249,6.588164523,6.085530542,9.752289969,9.505704559,7.968607639,6.673045949,7.342930221,7.97908004,5.37406351,6.700111056,9.752289969,9.668303041,8.227253691,6.398503351,5.102763929,9.342588065,5.102763929,7.624991939,6.213321829,6.465081594,5.769542438,5.769542438,4.727253356,7.029205168,7.375491055,6.875034006,5.769542438,6.778010321,6.726609994,5.37406351,5.256827653,5.256827653,6.497036091,5.102763929,11.36268119,6.875034006,7.541975691,7.483734117,5.829930923,7.597867418,7.541975691,6.291008171,6.645386931,9.342588065,5.769542438,4.727253356,6.327954317,6.039314314,6.039314314,8.854612956,5.9401617,7.240312521,5.704761957,6.61710398,6.61710398,5.990947453,6.986964871,7.715972872,7.527643514,6.920958249,5.9401617,5.829930923,7.859367048,4.727253356,4.727253356,7.989475299,7.468781979,5.37406351,7.407296521,6.920958249,7.167322234,5.256827653,5.37406351,5.256827653,7.498526083,5.256827653,5.769542438,5.557776956,9.658661391,6.213321829,5.634631559,5.704761957,7.008253276,4.727253356,8.575104985,6.252831386,7.677705307,6.363759577,8.568228824,5.704761957,7.498526083,7.638358443,8.336757376,6.398503351,8.668051517,5.256827653,5.634631559,5.9401617,4.727253356,5.37406351,7.624991939,8.278843559,6.252831386,5.634631559,8.010038979,6.726609994,6.700111056,6.085530542,9.505704559,5.886627287,5.704761957,8.287262724,5.256827653,7.029205168,6.172362438,6.920958249,5.37406351,6.432256288,8.360873853,6.588164523,5.102763929,7.703333169,6.752568462,5.472096252,5.704761957,6.327954317,6.965328067,8.831862616,6.920958249,1
SEQ12199,7.66419889,6.658601256,7.812779549,7.194893437,5.944415473,6.891519452,7.05183099,5.088189499,6.035944288,8.239861631,6.523785322,7.354749418,6.579483861,5.730464561,5.526189543,6.848183954,8.994080077,8.785814555,7.384590284,7.676206047,5.788779411,9.322322533,6.159740555,9.142194092,8.114239944,7.089053157,6.68390096,9.560972235,5.349217022,5.349217022,8.317832337,8.455150785,7.070571814,7.69991477,6.78033689,7.456473184,8.502583812,7.32424359,6.579483861,9.45175755,7.676206047,7.177821219,4.727253356,6.372197743,7.089053157,8.023844567,7.538060439,5.236380368,5.667940414,6.551949932,7.354749418,7.768719179,6.494956126,9.717833145,7.369751065,6.912659054,7.5512025,5.236380368,5.600288224,6.523785322,7.676206047,7.177821219,5.600288224,6.993970186,7.228404458,6.435152452,7.538060439,7.627544014,7.143014368,5.667940414,8.574076252,6.953942201,6.270922672,9.691878386,9.502430367,7.497868796,6.078829761,7.384590284,7.244854154,5.349217022,6.523785322,9.697686679,9.771136712,8.023844567,6.198046452,5.667940414,9.310991428,4.727253356,7.470410137,6.435152452,6.68390096,5.895302703,6.078829761,5.349217022,6.733031124,7.470410137,7.228404458,6.606418273,6.708703834,6.339412466,5.944415473,5.843556048,5.526189543,6.494956126,5.088189499,10.96518248,6.579483861,7.577118743,7.84493989,6.035944288,7.089053157,7.676206047,6.372197743,6.159740555,9.381291691,6.198046452,4.727253356,6.339412466,6.035944288,6.159740555,9.333565035,6.078829761,7.03282274,5.730464561,6.372197743,6.933462842,5.944415473,7.308731431,7.986003525,7.746158293,6.993970186,6.305676643,6.120044827,7.56422114,4.727253356,4.727253356,7.688110744,7.538060439,5.349217022,7.308731431,7.497868796,7.484207716,4.727253356,5.443627329,5.600288224,7.577118743,5.236380368,5.944415473,5.788779411,9.216975891,6.579483861,6.159740555,5.730464561,6.78033689,5.443627329,8.880992525,6.372197743,7.211752663,6.372197743,8.398936765,5.788779411,7.538060439,7.177821219,8.287155178,6.270922672,8.636103974,5.236380368,5.730464561,5.944415473,4.727253356,5.349217022,7.293040873,8.420277613,6.120044827,5.944415473,8.310224842,6.551949932,6.63278189,6.198046452,9.208856438,5.600288224,5.730464561,7.83430141,5.088189499,7.676206047,6.435152452,7.05183099,5.349217022,6.523785322,9.18421911,6.933462842,4.727253356,8.255801636,6.78033689,5.895302703,6.523785322,5.895302703,7.399270716,8.605426541,7.369751065,0
SEQ12196,7.621678685,6.665072827,7.838577865,7.364570278,5.884413855,6.354898132,6.950614328,4.727253356,6.230469617,8.337222831,6.67644648,7.604815859,6.60660486,5.762323093,5.813114322,7.064572305,9.318035084,8.614492481,7.687159297,7.39781407,5.485619752,9.528999519,6.012984302,9.205195675,8.268313347,6.986734129,6.687718492,9.790713053,5.210169927,5.266549244,8.347277355,8.437847725,7.030539335,7.935620256,6.8458308,7.703060131,8.668833156,7.153926975,6.784904164,9.47529234,7.697779946,7.013190546,5.145955591,6.294370102,7.146045268,8.177194995,7.69247972,5.363900211,5.813114322,6.687718492,7.207845258,7.824151272,6.369550755,9.669784655,6.763937551,7.207845258,7.632808085,5.407085967,5.556151676,6.665072827,7.610459549,6.959737452,5.521746273,7.004430329,7.384613072,6.278728278,7.541172767,7.564654807,6.815726734,5.407085967,8.437847725,6.784904164,6.197107617,9.641624809,9.517236635,7.794845458,6.032905308,7.461982095,7.665672402,5.485619752,6.557769322,9.796804878,9.773517561,8.079820048,6.325029332,5.521746273,9.323113176,5.317346039,7.535239562,6.309801598,6.709965558,5.861241959,5.97194013,4.969555604,6.742622017,7.593459271,7.153926975,5.907039352,6.894503453,6.294370102,5.813114322,5.589043612,5.407085967,6.545252508,5.556151676,11.04603382,6.618519267,7.713561,7.552963502,6.230469617,7.443043793,7.323582531,6.493864885,6.2628692,9.392385351,5.762323093,5.069520137,6.506916221,5.884413855,6.032905308,9.141439702,5.884413855,7.122119067,5.861241959,6.506916221,7.021893278,5.97194013,7.169553325,7.708320431,7.222863439,6.894503453,6.162711563,6.127200451,7.486835305,4.727253356,4.969555604,7.862297745,7.417380665,5.485619752,7.564654807,7.192658495,7.461982095,4.969555604,5.708445622,5.556151676,7.604815859,5.407085967,5.708445622,5.363900211,9.488908245,6.340059535,6.246785557,5.556151676,6.950614328,4.969555604,8.69786334,6.145100865,7.517285869,6.340059535,8.450329033,5.447511367,7.547080673,7.468237489,8.142905691,6.398319295,8.566621203,5.145955591,5.680184134,5.813114322,4.727253356,5.317346039,7.461982095,8.199602568,6.325029332,5.884413855,8.047190704,6.398319295,6.90402372,6.309801598,9.246774399,5.650932038,5.650932038,8.018009045,5.407085967,7.288460864,6.412445203,7.177299086,5.735800952,6.384022772,9.129888923,6.742622017,4.969555604,7.935620256,6.742622017,5.813114322,6.278728278,6.309801598,7.146045268,8.710866662,7.169553325,1
SEQ12201,7.63225516,6.852839475,7.794187707,7.174439171,6.03224428,6.225291967,6.965350439,4.727253356,6.185252925,8.36255138,6.621718519,7.592056791,6.767856696,5.823877875,5.732166053,7.088804335,8.822770565,8.550320504,7.72795258,7.441407538,5.629576585,9.424244244,6.078244013,9.199319311,8.252125288,7.165189079,6.549209747,9.867870542,5.420998474,5.253815068,8.33874217,8.546866519,7.007790372,7.939336249,6.921498922,7.219762369,8.385969072,7.174439171,6.954523828,9.472206966,7.703067899,6.79271443,5.253815068,6.12232676,7.098593711,8.366481163,7.684109091,5.420998474,5.933566027,6.676833984,7.306102426,7.734105148,6.607551835,9.667046078,7.192751248,7.12753982,7.402978215,5.253815068,5.253815068,6.423443947,7.448966296,7.018191111,5.553126532,7.018191111,7.088804335,6.24478656,7.51519368,7.684109091,7.210818448,5.370403714,8.574267347,6.676833984,6.008458319,9.681237164,9.504499376,7.746329692,6.24478656,7.690457342,7.846144988,5.315164011,6.593222016,9.420487707,9.7972514,8.070920851,6.503562306,5.420998474,9.382372651,5.253815068,7.486150702,6.055496604,6.43990061,6.225291967,5.794332918,5.253815068,6.841035867,7.463960558,7.137051409,6.263950215,6.80496541,6.534182394,6.008458319,5.732166053,5.420998474,6.301336214,5.420998474,11.17160227,6.6632802,7.51519368,7.671325289,6.078244013,7.219762369,7.254959303,6.456134079,6.20545243,9.391996528,5.959155922,4.991627941,6.319582287,6.225291967,5.823877875,8.994559129,5.69934345,6.954523828,5.794332918,6.621718519,6.767856696,5.959155922,7.028510967,7.949905261,7.371441573,7.038751283,6.12232676,5.907294478,7.671325289,4.991627941,4.727253356,7.758448374,7.598837743,5.467903931,7.536582608,7.297710832,7.339162211,4.727253356,5.553126532,5.183895954,7.690457342,5.420998474,5.732166053,5.665197767,9.272027339,6.355234552,6.03224428,5.59229528,6.965350439,4.727253356,8.83413197,5.907294478,7.51519368,6.534182394,8.536454162,5.59229528,7.280771025,7.297710832,8.247866081,6.564055565,8.678901616,5.183895954,5.629576585,5.852508055,4.727253356,5.370403714,7.35539702,8.243594069,6.055496604,5.76379317,7.901707641,6.389831706,7.058998485,6.301336214,9.161537466,5.467903931,5.315164011,8.021751152,5.253815068,7.289267259,6.319582287,7.108312026,5.629576585,6.337545019,9.159283756,6.593222016,4.991627941,8.006660408,6.80496541,5.732166053,6.225291967,6.008458319,7.098593711,8.465027373,7.237474994,0
SEQ12155,7.612037866,6.917321419,7.798030913,7.432172258,5.844577391,6.272277837,7.047805793,4.939767402,6.235145813,8.452770744,6.483310849,7.594628202,6.542886241,5.684347862,5.566207221,6.873273318,9.05175885,8.68345556,7.671311794,7.345775815,5.456307117,9.563773778,5.862756335,9.291133421,8.264403129,7.028038983,6.170389095,10.12611111,5.513365944,5.425874114,8.317820126,8.481100588,7.028038983,7.985600844,6.945884668,7.633497899,8.423866775,7.111656127,6.608923249,9.52365736,7.494762459,6.697578121,5.027523131,6.272277837,7.196229745,8.286011282,7.875367808,5.245484406,5.768065878,6.73967545,7.213682738,7.641990122,6.462784477,9.450644362,6.980738229,7.12406859,7.329947495,5.200750919,5.513365944,6.590412377,7.39725329,6.980738229,5.639161583,7.06082246,7.382011967,6.654032831,7.572554791,7.751845729,7.117876715,5.151139463,8.939185887,6.636183735,5.997074829,9.895094233,9.747189931,7.740057453,6.209693359,7.585840894,7.868183092,5.286512856,6.533156733,9.65942965,9.921908154,8.106218972,6.365790038,5.684347862,9.527043442,5.456307117,7.671311794,6.170389095,6.183646291,5.880593015,6.101573409,4.939767402,6.827683222,7.550124633,6.888121684,6.043146694,6.938801881,6.571620972,5.807121443,5.456307117,5.360281624,6.493444826,5.286512856,11.36079168,6.772380332,7.550124633,7.70002972,6.058059994,7.412327299,7.366599392,6.331601718,6.483310849,9.601732261,5.747879911,5.094677565,6.441902075,5.965163866,5.862756335,8.851711012,5.965163866,7.190361652,5.747879911,6.365790038,6.843058555,5.862756335,7.02138418,7.786626537,7.603360288,6.81992652,6.260035191,5.862756335,7.576997634,5.027523131,5.027523131,7.962213192,7.687794317,5.286512856,7.466227184,6.95292952,7.117876715,4.939767402,5.393941571,5.324601286,7.775128615,5.360281624,5.425874114,5.513365944,9.52478694,6.235145813,6.196746238,5.826038754,6.706109952,5.027523131,8.717537436,5.965163866,7.581426304,6.431322845,8.705601004,5.456307117,7.607705847,7.196229745,8.356606648,6.599702287,8.667131732,4.727253356,5.706053239,5.844577391,4.727253356,5.027523131,7.451735149,8.225779873,6.196746238,5.807121443,7.941853287,6.365790038,6.858253734,6.14338416,9.487034498,5.706053239,5.286512856,8.127358763,5.324601286,7.20207247,6.431322845,7.034660619,5.485421981,6.183646291,8.531621595,6.608923249,5.286512856,7.860961475,6.959936877,5.513365944,5.898103484,6.247659024,6.895482981,8.7488897,6.780427727,1
SEQ12121,7.752251789,6.607582641,7.752251789,7.056480337,5.887243185,6.512174859,6.845953868,5.232717081,5.887243185,8.362971885,6.708354532,7.586583859,6.49791832,5.809009261,5.291667543,7.332053319,8.725625578,8.823361472,7.573960702,7.488983107,5.594127073,9.430533227,6.110633184,9.229719836,8.165105936,7.056480337,6.671504531,9.641286702,5.232717081,5.085579326,8.43017869,8.552610552,6.878177484,7.920306774,7.146084744,7.391213469,8.608578756,7.254307634,6.940332069,9.43396807,7.812316891,7.065715783,4.727253356,6.22500544,6.970339413,8.292435661,7.64201094,5.438523369,5.887243185,6.899225442,7.213701689,7.905378026,6.581067743,9.614301418,6.940332069,7.146084744,7.376661165,5.085579326,5.4807398,6.594396003,7.567605814,6.909623628,5.628435915,7.074887736,7.39843216,6.439150703,7.391213469,7.660006794,7.093044859,5.4807398,8.44735037,6.755880802,6.328768093,9.536573707,9.48783864,8.083717346,6.206748011,7.561221687,7.339589666,5.4807398,6.512174859,9.090736141,9.760932749,8.242076369,6.31211399,5.628435915,9.40800456,5.438523369,7.689493159,6.027028403,6.468892507,6.005037334,5.752895853,5.165552614,6.824018293,7.502401036,7.18874056,5.982563196,6.7789969,6.512174859,6.005037334,5.438523369,5.438523369,6.454113642,5.291667543,10.9925806,6.888743884,7.541891041,7.718369547,5.911953649,7.332053319,7.509061469,6.454113642,6.361376843,9.092912554,6.169307883,5.085579326,6.150099296,5.809009261,5.809009261,9.171205434,5.861880598,6.960412724,5.723449727,6.512174859,6.732339265,5.959578522,7.047180448,7.774392663,7.440965768,6.581067743,6.090343602,6.242970315,7.806961531,4.727253356,4.980952835,7.849243025,7.599093325,5.344764019,7.580286626,7.093044859,7.482224952,4.727253356,5.809009261,5.438523369,7.752251789,5.291667543,5.520524621,5.594127073,9.370849788,6.408650806,6.468892507,5.887243185,6.909623628,5.085579326,8.632766947,5.861880598,7.433967531,6.328768093,8.412797676,5.628435915,7.488983107,7.254307634,8.28862457,6.526266531,8.965647494,5.165552614,5.558229236,5.835819878,4.727253356,4.980952835,7.332053319,8.28862457,6.169307883,5.594127073,7.954537399,6.242970315,6.845953868,6.423998307,9.245451079,5.520524621,5.661332616,7.987956749,5.393410562,7.146084744,6.607582641,7.110958881,5.594127073,6.31211399,9.169144568,6.867524726,4.727253356,7.796189083,6.824018293,5.781390166,6.31211399,6.090343602,7.154724623,8.391656759,6.899225442,0
SEQ12164,7.537318992,6.680643843,7.936301718,7.607678107,5.9962741,6.178345606,6.883198769,4.727253356,6.21944813,8.626960729,6.760395338,7.565892121,6.595509649,5.638569495,5.708982793,7.037770153,9.165761308,8.64684586,7.700559725,7.447878753,5.561400001,9.574005783,6.04481953,9.321964737,8.272716958,7.118627479,6.504100238,9.982814005,5.475362645,5.475362645,7.989541949,8.565589817,6.9737306,8.010288093,7.17622243,7.90336486,8.572540413,7.368638055,6.835467061,9.730784924,7.92540811,6.624536255,5.104437828,5.83464541,7.231458636,8.501463761,7.957839562,5.104437828,5.891560358,6.472044864,7.284532064,7.835084124,6.680643843,9.366494906,6.859551977,7.384856156,7.565892121,5.376915214,4.727253356,6.810925833,7.384856156,6.859551977,5.638569495,7.335614213,7.284532064,6.135650415,7.301772853,7.593888638,6.810925833,5.104437828,8.544532791,6.535332355,6.091204009,9.673974658,9.459115342,8.109683589,6.439114666,7.384856156,7.674647513,5.708982793,6.472044864,9.849537904,9.641417053,8.272716958,6.259093931,5.638569495,9.413550517,5.475362645,7.493322499,5.945298163,6.504100238,5.708982793,6.04481953,5.25917524,6.734362955,7.301772853,7.058448233,5.83464541,6.835467061,6.297400652,5.561400001,5.638569495,5.25917524,6.565787972,5.376915214,11.21327032,6.995422962,7.368638055,7.63485353,5.561400001,7.301772853,7.447878753,6.565787972,6.535332355,9.485043236,5.708982793,4.727253356,6.405252537,6.135650415,5.638569495,8.871764127,5.638569495,7.335614213,5.561400001,6.405252537,6.835467061,5.83464541,6.810925833,7.537318992,7.231458636,6.9737306,6.135650415,6.091204009,7.416728512,5.376915214,4.727253356,7.763312989,7.63485353,5.376915214,7.400884782,7.213296006,7.17622243,5.104437828,5.83464541,5.25917524,7.384856156,5.104437828,5.708982793,5.561400001,9.574005783,5.9962741,5.891560358,5.638569495,7.078810452,5.104437828,8.626960729,5.9962741,7.493322499,6.439114666,8.640248159,5.376915214,7.713337717,7.400884782,8.586340986,6.595509649,8.76674639,4.727253356,5.945298163,5.77402062,4.727253356,5.25917524,7.687663747,8.306538779,6.504100238,5.77402062,7.811566099,6.680643843,6.504100238,6.21944813,9.39021515,5.638569495,5.376915214,8.10005239,5.475362645,7.17622243,6.535332355,6.92924514,5.638569495,6.439114666,8.633619878,6.835467061,5.104437828,7.63485353,7.058448233,5.638569495,6.091204009,6.535332355,7.231458636,8.586340986,6.883198769,1
SEQ12102,7.755028771,6.984877767,7.719152594,7.075070684,5.720539705,6.484510874,6.831027716,5.096150635,5.811280818,8.420356832,6.484510874,7.565644076,6.669668584,5.782046254,5.362792932,6.86555523,8.718824259,8.727775252,7.725196227,7.496313535,5.543453134,9.365498195,5.993974756,9.174005324,8.301165823,7.113277466,6.55904651,9.876960131,5.247551066,5.178449202,8.554051577,8.390539759,7.131979937,7.973284053,6.759074936,7.430795592,8.460362922,7.094310426,6.642918311,9.505337549,7.605637233,7.025721166,5.178449202,6.265688762,7.168621837,8.325027122,7.625210364,5.459184564,5.945167117,6.601689813,7.579103509,7.565644076,6.265688762,9.825240257,6.876863528,7.075070684,7.195463934,5.582188465,5.582188465,6.453367054,7.430795592,7.065345898,5.751829684,6.984877767,7.272936773,6.228029336,7.73720569,7.795754471,7.045680963,5.096150635,8.638809902,6.807487197,6.127903154,9.781627281,9.556341483,7.644512022,6.189062082,7.706986359,8.032670303,5.362792932,6.469039503,9.618455148,9.880965267,7.884628812,6.437487401,5.720539705,9.466751065,5.247551066,7.599051152,6.106727083,6.573424938,5.893833395,5.867109755,5.096150635,6.759074936,7.517479694,7.150425593,6.228029336,6.96397323,6.265688762,5.839612372,5.362792932,5.502572547,6.70875895,5.178449202,11.20237393,6.771350183,7.625210364,7.631674028,6.085123943,7.297809398,7.503404983,6.421394104,6.421394104,9.438023529,5.751829684,4.727253356,6.063071959,5.839612372,6.04054743,9.002957455,6.063071959,7.065345898,5.839612372,6.169052804,7.103827517,5.9698671,7.025721166,7.731213849,7.354140562,6.795553944,6.085123943,6.247015958,7.644512022,4.727253356,4.727253356,7.868387428,7.377590003,5.459184564,7.579103509,7.141234396,7.32223631,5.178449202,5.751829684,5.720539705,7.942626831,5.247551066,5.811280818,5.867109755,9.388205699,6.37176276,6.189062082,5.654293285,6.807487197,4.988457422,8.679376378,5.9698671,7.330282445,6.319941405,8.348494934,5.459184564,7.213066902,7.362001722,8.018056177,6.529775496,8.606802576,5.096150635,5.867109755,5.751829684,4.727253356,4.988457422,7.408245007,8.285032996,6.127903154,5.811280818,8.157818928,6.148672216,6.931981179,6.405080388,9.171824556,5.412810261,5.543453134,7.911288007,5.178449202,7.369818025,6.499786998,7.025721166,5.619060355,6.302140501,8.638809902,6.771350183,4.727253356,8.070918502,6.842639276,6.063071959,6.37176276,6.284059834,7.306000391,8.590526096,7.177628651,0
SEQ12118,7.781582015,6.692710372,7.878400253,7.190842964,5.932478281,6.359213794,7.251015655,5.070517615,6.23451049,8.397249165,6.49847339,7.677574712,6.549965501,5.975373384,5.487790317,7.190842964,8.344384701,8.668214819,7.350305529,7.430026982,5.319050063,9.469373208,6.131004432,9.031228852,8.187982439,6.86101247,6.736904347,9.552878027,4.727253356,5.070517615,8.357785911,8.337636493,7.190842964,8.012178571,6.670021438,7.363918376,8.909594949,7.56518342,6.800452419,9.478555511,7.56518342,7.175372048,5.070517615,6.131004432,6.974293606,8.364439514,7.505381541,5.623125587,5.682876751,6.714999556,7.294456847,7.599864529,6.388401045,9.693543911,7.0274774,7.009985625,7.336555922,4.727253356,5.070517615,6.670021438,7.45560538,7.190842964,5.409040359,7.0274774,7.143887242,6.471886599,7.553427759,7.859563136,6.956079333,5.623125587,8.53326438,6.758439174,6.623377668,9.722162097,9.623549922,7.830825454,6.623377668,7.553427759,7.968980792,5.487790317,6.49847339,9.225697431,9.847884999,7.751183651,6.359213794,5.791048438,9.300126141,4.727253356,7.56518342,5.887630715,6.471886599,5.840587237,5.887630715,4.727253356,6.86101247,7.588400121,7.417057316,6.524490639,6.646916371,6.329280106,5.932478281,5.319050063,5.211570816,6.266982756,5.319050063,10.90749721,6.86101247,7.730545058,7.350305529,6.166597894,7.206138701,7.45560538,6.599386598,6.298553564,9.432046448,5.682876751,4.727253356,6.388401045,5.623125587,6.056078407,9.324103288,5.975373384,7.078613542,5.791048438,6.714999556,7.417057316,6.056078407,7.430026982,8.07051899,8.062330565,6.574923072,6.056078407,6.131004432,7.677574712,5.070517615,4.727253356,7.933444302,7.430026982,5.558513825,7.541571568,7.63370127,7.363918376,4.727253356,5.840587237,5.487790317,7.699004505,5.409040359,5.791048438,5.558513825,9.472440492,6.444700803,6.166597894,5.738638891,6.880586977,5.070517615,8.741429474,5.887630715,7.529613046,6.359213794,8.268333522,5.409040359,7.390744994,7.350305529,8.172871713,6.758439174,8.771696016,5.070517615,5.738638891,5.738638891,4.727253356,5.070517615,7.280129995,8.202933956,6.23451049,5.932478281,7.995057741,6.388401045,6.880586977,6.056078407,8.811081419,5.558513825,5.738638891,7.887725038,5.487790317,7.377397286,6.016517222,7.061785233,5.211570816,6.094199951,9.377451717,7.111647638,4.727253356,8.317197759,6.574923072,6.056078407,6.266982756,6.266982756,7.442875557,8.14215858,7.044741849,1
