,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1238-5p,hsa-miR-1244,hsa-miR-1255b-5p,hsa-miR-1261,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-1915-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3119,hsa-miR-3155a,hsa-miR-3156-5p,hsa-miR-3164,hsa-miR-3170,hsa-miR-3184-5p,hsa-miR-3201,hsa-miR-323b-5p,hsa-miR-34c-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-3944-3p,hsa-miR-3960,hsa-miR-3975,hsa-miR-411-3p,hsa-miR-4255,hsa-miR-4306,hsa-miR-4418,hsa-miR-4433-5p,hsa-miR-4632-5p,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4763-3p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-5100,hsa-miR-513b-3p,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5689,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-601,hsa-miR-6127,hsa-miR-643,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6720-5p,hsa-miR-6723-5p,hsa-miR-6742-3p,hsa-miR-6753-3p,hsa-miR-6808-3p,hsa-miR-6850-3p,hsa-miR-6852-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6880-5p,hsa-miR-6883-3p,hsa-miR-6890-5p,hsa-miR-7108-3p,hsa-miR-7112-5p,hsa-miR-769-5p,hsa-miR-7853-5p,hsa-miR-7855-5p,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-939-5p,hsa-miR-95-3p,Disese Group
sample_01,1669011.08,574.75,203795.0,10.0,98.0,0.0,0.0,0.0,0.0,361.33,11.0,16.0,10.0,4.5,1087.84,7335.25,0.0,44172.17,13.5,2331.0,188.5,6139.25,31.0,946787.48,304431.83,13.0,66046.84,0.0,0.0,0.0,6.0,2.0,4540.75,0.0,2.0,10.0,14.0,5.0,2339.0,0.33,1.0,0.0,0.0,56.5,0.0,1.58,0.0,0.5,0.0,23.58,0.0,2.0,7.0,5.0,0.0,24.0,3941.83,554.5,112.83,19.0,24.33,0.25,2.0,3.0,0.0,5.0,2.0,10.0,0.0,0.0,7.0,0.0,0.0,10.0,5.0,24.0,2.0,4.25,1.0,0.0,3.0,0.0,0.25,8.0,118.0,2.0,82.0,1.0,1.0,0.0,8611.5,2.0,4.0,812.42,54.5,484.0,46208.34,364.0,2.67,13823.0,0
sample_02,1113228.84,608.25,120300.83,22.0,42.5,0.0,0.0,0.0,0.0,504.0,18.0,18.0,17.0,6.0,1584.5,8932.42,0.0,41821.08,21.0,1671.83,166.5,4854.83,29.0,847782.14,381538.08,10.25,85012.09,0.0,0.0,2.01,2.0,0.0,2089.0,0.0,2.5,5.0,4.0,6.0,1443.83,1.67,0.0,0.0,0.0,81.5,0.0,1.42,0.0,0.5,0.0,10.0,0.0,0.0,6.0,2.0,0.0,32.0,2396.92,950.0,104.17,7.0,29.33,0.0,0.0,4.5,0.0,5.5,11.0,6.0,0.0,0.0,5.0,0.0,0.0,9.0,5.0,23.67,0.0,9.5,1.0,0.0,0.0,0.0,0.33,4.25,120.5,0.0,38.5,0.0,1.0,0.0,7670.67,2.0,0.0,1018.67,29.5,478.0,34865.66,338.0,1.42,10677.92,0
sample_03,548076.06,466.5,42925.42,4.0,38.83,0.0,0.0,0.0,0.0,138.0,12.0,8.0,15.0,3.5,1791.34,7223.08,0.0,31285.58,3.0,703.5,46.5,1483.5,29.0,275491.66,213142.33,1.5,62000.0,0.0,0.0,0.0,1.0,1.0,1055.92,0.0,1.0,3.0,2.0,3.0,1631.5,0.5,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,2.83,0.0,2.0,1.0,0.0,0.0,16.0,423.0,194.0,43.5,5.0,8.0,0.0,0.0,8.5,0.0,6.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,23.33,0.0,36.5,2.0,0.0,1.0,0.0,0.33,2.5,0.0,0.0,20.0,0.0,1.0,0.0,3598.83,0.0,1.0,714.92,8.5,304.25,10047.66,131.0,1.33,9154.0,0
sample_04,1193248.35,1315.5,96194.33,14.0,112.5,0.0,0.0,0.0,0.0,218.0,28.0,13.0,23.0,4.5,2992.16,14854.33,2.0,69374.42,11.0,1859.0,237.0,7920.0,90.0,530011.64,371335.0,10.75,145643.75,0.0,0.0,0.0,1.0,0.0,2608.08,0.0,2.0,2.0,6.0,5.0,3426.83,0.67,1.0,0.0,0.0,83.0,0.0,0.5,0.0,0.0,0.0,16.67,0.0,5.0,5.0,4.0,0.0,28.0,660.5,517.0,68.83,17.5,26.0,0.0,0.0,12.0,0.0,7.0,16.5,8.0,0.0,5.0,5.0,0.0,0.0,7.0,9.0,16.5,0.0,15.5,3.0,0.0,5.0,0.0,0.25,2.5,70.0,1.0,71.0,1.0,1.0,0.0,6041.67,1.5,0.0,1874.08,28.5,531.0,26894.66,235.5,1.0,22962.08,0
sample_05,861134.44,1095.5,70847.75,12.5,105.25,0.0,0.0,0.0,0.0,168.0,26.0,2.0,15.0,5.5,1686.84,9567.08,0.0,48655.67,20.0,1415.67,117.5,1844.25,80.0,359830.16,257152.5,7.0,105367.33,0.0,0.0,0.0,1.0,1.0,1712.25,0.0,0.0,4.0,1.0,8.0,1809.5,1.67,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,2.0,5.0,3.0,0.0,20.0,631.33,207.0,46.75,9.0,12.0,0.0,0.0,4.0,0.0,5.0,7.5,5.0,0.0,3.0,13.0,0.0,0.0,5.0,8.0,6.0,0.0,8.25,3.0,0.0,1.0,0.0,1.75,0.5,102.83,0.0,39.0,0.0,0.0,0.0,3874.67,2.5,0.0,974.17,35.5,378.83,27283.5,188.5,0.33,15186.5,0
sample_06,1259053.95,2136.25,104796.25,4.0,331.5,0.0,0.0,0.0,0.0,333.33,30.0,19.0,28.0,16.0,4467.34,20652.0,0.0,79183.42,26.0,2923.83,241.5,3366.5,80.0,640622.14,436607.17,9.0,214854.66,0.0,0.0,0.0,2.0,0.0,2853.21,0.0,1.0,14.0,1.0,12.0,3539.5,0.0,0.0,0.0,0.0,112.0,0.0,1.5,0.0,1.5,0.0,21.0,0.0,2.0,5.0,7.0,0.0,32.0,1061.17,504.0,106.33,23.0,23.0,0.0,0.0,13.0,0.0,2.0,20.5,15.0,0.0,0.0,8.0,0.0,0.0,7.0,8.0,15.33,0.0,36.25,4.0,0.0,3.0,1.0,1.83,3.5,80.33,1.0,63.0,0.0,1.0,0.0,7338.33,2.0,2.0,1953.5,68.33,635.0,34321.66,345.5,2.0,25745.42,0
sample_07,990696.64,867.25,70851.92,4.0,141.83,0.0,0.0,0.0,0.0,276.5,18.0,5.0,19.0,5.5,2688.34,10316.08,0.0,48986.58,7.0,1320.0,106.0,1951.0,74.0,523416.98,322803.42,8.75,94839.66,0.0,0.0,0.0,1.0,2.0,1622.17,0.0,1.0,6.0,5.0,2.0,1796.5,0.0,0.0,0.0,0.0,60.5,0.0,0.5,0.0,0.5,0.0,11.17,0.0,0.0,2.0,5.0,0.0,28.0,643.83,193.0,55.0,10.0,18.0,0.0,0.0,14.0,0.0,7.0,12.0,8.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,8.92,1.0,10.0,0.0,0.0,6.0,0.0,0.0,3.75,68.83,0.5,42.0,0.0,1.0,0.0,5220.25,0.0,0.0,996.0,34.75,443.0,20146.16,188.0,0.33,15897.67,0
sample_08,1030404.63,847.5,78622.17,7.0,102.0,0.0,0.0,0.0,0.0,235.0,23.5,6.0,11.0,1.5,1521.0,10544.25,0.0,51899.58,9.0,1282.5,83.0,2463.0,43.0,479659.48,320379.58,3.75,102961.09,0.0,0.0,0.0,5.0,1.0,1570.71,0.0,3.0,5.0,0.0,3.0,1683.0,0.33,0.0,0.0,0.0,56.5,0.0,0.25,0.0,0.0,0.0,5.5,0.0,2.0,8.0,3.0,0.0,17.0,878.42,214.0,68.0,10.5,18.0,0.0,0.0,8.0,0.0,4.0,8.0,13.0,0.0,7.0,7.0,0.0,0.0,5.0,7.0,7.33,1.0,6.0,2.0,0.0,1.0,0.0,0.5,5.0,1.0,0.0,36.0,0.0,0.0,0.0,5222.33,0.0,2.0,1034.92,28.5,366.0,22853.5,233.0,1.83,14239.5,0
sample_09,813145.02,1182.25,66994.0,22.5,63.5,0.0,0.0,0.0,0.0,230.33,44.0,2.0,21.0,1.0,3230.66,15707.25,0.0,57939.33,27.5,1406.5,110.5,3266.75,114.0,464638.14,390478.83,4.5,149609.41,0.0,0.0,0.0,6.0,2.0,1322.67,0.0,2.0,3.0,7.0,5.0,1757.5,0.33,1.0,0.0,0.0,56.5,0.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,6.0,1.0,0.0,19.0,401.08,282.0,87.75,6.0,27.25,0.0,2.0,12.0,0.0,4.0,5.5,6.0,0.0,3.0,6.0,0.0,0.0,12.0,8.0,7.0,1.0,7.5,1.0,0.0,5.0,0.0,0.5,3.25,108.58,1.0,40.0,0.0,0.0,0.0,5462.5,0.0,1.0,1551.67,29.25,307.0,26545.5,228.0,3.5,16008.17,0
sample_10,680177.42,1275.75,60425.25,9.0,84.5,0.0,0.0,0.0,0.0,176.0,23.5,6.0,20.0,8.0,4060.66,14926.58,0.0,65639.33,3.0,1262.17,155.67,2954.5,79.0,388769.98,345757.75,4.5,167489.84,0.0,0.0,0.0,0.0,0.0,1300.25,0.0,1.0,2.0,4.0,4.0,2681.25,0.33,0.0,0.0,0.0,63.0,0.0,1.08,0.0,0.5,0.0,8.67,0.0,2.0,3.0,1.0,0.0,31.0,354.67,324.0,75.08,5.0,27.0,0.0,0.0,7.5,0.0,6.5,20.0,9.0,0.0,1.0,10.0,0.0,0.0,6.0,7.0,5.67,0.0,16.5,0.0,0.0,2.0,0.0,0.0,4.25,67.33,0.0,52.0,0.0,0.0,0.0,6221.75,0.0,2.0,1824.67,31.5,412.0,21533.34,213.5,0.0,14756.58,0
