,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1256,hsa-miR-1271-5p,hsa-miR-1273g-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-148a-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200c-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23c,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3184-5p,hsa-miR-3186-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-3689c,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-378i,hsa-miR-3977,hsa-miR-4268,hsa-miR-4295,hsa-miR-4307,hsa-miR-4315,hsa-miR-4319,hsa-miR-4424,hsa-miR-4431,hsa-miR-4462,hsa-miR-4471,hsa-miR-4496,hsa-miR-4501,hsa-miR-4514,hsa-miR-4635,hsa-miR-4645-3p,hsa-miR-4663,hsa-miR-4701-3p,hsa-miR-4706,hsa-miR-4711-3p,hsa-miR-4712-5p,hsa-miR-4769-3p,hsa-miR-4772-3p,hsa-miR-4774-3p,hsa-miR-4782-3p,hsa-miR-4789-5p,hsa-miR-4790-5p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-508-5p,hsa-miR-5093,hsa-miR-515-3p,hsa-miR-548ai,hsa-miR-548aq-5p,hsa-miR-548j-3p,hsa-miR-549a,hsa-miR-550a-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-569,hsa-miR-579-5p,hsa-miR-6076,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6728-5p,hsa-miR-6739-3p,hsa-miR-6758-5p,hsa-miR-676-5p,hsa-miR-6760-5p,hsa-miR-6769a-3p,hsa-miR-6792-3p,hsa-miR-6824-5p,hsa-miR-6828-3p,hsa-miR-6832-5p,hsa-miR-6836-5p,hsa-miR-6838-5p,hsa-miR-6839-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6883-5p,hsa-miR-6891-5p,hsa-miR-7107-5p,hsa-miR-769-5p,hsa-miR-7703,hsa-miR-7704,hsa-miR-7705,hsa-miR-8061,hsa-miR-8083,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,574.75,203795.0,320.33,10.0,98.0,1.0,361.33,0.0,11.0,16.0,36.0,1087.84,7335.25,44172.17,13.5,2331.0,0.0,7.0,188.5,6139.25,25.0,946787.48,304431.83,13.0,66046.84,2.5,4540.75,0.0,5.0,0.0,0.0,2339.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3941.83,24.33,7.0,0.0,1.0,0.0,1.0,0.0,1.5,4.84,2.0,10.0,0.0,7.0,0.0,5.0,24.0,0.0,16.0,2.0,2.0,2.0,0.0,2.5,0.0,0.0,2.0,1.0,4.0,0.0,8.0,118.0,82.0,0.0,1.0,0.0,8611.5,1.5,12.0,0.0,0.0,0.0,812.42,54.5,484.0,1.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,718.0,22.0,42.5,1.83,504.0,0.0,18.0,18.0,35.0,1584.5,8932.42,41821.08,21.0,1671.83,0.0,5.0,166.5,4854.83,19.0,847782.14,381538.08,10.25,85012.09,4.5,2089.0,0.0,6.0,0.0,0.0,1443.83,10.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2396.92,29.33,1.0,0.0,0.0,1.5,0.5,0.0,1.5,1.34,11.0,6.0,0.0,5.0,0.0,5.0,23.67,1.0,4.0,1.0,2.0,0.0,1.0,1.5,0.0,0.0,4.0,0.0,1.0,1.0,4.25,120.5,38.5,0.0,0.0,0.0,7670.67,0.0,7.67,0.0,0.0,0.0,1018.67,29.5,478.0,1.0,34865.66,338.0,10677.92,0
sample_03,548076.06,466.5,42925.42,187.5,4.0,38.83,0.83,138.0,0.0,12.0,8.0,5.0,1791.34,7223.08,31285.58,3.0,703.5,0.0,9.0,46.5,1483.5,12.5,275491.66,213142.33,1.5,62000.0,1.0,1055.92,0.0,3.0,0.0,0.0,1631.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,423.0,8.0,5.0,0.0,1.0,0.0,0.5,0.0,1.0,2.34,9.0,2.0,0.0,2.0,0.0,1.0,23.33,0.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.5,0.0,1.0,0.0,2.5,0.0,20.0,0.0,0.0,0.0,3598.83,2.0,3.0,0.0,0.0,0.0,714.92,8.5,304.25,1.0,10047.66,131.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,313.0,14.0,112.5,1.17,218.0,0.0,28.0,13.0,16.0,2992.16,14854.33,69374.42,11.0,1859.0,1.0,16.0,237.0,7920.0,26.0,530011.64,371335.0,10.75,145643.75,2.5,2608.08,2.0,5.0,0.0,0.0,3426.83,5.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.5,660.5,26.0,5.0,0.0,2.0,0.0,0.0,0.33,0.5,2.66,16.5,8.0,0.0,5.0,0.0,9.0,16.5,0.0,10.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,17.5,0.0,1.0,1.0,2.5,70.0,71.0,3.0,0.0,0.0,6041.67,1.5,7.0,1.33,0.0,0.0,1874.08,28.5,531.0,0.0,26894.66,235.5,22962.08,0
sample_05,861134.44,1095.5,70847.75,201.5,12.5,105.25,0.83,168.0,0.0,26.0,2.0,10.0,1686.84,9567.08,48655.67,20.0,1415.67,1.0,12.0,117.5,1844.25,11.0,359830.16,257152.5,7.0,105367.33,0.5,1712.25,0.0,8.0,0.0,0.0,1809.5,3.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,631.33,12.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.76,7.5,5.0,0.0,13.0,0.0,8.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.5,102.83,39.0,1.0,0.0,0.0,3874.67,0.5,5.67,0.0,0.0,0.0,974.17,35.5,378.83,0.0,27283.5,188.5,15186.5,0
sample_06,1259053.95,2136.25,104796.25,391.67,4.0,331.5,1.0,333.33,0.0,30.0,19.0,9.0,4467.34,20652.0,79183.42,26.0,2923.83,3.0,19.0,241.5,3366.5,50.0,640622.14,436607.17,9.0,214854.66,2.5,2853.21,0.0,12.0,0.0,0.0,3539.5,8.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1061.17,23.0,2.0,0.0,2.0,0.0,1.0,0.33,1.5,4.0,20.5,15.0,0.0,8.0,0.0,8.0,15.33,0.0,4.0,8.0,3.0,8.0,1.0,6.83,0.0,0.0,7.0,0.0,2.0,0.0,3.5,80.33,63.0,1.0,0.0,0.0,7338.33,0.33,7.67,2.0,0.0,0.0,1953.5,68.33,635.0,0.0,34321.66,345.5,25745.42,0
sample_07,990696.64,867.25,70851.92,249.0,4.0,141.83,0.5,276.5,0.0,18.0,5.0,4.0,2688.34,10316.08,48986.58,7.0,1320.0,2.0,7.0,106.0,1951.0,15.0,523416.98,322803.42,8.75,94839.66,4.0,1622.17,0.0,2.0,0.0,0.0,1796.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,643.83,18.0,1.0,0.0,5.0,0.5,1.25,0.0,1.0,2.84,12.0,8.0,0.0,5.0,0.0,4.0,8.92,1.0,3.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,4.0,0.0,4.0,0.0,3.75,68.83,42.0,2.0,0.0,0.0,5220.25,1.0,3.58,0.0,0.0,0.0,996.0,34.75,443.0,0.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,227.33,7.0,102.0,1.17,235.0,0.0,23.5,6.0,5.0,1521.0,10544.25,51899.58,9.0,1282.5,2.0,8.0,83.0,2463.0,14.0,479659.48,320379.58,3.75,102961.09,2.5,1570.71,0.0,3.0,0.0,0.0,1683.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,878.42,18.0,4.0,0.0,2.0,0.0,0.5,0.0,0.0,1.66,8.0,13.0,0.0,7.0,0.0,7.0,7.33,2.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,36.0,1.0,0.0,0.0,5222.33,2.0,4.67,1.0,0.0,0.0,1034.92,28.5,366.0,0.0,22853.5,233.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,288.17,22.5,63.5,0.0,230.33,0.0,44.0,2.0,10.0,3230.66,15707.25,57939.33,27.5,1406.5,1.0,16.0,110.5,3266.75,3.0,464638.14,390478.83,4.5,149609.41,2.5,1322.67,0.0,5.0,0.0,0.0,1757.5,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,401.08,27.25,2.0,0.0,2.0,0.0,1.5,0.33,1.5,1.16,5.5,6.0,0.0,6.0,0.0,8.0,7.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,1.33,0.0,3.25,108.58,40.0,0.0,0.0,0.0,5462.5,2.0,2.33,2.0,0.0,0.0,1551.67,29.25,307.0,0.0,26545.5,228.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,268.5,9.0,84.5,0.83,176.0,0.0,23.5,6.0,8.0,4060.66,14926.58,65639.33,3.0,1262.17,0.0,15.0,155.67,2954.5,3.5,388769.98,345757.75,4.5,167489.84,2.5,1300.25,2.0,4.0,0.0,0.0,2681.25,5.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,354.67,27.0,0.0,0.0,0.0,0.0,3.08,0.0,0.5,3.5,20.0,9.0,0.0,10.0,0.0,7.0,5.67,0.0,10.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,4.25,67.33,52.0,0.0,0.0,0.0,6221.75,2.0,2.67,0.0,0.0,0.0,1824.67,31.5,412.0,1.0,21533.34,213.5,14756.58,0
