,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1178-3p,hsa-miR-1183,hsa-miR-1207-3p,hsa-miR-1224-3p,hsa-miR-1226-5p,hsa-miR-1231,hsa-miR-1257,hsa-miR-125a-3p,hsa-miR-1263,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-128-2-5p,hsa-miR-1281,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1302,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-1913,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200b-5p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-300,hsa-miR-30c-5p,hsa-miR-3135b,hsa-miR-3150b-3p,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3185,hsa-miR-3681-5p,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3942-5p,hsa-miR-423-3p,hsa-miR-4433-5p,hsa-miR-4464,hsa-miR-4474-5p,hsa-miR-4500,hsa-miR-4509,hsa-miR-4515,hsa-miR-4517,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4659a-5p,hsa-miR-4662a-3p,hsa-miR-4664-3p,hsa-miR-4694-5p,hsa-miR-4709-3p,hsa-miR-4728-5p,hsa-miR-4745-5p,hsa-miR-4746-5p,hsa-miR-4766-3p,hsa-miR-4788,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-5002-5p,hsa-miR-5004-3p,hsa-miR-5008-5p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-509-5p,hsa-miR-5096,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-519c-5p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ah-5p,hsa-miR-548am-3p,hsa-miR-548m,hsa-miR-548s,hsa-miR-561-5p,hsa-miR-5690,hsa-miR-571,hsa-miR-579-5p,hsa-miR-605-3p,hsa-miR-6128,hsa-miR-622,hsa-miR-6511a-5p,hsa-miR-658,hsa-miR-665,hsa-miR-6732-5p,hsa-miR-6741-5p,hsa-miR-6764-5p,hsa-miR-6769a-3p,hsa-miR-6774-5p,hsa-miR-6821-3p,hsa-miR-6846-3p,hsa-miR-6849-5p,hsa-miR-6859-5p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6874-5p,hsa-miR-6883-3p,hsa-miR-7106-5p,hsa-miR-7157-5p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7854-3p,hsa-miR-8077,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-921,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,574.75,203795.0,320.33,10.0,0.0,0.0,0.0,98.0,0.0,0.0,1.0,541.83,0.0,361.33,11.0,1.0,0.0,7.0,16.0,0.0,1087.84,6.0,0.0,7335.25,1.0,44172.17,13.5,2331.0,15.0,12.0,188.5,6139.25,946787.48,304431.83,0.0,66046.84,0.0,2.5,2.0,4540.75,0.0,2.0,2339.0,12.25,21.0,3.0,4540.75,0.5,0.0,0.0,30.25,0.0,0.0,0.0,23.58,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,5.0,5.5,0.0,24.0,3941.83,0.0,554.5,0.0,0.0,0.0,112.83,19.0,24.33,4.0,0.0,0.25,3.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.5,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,26.5,0.0,0.0,2.0,3.0,0.0,0.0,8.0,6.0,118.0,1.0,82.0,0.0,8.0,8611.5,12.0,0.0,0.0,812.42,54.5,484.0,0.0,46208.34,364.0,12.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,718.0,22.0,0.0,0.0,0.0,42.5,0.0,2.0,0.0,285.5,0.0,504.0,18.0,0.0,0.0,3.58,18.0,1.0,1584.5,10.0,0.0,8932.42,1.25,41821.08,21.0,1671.83,13.0,13.0,166.5,4854.83,847782.14,381538.08,0.0,85012.09,0.0,4.5,0.0,2089.0,0.0,8.0,1443.83,10.75,18.0,2.0,2089.0,0.5,0.0,0.0,29.25,0.0,0.0,0.0,10.0,0.0,0.5,0.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,32.0,2396.92,0.0,950.0,0.0,0.0,0.0,104.17,7.0,29.33,4.0,0.0,0.0,4.5,0.0,5.5,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,2.0,11.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,23.67,0.0,0.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,4.25,0.0,120.5,2.0,38.5,0.0,2.0,7670.67,7.67,1.0,0.0,1018.67,29.5,478.0,0.0,34865.66,338.0,13.0,10677.92,0
sample_03,548076.06,466.5,42925.42,187.5,4.0,1.0,0.0,0.0,38.83,0.0,0.0,0.0,248.67,0.0,138.0,12.0,2.0,0.0,1.08,8.0,0.0,1791.34,9.0,0.0,7223.08,0.0,31285.58,3.0,703.5,6.0,2.0,46.5,1483.5,275491.66,213142.33,0.0,62000.0,0.0,1.0,1.0,1055.92,0.0,6.0,1631.5,3.25,33.0,2.5,1055.92,0.0,0.0,0.0,24.0,0.0,0.0,1.0,2.83,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,423.0,0.0,194.0,0.0,0.0,0.0,43.5,5.0,8.0,4.0,0.0,0.0,8.5,0.0,6.0,2.0,0.0,0.0,3.5,0.0,0.0,0.0,9.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.33,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,20.0,1.0,3.0,3598.83,3.0,1.0,0.0,714.92,8.5,304.25,0.0,10047.66,131.0,1.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,313.0,14.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,612.5,0.0,218.0,28.0,2.0,0.0,6.25,13.0,3.0,2992.16,8.0,0.0,14854.33,0.0,69374.42,11.0,1859.0,16.0,7.0,237.0,7920.0,530011.64,371335.0,0.0,145643.75,0.0,2.5,4.0,2608.08,0.0,10.0,3426.83,5.25,46.0,6.0,2608.08,0.0,0.0,0.0,58.25,0.0,0.0,0.0,16.67,0.0,0.5,5.0,2.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,28.0,660.5,0.0,517.0,0.0,1.0,0.0,68.83,17.5,26.0,10.0,0.0,0.0,12.0,0.0,7.0,1.0,0.0,1.5,7.5,0.0,3.0,0.0,4.5,0.0,16.5,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,16.5,0.0,3.0,29.5,0.0,0.0,0.0,2.0,1.0,0.0,2.5,0.0,70.0,5.0,71.0,1.0,8.0,6041.67,7.0,1.0,0.0,1874.08,28.5,531.0,0.0,26894.66,235.5,3.0,22962.08,0
sample_05,861134.44,1095.5,70847.75,201.5,12.5,2.0,0.0,0.0,105.25,0.0,0.0,0.0,352.17,0.0,168.0,26.0,2.0,0.0,4.08,2.0,0.0,1686.84,5.0,1.0,9567.08,1.0,48655.67,20.0,1415.67,6.0,16.0,117.5,1844.25,359830.16,257152.5,0.0,105367.33,0.0,0.5,1.0,1712.25,0.0,4.0,1809.5,3.75,41.0,3.0,1712.25,0.0,0.0,0.0,28.0,0.0,1.0,0.0,14.5,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,3.0,5.5,0.5,20.0,631.33,0.0,207.0,0.0,0.0,0.0,46.75,9.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,0.33,4.83,0.0,1.0,0.0,23.67,2.0,7.5,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,102.83,0.0,39.0,0.0,6.0,3874.67,5.67,1.0,0.0,974.17,35.5,378.83,0.0,27283.5,188.5,1.0,15186.5,0
sample_06,1259053.95,2136.25,104796.25,391.67,4.0,0.0,0.0,0.0,331.5,0.0,2.0,0.0,715.08,0.0,333.33,30.0,1.0,0.0,9.08,19.0,0.0,4467.34,12.0,0.0,20652.0,1.0,79183.42,26.0,2923.83,18.0,12.0,241.5,3366.5,640622.14,436607.17,0.0,214854.66,0.0,2.5,1.0,2853.21,0.0,9.0,3539.5,8.75,105.0,6.0,2851.21,1.5,0.0,0.0,88.33,0.0,0.0,0.0,21.0,0.0,1.5,2.0,2.0,0.0,4.0,2.0,0.0,7.0,1.5,0.0,32.0,1061.17,0.0,504.0,1.0,0.0,0.0,106.33,23.0,23.0,6.0,0.0,0.0,13.0,0.0,2.0,3.0,0.0,0.33,9.5,0.0,5.0,0.0,26.33,0.0,20.5,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,15.33,0.0,4.0,28.0,1.0,0.0,2.0,5.0,2.0,0.0,3.5,0.0,80.33,1.0,63.0,0.0,8.0,7338.33,7.67,0.0,0.0,1953.5,68.33,635.0,0.0,34321.66,345.5,4.0,25745.42,0
sample_07,990696.64,867.25,70851.92,249.0,4.0,0.0,0.0,0.0,141.83,0.0,2.0,0.0,352.08,0.0,276.5,18.0,2.0,0.0,4.83,5.0,0.0,2688.34,11.0,0.0,10316.08,1.0,48986.58,7.0,1320.0,13.0,17.0,106.0,1951.0,523416.98,322803.42,0.0,94839.66,0.0,4.0,2.0,1622.17,0.0,5.0,1796.5,1.75,36.0,1.0,1622.17,0.5,0.0,0.0,32.75,0.0,0.0,0.0,11.17,0.0,0.5,0.0,4.0,0.0,1.0,0.0,0.0,5.0,9.5,0.0,28.0,643.83,0.0,193.0,0.0,0.0,0.0,55.0,10.0,18.0,5.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,2.67,6.17,0.0,4.0,0.0,2.5,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,8.92,0.0,0.0,18.0,1.0,0.0,2.0,3.0,0.0,0.0,3.75,0.0,68.83,0.0,42.0,0.0,5.0,5220.25,3.58,1.0,0.0,996.0,34.75,443.0,0.0,20146.16,188.0,3.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,227.33,7.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,379.67,0.0,235.0,23.5,2.0,0.0,4.75,6.0,0.0,1521.0,11.0,0.0,10544.25,3.0,51899.58,9.0,1282.5,10.0,11.5,83.0,2463.0,479659.48,320379.58,0.0,102961.09,0.0,2.5,1.5,1570.71,0.0,3.0,1683.0,5.83,22.0,0.0,1570.71,0.0,0.0,0.0,35.5,0.0,0.0,0.0,5.5,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,878.42,0.0,214.0,0.0,0.0,0.0,68.0,10.5,18.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,8.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,7.33,0.0,0.0,18.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,36.0,0.0,1.0,5222.33,4.67,2.0,0.0,1034.92,28.5,366.0,0.0,22853.5,233.0,2.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,288.17,22.5,0.0,0.0,0.0,63.5,0.0,3.0,0.0,362.58,0.0,230.33,44.0,1.0,0.0,6.83,2.0,0.0,3230.66,14.0,0.0,15707.25,0.0,57939.33,27.5,1406.5,5.0,19.0,110.5,3266.75,464638.14,390478.83,0.0,149609.41,0.0,2.5,0.0,1322.67,0.0,4.0,1757.5,4.08,33.0,1.0,1322.67,1.0,0.0,0.0,0.67,0.0,0.0,0.0,12.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,0.5,19.0,401.08,0.0,282.0,0.0,0.0,0.0,87.75,6.0,27.25,0.0,0.0,0.0,12.0,0.0,4.0,1.0,0.0,0.58,6.5,0.0,0.0,0.0,9.33,1.0,5.5,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.25,0.0,108.58,2.0,40.0,0.0,5.0,5462.5,2.33,0.0,0.0,1551.67,29.25,307.0,0.0,26545.5,228.0,1.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,268.5,9.0,0.0,0.0,0.0,84.5,0.0,0.0,0.0,369.0,0.0,176.0,23.5,0.0,0.0,4.67,6.0,0.0,4060.66,14.0,0.0,14926.58,0.0,65639.33,3.0,1262.17,7.0,7.0,155.67,2954.5,388769.98,345757.75,0.0,167489.84,0.0,2.5,1.0,1300.25,0.0,3.0,2681.25,5.25,23.0,3.0,1300.25,0.5,0.0,0.0,0.67,0.0,0.0,0.0,8.67,0.0,1.0,2.0,2.0,0.0,6.0,0.0,0.0,1.0,5.0,0.5,31.0,354.67,0.0,324.0,0.0,0.0,0.0,75.08,5.0,27.0,6.0,0.0,0.0,7.5,0.0,6.5,1.0,0.0,1.5,16.67,0.0,1.0,0.0,12.0,0.0,20.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,1.0,24.0,1.0,0.0,0.0,2.0,2.0,0.0,4.25,0.0,67.33,0.0,52.0,0.0,4.0,6221.75,2.67,0.0,0.0,1824.67,31.5,412.0,0.0,21533.34,213.5,1.0,14756.58,0
