,hsa-miR-152-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3196,hsa-miR-3927-5p,hsa-miR-4448,hsa-miR-484,hsa-miR-518f-3p,hsa-miR-5680,hsa-miR-6833-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6879-5p,hsa-miR-875-5p,Disese Group
sample_01,4.5,946787.48,66046.84,0.0,0.0,0.0,3941.83,5.0,10.0,1.0,8.0,118.0,0.0,0.0,0.0,0
sample_02,6.0,847782.14,85012.09,0.0,0.0,0.0,2396.92,5.5,6.0,2.0,4.25,120.5,0.0,0.0,0.0,0
sample_03,3.5,275491.66,62000.0,0.0,0.0,0.0,423.0,6.0,2.0,2.0,2.5,0.0,1.0,0.0,1.0,0
sample_04,4.5,530011.64,145643.75,0.0,0.0,0.0,660.5,7.0,8.0,4.0,2.5,70.0,0.0,0.0,0.0,0
sample_05,5.5,359830.16,105367.33,0.0,0.0,0.0,631.33,5.0,5.0,2.0,0.5,102.83,0.0,0.0,0.0,0
sample_06,16.0,640622.14,214854.66,0.25,0.0,0.0,1061.17,2.0,15.0,3.0,3.5,80.33,0.0,0.0,0.0,0
sample_07,5.5,523416.98,94839.66,0.0,0.0,0.0,643.83,7.0,8.0,1.0,3.75,68.83,0.5,0.0,0.0,0
sample_08,1.5,479659.48,102961.09,0.0,0.0,0.0,878.42,4.0,13.0,2.0,5.0,1.0,1.0,0.0,0.0,0
sample_09,1.0,464638.14,149609.41,0.0,0.0,0.0,401.08,4.0,6.0,2.0,3.25,108.58,0.0,0.0,1.0,0
sample_10,8.0,388769.98,167489.84,0.0,1.0,0.0,354.67,6.5,9.0,0.0,4.25,67.33,2.0,0.0,0.0,0
sample_11,11.0,480627.32,172346.34,0.0,0.0,0.0,657.08,6.0,8.0,2.0,2.08,172.17,2.0,0.0,0.0,0
sample_12,3.0,427882.82,148707.41,0.0,0.0,0.0,664.08,6.0,7.0,3.5,0.75,118.0,1.0,0.0,0.0,0
sample_13,3.5,406255.16,134614.67,0.0,0.0,0.0,654.67,7.0,2.0,0.0,1.5,56.0,0.0,0.0,0.0,0
sample_14,4.0,415483.32,114161.91,0.0,0.0,0.0,894.17,7.5,7.0,3.0,3.5,115.17,1.0,0.0,0.0,0
sample_15,4.5,762730.98,58985.34,0.25,0.0,0.0,3866.75,1.0,4.0,2.5,4.0,54.83,0.0,0.0,0.0,0
sample_16,4.5,510676.98,131022.0,0.0,0.0,0.0,799.67,7.0,4.0,1.0,3.0,82.33,0.0,0.0,0.0,0
sample_17,6.5,483656.82,155544.34,0.0,0.0,0.0,875.17,4.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0
sample_18,8.0,422444.98,169352.59,0.0,0.0,0.0,410.83,3.5,8.0,4.0,2.5,154.0,1.0,0.0,0.0,0
sample_19,2.5,224900.82,83631.34,0.0,0.0,0.0,430.0,6.0,2.0,5.0,1.0,54.0,0.0,0.0,0.0,0
sample_20,1.5,335039.32,119657.33,0.0,0.0,0.0,496.5,2.0,9.0,0.0,2.0,67.33,2.0,0.0,0.0,0
sample_21,10.0,730758.82,62845.16,0.0,0.0,0.0,2462.17,3.0,5.0,0.0,3.0,41.0,0.0,0.0,0.0,0
sample_22,6.0,984850.64,79757.16,0.0,0.0,0.0,2809.0,0.0,8.0,1.0,5.83,1.0,1.0,0.0,1.0,0
sample_23,5.0,483931.48,86062.34,0.0,0.0,0.0,727.67,8.5,7.0,3.0,4.0,52.67,1.0,0.0,0.0,0
sample_24,10.0,619079.32,126725.59,0.0,0.0,0.0,936.17,8.5,6.0,1.0,3.33,141.08,1.5,0.0,0.0,0
sample_25,11.0,944099.46,292987.41,0.0,0.0,0.0,1230.92,6.0,10.0,9.0,6.25,272.67,2.0,0.0,0.0,0
sample_26,7.0,491347.98,166237.25,0.0,0.0,0.0,404.25,2.0,15.0,1.5,2.0,125.92,0.0,0.0,0.0,0
sample_27,3.0,384780.16,129844.41,0.0,0.0,0.0,856.08,5.0,7.0,2.0,2.0,109.83,2.0,0.0,0.0,0
sample_28,7.0,355511.16,129408.16,0.0,0.0,0.0,545.83,7.0,5.0,7.0,3.75,109.17,2.0,0.0,0.0,0
sample_29,1.0,420312.66,142587.34,0.0,0.0,0.0,415.33,4.0,8.0,2.0,5.08,107.33,0.0,0.0,0.0,0
