,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1225-3p,hsa-miR-125a-3p,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1279,hsa-miR-1290,hsa-miR-1294,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1299,hsa-miR-1469,hsa-miR-147b,hsa-miR-148a-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-2117,hsa-miR-212-3p,hsa-miR-214-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3134,hsa-miR-3184-5p,hsa-miR-3188,hsa-miR-3191-5p,hsa-miR-3606-5p,hsa-miR-3614-3p,hsa-miR-3620-5p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3671,hsa-miR-3689f,hsa-miR-369-3p,hsa-miR-378e,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3914,hsa-miR-3918,hsa-miR-3920,hsa-miR-3925-5p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-3973,hsa-miR-411-3p,hsa-miR-423-3p,hsa-miR-4256,hsa-miR-4258,hsa-miR-4282,hsa-miR-4299,hsa-miR-4306,hsa-miR-4315,hsa-miR-4318,hsa-miR-4464,hsa-miR-4480,hsa-miR-4489,hsa-miR-4496,hsa-miR-449b-3p,hsa-miR-4500,hsa-miR-4510,hsa-miR-4512,hsa-miR-4646-3p,hsa-miR-466,hsa-miR-4662a-3p,hsa-miR-4665-3p,hsa-miR-4694-5p,hsa-miR-4704-3p,hsa-miR-4710,hsa-miR-4718,hsa-miR-4746-5p,hsa-miR-4758-3p,hsa-miR-4758-5p,hsa-miR-4792,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-508-5p,hsa-miR-510-3p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520a-5p,hsa-miR-520b,hsa-miR-525-3p,hsa-miR-545-3p,hsa-miR-548ai,hsa-miR-548aj-3p,hsa-miR-548ap-5p,hsa-miR-548at-3p,hsa-miR-548f-3p,hsa-miR-548h-3p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-550b-3p,hsa-miR-5586-3p,hsa-miR-561-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-6087,hsa-miR-633,hsa-miR-635,hsa-miR-638,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6721-5p,hsa-miR-6791-3p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6829-5p,hsa-miR-6844,hsa-miR-6845-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6874-3p,hsa-miR-6883-3p,hsa-miR-6884-5p,hsa-miR-6889-5p,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7159-3p,hsa-miR-7159-5p,hsa-miR-762,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-8079,hsa-miR-8081,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-887-5p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Disese Group
sample_01,1669011.08,574.75,203795.0,320.33,10.0,98.0,0.0,541.83,361.33,11.0,0.0,0.0,23.0,7.0,16.0,0.0,0.0,10.0,36.0,4.5,1087.84,7335.25,44172.17,13.5,2331.0,12.0,0.0,188.5,19.25,6139.25,31.0,946787.48,304431.83,13.0,66046.84,26638.5,2.0,4540.75,2.0,4.5,0.0,0.0,0.0,14.0,5.0,0.0,0.0,2339.0,0.0,0.33,12.25,21.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,56.5,4540.75,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,23.58,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3941.83,554.5,112.83,19.0,24.33,7.0,1.0,3.0,5.0,1.5,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.5,4.84,4.84,3.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,24.0,7.0,17.0,0.0,4.0,0.0,2.0,0.0,8.0,118.0,0.0,39.0,82.0,10.0,0.0,10.0,8.0,0.0,0.0,0.0,8611.5,12.0,0.0,0.0,812.42,54.5,484.0,34.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,718.0,22.0,42.5,0.0,285.5,504.0,18.0,0.0,0.0,9.0,3.58,18.0,0.0,0.0,17.0,35.0,6.0,1584.5,8932.42,41821.08,21.0,1671.83,13.0,0.0,166.5,23.5,4854.83,29.0,847782.14,381538.08,10.25,85012.09,29650.25,0.0,2089.0,12.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,1443.83,0.0,1.67,10.75,18.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,81.5,2089.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,1.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2396.92,950.0,104.17,7.0,29.33,1.0,0.0,4.5,5.5,0.0,1.0,0.0,4.0,1.5,0.0,0.0,0.0,5.0,0.0,2.0,1.34,1.34,9.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,5.0,23.67,7.0,8.0,1.0,0.0,0.0,0.0,0.0,4.25,120.5,0.0,21.0,38.5,2.0,0.0,4.0,2.0,0.0,0.0,0.0,7670.67,7.67,1.0,0.0,1018.67,29.5,478.0,20.0,34865.66,338.0,10677.92,0
sample_03,548076.06,466.5,42925.42,187.5,4.0,38.83,2.0,248.67,138.0,12.0,0.0,0.0,7.0,1.08,8.0,0.0,0.0,15.0,5.0,3.5,1791.34,7223.08,31285.58,3.0,703.5,2.0,0.0,46.5,1.0,1483.5,29.0,275491.66,213142.33,1.5,62000.0,9832.5,0.0,1055.92,0.0,2.5,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1631.5,0.0,0.5,3.25,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.5,1055.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,1.0,2.83,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,194.0,43.5,5.0,8.0,5.0,1.0,8.5,6.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,3.0,1.0,0.0,9.0,2.34,2.34,1.0,2.0,9.0,2.0,0.33,0.0,0.0,0.0,1.0,23.33,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.5,0.0,1.0,20.0,20.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,3598.83,3.0,0.0,0.0,714.92,8.5,304.25,17.0,10047.66,131.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,313.0,14.0,112.5,2.0,612.5,218.0,28.0,0.0,0.0,18.0,6.25,13.0,0.0,0.0,23.0,16.0,4.5,2992.16,14854.33,69374.42,11.0,1859.0,7.0,0.0,237.0,8.0,7920.0,90.0,530011.64,371335.0,10.75,145643.75,17929.83,2.0,2608.08,1.0,3.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,3426.83,0.0,0.67,5.25,46.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,83.0,2608.08,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,0.0,1.0,16.67,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,660.5,517.0,68.83,17.5,26.0,5.0,0.0,12.0,7.0,2.5,1.5,0.0,7.5,0.0,0.0,0.0,3.0,5.0,0.0,4.5,2.66,2.66,8.0,0.0,16.5,8.0,0.67,0.0,0.0,0.0,9.0,16.5,9.0,10.0,2.0,2.0,1.0,10.0,0.0,2.5,70.0,0.0,34.0,71.0,4.0,1.0,12.0,8.0,0.0,0.0,0.0,6041.67,7.0,0.0,0.0,1874.08,28.5,531.0,33.0,26894.66,235.5,22962.08,0
sample_05,861134.44,1095.5,70847.75,201.5,12.5,105.25,0.0,352.17,168.0,26.0,0.0,0.0,13.5,4.08,2.0,0.33,0.0,15.0,10.0,5.5,1686.84,9567.08,48655.67,20.0,1415.67,16.0,0.0,117.5,0.5,1844.25,80.0,359830.16,257152.5,7.0,105367.33,8693.0,2.0,1712.25,3.0,2.5,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1809.5,0.83,1.67,3.75,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1712.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,14.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,631.33,207.0,46.75,9.0,12.0,1.0,1.0,4.0,5.0,1.0,0.33,0.0,4.83,0.5,0.0,0.0,2.0,6.0,0.0,23.67,1.76,1.76,9.0,0.5,7.5,5.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,7.0,0.0,5.0,1.0,3.0,0.0,0.5,102.83,0.0,39.0,39.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,3874.67,5.67,0.0,0.0,974.17,35.5,378.83,23.0,27283.5,188.5,15186.5,0
sample_06,1259053.95,2136.25,104796.25,391.67,4.0,331.5,0.0,715.08,333.33,30.0,0.0,0.0,14.0,9.08,19.0,0.0,0.0,28.0,9.0,16.0,4467.34,20652.0,79183.42,26.0,2923.83,12.0,0.0,241.5,4.5,3366.5,80.0,640622.14,436607.17,9.0,214854.66,22207.33,1.0,2853.21,0.0,2.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,3539.5,0.25,0.0,8.75,105.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,112.0,2851.21,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33,0.0,0.0,21.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1061.17,504.0,106.33,23.0,23.0,2.0,1.0,13.0,2.0,4.0,0.33,0.0,9.5,0.0,0.0,0.0,1.0,8.0,0.0,26.33,4.0,4.0,26.0,2.5,20.5,15.0,0.0,0.0,0.0,0.0,8.0,15.33,9.0,11.0,1.0,7.0,1.0,0.0,0.0,3.5,80.33,0.0,58.0,63.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,7338.33,7.67,0.0,0.0,1953.5,68.33,635.0,47.0,34321.66,345.5,25745.42,0
sample_07,990696.64,867.25,70851.92,249.0,4.0,141.83,1.0,352.08,276.5,18.0,0.0,0.0,38.0,4.83,5.0,0.0,0.0,19.0,4.0,5.5,2688.34,10316.08,48986.58,7.0,1320.0,17.0,0.0,106.0,2.92,1951.0,74.0,523416.98,322803.42,8.75,94839.66,14147.5,0.0,1622.17,0.0,2.5,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1796.5,0.0,0.0,1.75,36.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,60.5,1622.17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.75,1.0,0.5,11.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,643.83,193.0,55.0,10.0,18.0,1.0,2.0,14.0,7.0,2.5,2.67,0.0,6.17,0.5,0.0,0.0,4.0,3.0,0.0,2.5,2.84,2.84,7.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,4.0,8.92,2.0,6.0,0.0,5.83,0.0,6.0,0.0,3.75,68.83,0.5,28.0,42.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5220.25,3.58,0.0,0.0,996.0,34.75,443.0,8.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,227.33,7.0,102.0,0.0,379.67,235.0,23.5,0.0,0.0,26.0,4.75,6.0,0.0,0.0,11.0,5.0,1.5,1521.0,10544.25,51899.58,9.0,1282.5,11.5,1.0,83.0,1.5,2463.0,43.0,479659.48,320379.58,3.75,102961.09,13321.08,1.0,1570.71,6.0,4.75,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1683.0,0.0,0.33,5.83,22.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,56.5,1570.71,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.5,0.0,0.0,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,878.42,214.0,68.0,10.5,18.0,4.0,1.0,8.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.66,0.0,7.0,1.66,1.66,8.0,0.5,8.0,13.0,0.0,0.0,0.0,0.0,7.0,7.33,0.0,5.0,1.0,6.0,1.0,3.0,0.0,5.0,1.0,1.0,36.0,36.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5222.33,4.67,0.0,0.0,1034.92,28.5,366.0,18.0,22853.5,233.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,288.17,22.5,63.5,1.0,362.58,230.33,44.0,0.0,0.0,34.5,6.83,2.0,0.0,0.0,21.0,10.0,1.0,3230.66,15707.25,57939.33,27.5,1406.5,19.0,0.0,110.5,1.0,3266.75,114.0,464638.14,390478.83,4.5,149609.41,12240.83,0.0,1322.67,1.0,1.5,0.0,4.0,0.0,7.0,5.0,0.0,0.0,1757.5,0.0,0.33,4.08,33.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,56.5,1322.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,12.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,401.08,282.0,87.75,6.0,27.25,2.0,0.0,12.0,4.0,3.0,0.58,0.0,6.5,0.0,0.0,0.0,4.0,6.0,0.0,9.33,1.16,1.16,8.0,2.5,5.5,6.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,3.25,108.58,0.0,39.0,40.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,5462.5,2.33,0.0,0.0,1551.67,29.25,307.0,21.0,26545.5,228.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,268.5,9.0,84.5,1.0,369.0,176.0,23.5,0.0,0.0,7.0,4.67,6.0,0.0,0.0,20.0,8.0,8.0,4060.66,14926.58,65639.33,3.0,1262.17,7.0,2.0,155.67,3.0,2954.5,79.0,388769.98,345757.75,4.5,167489.84,15029.25,0.0,1300.25,1.0,1.5,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2681.25,0.33,0.33,5.25,23.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,63.0,1300.25,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.0,8.67,0.33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,354.67,324.0,75.08,5.0,27.0,0.0,1.0,7.5,6.5,0.0,1.5,0.0,16.67,0.0,0.0,0.0,1.0,6.0,0.0,12.0,3.5,3.0,8.0,1.0,20.0,9.0,0.33,0.0,0.0,0.0,7.0,5.67,1.0,6.0,1.0,1.0,1.5,5.0,0.0,4.25,67.33,2.0,40.0,52.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6221.75,2.67,0.0,0.0,1824.67,31.5,412.0,18.0,21533.34,213.5,14756.58,0
