,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1204,hsa-miR-1224-3p,hsa-miR-1237-5p,hsa-miR-125a-3p,hsa-miR-1271-5p,hsa-miR-1273h-5p,hsa-miR-1279,hsa-miR-1285-3p,hsa-miR-1288-5p,hsa-miR-1294,hsa-miR-1296-3p,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-18b-5p,hsa-miR-1911-3p,hsa-miR-192-5p,hsa-miR-193b-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-19b-2-5p,hsa-miR-2114-3p,hsa-miR-2115-3p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-218-1-3p,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3127-3p,hsa-miR-3129-5p,hsa-miR-3136-3p,hsa-miR-3146,hsa-miR-3164,hsa-miR-3168,hsa-miR-3184-5p,hsa-miR-3186-3p,hsa-miR-3188,hsa-miR-3614-3p,hsa-miR-3620-5p,hsa-miR-3656,hsa-miR-3657,hsa-miR-3663-5p,hsa-miR-3665,hsa-miR-3680-5p,hsa-miR-3681-5p,hsa-miR-3684,hsa-miR-369-3p,hsa-miR-3713,hsa-miR-378e,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3914,hsa-miR-3927-5p,hsa-miR-3938,hsa-miR-3945,hsa-miR-411-3p,hsa-miR-423-3p,hsa-miR-4254,hsa-miR-4273,hsa-miR-4279,hsa-miR-4306,hsa-miR-4420,hsa-miR-4441,hsa-miR-4446-3p,hsa-miR-4453,hsa-miR-4469,hsa-miR-4470,hsa-miR-4474-5p,hsa-miR-4496,hsa-miR-4515,hsa-miR-4526,hsa-miR-4640-5p,hsa-miR-4641,hsa-miR-4646-3p,hsa-miR-4662a-3p,hsa-miR-4676-3p,hsa-miR-4678,hsa-miR-4680-3p,hsa-miR-4692,hsa-miR-4699-5p,hsa-miR-4704-5p,hsa-miR-4720-3p,hsa-miR-4740-3p,hsa-miR-4750-3p,hsa-miR-4773,hsa-miR-4776-5p,hsa-miR-4798-3p,hsa-miR-4798-5p,hsa-miR-4800-3p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-5011-5p,hsa-miR-502-5p,hsa-miR-5092,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520c-3p,hsa-miR-541-5p,hsa-miR-545-3p,hsa-miR-548aq-3p,hsa-miR-548m,hsa-miR-548z,hsa-miR-5579-3p,hsa-miR-5582-3p,hsa-miR-5584-5p,hsa-miR-5586-3p,hsa-miR-567,hsa-miR-5680,hsa-miR-5681a,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-6072,hsa-miR-6084,hsa-miR-624-3p,hsa-miR-634,hsa-miR-6499-5p,hsa-miR-657,hsa-miR-658,hsa-miR-665,hsa-miR-6737-5p,hsa-miR-6743-3p,hsa-miR-6754-5p,hsa-miR-6757-3p,hsa-miR-6764-5p,hsa-miR-6777-3p,hsa-miR-6781-5p,hsa-miR-6789-3p,hsa-miR-6791-3p,hsa-miR-6801-5p,hsa-miR-6804-5p,hsa-miR-6832-5p,hsa-miR-6834-3p,hsa-miR-6850-3p,hsa-miR-6861-3p,hsa-miR-6862-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6876-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-7151-5p,hsa-miR-7161-3p,hsa-miR-762,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-8059,hsa-miR-8084,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-922,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-934,hsa-miR-938,hsa-miR-939-5p,hsa-miR-942-3p,hsa-miR-95-3p,Disese Group
sample_01,1669011.08,574.75,203795.0,320.33,10.0,0.0,98.0,0.0,541.83,361.33,0.0,0.0,0.0,0.0,23.0,1.0,16.0,10.0,4.5,1087.84,7335.25,1.0,2.0,0.0,44172.17,493.0,13.5,2331.0,0.0,1.0,12.0,7.0,188.5,6139.25,7.0,31.0,946787.48,304431.83,13.0,66046.84,26638.5,32.33,3.0,0.0,1.0,6.0,0.33,4540.75,0.0,2.0,0.0,0.0,0.5,1.5,5.0,0.0,3.0,2.0,0.0,2339.0,0.0,0.0,0.33,12.25,21.0,0.0,0.0,5.0,0.0,56.5,4540.75,3.0,0.0,0.0,1.58,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,3.0,5.0,23.58,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,3941.83,554.5,112.83,19.0,0.0,24.33,0.0,0.25,3.0,5.0,0.0,20.0,3.0,0.0,1.5,0.0,1.0,1.0,0.0,3.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,3.0,0.0,26.5,9.5,0.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,8.0,1.0,118.0,39.0,3.0,82.0,0.0,3.0,0.0,0.0,8611.5,12.0,0.0,0.0,812.42,54.5,484.0,0.0,46208.34,364.0,0.0,0.0,2.67,1.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,718.0,22.0,0.0,42.5,0.0,285.5,504.0,0.0,0.0,0.0,0.0,9.0,8.0,18.0,17.0,6.0,1584.5,8932.42,2.0,2.5,0.0,41821.08,179.0,21.0,1671.83,1.0,0.0,13.0,5.0,166.5,4854.83,4.0,29.0,847782.14,381538.08,10.25,85012.09,29650.25,24.33,0.0,0.0,2.0,2.0,0.33,2089.0,0.0,12.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,8.0,2.0,1443.83,0.0,0.0,1.67,10.75,18.0,1.0,0.0,8.0,0.0,81.5,2089.0,5.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,32.0,0.0,2396.92,950.0,104.17,7.0,0.0,29.33,0.0,0.0,4.5,5.5,1.0,16.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0,0.0,6.0,0.5,0.0,5.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,23.67,0.0,0.0,0.0,0.0,15.0,5.5,1.0,1.0,8.0,1.25,0.0,4.0,2.0,0.0,4.25,1.0,120.5,21.0,1.0,38.5,0.0,0.0,0.0,0.0,7670.67,7.67,0.0,0.0,1018.67,29.5,478.0,0.0,34865.66,338.0,0.0,0.0,1.42,1.0,10677.92,0
sample_03,548076.06,466.5,42925.42,187.5,4.0,0.0,38.83,0.0,248.67,138.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,15.0,3.5,1791.34,7223.08,0.0,1.5,0.0,31285.58,178.0,3.0,703.5,1.0,0.0,2.0,9.0,46.5,1483.5,1.0,29.0,275491.66,213142.33,1.5,62000.0,9832.5,8.0,3.0,0.0,1.0,1.0,0.0,1055.92,0.0,0.0,1.0,0.0,0.5,3.0,3.0,0.0,0.0,6.0,2.0,1631.5,0.0,0.0,0.5,3.25,33.0,0.0,0.0,1.0,0.0,38.5,1055.92,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,6.0,2.0,1.0,2.83,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,423.0,194.0,43.5,5.0,0.0,8.0,0.0,0.0,8.5,6.0,0.0,4.0,3.5,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,23.33,0.0,0.0,0.0,1.0,4.0,2.5,0.0,0.5,3.0,0.0,0.0,2.5,1.0,0.0,2.5,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,3598.83,3.0,0.0,0.0,714.92,8.5,304.25,0.0,10047.66,131.0,0.0,0.0,1.33,0.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,313.0,14.0,0.0,112.5,0.0,612.5,218.0,0.0,0.0,0.0,0.0,18.0,1.0,13.0,23.0,4.5,2992.16,14854.33,0.0,1.0,0.0,69374.42,352.0,11.0,1859.0,0.0,4.0,7.0,16.0,237.0,7920.0,7.0,90.0,530011.64,371335.0,10.75,145643.75,17929.83,7.5,2.0,0.0,1.0,1.0,0.0,2608.08,2.0,1.0,0.0,0.0,0.75,0.0,5.0,0.0,1.0,10.0,0.0,3426.83,0.0,0.0,0.67,5.25,46.0,0.0,0.0,3.0,0.0,83.0,2608.08,4.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,2.0,16.67,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,28.0,0.0,660.5,517.0,68.83,17.5,0.0,26.0,0.0,0.0,12.0,7.0,1.5,4.0,7.5,0.0,4.5,0.0,1.0,0.0,1.0,8.0,0.0,8.0,0.0,5.0,5.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,16.5,0.0,4.0,1.0,0.0,29.5,10.0,0.0,1.0,10.0,1.0,0.0,17.5,0.0,0.0,2.5,1.0,70.0,34.0,0.0,71.0,0.0,0.0,0.0,0.0,6041.67,7.0,0.0,0.0,1874.08,28.5,531.0,0.0,26894.66,235.5,2.0,0.0,1.0,0.0,22962.08,0
sample_05,861134.44,1095.5,70847.75,201.5,12.5,0.0,105.25,0.0,352.17,168.0,0.0,0.0,0.0,0.0,13.5,2.0,2.0,15.0,5.5,1686.84,9567.08,0.0,1.5,0.0,48655.67,224.5,20.0,1415.67,0.0,3.0,16.0,12.0,117.5,1844.25,13.0,80.0,359830.16,257152.5,7.0,105367.33,8693.0,6.0,3.0,1.0,1.0,1.0,0.33,1712.25,0.0,3.0,0.0,0.0,0.0,3.5,8.0,0.0,0.0,4.0,4.0,1809.5,0.0,0.83,1.67,3.75,41.0,0.0,0.0,0.0,0.0,42.0,1712.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,14.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,20.0,0.0,631.33,207.0,46.75,9.0,0.0,12.0,0.0,0.0,4.0,5.0,0.33,5.0,4.83,0.0,23.67,0.0,1.0,1.0,2.0,9.0,0.0,5.0,0.0,3.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.5,7.0,0.0,0.0,9.0,1.0,0.0,0.5,0.0,102.83,39.0,0.0,39.0,0.0,0.0,0.0,0.0,3874.67,5.67,0.0,0.0,974.17,35.5,378.83,0.0,27283.5,188.5,1.0,0.0,0.33,0.0,15186.5,0
sample_06,1259053.95,2136.25,104796.25,391.67,4.0,0.0,331.5,0.0,715.08,333.33,0.0,0.0,0.0,0.0,14.0,4.0,19.0,28.0,16.0,4467.34,20652.0,2.0,2.5,0.0,79183.42,678.0,26.0,2923.83,0.0,1.0,12.0,19.0,241.5,3366.5,21.0,80.0,640622.14,436607.17,9.0,214854.66,22207.33,27.0,3.0,0.0,1.0,2.0,0.0,2853.21,0.0,0.0,3.0,0.0,0.25,5.5,12.0,0.0,1.0,9.0,2.0,3539.5,0.0,0.25,0.0,8.75,105.0,1.0,0.0,2.0,0.0,112.0,2851.21,6.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,19.5,1.0,3.0,21.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.34,5.0,32.0,0.33,1061.17,504.0,106.33,23.0,0.0,23.0,0.0,0.0,13.0,2.0,0.33,11.0,9.5,0.0,26.33,0.0,7.0,2.0,0.0,26.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,15.33,0.0,0.0,0.0,0.0,28.0,8.0,0.0,3.0,11.0,1.0,0.0,7.0,0.0,1.0,3.5,3.0,80.33,58.0,0.0,63.0,0.0,2.0,0.0,0.0,7338.33,7.67,0.0,0.0,1953.5,68.33,635.0,0.0,34321.66,345.5,0.0,0.0,2.0,3.0,25745.42,0
sample_07,990696.64,867.25,70851.92,249.0,4.0,0.0,141.83,0.0,352.08,276.5,0.0,0.0,0.0,0.0,38.0,0.0,5.0,19.0,5.5,2688.34,10316.08,1.0,0.0,0.0,48986.58,306.0,7.0,1320.0,0.0,0.0,17.0,7.0,106.0,1951.0,8.0,74.0,523416.98,322803.42,8.75,94839.66,14147.5,6.5,1.0,0.0,1.0,1.0,0.0,1622.17,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1796.5,0.0,0.0,0.0,1.75,36.0,0.0,0.0,3.0,0.0,60.5,1622.17,7.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,11.17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,643.83,193.0,55.0,10.0,0.0,18.0,0.0,0.0,14.0,7.0,2.67,5.0,6.17,0.0,2.5,0.0,1.0,1.0,0.0,7.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,3.5,0.0,0.0,0.0,3.0,8.92,0.0,0.0,1.0,0.0,18.0,4.0,0.0,1.0,6.0,0.0,0.0,4.0,3.5,0.0,3.75,2.0,68.83,28.0,0.0,42.0,0.0,0.0,0.0,0.0,5220.25,3.58,0.0,0.0,996.0,34.75,443.0,0.0,20146.16,188.0,3.0,1.0,0.33,0.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,227.33,7.0,0.0,102.0,0.0,379.67,235.0,0.0,0.0,0.0,0.0,26.0,1.0,6.0,11.0,1.5,1521.0,10544.25,0.0,1.0,0.0,51899.58,218.0,9.0,1282.5,0.0,0.0,11.5,8.0,83.0,2463.0,9.0,43.0,479659.48,320379.58,3.75,102961.09,13321.08,15.0,0.0,0.0,2.0,5.0,0.0,1570.71,0.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,1683.0,0.0,0.0,0.33,5.83,22.0,0.0,0.0,5.0,0.0,56.5,1570.71,5.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,5.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,17.0,0.0,878.42,214.0,68.0,10.5,0.0,18.0,0.0,0.0,8.0,4.0,0.0,9.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,8.0,0.0,13.0,0.0,7.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,7.33,0.0,0.0,1.0,0.0,18.0,5.0,0.0,2.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,5222.33,4.67,0.0,0.0,1034.92,28.5,366.0,0.0,22853.5,233.0,1.0,0.0,1.83,0.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,288.17,22.5,0.0,63.5,0.0,362.58,230.33,0.0,0.0,0.0,0.0,34.5,2.0,2.0,21.0,1.0,3230.66,15707.25,1.0,2.0,0.0,57939.33,255.0,27.5,1406.5,0.0,1.0,19.0,16.0,110.5,3266.75,7.0,114.0,464638.14,390478.83,4.5,149609.41,12240.83,4.0,0.0,0.0,0.0,6.0,0.0,1322.67,0.0,1.0,4.0,0.0,0.0,3.0,5.0,0.0,2.0,4.0,3.0,1757.5,0.0,0.0,0.33,4.08,33.0,0.0,0.0,2.0,0.0,56.5,1322.67,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,7.0,1.0,3.0,12.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,19.0,0.0,401.08,282.0,87.75,6.0,0.0,27.25,0.0,0.0,12.0,4.0,0.58,6.0,6.5,0.0,9.33,0.0,2.0,2.0,1.0,8.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0,3.0,0.0,3.25,1.0,108.58,39.0,0.0,40.0,0.0,0.0,0.0,0.0,5462.5,2.33,0.0,0.0,1551.67,29.25,307.0,0.0,26545.5,228.0,0.0,0.0,3.5,1.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,268.5,9.0,0.0,84.5,0.0,369.0,176.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,20.0,8.0,4060.66,14926.58,0.0,1.5,0.0,65639.33,268.0,3.0,1262.17,0.0,2.0,7.0,15.0,155.67,2954.5,8.0,79.0,388769.98,345757.75,4.5,167489.84,15029.25,11.0,0.0,0.0,1.0,0.0,0.33,1300.25,2.0,1.0,0.0,0.0,0.25,7.5,4.0,0.0,0.0,3.0,4.0,2681.25,0.0,0.33,0.33,5.25,23.0,2.0,1.0,1.0,0.0,63.0,1300.25,5.0,0.0,0.0,1.08,0.0,0.0,2.0,0.33,2.0,11.0,0.0,0.0,0.0,4.0,0.5,2.0,8.67,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,354.67,324.0,75.08,5.0,0.0,27.0,0.0,0.0,7.5,6.5,1.5,0.0,16.67,0.0,12.0,0.0,2.0,0.0,0.0,8.0,0.0,9.0,0.0,1.0,10.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0,6.0,0.0,0.0,8.0,1.0,0.0,4.25,1.0,67.33,40.0,0.0,52.0,0.0,0.0,0.0,0.0,6221.75,2.67,0.0,0.0,1824.67,31.5,412.0,0.0,21533.34,213.5,0.0,0.0,0.0,1.0,14756.58,0
