,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-1,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1182,hsa-miR-1184,hsa-miR-1204,hsa-miR-1224-3p,hsa-miR-1231,hsa-miR-1252-3p,hsa-miR-125a-3p,hsa-miR-1260b,hsa-miR-1261,hsa-miR-1269b,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1292-3p,hsa-miR-1294,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-140-5p,hsa-miR-1470,hsa-miR-147b,hsa-miR-148a-5p,hsa-miR-148b-3p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-192-5p,hsa-miR-193b-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-1972,hsa-miR-19b-2-5p,hsa-miR-200b-5p,hsa-miR-208a-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-2392,hsa-miR-24-2-5p,hsa-miR-26a-5p,hsa-miR-2861,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3138,hsa-miR-3139,hsa-miR-3150a-5p,hsa-miR-3150b-3p,hsa-miR-3168,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3188,hsa-miR-3619-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3681-5p,hsa-miR-3689a-5p,hsa-miR-3689f,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3907,hsa-miR-3922-5p,hsa-miR-3938,hsa-miR-423-3p,hsa-miR-4254,hsa-miR-4270,hsa-miR-4271,hsa-miR-4304,hsa-miR-431-5p,hsa-miR-4431,hsa-miR-4445-5p,hsa-miR-4449,hsa-miR-4466,hsa-miR-4470,hsa-miR-4477a,hsa-miR-4479,hsa-miR-4526,hsa-miR-4537,hsa-miR-4538,hsa-miR-4640-5p,hsa-miR-4642,hsa-miR-4646-3p,hsa-miR-4675,hsa-miR-4676-5p,hsa-miR-4680-3p,hsa-miR-4682,hsa-miR-4688,hsa-miR-4699-3p,hsa-miR-4708-5p,hsa-miR-4713-3p,hsa-miR-4714-5p,hsa-miR-4716-3p,hsa-miR-4723-3p,hsa-miR-4724-5p,hsa-miR-4725-3p,hsa-miR-4745-3p,hsa-miR-4746-5p,hsa-miR-4757-3p,hsa-miR-4770,hsa-miR-4772-3p,hsa-miR-4783-5p,hsa-miR-4798-5p,hsa-miR-483-3p,hsa-miR-484,hsa-miR-493-3p,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-500b-5p,hsa-miR-502-5p,hsa-miR-504-3p,hsa-miR-510-3p,hsa-miR-511-5p,hsa-miR-515-3p,hsa-miR-5189-3p,hsa-miR-5189-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-518f-5p,hsa-miR-520b,hsa-miR-520c-3p,hsa-miR-520c-5p,hsa-miR-520h,hsa-miR-527,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ad,hsa-miR-548ah-3p,hsa-miR-548m,hsa-miR-548u,hsa-miR-550a-5p,hsa-miR-5582-5p,hsa-miR-5587-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5690,hsa-miR-5692c,hsa-miR-5698,hsa-miR-579-5p,hsa-miR-604,hsa-miR-6085,hsa-miR-6124,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6722-3p,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6777-3p,hsa-miR-6781-5p,hsa-miR-6789-3p,hsa-miR-6795-3p,hsa-miR-6804-5p,hsa-miR-6810-3p,hsa-miR-6818-5p,hsa-miR-6824-5p,hsa-miR-6826-5p,hsa-miR-6835-5p,hsa-miR-6836-3p,hsa-miR-6846-3p,hsa-miR-6846-5p,hsa-miR-6847-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6883-3p,hsa-miR-6892-3p,hsa-miR-7150,hsa-miR-7157-5p,hsa-miR-7515,hsa-miR-769-3p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7855-5p,hsa-miR-7975,hsa-miR-7976,hsa-miR-8060,hsa-miR-8079,hsa-miR-8081,hsa-miR-8082,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-921,hsa-miR-92a-2-5p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Disese Group
sample_01,1669011.08,574.75,203795.0,87461.84,320.33,10.0,7453.5,0.0,0.0,0.0,98.0,0.0,4.0,541.83,1.0,0.0,0.0,361.33,11.0,0.0,23.0,7.0,16.0,4788.5,0.0,10.0,36.0,37803.33,4.5,1087.84,6.0,2661549.42,7335.25,2.0,44172.17,493.0,13.5,2331.0,0.0,0.0,15.0,1.0,7.0,188.5,6139.25,31.0,0.0,3.0,946787.48,0.0,304431.83,13.0,66046.84,26638.5,4.5,1.0,2.5,2.5,0.33,2.0,4540.75,2.0,0.0,14.0,5.0,2.0,0.0,0.0,2339.0,0.33,12.25,21.0,0.0,0.0,5.0,4540.75,3.0,0.0,0.0,0.0,369.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,23.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.5,3.5,0.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,24.0,10.83,3941.83,529.17,554.5,112.83,19.0,112.33,24.33,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.5,0.0,4.84,0.0,2.0,2.0,10.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,24.0,0.0,2.0,0.0,9.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,8.0,118.0,39.0,82.0,0.0,0.0,8.0,0.0,1729.0,8611.5,12.0,4.0,0.0,13.25,0.0,0.0,0.0,0.0,812.42,54.5,484.0,1.0,0.0,1.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,85077.84,718.0,22.0,3570.33,0.0,0.0,0.0,42.5,2.0,7.0,285.5,0.0,0.0,0.0,504.0,18.0,0.0,9.0,3.58,18.0,5218.5,0.0,17.0,35.0,39631.67,6.0,1584.5,10.0,1812448.25,8932.42,2.5,41821.08,179.0,21.0,1671.83,0.0,1.0,13.0,0.0,5.0,166.5,4854.83,29.0,0.0,9.0,847782.14,0.0,381538.08,10.25,85012.09,29650.25,4.0,0.0,4.5,4.5,0.33,0.0,2089.0,12.0,0.0,4.0,6.0,8.0,0.0,0.0,1443.83,1.67,10.75,18.0,0.0,0.0,8.0,2089.0,5.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,4.0,0.33,2.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,32.0,2.0,2396.92,299.33,950.0,104.17,7.0,103.83,29.33,0.0,0.0,3.0,0.0,1.0,0.0,4.5,5.5,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,1.34,0.0,0.0,11.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,23.67,0.0,0.0,0.0,5.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.25,120.5,21.0,38.5,0.0,0.0,2.0,0.0,847.5,7670.67,7.67,0.0,0.0,19.0,0.0,1.0,0.0,0.0,1018.67,29.5,478.0,1.0,0.0,0.0,34865.66,338.0,10677.92,0
sample_03,548076.06,466.5,42925.42,69790.5,187.5,4.0,1271.0,0.0,0.0,0.0,38.83,0.0,5.5,248.67,0.0,0.0,0.0,138.0,12.0,0.0,7.0,1.08,8.0,4019.5,0.0,15.0,5.0,29855.92,3.5,1791.34,9.0,713226.75,7223.08,1.5,31285.58,178.0,3.0,703.5,0.0,1.0,6.0,0.0,9.0,46.5,1483.5,29.0,0.0,0.0,275491.66,0.0,213142.33,1.5,62000.0,9832.5,0.0,2.0,1.0,1.0,0.0,1.0,1055.92,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1631.5,0.5,3.25,33.0,0.0,0.0,1.0,1055.92,2.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,5.0,0.33,0.0,6.0,0.0,0.0,2.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,2.0,423.0,264.83,194.0,43.5,5.0,43.5,8.0,0.0,1.0,1.0,1.0,1.0,0.0,8.5,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,0.0,0.0,0.0,9.0,0.0,2.34,0.0,0.0,9.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,23.33,0.0,1.0,0.0,2.5,0.0,0.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.5,0.0,20.0,20.0,0.0,0.0,3.0,0.0,652.33,3598.83,3.0,1.0,0.0,24.33,0.0,0.0,0.0,0.0,714.92,8.5,304.25,1.0,0.0,0.0,10047.66,131.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,111887.5,313.0,14.0,3661.0,0.0,0.99,0.0,112.5,0.0,9.0,612.5,0.0,0.0,0.0,218.0,28.0,0.0,18.0,6.25,13.0,8856.0,0.0,23.0,16.0,51752.25,4.5,2992.16,8.0,1304388.33,14854.33,1.0,69374.42,352.0,11.0,1859.0,0.0,0.0,16.0,0.0,16.0,237.0,7920.0,90.0,0.0,2.0,530011.64,0.0,371335.0,10.75,145643.75,17929.83,5.0,1.0,2.5,2.5,0.0,4.0,2608.08,1.0,0.0,6.0,5.0,10.0,0.0,0.0,3426.83,0.67,5.25,46.0,1.0,0.0,3.0,2608.08,4.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,16.67,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.83,7.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,28.0,1.67,660.5,449.83,517.0,68.83,17.5,68.83,26.0,0.0,0.0,3.0,2.0,2.0,0.0,12.0,7.0,0.0,1.5,1.5,0.0,1.5,0.33,7.5,0.0,0.0,0.0,4.5,1.0,2.66,0.0,1.0,16.5,8.0,5.0,0.0,16.0,5.0,0.0,0.0,0.5,9.0,16.5,0.0,5.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,7.5,0.0,0.0,2.0,0.0,6.0,2.5,70.0,34.0,71.0,0.0,0.0,8.0,0.0,1135.0,6041.67,7.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1874.08,28.5,531.0,0.0,0.0,2.0,26894.66,235.5,22962.08,0
sample_05,861134.44,1095.5,70847.75,52844.16,201.5,12.5,3231.5,0.0,0.0,0.0,105.25,0.0,6.0,352.17,1.5,0.0,0.0,168.0,26.0,0.0,13.5,4.08,2.0,6343.5,0.0,15.0,10.0,40828.67,5.5,1686.84,5.0,1191685.42,9567.08,1.5,48655.67,224.5,20.0,1415.67,0.0,0.0,6.0,0.0,12.0,117.5,1844.25,80.0,0.0,0.0,359830.16,0.0,257152.5,7.0,105367.33,8693.0,2.0,0.0,0.5,0.5,0.33,1.0,1712.25,3.0,2.0,1.0,8.0,4.0,0.0,0.0,1809.5,1.67,3.75,41.0,0.0,0.0,0.0,1712.25,3.0,0.0,0.0,0.0,66.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.5,4.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,20.0,3.33,631.33,328.33,207.0,46.75,9.0,46.75,12.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,5.0,0.0,0.33,0.33,0.0,0.0,0.33,4.83,0.0,0.0,0.0,23.67,0.0,1.76,0.0,0.0,7.5,5.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,0.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.5,102.83,39.0,39.0,0.0,0.0,6.0,0.0,804.33,3874.67,5.67,0.0,0.0,32.5,0.0,0.0,0.0,0.0,974.17,35.5,378.83,0.0,0.0,0.0,27283.5,188.5,15186.5,0
sample_06,1259053.95,2136.25,104796.25,113963.66,391.67,4.0,4389.5,0.0,0.0,0.0,331.5,2.0,15.0,715.08,1.0,0.0,0.0,333.33,30.0,0.0,14.0,9.08,19.0,11580.0,0.0,28.0,9.0,64516.67,16.0,4467.34,12.0,1477362.17,20652.0,2.5,79183.42,678.0,26.0,2923.83,0.0,0.0,18.0,0.0,19.0,241.5,3366.5,80.0,0.0,1.0,640622.14,0.0,436607.17,9.0,214854.66,22207.33,3.5,1.0,2.5,2.5,0.0,1.0,2853.21,0.0,0.0,1.0,12.0,9.0,0.33,0.0,3539.5,0.0,8.75,105.0,0.0,0.0,2.0,2851.21,6.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,19.5,0.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.58,10.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,32.0,7.5,1061.17,613.83,504.0,106.33,23.0,105.83,23.0,1.0,1.0,6.0,2.0,0.0,0.0,13.0,2.0,0.0,0.33,0.33,0.0,2.5,0.0,9.5,0.0,0.0,0.0,26.33,0.0,4.0,0.0,0.0,20.5,15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,15.33,0.0,4.0,0.0,8.0,0.0,3.0,1.0,0.0,7.0,5.0,0.0,5.0,0.0,1.0,5.0,0.0,4.0,3.5,80.33,58.0,63.0,0.0,0.0,8.0,0.0,1759.0,7338.33,7.67,2.0,0.0,38.33,0.0,0.0,0.0,0.0,1953.5,68.33,635.0,0.0,0.0,1.0,34321.66,345.5,25745.42,0
sample_07,990696.64,867.25,70851.92,83633.16,249.0,4.0,2431.0,0.0,0.0,0.0,141.83,2.0,5.0,352.08,0.83,0.0,0.33,276.5,18.0,0.0,38.0,4.83,5.0,5990.0,0.0,19.0,4.0,48064.33,5.5,2688.34,11.0,1486168.0,10316.08,0.0,48986.58,306.0,7.0,1320.0,0.0,0.0,13.0,0.0,7.0,106.0,1951.0,74.0,0.0,5.0,523416.98,0.0,322803.42,8.75,94839.66,14147.5,6.0,0.0,4.0,4.0,0.0,2.0,1622.17,0.0,0.0,5.0,2.0,5.0,0.0,0.0,1796.5,0.0,1.75,36.0,0.0,0.0,3.0,1622.17,7.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,5.5,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,28.0,1.83,643.83,244.17,193.0,55.0,10.0,54.5,18.0,0.0,2.0,4.0,5.0,0.0,0.0,14.0,7.0,0.0,2.67,2.67,0.25,0.5,0.33,6.17,0.0,0.0,0.0,2.5,0.0,2.84,0.0,0.0,12.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,8.92,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,5.83,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.75,68.83,28.0,42.0,0.0,0.0,5.0,0.0,1173.5,5220.25,3.58,0.0,0.0,26.0,0.0,0.0,0.0,0.0,996.0,34.75,443.0,0.0,0.0,0.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,55278.34,227.33,7.0,2709.0,0.0,0.0,0.0,102.0,0.0,9.5,379.67,0.0,0.0,2.42,235.0,23.5,1.0,26.0,4.75,6.0,5144.0,0.0,11.0,5.0,45327.0,1.5,1521.0,11.0,1555845.58,10544.25,1.0,51899.58,218.0,9.0,1282.5,0.0,0.0,10.0,0.0,8.0,83.0,2463.0,43.0,0.0,5.0,479659.48,0.0,320379.58,3.75,102961.09,13321.08,1.0,1.0,2.5,2.5,0.0,1.5,1570.71,6.0,0.0,0.0,3.0,3.0,0.0,0.0,1683.0,0.33,5.83,22.0,0.0,0.0,5.0,1570.71,5.0,0.0,0.0,0.0,105.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,17.0,4.5,878.42,346.5,214.0,68.0,10.5,68.0,18.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.33,2.0,0.0,0.0,0.0,7.0,0.0,1.66,0.0,0.0,8.0,13.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,7.33,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,6.0,3.0,0.0,1.5,0.0,0.0,1.0,0.0,1.0,5.0,1.0,36.0,36.0,0.0,0.0,1.0,0.0,880.0,5222.33,4.67,2.0,0.0,18.0,0.0,0.0,0.0,0.0,1034.92,28.5,366.0,0.0,0.0,1.0,22853.5,233.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,59918.34,288.17,22.5,2480.5,0.0,0.0,0.0,63.5,3.0,14.0,362.58,0.0,0.0,0.0,230.33,44.0,3.0,34.5,6.83,2.0,6855.33,0.0,21.0,10.0,47599.0,1.0,3230.66,14.0,1346781.17,15707.25,2.0,57939.33,255.0,27.5,1406.5,0.0,0.0,5.0,0.0,16.0,110.5,3266.75,114.0,0.0,1.0,464638.14,0.0,390478.83,4.5,149609.41,12240.83,3.0,0.0,2.5,2.5,0.0,0.0,1322.67,1.0,0.0,7.0,5.0,4.0,0.0,0.0,1757.5,0.33,4.08,33.0,0.0,0.0,2.0,1322.67,4.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,15.0,1.25,1.0,7.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,19.0,7.67,401.08,267.83,282.0,87.75,6.0,87.75,27.25,0.0,0.0,6.0,2.0,0.0,0.0,12.0,4.0,0.0,0.58,0.58,0.0,0.5,0.33,6.5,0.0,0.0,0.0,9.33,0.0,1.16,0.0,0.0,5.5,6.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.25,108.58,39.0,40.0,0.0,0.0,5.0,0.0,573.0,5462.5,2.33,1.0,0.0,50.5,0.0,0.0,0.0,0.0,1551.67,29.25,307.0,0.0,0.0,1.0,26545.5,228.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,76133.5,268.5,9.0,2130.0,0.0,0.0,0.0,84.5,0.0,18.0,369.0,0.0,0.0,0.0,176.0,23.5,0.0,7.0,4.67,6.0,7212.5,0.0,20.0,8.0,43843.17,8.0,4060.66,14.0,1081478.0,14926.58,1.5,65639.33,268.0,3.0,1262.17,0.0,0.0,7.0,0.0,15.0,155.67,2954.5,79.0,0.0,3.0,388769.98,0.0,345757.75,4.5,167489.84,15029.25,1.0,0.0,2.5,2.5,0.33,1.0,1300.25,1.0,1.0,4.0,4.0,3.0,0.0,0.0,2681.25,0.33,5.25,23.0,0.0,0.0,1.0,1300.25,5.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,11.0,0.33,1.0,4.0,0.0,0.0,0.5,0.0,8.67,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,31.0,5.0,354.67,363.83,324.0,75.08,5.0,74.33,27.0,0.0,1.0,1.0,0.0,1.0,0.0,7.5,6.5,0.0,1.5,1.5,0.0,1.0,0.33,16.67,0.0,2.0,0.0,12.0,0.0,3.5,0.0,0.0,20.0,9.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,7.0,5.67,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.5,0.0,0.0,2.0,0.0,5.0,4.25,67.33,40.0,52.0,0.0,0.0,4.0,0.0,803.58,6221.75,2.67,2.0,0.0,33.75,0.0,0.0,0.0,0.0,1824.67,31.5,412.0,1.0,0.0,0.0,21533.34,213.5,14756.58,0
