,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-1184,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-1343-5p,hsa-miR-1469,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-302f,hsa-miR-30c-5p,hsa-miR-3138,hsa-miR-3168,hsa-miR-3682-5p,hsa-miR-3689b-3p,hsa-miR-378f,hsa-miR-4291,hsa-miR-4458,hsa-miR-4537,hsa-miR-4662a-3p,hsa-miR-4666b,hsa-miR-4747-3p,hsa-miR-4773,hsa-miR-4777-3p,hsa-miR-484,hsa-miR-5007-5p,hsa-miR-5089-3p,hsa-miR-5100,hsa-miR-515-3p,hsa-miR-518c-3p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-5692a,hsa-miR-579-5p,hsa-miR-593-3p,hsa-miR-6072,hsa-miR-619-5p,hsa-miR-631,hsa-miR-6500-5p,hsa-miR-6502-3p,hsa-miR-665,hsa-miR-6740-5p,hsa-miR-675-5p,hsa-miR-6778-3p,hsa-miR-6787-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-7702,hsa-miR-7974,hsa-miR-8067,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,203795.0,0.0,361.33,16.0,0.0,0.0,4.5,1087.84,7335.25,2.0,2331.0,6139.25,946787.48,0.0,66046.84,4.5,0.33,1.0,0.0,0.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3941.83,0.0,1.0,0.25,1.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.5,0.0,0.0,8.0,118.0,0.0,0.0,0.0,54.5,484.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,120300.83,0.0,504.0,18.0,0.0,0.0,6.0,1584.5,8932.42,2.5,1671.83,4854.83,847782.14,0.0,85012.09,4.0,0.33,1.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.92,0.0,0.0,0.0,0.0,4.5,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67,0.0,0.0,0.0,0.0,4.25,120.5,0.0,0.0,0.0,29.5,478.0,34865.66,338.0,10677.92,0
sample_03,548076.06,42925.42,0.0,138.0,8.0,0.0,0.0,3.5,1791.34,7223.08,1.5,703.5,1483.5,275491.66,0.0,62000.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,423.0,0.0,0.0,0.0,1.0,8.5,0.0,3.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,8.5,304.25,10047.66,131.0,9154.0,0
sample_04,1193248.35,96194.33,0.99,218.0,13.0,1.0,0.0,4.5,2992.16,14854.33,1.0,1859.0,7920.0,530011.64,0.0,145643.75,5.0,0.0,3.0,0.0,0.67,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,660.5,0.0,0.0,0.0,2.0,12.0,1.5,7.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1.0,1.0,3.0,0.0,2.5,70.0,0.0,0.0,0.0,28.5,531.0,26894.66,235.5,22962.08,0
sample_05,861134.44,70847.75,0.0,168.0,2.0,0.0,0.0,5.5,1686.84,9567.08,1.5,1415.67,1844.25,359830.16,0.0,105367.33,2.0,0.33,0.0,0.0,1.67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,631.33,0.0,1.0,0.0,1.0,4.0,0.33,4.83,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.5,102.83,0.0,0.0,0.0,35.5,378.83,27283.5,188.5,15186.5,0
sample_06,1259053.95,104796.25,0.0,333.33,19.0,0.5,0.0,16.0,4467.34,20652.0,2.5,2923.83,3366.5,640622.14,0.0,214854.66,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1061.17,0.0,1.0,0.0,2.0,13.0,0.33,9.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33,1.0,1.0,2.0,0.0,3.5,80.33,0.0,0.0,0.0,68.33,635.0,34321.66,345.5,25745.42,0
sample_07,990696.64,70851.92,0.0,276.5,5.0,0.0,0.0,5.5,2688.34,10316.08,0.0,1320.0,1951.0,523416.98,0.0,94839.66,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,643.83,0.0,1.0,0.0,5.0,14.0,2.67,6.17,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,0.0,0.0,3.75,68.83,0.0,0.0,0.0,34.75,443.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,78622.17,0.0,235.0,6.0,0.0,0.0,1.5,1521.0,10544.25,1.0,1282.5,2463.0,479659.48,0.0,102961.09,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,878.42,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,1.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,28.5,366.0,22853.5,233.0,14239.5,0
sample_09,813145.02,66994.0,0.0,230.33,2.0,0.0,0.0,1.0,3230.66,15707.25,2.0,1406.5,3266.75,464638.14,0.0,149609.41,3.0,0.0,2.0,0.0,0.33,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,401.08,0.0,1.0,0.0,2.0,12.0,0.58,6.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,3.25,108.58,0.0,0.0,0.0,29.25,307.0,26545.5,228.0,16008.17,0
sample_10,680177.42,60425.25,0.0,176.0,6.0,0.0,0.0,8.0,4060.66,14926.58,1.5,1262.17,2954.5,388769.98,0.0,167489.84,1.0,0.33,1.0,0.0,0.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,354.67,0.0,2.0,0.0,0.0,7.5,1.5,16.67,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,1.0,0.0,2.0,0.0,4.25,67.33,0.0,0.0,0.0,31.5,412.0,21533.34,213.5,14756.58,0
