,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10b-3p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-193a-3p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23a-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3159,hsa-miR-3621,hsa-miR-369-3p,hsa-miR-383-3p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-4304,hsa-miR-4314,hsa-miR-4316,hsa-miR-4321,hsa-miR-4455,hsa-miR-4476,hsa-miR-4490,hsa-miR-4500,hsa-miR-4659a-5p,hsa-miR-4679,hsa-miR-4687-3p,hsa-miR-4740-3p,hsa-miR-4742-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-518c-3p,hsa-miR-525-3p,hsa-miR-527,hsa-miR-548as-5p,hsa-miR-548b-5p,hsa-miR-5580-3p,hsa-miR-5584-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5693,hsa-miR-5694,hsa-miR-620,hsa-miR-649,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6764-5p,hsa-miR-6791-5p,hsa-miR-6801-5p,hsa-miR-6829-3p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-711,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7704,hsa-miR-8082,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,203795.0,1.0,361.33,16.0,4.5,1087.84,7335.25,1.0,13.5,2331.0,12.0,188.5,6139.25,2.0,946787.48,66046.84,5.0,0.0,2339.0,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,2.0,7.0,30.0,3941.83,0.0,554.5,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,5.0,24.0,2.0,0.0,26.5,0.0,1.0,0.0,8.0,6.0,118.0,82.0,0.0,0.0,10.0,8.0,12.0,0.0,54.5,484.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,120300.83,0.0,504.0,18.0,6.0,1584.5,8932.42,3.0,21.0,1671.83,13.0,166.5,4854.83,1.5,847782.14,85012.09,3.0,0.0,1443.83,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,0.5,0.0,0.0,6.0,23.0,2396.92,0.0,950.0,4.5,0.0,0.0,0.0,0.0,1.0,1.0,11.0,6.0,0.0,2.0,0.0,0.0,5.0,23.67,0.0,0.0,15.0,0.0,1.25,0.0,4.25,0.0,120.5,38.5,0.0,0.0,4.0,2.0,7.67,0.0,29.5,478.0,34865.66,338.0,10677.92,0
sample_03,548076.06,42925.42,1.0,138.0,8.0,3.5,1791.34,7223.08,1.0,3.0,703.5,2.0,46.5,1483.5,2.0,275491.66,62000.0,1.0,0.0,1631.5,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,8.0,423.0,0.0,194.0,8.5,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,23.33,1.0,0.0,4.0,0.0,0.0,0.0,2.5,0.0,0.0,20.0,0.0,0.0,1.0,3.0,3.0,0.0,8.5,304.25,10047.66,131.0,9154.0,0
sample_04,1193248.35,96194.33,0.0,218.0,13.0,4.5,2992.16,14854.33,5.0,11.0,1859.0,7.0,237.0,7920.0,7.0,530011.64,145643.75,1.0,0.0,3426.83,46.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,0.5,1.0,0.0,5.0,15.0,660.5,0.0,517.0,12.0,0.0,0.33,0.0,0.0,0.0,0.0,16.5,8.0,0.0,2.0,0.0,0.0,9.0,16.5,5.0,0.0,29.5,0.0,1.0,0.0,2.5,0.0,70.0,71.0,0.0,0.0,12.0,8.0,7.0,0.0,28.5,531.0,26894.66,235.5,22962.08,0
sample_05,861134.44,70847.75,1.0,168.0,2.0,5.5,1686.84,9567.08,3.0,20.0,1415.67,16.0,117.5,1844.25,4.0,359830.16,105367.33,1.0,0.0,1809.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,1.0,0.5,5.0,14.0,631.33,0.0,207.0,4.0,0.0,0.33,0.0,0.0,3.0,0.0,7.5,5.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,14.0,0.0,0.0,0.0,0.5,0.0,102.83,39.0,0.0,0.0,6.0,6.0,5.67,0.0,35.5,378.83,27283.5,188.5,15186.5,0
sample_06,1259053.95,104796.25,2.0,333.33,19.0,16.0,4467.34,20652.0,5.0,26.0,2923.83,12.0,241.5,3366.5,3.0,640622.14,214854.66,4.0,0.0,3539.5,105.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.33,1.5,0.0,0.0,5.0,18.0,1061.17,0.0,504.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,20.5,15.0,0.0,0.0,0.0,0.0,8.0,15.33,4.0,0.0,28.0,0.0,1.0,4.0,3.5,0.0,80.33,63.0,0.0,0.0,6.0,8.0,7.67,0.0,68.33,635.0,34321.66,345.5,25745.42,0
sample_07,990696.64,70851.92,2.0,276.5,5.0,5.5,2688.34,10316.08,0.0,7.0,1320.0,17.0,106.0,1951.0,3.25,523416.98,94839.66,4.0,0.0,1796.5,36.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.5,0.0,0.0,2.0,26.17,643.83,0.0,193.0,14.0,0.0,0.33,0.0,0.0,2.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,4.0,8.92,1.0,0.0,18.0,0.0,0.0,2.0,3.75,0.0,68.83,42.0,0.0,0.0,2.0,5.0,3.58,0.0,34.75,443.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,78622.17,1.0,235.0,6.0,1.5,1521.0,10544.25,0.0,9.0,1282.5,11.5,83.0,2463.0,1.0,479659.48,102961.09,1.0,0.0,1683.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,8.0,19.0,878.42,0.0,214.0,8.0,0.0,0.33,0.0,0.0,3.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,7.0,7.33,0.0,0.0,18.0,0.0,0.0,0.0,5.0,1.0,1.0,36.0,0.0,0.0,3.0,1.0,4.67,0.0,28.5,366.0,22853.5,233.0,14239.5,0
sample_09,813145.02,66994.0,0.0,230.33,2.0,1.0,3230.66,15707.25,2.0,27.5,1406.5,19.0,110.5,3266.75,1.0,464638.14,149609.41,3.0,0.0,1757.5,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,2.0,0.0,6.0,12.5,401.08,0.0,282.0,12.0,0.0,0.33,0.0,0.0,2.0,0.0,5.5,6.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,3.25,0.0,108.58,40.0,0.0,0.0,10.0,5.0,2.33,0.0,29.25,307.0,26545.5,228.0,16008.17,0
sample_10,680177.42,60425.25,0.0,176.0,6.0,8.0,4060.66,14926.58,4.0,3.0,1262.17,7.0,155.67,2954.5,0.0,388769.98,167489.84,3.0,0.0,2681.25,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.67,1.0,0.0,0.0,3.0,16.0,354.67,0.0,324.0,7.5,0.0,0.33,0.0,0.0,1.0,2.0,20.0,9.0,0.0,0.0,0.0,0.0,7.0,5.67,0.0,0.0,24.0,0.0,0.0,0.0,4.25,0.0,67.33,52.0,0.0,0.0,2.0,4.0,2.67,0.0,31.5,412.0,21533.34,213.5,14756.58,0
