,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1181,hsa-miR-1193,hsa-miR-1271-5p,hsa-miR-1273a,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-153-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-1915-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3201,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3685,hsa-miR-369-3p,hsa-miR-371b-3p,hsa-miR-378e,hsa-miR-3938,hsa-miR-3960,hsa-miR-4313,hsa-miR-4469,hsa-miR-4474-5p,hsa-miR-4477b,hsa-miR-4537,hsa-miR-4639-3p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4747-5p,hsa-miR-4752,hsa-miR-4797-3p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-518d-3p,hsa-miR-518f-3p,hsa-miR-545-3p,hsa-miR-548as-5p,hsa-miR-548f-3p,hsa-miR-563,hsa-miR-5680,hsa-miR-5700,hsa-miR-579-5p,hsa-miR-599,hsa-miR-6075,hsa-miR-6084,hsa-miR-6087,hsa-miR-6501-3p,hsa-miR-665,hsa-miR-6727-5p,hsa-miR-676-5p,hsa-miR-6772-5p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6811-3p,hsa-miR-6846-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-7151-5p,hsa-miR-7157-5p,hsa-miR-7162-3p,hsa-miR-8085,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,203795.0,10.0,0.0,3.0,361.33,0.0,16.0,10.0,1087.84,0.0,7335.25,1.0,0.0,13.5,2331.0,6139.25,946787.48,13.0,66046.84,2.5,0.0,14.0,5.0,0.0,2339.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,7.0,0.0,0.0,2.5,3941.83,24.33,2.0,5.0,3.0,0.0,2.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,8.0,118.0,82.0,3.0,8.0,0.0,0.0,54.5,484.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,120300.83,22.0,0.0,1.0,504.0,0.0,18.0,17.0,1584.5,0.0,8932.42,2.0,1.0,21.0,1671.83,4854.83,847782.14,10.25,85012.09,4.5,0.0,4.0,6.0,0.0,1443.83,0.5,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,2396.92,29.33,0.0,5.5,4.0,0.0,5.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.67,0.0,2.0,0.0,1.0,0.0,0.0,3.0,4.25,120.5,38.5,0.0,2.0,0.0,0.0,29.5,478.0,34865.66,338.0,10677.92,0
sample_03,548076.06,42925.42,4.0,0.0,2.0,138.0,0.0,8.0,15.0,1791.34,0.0,7223.08,0.0,0.0,3.0,703.5,1483.5,275491.66,1.5,62000.0,1.0,0.0,2.0,3.0,1.0,1631.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,423.0,8.0,0.0,6.0,3.5,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.33,0.0,23.33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.5,0.0,20.0,0.0,3.0,0.0,0.0,8.5,304.25,10047.66,131.0,9154.0,0
sample_04,1193248.35,96194.33,14.0,0.0,2.0,218.0,0.0,13.0,23.0,2992.16,0.0,14854.33,0.0,0.0,11.0,1859.0,7920.0,530011.64,10.75,145643.75,2.5,0.0,6.0,5.0,0.0,3426.83,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.33,0.0,7.0,5.0,5.0,0.0,0.0,3.5,660.5,26.0,0.0,7.0,7.5,0.0,5.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,0.67,0.0,16.5,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.5,70.0,71.0,0.0,8.0,0.0,0.0,28.5,531.0,26894.66,235.5,22962.08,0
sample_05,861134.44,70847.75,12.5,0.0,0.0,168.0,0.0,2.0,15.0,1686.84,1.0,9567.08,0.0,0.0,20.0,1415.67,1844.25,359830.16,7.0,105367.33,0.5,0.0,1.0,8.0,4.0,1809.5,0.0,0.83,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.0,2.0,5.0,0.0,0.0,0.5,631.33,12.0,0.0,5.0,4.83,0.0,6.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.5,102.83,39.0,0.0,6.0,0.0,0.0,35.5,378.83,27283.5,188.5,15186.5,0
sample_06,1259053.95,104796.25,4.0,1.0,2.0,333.33,0.0,19.0,28.0,4467.34,0.0,20652.0,2.0,1.0,26.0,2923.83,3366.5,640622.14,9.0,214854.66,2.5,0.0,1.0,12.0,1.0,3539.5,0.0,0.25,2.0,0.0,0.0,1.0,0.0,3.33,0.0,7.0,2.0,5.0,0.0,0.0,2.5,1061.17,23.0,0.0,2.0,9.5,0.0,8.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.33,0.0,3.0,1.0,1.0,7.0,0.0,5.0,3.5,80.33,63.0,2.0,8.0,0.0,0.0,68.33,635.0,34321.66,345.5,25745.42,0
sample_07,990696.64,70851.92,4.0,0.0,1.0,276.5,0.0,5.0,19.0,2688.34,0.0,10316.08,1.0,1.0,7.0,1320.0,1951.0,523416.98,8.75,94839.66,4.0,0.0,5.0,2.0,0.0,1796.5,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.67,0.0,4.0,0.0,2.0,0.0,0.0,1.5,643.83,18.0,1.0,7.0,6.17,0.0,3.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,0.0,0.0,5.83,0.0,3.0,3.75,68.83,42.0,0.0,5.0,0.0,0.0,34.75,443.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,78622.17,7.0,1.0,0.0,235.0,0.0,6.0,11.0,1521.0,0.0,10544.25,0.0,1.0,9.0,1282.5,2463.0,479659.48,3.75,102961.09,2.5,0.0,0.0,3.0,1.0,1683.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.67,0.0,6.0,2.0,8.0,0.0,0.0,2.0,878.42,18.0,1.0,4.0,2.0,0.0,0.66,0.0,13.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,7.33,0.0,0.0,2.0,1.0,6.0,0.0,1.0,5.0,1.0,36.0,0.0,1.0,0.0,0.0,28.5,366.0,22853.5,233.0,14239.5,0
sample_09,813145.02,66994.0,22.5,0.0,1.0,230.33,0.0,2.0,21.0,3230.66,0.0,15707.25,1.0,2.0,27.5,1406.5,3266.75,464638.14,4.5,149609.41,2.5,0.0,7.0,5.0,0.0,1757.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,3.0,6.0,0.0,0.0,1.5,401.08,27.25,0.0,4.0,6.5,0.0,6.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.25,108.58,40.0,0.0,5.0,0.0,0.0,29.25,307.0,26545.5,228.0,16008.17,0
sample_10,680177.42,60425.25,9.0,0.0,1.0,176.0,0.0,6.0,20.0,4060.66,0.0,14926.58,0.0,0.0,3.0,1262.17,2954.5,388769.98,4.5,167489.84,2.5,0.0,4.0,4.0,1.0,2681.25,0.5,0.33,1.0,0.0,0.0,2.0,0.0,1.33,0.0,1.0,2.0,3.0,0.0,0.0,0.0,354.67,27.0,0.0,6.5,16.67,0.0,6.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.33,0.0,5.67,1.0,2.0,0.0,1.0,1.0,0.0,2.0,4.25,67.33,52.0,0.0,4.0,0.0,0.0,31.5,412.0,21533.34,213.5,14756.58,0
