,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-10b-3p,hsa-miR-1183,hsa-miR-1224-3p,hsa-miR-1227-5p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-2909,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3148,hsa-miR-3150a-5p,hsa-miR-3614-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-369-3p,hsa-miR-3692-5p,hsa-miR-4280,hsa-miR-4295,hsa-miR-4448,hsa-miR-4505,hsa-miR-4507,hsa-miR-450b-3p,hsa-miR-4526,hsa-miR-4540,hsa-miR-4655-5p,hsa-miR-4657,hsa-miR-4699-5p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-5002-3p,hsa-miR-500a-5p,hsa-miR-502-5p,hsa-miR-518a-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-5197-3p,hsa-miR-548f-5p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-5585-5p,hsa-miR-559,hsa-miR-561-5p,hsa-miR-579-5p,hsa-miR-626,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6762-5p,hsa-miR-6764-5p,hsa-miR-6767-3p,hsa-miR-6771-5p,hsa-miR-6775-5p,hsa-miR-6799-3p,hsa-miR-6849-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6888-3p,hsa-miR-7108-3p,hsa-miR-7109-3p,hsa-miR-7111-3p,hsa-miR-7704,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_01,1669011.08,574.75,203795.0,10.0,1.0,0.0,98.0,0.0,361.33,16.0,1087.84,7335.25,44172.17,13.5,2331.0,12.0,188.5,6139.25,946787.48,0.0,13.0,66046.84,0.0,2.5,0.0,5.0,0.0,2339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,5.0,24.0,3941.83,2.0,112.83,24.33,0.0,3.0,5.0,1.0,0.0,0.0,1.5,4.84,1.0,0.0,2.0,7.0,0.0,5.0,24.0,1.0,26.5,0.0,0.0,0.0,0.0,0.0,8.0,118.0,39.0,27.0,1.0,1.0,3.0,12.0,54.5,484.0,46208.34,364.0,13823.0,0
sample_02,1113228.84,608.25,120300.83,22.0,0.0,0.0,42.5,0.0,504.0,18.0,1584.5,8932.42,41821.08,21.0,1671.83,13.0,166.5,4854.83,847782.14,0.0,10.25,85012.09,0.0,4.5,0.0,6.0,0.0,1443.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,32.0,2396.92,0.0,104.17,29.33,0.0,4.5,5.5,0.0,0.0,0.0,2.0,1.34,0.0,0.0,11.0,5.0,0.0,5.0,23.67,1.0,15.0,0.0,0.0,0.0,1.0,0.0,4.25,120.5,21.0,24.0,1.0,0.0,1.0,7.67,29.5,478.0,34865.66,338.0,10677.92,0
sample_03,548076.06,466.5,42925.42,4.0,1.0,0.0,38.83,0.0,138.0,8.0,1791.34,7223.08,31285.58,3.0,703.5,2.0,46.5,1483.5,275491.66,0.0,1.5,62000.0,0.0,1.0,1.0,3.0,0.0,1631.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,423.0,0.0,43.5,8.0,2.0,8.5,6.0,2.0,0.0,0.0,9.0,2.34,0.0,0.0,9.0,2.0,0.0,1.0,23.33,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,20.0,3.0,1.0,0.0,2.0,3.0,8.5,304.25,10047.66,131.0,9154.0,0
sample_04,1193248.35,1315.5,96194.33,14.0,0.0,0.0,112.5,0.0,218.0,13.0,2992.16,14854.33,69374.42,11.0,1859.0,7.0,237.0,7920.0,530011.64,0.0,10.75,145643.75,0.0,2.5,0.0,5.0,0.0,3426.83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,28.0,660.5,0.0,68.83,26.0,0.66,12.0,7.0,1.0,0.0,0.0,4.5,2.66,1.5,0.0,16.5,5.0,0.0,9.0,16.5,0.0,29.5,0.0,0.0,0.0,2.0,1.0,2.5,70.0,34.0,7.0,1.0,0.0,1.0,7.0,28.5,531.0,26894.66,235.5,22962.08,0
sample_05,861134.44,1095.5,70847.75,12.5,1.0,0.0,105.25,0.0,168.0,2.0,1686.84,9567.08,48655.67,20.0,1415.67,16.0,117.5,1844.25,359830.16,0.0,7.0,105367.33,0.0,0.5,0.0,8.0,0.0,1809.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,1.0,0.0,1.0,5.0,3.0,20.0,631.33,0.0,46.75,12.0,0.66,4.0,5.0,2.0,0.0,0.0,23.67,1.76,0.0,0.0,7.5,13.0,0.0,8.0,6.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5,102.83,39.0,3.0,0.0,2.0,0.0,5.67,35.5,378.83,27283.5,188.5,15186.5,0
sample_06,1259053.95,2136.25,104796.25,4.0,2.0,0.0,331.5,0.0,333.33,19.0,4467.34,20652.0,79183.42,26.0,2923.83,12.0,241.5,3366.5,640622.14,0.0,9.0,214854.66,0.0,2.5,3.0,12.0,0.0,3539.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,5.0,7.0,32.0,1061.17,2.0,106.33,23.0,0.0,13.0,2.0,3.0,0.0,0.0,26.33,4.0,2.0,0.0,20.5,8.0,0.0,8.0,15.33,3.0,28.0,2.0,0.0,0.0,1.0,2.0,3.5,80.33,58.0,6.0,1.0,0.0,3.0,7.67,68.33,635.0,34321.66,345.5,25745.42,0
sample_07,990696.64,867.25,70851.92,4.0,2.0,0.0,141.83,0.0,276.5,5.0,2688.34,10316.08,48986.58,7.0,1320.0,17.0,106.0,1951.0,523416.98,0.0,8.75,94839.66,0.0,4.0,1.0,2.0,0.0,1796.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,28.0,643.83,1.0,55.0,18.0,0.66,14.0,7.0,0.0,0.0,1.0,2.5,2.84,1.0,0.0,12.0,5.0,0.0,4.0,8.92,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.75,68.83,28.0,7.0,1.0,1.0,1.0,3.58,34.75,443.0,20146.16,188.0,15897.67,0
sample_08,1030404.63,847.5,78622.17,7.0,1.0,0.0,102.0,0.0,235.0,6.0,1521.0,10544.25,51899.58,9.0,1282.5,11.5,83.0,2463.0,479659.48,0.0,3.75,102961.09,0.0,2.5,1.0,3.0,0.0,1683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0,17.0,878.42,0.0,68.0,18.0,0.66,8.0,4.0,0.0,0.0,0.0,7.0,1.66,1.0,0.0,8.0,7.0,0.0,7.0,7.33,1.0,18.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,36.0,5.0,0.0,0.0,0.0,4.67,28.5,366.0,22853.5,233.0,14239.5,0
sample_09,813145.02,1182.25,66994.0,22.5,0.0,0.0,63.5,0.0,230.33,2.0,3230.66,15707.25,57939.33,27.5,1406.5,19.0,110.5,3266.75,464638.14,0.0,4.5,149609.41,0.0,2.5,4.0,5.0,0.0,1757.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,6.0,1.0,19.0,401.08,0.0,87.75,27.25,0.66,12.0,4.0,1.0,0.0,0.0,9.33,1.16,1.5,0.0,5.5,6.0,0.0,8.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.25,108.58,39.0,5.0,0.0,1.0,0.0,2.33,29.25,307.0,26545.5,228.0,16008.17,0
sample_10,680177.42,1275.75,60425.25,9.0,0.0,0.0,84.5,0.0,176.0,6.0,4060.66,14926.58,65639.33,3.0,1262.17,7.0,155.67,2954.5,388769.98,0.0,4.5,167489.84,0.0,2.5,0.0,4.0,0.0,2681.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,31.0,354.67,0.0,75.08,27.0,0.66,7.5,6.5,1.0,0.0,0.0,12.0,3.5,1.25,0.0,20.0,10.0,0.0,7.0,5.67,1.0,24.0,0.0,0.0,0.0,1.0,2.0,4.25,67.33,40.0,6.0,0.0,1.0,1.0,2.67,31.5,412.0,21533.34,213.5,14756.58,0
