,hsa-miR-585-5p,hsa-miR-148a-3p,hsa-miR-585-3p,hsa-miR-455-3p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-2114-3p,hsa-miR-5680,hsa-miR-195-3p,hsa-miR-6861-3p,hsa-miR-3663-5p,hsa-miR-106a-5p,hsa-miR-148b-5p,hsa-miR-142-3p,hsa-miR-1269a,hsa-miR-3925-3p,hsa-let-7f-5p,hsa-miR-2355-3p,hsa-let-7a-5p,hsa-miR-4431,hsa-miR-1249,hsa-miR-148b-3p,hsa-miR-140-5p,hsa-miR-195-5p,hsa-miR-7157-5p,hsa-miR-1294,hsa-miR-29a-3p,hsa-miR-4687-5p,hsa-miR-4699-5p,hsa-miR-676-3p,hsa-miR-34b-3p,hsa-miR-3942-5p,hsa-miR-877-3p,hsa-miR-30d-3p,hsa-miR-1227-3p,hsa-miR-4324,hsa-miR-129-2-3p,hsa-miR-130a-5p,hsa-miR-26b-5p,hsa-miR-455-5p,hsa-miR-6513-5p,hsa-miR-196b-5p,hsa-miR-10b-3p,hsa-miR-6795-3p,hsa-miR-30c-2-3p,hsa-miR-152-3p,hsa-miR-4661-5p,hsa-miR-4787-3p,hsa-miR-2682-3p,hsa-miR-6760-3p,hsa-miR-3617-5p,hsa-miR-509-5p,hsa-miR-10b-5p,hsa-miR-4709-3p,hsa-miR-345-3p,hsa-miR-518b,hsa-miR-30a-5p,hsa-miR-2115-5p,hsa-miR-4500,hsa-miR-27b-3p,hsa-miR-346,hsa-let-7i-5p,hsa-miR-6794-3p,hsa-miR-10a-3p,hsa-miR-6882-3p,hsa-miR-6734-5p,hsa-miR-24-1-5p,hsa-miR-6891-5p,hsa-miR-26a-2-3p,hsa-miR-4525,hsa-miR-6846-3p,hsa-miR-99a-3p,hsa-miR-448,hsa-miR-3941,hsa-miR-3074-3p,hsa-miR-4694-5p,hsa-miR-4679,hsa-miR-30a-3p,hsa-miR-4804-3p,hsa-miR-493-3p,hsa-miR-520c-3p,hsa-miR-520b,hsa-miR-1291,hsa-miR-487a-3p,hsa-miR-3680-3p,hsa-miR-515-3p,hsa-miR-106b-5p,hsa-miR-618,hsa-miR-516b-5p,hsa-miR-6849-3p,hsa-miR-6826-3p,hsa-miR-1827,hsa-miR-3943,hsa-miR-192-5p,hsa-miR-6808-3p,hsa-miR-2110,hsa-miR-146b-5p,hsa-miR-210-3p,hsa-miR-520h,hsa-miR-3186-5p,hsa-miR-6726-3p,hsa-miR-508-5p,hsa-miR-27b-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-511-5p,hsa-miR-26a-1-3p,hsa-let-7g-5p,hsa-miR-6888-3p,hsa-miR-10a-5p,hsa-miR-454-3p,hsa-miR-425-3p,hsa-miR-9-3p,hsa-miR-6859-3p,hsa-miR-7114-3p,hsa-miR-504-5p,hsa-miR-4650-3p,hsa-miR-518c-3p,hsa-miR-6858-5p,hsa-miR-6880-5p,hsa-miR-23c,hsa-miR-3191-3p,hsa-miR-378i,hsa-miR-548aw,hsa-miR-6803-3p,hsa-miR-26b-3p,hsa-miR-1228-3p,hsa-miR-31-3p,hsa-miR-183-5p,hsa-miR-6515-3p,hsa-miR-3139,hsa-miR-3656,hsa-miR-146b-3p,hsa-miR-6510-3p,hsa-miR-5582-5p,hsa-miR-4721,hsa-miR-4646-3p,hsa-miR-6764-3p,hsa-miR-30b-5p,hsa-miR-3127-5p,hsa-miR-668-3p,hsa-miR-497-3p,hsa-miR-5587-5p,hsa-miR-34c-3p,hsa-miR-4532,hsa-miR-4685-3p,hsa-miR-4659a-5p,hsa-miR-4659b-3p,hsa-miR-100-3p,hsa-miR-616-3p,hsa-miR-155-5p,hsa-miR-3168,hsa-miR-485-3p,hsa-miR-7977,hsa-miR-940,hsa-miR-548ab,hsa-miR-1271-5p,hsa-miR-329-3p,hsa-miR-7156-5p,hsa-miR-1225-3p,hsa-miR-1301-3p,hsa-miR-3663-3p,hsa-miR-6761-5p,hsa-miR-5089-3p,hsa-miR-3151-5p,hsa-miR-1914-5p,hsa-miR-4517,hsa-miR-627-5p,hsa-miR-6504-3p,hsa-miR-27a-3p,hsa-miR-6797-3p,hsa-miR-2682-5p,hsa-miR-6858-3p,hsa-miR-323a-5p,hsa-miR-6871-3p,hsa-miR-4454,hsa-miR-942-5p,hsa-miR-16-5p,hsa-miR-6833-3p,hsa-miR-2116-5p,hsa-miR-6887-5p,hsa-miR-6810-3p,hsa-miR-510-5p,hsa-miR-6852-3p,hsa-miR-122-3p,hsa-miR-140-3p,hsa-miR-629-5p,hsa-miR-3591-5p,hsa-miR-376a-2-5p,hsa-miR-6849-5p,hsa-miR-146a-5p,hsa-miR-939-5p,hsa-miR-519d-3p,hsa-miR-197-3p,hsa-miR-3929,hsa-miR-98-5p,hsa-miR-124-5p,hsa-miR-298,hsa-miR-6800-5p,hsa-miR-581,Disese Group
sample_01,4.0,23798.5,72.0,232.5,1095.33,5.0,1.0,10.0,53.0,8.0,5.0,11.33,282.5,1217.83,11.0,0.0,1103181.73,55.5,1669011.08,0.0,194.67,37803.33,4788.5,6328.5,8.0,23.0,304431.83,2.0,1.0,36.0,12.0,3.0,54.5,717.0,2.0,5.0,8945.83,11.0,378873.33,619.0,3.0,3.0,1.0,0.0,2139.25,10974.17,0.0,31.0,17.0,16.0,471.0,4.0,56.0,2.0,12.0,13.0,136955.0,1.0,30.25,115386.5,356.5,179379.17,52.0,1.0,25.0,19.0,13.33,1.0,588.25,9.0,3.0,961.0,24.0,1.0,13.0,0.0,0.0,28459.67,7.0,529.17,0.0,0.0,203.0,408.0,0.5,1.0,320.33,42.75,6.0,4.0,5.0,1.0,244.0,44172.17,3.0,922.5,5277.0,13156.75,1.0,0.0,100.0,7.0,293.83,2690.84,2690.84,0.0,61.0,184877.17,27.0,10.0,15405.5,2764.0,212889.35,10.5,4.0,1174.33,0.0,3.0,0.0,2.0,25.0,1.5,0.0,55.5,138.0,353.5,8.0,177.0,2661549.42,35.0,1.0,0.5,78.0,0.0,0.0,0.0,23.58,8.5,29775.58,174.0,409.0,11.0,2.0,10.0,0.33,15.0,0.0,0.0,52.0,23.0,1499.0,0.33,6311.5,12.0,12.0,4.0,361.33,3464.0,10.0,0.0,3915.42,10.0,24.0,1.0,12.0,14.0,0.0,81.0,0.0,5607.42,2.0,12.0,2.83,155.0,0.0,2.0,91.0,494311.5,9.0,7.0,0.0,4.0,2.0,0.25,12.5,23689.25,1369.0,12.5,128.0,0.0,4950.0,2.67,0.0,2331.0,4.0,26149.75,8659.86,0.0,0.0,7.0,0
sample_02,6.0,16331.0,110.0,232.0,1702.5,5.0,0.0,6.0,39.0,4.25,6.0,22.5,230.5,1441.5,5.0,1.0,821221.32,53.5,1113228.84,0.0,39.67,39631.67,5218.5,6329.08,2.0,9.0,381538.08,0.0,0.0,30.5,10.0,2.0,29.5,713.67,3.33,3.67,6067.17,8.0,290875.83,638.0,2.0,2.0,0.0,2.0,1978.67,9103.83,0.0,26.0,22.0,3.5,287.0,4.0,31.0,0.0,25.0,5.0,209929.83,3.0,29.25,93924.08,195.0,131702.5,38.0,1.0,5.0,10.5,10.25,0.0,473.33,5.0,3.0,1092.5,40.5,1.0,10.25,1.0,0.0,31387.58,10.0,299.33,1.0,1.0,87.0,257.0,0.66,0.0,718.0,48.5,4.0,3.0,7.5,0.0,122.0,41821.08,0.0,472.0,4847.08,15968.75,1.0,0.0,22.0,1.0,187.5,2108.66,2107.66,3.0,42.33,139174.92,24.0,22.0,12200.17,2836.5,185972.68,3.75,0.0,439.33,0.0,4.5,4.0,0.0,19.0,2.0,2.0,82.0,103.0,279.0,2.0,311.5,1812448.25,23.5,0.0,0.0,50.33,0.0,0.0,0.0,10.0,8.5,51614.08,164.5,230.0,12.0,0.0,5.0,0.58,4.0,0.5,0.5,28.0,18.5,1276.0,0.33,3806.0,9.0,13.0,1.0,504.0,1950.66,4.0,0.0,2700.67,6.0,16.0,0.0,3.0,8.0,0.0,91.5,0.0,7508.08,3.0,12.0,1.0,46.0,0.0,1.0,76.0,402239.16,7.0,5.0,1.0,0.0,1.0,0.33,22.5,30631.17,1401.5,22.5,90.5,0.0,4238.0,1.42,1.0,1671.83,4.0,16161.25,7956.8,0.0,0.0,11.0,0
sample_03,9.0,13147.0,41.0,69.0,805.5,1.0,0.0,2.0,26.0,2.5,3.0,7.5,201.0,730.0,24.0,2.0,372970.66,35.5,548076.06,0.0,19.0,29855.92,4019.5,2700.5,3.0,7.0,213142.33,0.0,1.0,27.0,4.0,2.5,8.5,707.67,0.0,3.0,2689.42,8.0,195194.58,206.0,1.0,1.0,1.0,1.0,966.0,10524.5,1.0,23.0,25.0,1.0,80.0,4.0,15.0,1.0,9.0,6.0,82986.67,0.0,24.0,98887.58,141.0,79653.83,17.5,0.0,3.0,9.0,2.5,0.0,536.33,6.0,1.0,828.5,16.0,0.0,1.5,0.0,0.0,14152.83,5.0,264.83,0.0,0.0,139.0,158.25,0.0,1.0,187.5,46.5,1.0,1.0,0.0,0.0,59.0,31285.58,1.0,334.0,1610.0,14854.75,1.0,0.0,29.0,5.0,87.0,572.08,571.08,1.0,37.0,110731.5,3.0,4.0,7985.5,1922.0,131742.56,1.5,1.0,421.0,0.0,8.5,1.0,0.0,12.5,0.0,0.0,80.0,36.0,249.5,3.0,146.33,713226.75,10.0,2.0,0.5,30.0,0.0,0.0,0.0,2.83,9.0,34706.92,56.0,126.0,14.5,0.0,3.0,1.58,0.0,0.0,0.0,28.5,13.33,360.0,0.0,2631.5,6.0,1.0,1.0,138.0,1438.34,1.0,2.0,1840.92,2.0,9.0,0.0,2.0,8.0,1.0,93.75,0.0,7108.25,0.0,10.0,2.5,44.0,1.0,3.0,50.0,253119.0,7.0,9.0,3.0,0.0,1.0,0.33,6.5,18530.75,626.5,6.5,135.5,0.0,2440.83,1.33,3.0,703.5,0.0,7975.25,4807.92,0.0,0.0,4.0,0
sample_04,6.0,28504.33,45.0,247.25,1600.5,9.0,4.0,8.0,78.0,2.5,5.0,17.5,410.0,1241.0,28.5,1.0,836555.15,43.5,1193248.35,0.0,48.0,51752.25,8856.0,7790.5,8.0,18.0,371335.0,1.0,0.0,51.0,16.0,6.0,28.5,1410.83,3.67,10.5,7740.58,10.0,481192.25,531.0,6.0,4.0,0.0,0.0,2226.25,20034.83,0.0,25.0,39.0,16.33,425.5,10.0,22.0,6.0,19.0,30.0,141832.33,2.0,58.25,231545.25,354.0,145970.83,66.0,0.0,6.0,23.5,10.75,0.0,1633.67,6.0,2.0,1420.0,39.0,0.0,10.75,0.0,1.0,33744.17,3.0,449.83,1.5,1.5,296.0,414.0,0.66,2.0,313.0,40.5,0.0,2.0,17.5,0.0,138.0,69374.42,5.0,844.0,2207.5,26706.5,1.5,0.0,108.0,5.0,306.0,1364.84,1364.84,3.0,103.5,241710.75,7.0,14.0,17109.0,3101.0,282162.3,9.0,2.0,861.0,0.0,12.0,3.0,1.0,26.0,0.0,1.0,135.0,138.5,685.67,8.0,297.0,1304388.33,22.0,1.0,0.75,63.5,0.0,0.0,0.0,16.67,16.0,68175.67,141.0,278.0,27.0,1.0,2.0,0.5,8.0,0.5,0.5,141.0,21.83,650.0,0.0,7037.5,14.5,3.0,3.0,218.0,3418.66,12.0,2.0,4226.75,3.0,24.0,0.0,11.0,9.0,0.0,154.33,1.0,16587.25,1.0,12.0,0.33,112.0,0.0,1.0,94.5,611362.0,12.0,16.0,0.0,2.0,1.0,0.25,18.0,39766.08,1465.0,18.0,222.0,1.0,5155.25,1.0,1.0,1859.0,10.0,14910.08,10133.84,0.0,0.0,3.0,0
sample_05,20.0,21093.5,104.0,245.5,1249.0,8.0,3.0,5.0,80.0,0.5,8.0,12.0,312.0,1029.5,13.0,0.0,548846.66,18.5,861134.44,0.0,51.0,40828.67,6343.5,6983.5,6.0,13.5,257152.5,2.0,1.0,36.0,11.0,3.0,35.5,1004.92,0.5,5.33,4104.5,12.0,395480.58,381.0,1.0,4.0,1.0,2.0,1644.75,13168.83,0.0,17.0,17.0,12.33,144.0,1.0,24.0,6.0,23.0,14.0,96182.17,1.0,28.0,143814.75,143.0,83046.33,74.5,0.0,7.0,15.17,7.0,0.0,1061.08,16.0,1.0,1288.0,43.0,0.0,7.0,0.0,1.0,22833.83,1.0,328.33,0.33,0.33,249.83,222.0,0.0,1.0,201.5,53.5,0.0,7.0,1.0,0.0,71.0,48655.67,1.0,591.5,2181.0,22052.08,0.0,0.0,98.5,1.0,152.0,1005.42,1004.42,0.0,112.0,149366.17,3.0,12.5,12488.5,2274.5,185078.51,2.25,2.0,641.5,0.0,4.0,0.0,0.0,11.0,0.0,1.5,87.0,108.0,517.75,6.0,146.0,1191685.42,23.0,0.0,0.0,62.5,0.0,0.0,0.0,14.5,11.5,49251.92,87.0,116.0,13.0,0.0,4.0,0.58,7.0,0.0,0.0,97.5,19.5,630.0,0.33,4865.5,2.0,1.0,2.5,168.0,2012.34,6.0,0.0,2747.25,3.0,12.0,1.0,14.0,9.0,0.0,107.0,0.0,10059.08,1.0,4.0,0.0,41.0,0.0,0.0,65.0,580315.5,12.0,12.0,0.0,5.0,2.0,1.75,13.5,32923.83,832.0,13.5,137.5,0.0,3989.5,0.33,0.0,1415.67,2.0,8760.25,8232.86,0.0,0.0,3.0,0
sample_06,19.0,28780.0,94.0,500.58,2467.33,8.0,1.0,15.0,127.0,3.5,12.0,26.83,512.0,1619.25,47.0,1.0,915507.73,73.5,1259053.95,0.0,159.5,64516.67,11580.0,7877.33,8.0,14.0,436607.17,4.0,0.0,83.0,48.5,6.0,68.33,1737.33,5.0,12.67,9476.58,10.0,580106.17,711.0,5.0,2.0,2.0,1.0,2788.08,22193.0,0.0,33.5,7.0,24.5,443.5,6.0,43.0,4.0,11.0,22.0,185938.0,1.0,88.33,306126.83,352.0,176405.67,98.0,2.0,10.0,36.5,9.0,0.0,1897.83,12.0,5.0,2219.0,64.0,1.0,9.0,0.0,0.0,45220.67,7.0,613.83,0.33,0.33,395.25,477.0,0.0,2.0,391.67,106.0,0.0,8.0,3.0,0.0,128.0,79183.42,3.0,1006.5,2702.33,43845.5,2.5,1.0,194.5,2.0,273.5,1547.24,1544.74,6.0,171.5,297113.08,6.0,4.0,20710.5,4366.0,297583.7,10.5,5.0,995.0,0.0,13.0,2.0,1.0,50.0,1.0,2.5,148.0,216.83,981.0,10.5,348.0,1477362.17,36.83,1.0,0.25,78.5,0.0,0.0,0.0,21.0,14.0,92316.17,157.0,279.0,46.5,0.0,14.0,1.42,15.33,1.5,1.5,96.0,42.33,726.0,0.0,10605.5,27.5,4.0,4.5,333.33,4423.66,6.0,0.0,6605.67,8.5,22.0,1.0,7.0,21.0,0.0,221.0,0.0,25803.67,7.67,7.0,14.0,115.0,0.0,5.0,125.0,755588.16,13.0,19.0,0.0,7.0,0.0,1.83,16.5,50545.25,1827.0,16.5,337.0,2.0,8446.0,2.0,7.0,2923.83,5.0,16503.0,12356.57,0.0,0.0,4.0,0
sample_07,1.0,21790.33,23.0,183.0,1209.5,4.0,0.0,8.0,61.0,3.75,2.0,10.0,328.0,1058.5,10.0,1.0,659419.9,44.0,990696.64,0.0,67.33,48064.33,5990.0,5258.5,5.0,38.0,322803.42,1.0,2.0,34.0,14.0,1.0,34.75,1056.75,3.0,6.5,4687.92,3.0,394036.75,416.0,5.0,1.0,2.0,3.0,1331.5,14907.67,0.0,32.0,12.0,10.0,250.5,5.0,26.0,1.0,20.0,25.0,110509.17,1.0,32.75,140384.17,171.5,124320.25,46.5,0.0,13.5,17.33,8.75,0.0,1016.0,16.0,3.0,1395.5,35.5,2.0,8.75,0.0,0.0,18779.33,5.0,244.17,2.67,2.67,220.75,195.0,0.66,5.0,249.0,28.5,0.0,2.0,2.0,0.0,126.0,48986.58,6.0,618.0,2584.33,26312.5,0.5,0.0,97.0,1.0,93.33,795.0,795.0,4.0,63.5,187765.42,7.0,4.0,14575.33,3192.0,181531.56,9.0,2.33,586.0,0.0,14.0,1.0,0.5,15.0,0.0,0.0,105.75,108.0,426.0,4.5,178.5,1486168.0,17.0,0.0,0.0,51.5,0.0,0.0,0.0,11.17,9.5,49249.42,104.0,164.0,13.0,0.0,6.0,0.0,6.0,0.5,0.5,38.0,14.5,547.0,0.0,6166.5,9.0,3.0,0.5,276.5,2173.0,2.0,1.0,3380.5,2.0,23.0,1.0,6.0,10.0,0.0,133.0,0.0,10502.75,1.0,9.0,3.33,49.0,0.5,0.0,54.0,545076.0,11.0,7.0,0.0,5.83,0.0,0.0,10.5,27183.58,1049.25,10.5,196.0,0.0,4317.75,0.33,1.0,1320.0,3.0,12615.42,8480.36,0.0,0.0,1.0,0
sample_08,4.0,16672.75,18.0,123.0,1121.33,7.0,0.0,13.0,33.0,5.0,3.0,8.83,299.0,743.5,0.0,0.0,673541.65,33.0,1030404.63,2.0,45.0,45327.0,5144.0,3312.5,1.0,26.0,320379.58,0.0,0.0,32.0,7.0,0.0,28.5,1024.17,1.0,5.33,5231.17,7.0,371519.58,255.0,2.0,2.0,1.0,1.0,1622.92,12091.83,0.0,21.25,7.0,10.5,185.5,2.0,8.0,0.0,7.0,17.0,123663.83,0.0,35.5,132943.75,137.0,102961.42,46.0,0.0,11.5,14.75,3.75,0.0,1017.17,11.0,1.0,1359.0,11.0,0.0,3.75,0.0,0.0,23262.83,0.0,346.5,0.0,0.0,188.0,164.0,1.34,2.0,227.33,38.0,1.0,5.0,17.0,0.0,115.0,51899.58,1.0,511.0,2292.92,19568.5,1.0,0.0,66.5,4.0,152.0,697.66,696.66,1.0,54.5,177621.58,5.0,7.0,15369.5,2758.33,185564.5,9.0,1.5,610.33,0.0,8.0,0.0,0.0,14.0,0.5,0.0,79.0,87.0,493.5,2.0,205.0,1555845.58,13.0,1.0,0.0,43.0,0.0,0.0,0.0,5.5,6.5,49771.08,106.0,112.0,14.0,0.0,5.0,0.0,3.0,0.0,0.0,39.0,17.0,548.0,0.0,4420.0,8.0,2.0,0.5,235.0,2002.84,3.0,0.0,3084.33,1.0,12.0,0.0,5.0,9.0,0.0,138.33,0.0,7979.42,1.0,10.0,0.5,43.0,1.0,1.0,67.0,486220.16,9.83,8.0,0.0,6.0,0.0,0.5,10.5,25012.75,990.5,10.5,157.0,0.0,3700.5,1.83,0.0,1282.5,6.0,12886.5,9987.69,0.0,0.0,9.0,0
sample_09,6.5,15648.83,32.0,196.83,1993.5,8.0,1.0,6.0,81.0,3.25,5.0,16.5,343.5,1394.0,8.0,3.0,586660.24,61.33,813145.02,0.0,27.0,47599.0,6855.33,7810.5,5.0,34.5,390478.83,0.0,2.0,41.0,15.0,1.0,29.25,1418.42,2.67,6.83,5822.25,11.0,442067.91,339.0,2.0,6.0,0.0,1.0,1246.08,12426.33,1.0,21.5,19.0,5.0,162.5,0.0,39.0,1.0,17.0,19.0,116146.33,4.0,0.67,175376.67,213.0,96064.25,55.5,3.0,8.5,15.17,4.5,0.0,1398.5,12.0,0.0,1783.0,27.33,0.0,4.5,1.0,2.0,26539.0,3.0,267.83,0.58,0.58,199.0,318.5,0.0,2.0,288.17,82.0,0.0,1.0,4.0,0.0,63.0,57939.33,5.0,577.0,2958.92,61075.5,0.5,2.0,71.0,2.0,157.0,894.66,894.66,6.0,67.33,193050.75,5.0,22.5,12740.33,3177.33,191557.61,3.0,0.0,318.33,0.0,12.0,1.25,1.0,3.0,0.0,0.0,152.0,151.5,727.5,3.5,240.0,1346781.17,12.0,0.0,0.0,51.5,0.0,0.0,0.0,12.0,9.5,101661.92,78.0,120.0,40.5,0.0,3.0,0.0,4.0,0.0,0.0,48.5,31.33,766.0,0.0,4167.5,11.0,1.0,1.83,230.33,1935.0,10.0,1.0,2653.08,3.0,34.0,1.0,4.0,7.0,0.0,218.0,0.0,21381.67,5.0,2.0,1.0,41.0,0.0,2.0,102.33,604459.34,9.5,16.0,0.0,1.0,0.0,0.5,8.0,36300.58,946.5,8.0,113.5,0.0,6619.92,3.5,0.0,1406.5,6.0,9095.17,13039.55,0.0,1.0,6.0,0
sample_10,5.0,16611.75,33.0,278.5,1613.0,7.0,2.0,9.0,51.0,4.25,4.0,13.0,322.0,1032.0,13.0,2.0,501361.66,48.83,680177.42,0.0,27.0,43843.17,7212.5,5440.92,4.0,7.0,345757.75,0.0,1.0,38.0,12.0,3.0,31.5,1429.67,6.33,6.33,6163.17,18.0,404812.16,399.0,0.0,1.0,0.0,1.0,1646.0,13889.83,0.0,18.0,27.0,6.33,346.5,6.0,25.0,6.0,14.0,5.0,150867.83,1.0,0.67,173521.75,214.0,84912.5,58.0,0.0,8.0,14.0,4.5,0.0,1584.0,8.0,2.0,1632.83,39.0,1.0,4.5,0.0,0.0,30533.83,5.0,363.83,1.5,1.5,179.0,328.0,0.0,0.0,268.5,81.0,0.0,0.0,7.5,0.0,93.0,65639.33,2.0,509.0,2303.17,34069.75,1.0,0.0,36.0,0.0,191.5,759.92,758.42,1.0,85.0,173977.67,6.0,9.0,12102.5,2848.33,239699.23,2.25,1.0,607.67,0.0,7.5,0.0,0.0,3.5,0.0,2.0,145.25,135.0,603.0,5.0,368.5,1081478.0,13.0,0.0,0.25,66.0,0.0,0.0,0.0,8.67,15.5,99426.17,70.0,112.0,30.5,0.0,2.0,1.5,10.0,1.0,1.0,84.0,22.75,507.0,0.33,4480.0,17.0,1.0,2.5,176.0,2437.16,2.0,1.0,2796.83,0.0,14.0,2.0,5.0,9.0,0.0,202.5,0.0,16884.75,3.0,5.0,4.0,43.0,2.0,0.0,76.0,538971.5,9.0,15.0,0.0,1.0,2.0,0.0,16.5,32103.33,1008.58,16.5,206.0,2.0,4866.0,0.0,2.0,1262.17,4.0,7936.75,13513.89,0.0,0.0,5.0,0
