,hsa-let-7a-3p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-1,hsa-miR-100-5p,hsa-miR-101-3p,hsa-miR-103a-3p,hsa-miR-103b,hsa-miR-105-5p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1185-1-3p,hsa-miR-1185-5p,hsa-miR-124-3p,hsa-miR-124-5p,hsa-miR-1247-3p,hsa-miR-1247-5p,hsa-miR-1249,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-127-3p,hsa-miR-1271-5p,hsa-miR-128-3p,hsa-miR-129-1-3p,hsa-miR-129-2-3p,hsa-miR-129-5p,hsa-miR-1301-3p,hsa-miR-1306-5p,hsa-miR-130a-3p,hsa-miR-132-3p,hsa-miR-133a-3p,hsa-miR-135b-5p,hsa-miR-136-3p,hsa-miR-137,hsa-miR-138-5p,hsa-miR-140-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-142-5p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-148b-5p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-152-3p,hsa-miR-153-3p,hsa-miR-155-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-187-3p,hsa-miR-190b,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-194-5p,hsa-miR-195-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-199b-3p,hsa-miR-19b-3p,hsa-miR-200a-3p,hsa-miR-203a,hsa-miR-203b-5p,hsa-miR-204-5p,hsa-miR-20a-5p,hsa-miR-21-5p,hsa-miR-210-3p,hsa-miR-211-5p,hsa-miR-2110,hsa-miR-216a-3p,hsa-miR-216a-5p,hsa-miR-217,hsa-miR-218-5p,hsa-miR-22-3p,hsa-miR-223-3p,hsa-miR-224-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-24-3p,hsa-miR-25-3p,hsa-miR-26a-2-3p,hsa-miR-26a-5p,hsa-miR-26b-3p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-299-5p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-29c-3p,hsa-miR-301a-3p,hsa-miR-30a-3p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-30c-2-3p,hsa-miR-30c-5p,hsa-miR-30d-3p,hsa-miR-30d-5p,hsa-miR-30e-3p,hsa-miR-30e-5p,hsa-miR-31-3p,hsa-miR-31-5p,hsa-miR-3184-5p,hsa-miR-323a-3p,hsa-miR-323b-3p,hsa-miR-324-5p,hsa-miR-328-3p,hsa-miR-329-3p,hsa-miR-331-3p,hsa-miR-335-3p,hsa-miR-335-5p,hsa-miR-337-5p,hsa-miR-339-3p,hsa-miR-340-5p,hsa-miR-342-3p,hsa-miR-34a-5p,hsa-miR-3529-3p,hsa-miR-361-3p,hsa-miR-361-5p,hsa-miR-3617-5p,hsa-miR-369-5p,hsa-miR-370-3p,hsa-miR-378a-3p,hsa-miR-379-5p,hsa-miR-381-3p,hsa-miR-382-5p,hsa-miR-409-3p,hsa-miR-409-5p,hsa-miR-423-3p,hsa-miR-424-5p,hsa-miR-425-3p,hsa-miR-432-5p,hsa-miR-451a,hsa-miR-452-3p,hsa-miR-452-5p,hsa-miR-454-3p,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-484,hsa-miR-485-3p,hsa-miR-485-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-487a-3p,hsa-miR-487b-3p,hsa-miR-488-3p,hsa-miR-491-5p,hsa-miR-493-3p,hsa-miR-497-5p,hsa-miR-504-5p,hsa-miR-532-3p,hsa-miR-542-3p,hsa-miR-543,hsa-miR-551b-3p,hsa-miR-585-3p,hsa-miR-590-3p,hsa-miR-598-3p,hsa-miR-628-3p,hsa-miR-628-5p,hsa-miR-629-5p,hsa-miR-660-5p,hsa-miR-7-5p,hsa-miR-744-5p,hsa-miR-767-5p,hsa-miR-769-5p,hsa-miR-888-5p,hsa-miR-891a-5p,hsa-miR-891b,hsa-miR-892a,hsa-miR-892b,hsa-miR-9-3p,hsa-miR-9-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-95-3p,hsa-miR-96-5p,hsa-miR-98-5p,hsa-miR-99a-3p,Disese Group
sample_01,958.34,1669011.08,452902.16,203795.0,267982.41,1103181.73,184877.17,179379.17,87461.84,27302.0,101024.16,119729.26,119729.26,3883.34,320.33,20956.06,10.0,7453.5,257.5,1290.0,564398.65,8659.86,4.0,130.0,194.67,990545.14,1207002.3,97943.0,12550.5,84703.0,361.33,69870.66,828.33,8945.83,81576.6,3915.42,483.0,3851.08,9347.33,18605.32,7509.83,1707.0,2578.5,35395.16,23689.25,4788.5,1217.83,355.75,78516.75,4900.83,4950.0,5277.0,23798.5,37803.33,282.5,56886.08,2032.0,10974.17,1087.84,1499.0,10041.33,6208.33,494311.5,1095.33,58636.66,2512.0,2884300.33,2661549.42,7335.25,1267.67,202918.0,193666.5,44172.17,9797.0,6328.5,13.5,2331.0,2712.62,484.0,1353.81,4547.84,1000.5,731.42,731.42,322432.67,5180.33,85680.0,13156.75,99243.17,922.5,845.08,4516.67,6139.25,11691.66,9231.25,2353.25,31.0,19230.83,50389.0,42168.24,27092.5,588.25,946787.48,353.5,378873.33,5607.42,115386.5,3571.83,304431.83,152848.8,272155.23,1770.33,28459.67,136955.0,29775.58,2139.25,66046.84,717.0,380613.5,19646.83,40987.17,177.0,26638.5,4540.75,19703.5,6869.0,3069.0,7694.0,3464.0,3783.5,1007.25,47352.08,528.83,3583.0,11719.17,229696.5,50826.5,9306.4,8812.5,28307.58,471.0,6277.0,3817.33,4749.24,43519.75,3345.75,25090.0,15569.5,4250.0,4540.75,129.5,2764.0,26852.75,1365.5,2.5,7.0,15405.5,232.5,619.0,3941.83,6311.5,6003.5,2690.84,2690.84,408.0,11041.5,3357.33,2987.5,529.17,654.75,1174.33,638.33,72.0,529.0,1839.5,72.0,862.5,7238.0,2369.5,8827.0,1369.0,4988.0,46270.18,8793.08,1300.67,8611.5,50.0,88.0,10.0,22.0,13.0,212889.35,1971165.04,46208.34,4275.33,17812.5,13823.0,546661.58,26149.75,961.0,0
sample_02,1224.84,1113228.84,294703.75,120300.83,163772.67,821221.32,139174.92,131702.5,85077.84,22371.75,145759.82,102971.94,102971.94,2190.0,718.0,16517.15,22.0,3570.33,149.0,1269.66,632841.87,7956.8,0.0,35.0,39.67,674646.96,1058909.3,93702.83,13786.08,82912.0,504.0,57769.0,850.67,6067.17,71610.1,2700.67,212.0,3590.42,5405.33,17644.5,6668.83,2729.0,2917.0,31598.0,30631.17,5218.5,1441.5,314.75,100447.0,6336.17,4238.0,4847.08,16331.0,39631.67,230.5,36888.0,1816.5,9103.83,1584.5,1276.0,11368.17,5581.0,402239.16,1702.5,44355.34,1968.33,2570369.5,1812448.25,8932.42,1217.0,152904.5,142226.83,41821.08,10592.34,6329.08,21.0,1671.83,3059.12,445.0,1529.06,6592.34,951.0,990.37,990.37,296297.25,7175.83,106171.75,15968.75,56447.17,472.0,462.83,3698.33,4854.83,11854.34,10504.67,1722.0,29.0,17539.41,38168.25,32603.87,30007.5,473.33,847782.14,279.0,290875.83,7508.08,93924.08,3547.5,381538.08,146874.46,398229.48,1470.5,31387.58,209929.83,51614.08,1978.67,85012.09,713.67,378958.67,24744.25,60405.67,311.5,29650.25,2089.0,10297.5,1639.5,2704.0,3381.08,1950.66,3362.08,890.33,36928.42,518.0,3331.5,12896.58,182305.33,59175.92,9860.46,7136.67,20181.08,287.0,3852.0,1258.75,6318.74,37100.5,4977.5,13136.67,9861.5,3343.5,2089.0,281.0,2836.5,14591.83,1162.5,2.0,8.0,12200.17,232.0,638.0,2396.92,3806.0,2761.0,2108.66,2107.66,257.0,7056.5,3717.0,1707.5,299.33,663.33,439.33,467.83,344.33,658.0,1839.0,110.0,1050.67,10122.0,1267.33,5160.0,1401.5,5368.0,48900.04,3392.42,797.5,7670.67,28.0,56.0,7.0,13.0,8.0,185972.68,2113953.9,34865.66,2261.33,20459.0,10677.92,532109.42,16161.25,1092.5,0
sample_03,1575.0,548076.06,124670.91,42925.42,100407.08,372970.66,110731.5,79653.83,69790.5,7367.5,127663.32,46329.52,46329.52,737.66,187.5,10333.03,4.0,1271.0,205.83,912.0,77529.58,4807.92,3.0,31.0,19.0,440873.65,745147.14,85554.58,12504.58,42226.0,138.0,48299.34,312.08,2689.42,40928.64,1840.92,249.0,5450.92,1721.0,12242.0,2504.0,1978.0,1997.0,15716.34,18530.75,4019.5,730.0,368.0,29242.92,3609.08,2440.83,1610.0,13147.0,29855.92,201.0,23804.67,1215.0,10524.5,1791.34,360.0,7740.92,3614.17,253119.0,805.5,11890.84,502.0,1524776.75,713226.75,7223.08,713.5,117968.42,158993.92,31285.58,7805.5,2700.5,3.0,703.5,1310.82,536.0,654.91,8769.34,567.0,640.87,640.87,141323.42,2733.0,42020.5,14854.75,36404.33,334.0,373.17,2092.5,1483.5,14618.66,5070.08,1370.08,29.0,9924.17,22455.42,25825.49,16467.0,536.33,275491.66,249.5,195194.58,7108.25,98887.58,2605.0,213142.33,173554.62,298824.98,2778.83,14152.83,82986.67,34706.92,966.0,62000.0,707.67,161688.0,12638.25,36687.75,146.33,9832.5,1055.92,8443.5,3733.5,2481.0,2869.75,1438.34,3051.92,337.0,52906.0,697.83,1745.0,7485.0,101152.5,55578.0,6921.88,8457.33,9741.58,80.0,2180.0,2366.58,1353.33,23041.75,1232.5,12977.0,12290.0,2259.5,1055.92,210.5,1922.0,12006.5,275.0,5.0,8.0,7985.5,69.0,206.0,423.0,2631.5,1088.0,572.08,571.08,158.25,6564.58,933.75,815.0,264.83,758.0,421.0,420.58,159.0,212.0,1587.0,41.0,748.17,3945.0,1006.0,2631.33,626.5,3007.5,34272.64,2024.25,619.5,3598.83,54.0,68.0,17.0,12.0,20.0,131742.56,1022510.92,10047.66,552.0,16934.0,9154.0,224765.08,7975.25,828.5,0
sample_04,3659.66,1193248.35,287310.08,96194.33,228124.41,836555.15,241710.75,145970.83,111887.5,16445.5,255081.48,90314.16,90314.16,1621.0,313.0,19807.73,14.0,3661.0,639.5,1454.66,118293.44,10133.84,1.0,39.0,48.0,1124840.55,1559199.96,215939.42,38509.08,60762.33,218.0,138341.0,896.92,7740.58,94134.76,4226.75,610.5,13503.75,6584.67,13551.16,4351.5,2562.0,2358.0,21843.0,39766.08,8856.0,1241.0,995.17,56983.83,6762.5,5155.25,2207.5,28504.33,51752.25,410.0,46737.33,3825.5,20034.83,2992.16,650.0,20401.42,10494.33,611362.0,1600.5,26341.16,972.0,3124480.0,1304388.33,14854.33,1579.5,328662.83,448026.0,69374.42,18545.0,7790.5,11.0,1859.0,2571.3,1111.66,1285.65,15126.34,1409.5,1712.46,1712.46,330624.67,5462.5,103044.58,26706.5,104466.58,844.0,2213.5,7304.0,7920.0,27813.84,10845.33,5770.75,90.0,25622.41,57189.16,62589.61,38929.0,1633.67,530011.64,685.67,481192.25,16587.25,231545.25,4995.0,371335.0,353471.89,551131.7,6529.67,33744.17,141832.33,68175.67,2226.25,145643.75,1410.83,301127.92,29321.17,54616.83,297.0,17929.83,2608.08,18341.5,7690.0,5783.5,6804.25,3418.66,5859.92,754.0,146969.92,947.0,2362.25,14871.25,251289.5,101616.33,19225.91,14484.5,22672.92,425.5,4421.0,5271.75,2429.74,41203.0,1566.0,26838.5,21865.5,3708.5,2608.08,607.33,3101.0,27537.75,1178.5,6.0,14.5,17109.0,247.25,531.0,660.5,7037.5,1510.0,1364.84,1364.84,414.0,15387.5,1404.75,1763.5,449.83,2057.5,861.0,1088.33,360.0,485.0,2801.42,45.0,2528.0,8370.17,2492.0,5975.5,1465.0,5522.0,95166.45,4998.17,1518.0,6041.67,18.0,49.0,8.0,13.0,5.0,282162.3,2195578.57,26894.66,1821.0,39081.5,22962.08,347113.67,14910.08,1420.0,0
sample_05,2647.16,861134.44,207922.0,70847.75,131102.58,548846.66,149366.17,83046.33,52844.16,9605.5,175330.16,57639.62,57639.62,1351.66,201.5,10654.51,12.5,3231.5,359.0,575.0,106634.64,8232.86,2.0,70.0,51.0,690690.64,1124938.46,198598.67,32830.67,30003.33,168.0,100335.84,302.17,4104.5,44308.8,2747.25,609.0,11333.25,4091.0,6721.84,2251.17,1122.0,1167.0,8267.34,32923.83,6343.5,1029.5,977.25,44102.42,5295.25,3989.5,2181.0,21093.5,40828.67,312.0,21014.83,3398.75,13168.83,1686.84,630.0,20038.67,10386.17,580315.5,1249.0,15659.66,518.5,3120540.75,1191685.42,9567.08,1979.0,158521.5,345496.83,48655.67,11797.34,6983.5,20.0,1415.67,2008.64,1109.34,1004.32,10738.5,564.5,1012.92,1012.92,300490.83,5012.0,75012.33,22052.08,75300.92,591.5,714.58,2252.33,1844.25,17534.34,7924.42,7038.83,80.0,14276.17,35578.17,36880.99,35233.5,1061.08,359830.16,517.75,395480.58,10059.08,143814.75,2365.5,257152.5,225071.24,382369.63,4121.83,22833.83,96182.17,49251.92,1644.75,105367.33,1004.92,223566.5,21095.0,41414.5,146.0,8693.0,1712.25,12352.0,2168.0,3415.5,6341.17,2012.34,5447.5,742.33,135931.58,494.83,2357.83,10624.33,212479.5,42825.83,10528.96,14236.5,21077.5,144.0,2358.0,2604.58,2587.99,16769.0,1063.0,15579.83,9642.5,1305.0,1712.25,450.0,2274.5,13990.83,502.0,3.0,17.0,12488.5,245.5,381.0,631.33,4865.5,610.0,1005.42,1004.42,222.0,8752.5,1133.83,801.0,328.33,2006.33,641.5,982.0,258.0,216.0,2843.92,104.0,1633.0,4830.0,2120.5,4011.5,832.0,3458.33,52248.66,3669.33,1408.0,3874.67,48.0,97.0,21.0,22.0,17.0,185078.51,1495924.64,27283.5,1890.0,32043.83,15186.5,313103.42,8760.25,1288.0,0
sample_06,4655.5,1259053.95,321917.33,104796.25,276663.33,915507.73,297113.08,176405.67,113963.66,13748.0,332313.48,101990.76,101990.76,1822.34,391.67,22328.79,4.0,4389.5,899.0,1869.66,156317.88,12356.57,1.0,77.0,159.5,1347816.11,2088887.92,250012.33,39839.67,84992.42,333.33,180033.16,749.25,9476.58,121619.72,6605.67,1035.5,17617.75,5550.0,17820.32,4438.83,3052.0,2888.0,23388.0,50545.25,11580.0,1619.25,1573.33,49044.42,8192.08,8446.0,2702.33,28780.0,64516.67,512.0,59214.67,4514.0,22193.0,4467.34,726.0,24573.5,14705.0,755588.16,2467.33,25508.0,1028.0,3611356.25,1477362.17,20652.0,1631.33,289625.42,566991.08,79183.42,22193.5,7877.33,26.0,2923.83,3028.28,2044.0,1514.14,19195.0,899.0,1991.08,1991.08,560767.75,8474.0,97578.92,43845.5,159709.25,1006.5,1519.75,6080.5,3366.5,37581.66,13295.33,8126.25,80.0,31109.25,79172.91,88299.87,51274.0,1897.83,640622.14,981.0,580106.17,25803.67,306126.83,7181.0,436607.17,522584.66,756690.67,10402.5,45220.67,185938.0,92316.17,2788.08,214854.66,1737.33,342814.33,39279.83,80694.08,348.0,22207.33,2853.21,22392.0,10421.0,7921.33,11848.17,4423.66,9782.17,865.5,155151.17,1553.33,4026.5,16829.5,293560.0,134327.0,18744.19,23687.25,34518.17,443.5,5894.0,8032.33,3012.24,47840.0,2626.33,33034.0,33868.0,4343.5,2851.21,555.75,4366.0,34101.92,778.5,4.0,7.0,20710.5,500.58,711.0,1061.17,10605.5,1888.5,1547.24,1544.74,477.0,19820.5,1581.0,1919.0,613.83,2733.5,995.0,2087.0,219.0,619.0,4529.67,94.0,2890.17,9126.5,3176.0,5679.5,1827.0,6072.5,92668.75,6688.0,2002.67,7338.33,29.0,84.33,18.0,6.0,3.0,297583.7,2428342.54,34321.66,1894.0,56905.5,25745.42,419231.58,16503.0,2219.0,0
sample_07,2348.0,990696.64,219048.16,70851.92,179284.33,659419.9,187765.42,124320.25,83633.16,7979.0,199157.0,78804.62,78804.62,1107.66,249.0,15867.49,4.0,2431.0,443.5,1097.0,127646.8,8480.36,2.0,39.0,67.33,747495.31,1208560.3,140815.5,25624.5,54223.83,276.5,92963.34,399.25,4687.92,70865.94,3380.5,426.0,7157.42,3087.83,14648.0,3179.33,2012.0,1870.0,19345.66,27183.58,5990.0,1058.5,511.0,36386.25,3824.58,4317.75,2584.33,21790.33,48064.33,328.0,35622.08,3630.5,14907.67,2688.34,547.0,15300.67,8196.92,545076.0,1209.5,16899.16,744.5,2707689.25,1486168.0,10316.08,948.75,185547.58,246449.0,48986.58,13162.34,5258.5,7.0,1320.0,2302.3,1055.0,1150.15,11182.84,637.5,718.0,718.0,226552.42,5805.0,67836.25,26312.5,73775.0,618.0,612.83,3465.5,1951.0,20592.0,6556.33,2703.75,74.0,15368.0,35145.83,38556.99,29314.0,1016.0,523416.98,426.0,394036.75,10502.75,140384.17,4054.5,322803.42,255259.94,412298.39,4399.83,18779.33,110509.17,49249.42,1331.5,94839.66,1056.75,290182.75,19545.83,55192.0,178.5,14147.5,1622.17,13257.0,6219.0,4359.5,7306.0,2173.0,4794.5,569.5,71916.42,642.0,3075.0,12221.33,192823.17,62279.75,10705.41,9801.0,17601.0,250.5,3040.5,3152.83,1214.66,30697.25,1543.83,19380.5,14757.0,2401.5,1622.17,575.83,3192.0,18610.25,375.0,0.0,6.0,14575.33,183.0,416.0,643.83,6166.5,1464.0,795.0,795.0,195.0,8317.5,1485.0,1157.0,244.17,1301.25,586.0,911.67,518.25,242.0,1645.08,23.0,1406.33,6681.75,1947.0,3961.5,1049.25,3819.0,53049.45,4306.17,897.25,5220.25,29.0,43.0,10.0,11.0,12.0,181531.56,1597454.57,20146.16,1009.5,28225.67,15897.67,395294.83,12615.42,1395.5,0
sample_08,2263.66,1030404.63,214309.91,78622.17,165477.83,673541.65,177621.58,102961.42,55278.34,8870.5,157537.82,70493.16,70493.16,1393.5,227.33,14076.41,7.0,2709.0,370.5,851.0,144810.06,9987.69,0.0,42.0,45.0,711732.56,1027034.64,101021.5,17443.33,47770.0,235.0,90197.66,401.0,5231.17,65987.62,3084.33,369.0,6593.33,3373.0,11703.5,3392.5,1636.0,1939.0,16624.66,25012.75,5144.0,743.5,395.5,34544.17,4329.08,3700.5,2292.92,16672.75,45327.0,299.0,28857.0,1848.0,12091.83,1521.0,548.0,14465.25,8344.67,486220.16,1121.33,16705.84,618.0,2833282.75,1555845.58,10544.25,752.5,170350.67,253815.25,51899.58,12773.5,3312.5,9.0,1282.5,1689.14,684.0,843.57,9009.34,635.0,365.58,365.58,271332.58,5064.83,62578.0,19568.5,60809.58,511.0,787.67,3550.0,2463.0,16793.34,6688.17,2913.5,43.0,12934.5,34942.25,33998.0,27103.5,1017.17,479659.48,493.5,371519.58,7979.42,132943.75,3704.0,320379.58,234652.6,406794.72,3526.5,23262.83,123663.83,49771.08,1622.92,102961.09,1024.17,278405.92,19707.67,47366.0,205.0,13321.08,1570.71,12066.0,2282.0,3108.58,5349.67,2002.84,4471.0,643.5,76504.08,535.83,3016.5,11286.5,206987.83,59296.92,9309.37,10203.25,18515.75,185.5,2770.0,2245.5,2504.74,20923.0,1740.5,15154.33,11408.5,1931.0,1570.71,150.83,2758.33,15289.08,381.0,1.0,11.0,15369.5,123.0,255.0,878.42,4420.0,1187.25,697.66,696.66,164.0,8647.83,1347.83,923.0,346.5,779.83,610.33,738.5,64.0,234.0,2357.0,18.0,1307.0,5234.5,1747.5,3971.83,990.5,4238.0,46128.99,3269.58,1500.67,5222.33,8.0,27.0,5.0,4.0,1.0,185564.5,1497988.92,22853.5,1192.5,23822.0,14239.5,427609.5,12886.5,1359.0,0
sample_09,4187.16,813145.02,213660.5,66994.0,121790.25,586660.24,193050.75,96064.25,59918.34,9936.5,328185.66,80872.56,80872.56,1136.66,288.17,15348.62,22.5,2480.5,270.0,1147.0,151550.2,13039.55,2.0,29.0,27.0,771823.72,1434049.78,229546.5,35943.33,35669.0,230.33,122699.16,455.58,5822.25,55888.94,2653.08,352.0,15196.0,2847.5,8927.66,3611.25,1731.0,1183.0,17087.34,36300.58,6855.33,1394.0,2794.5,67290.75,9045.25,6619.92,2958.92,15648.83,47599.0,343.5,24836.83,2952.0,12426.33,3230.66,766.0,31255.67,12521.92,604459.34,1993.5,15739.66,610.5,3410072.0,1346781.17,15707.25,1797.0,178832.67,387139.0,57939.33,18149.16,7810.5,27.5,1406.5,2756.96,2218.34,1378.48,28733.66,376.5,952.25,952.25,258667.75,7947.5,117737.75,61075.5,87995.92,577.0,1157.33,3767.75,3266.75,25529.34,10696.17,6081.5,114.0,20680.91,41224.83,48844.74,39952.0,1398.5,464638.14,727.5,442067.91,21381.67,175376.67,3438.5,390478.83,382509.06,672757.7,6768.0,26539.0,116146.33,101661.92,1246.08,149609.41,1418.42,289174.67,27241.33,54544.92,240.0,12240.83,1322.67,11115.5,4134.5,4507.17,3610.83,1935.0,5992.0,623.0,141390.08,695.67,3089.0,13767.58,256663.0,76797.17,14891.16,13394.0,15880.92,162.5,1947.0,1402.0,1637.66,18622.75,1109.5,15518.5,10983.5,1809.0,1322.67,723.25,3177.33,12241.83,2159.5,8.0,26.5,12740.33,196.83,339.0,401.08,4167.5,479.0,894.66,894.66,318.5,9785.0,1613.0,743.0,267.83,3204.5,318.33,924.67,183.0,319.0,3837.42,32.0,2194.5,5971.75,2377.0,5034.83,946.5,5977.0,74078.44,2678.0,1135.33,5462.5,33.0,69.0,16.0,13.0,9.0,191557.61,1594921.3,26545.5,1476.5,39479.33,16008.17,433614.42,9095.17,1783.0,0
sample_10,4243.0,680177.42,176591.58,60425.25,111661.58,501361.66,173977.67,84912.5,76133.5,10378.5,371164.98,71445.34,71445.34,1241.84,268.5,13409.15,9.0,2130.0,386.5,1204.0,119110.7,13513.89,1.0,28.0,27.0,763340.22,1526920.28,164982.25,31554.17,34213.33,176.0,118456.66,530.58,6163.17,53400.28,2796.83,304.0,14070.42,3990.0,9287.84,2524.58,2356.0,1793.0,12858.34,32103.33,7212.5,1032.0,1631.58,30118.08,5352.83,4866.0,2303.17,16611.75,43843.17,322.0,24947.83,2530.0,13889.83,4060.66,507.0,30382.0,11732.17,538971.5,1613.0,17443.84,654.0,3013769.67,1081478.0,14926.58,1859.67,221570.0,355700.16,65639.33,21066.0,5440.92,3.0,1262.17,1563.98,1070.66,781.49,30159.34,768.5,1542.21,1542.21,358687.17,6297.0,95645.75,34069.75,75994.0,509.0,1053.0,4919.83,2954.5,24792.5,12420.33,5496.0,79.0,17954.41,42999.33,51256.61,35994.5,1584.0,388769.98,603.0,404812.16,16884.75,173521.75,3673.0,345757.75,359100.74,640904.62,9313.5,30533.83,150867.83,99426.17,1646.0,167489.84,1429.67,289965.92,28519.67,63486.58,368.5,15029.25,1300.25,13286.5,4656.5,4381.0,4128.33,2437.16,5828.67,611.5,189746.42,851.83,3360.5,16166.75,249037.33,58108.0,13473.66,17214.0,20764.75,346.5,2666.0,2179.75,2158.24,21041.0,1086.5,16897.5,11850.5,1957.5,1300.25,420.0,2848.33,14617.33,1741.5,8.0,12.0,12102.5,278.5,399.0,354.67,4480.0,577.0,759.92,758.42,328.0,11368.83,1232.5,895.0,363.83,2144.5,607.67,917.0,132.0,351.0,4088.67,33.0,2298.5,6636.25,2014.83,4348.0,1008.58,5744.5,66997.7,2582.92,1820.83,6221.75,39.5,87.0,15.0,10.0,10.0,239699.23,2011913.54,21533.34,1291.83,33034.67,14756.58,369026.08,7936.75,1632.83,0
