,hsa-miR-585-5p,hsa-miR-448,hsa-miR-10a-5p,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-6861-3p,hsa-let-7c-5p,hsa-miR-888-5p,hsa-miR-1271-5p,hsa-miR-92a-3p,hsa-miR-98-5p,hsa-miR-484,hsa-miR-30b-5p,hsa-miR-425-3p,hsa-miR-4429,hsa-miR-615-3p,hsa-let-7a-5p,hsa-miR-193b-5p,hsa-miR-455-3p,hsa-miR-5680,hsa-miR-1249,hsa-miR-30a-5p,hsa-miR-106a-5p,hsa-miR-324-5p,hsa-miR-431-3p,hsa-miR-196a-5p,hsa-miR-6887-3p,hsa-miR-6810-3p,hsa-miR-29a-3p,hsa-miR-182-5p,hsa-miR-7113-3p,hsa-miR-3663-5p,hsa-miR-671-3p,hsa-miR-616-3p,hsa-miR-211-3p,hsa-miR-579-5p,hsa-miR-146b-3p,hsa-miR-31-3p,hsa-miR-1180-3p,hsa-miR-1269b,hsa-miR-6895-3p,hsa-miR-770-5p,hsa-miR-222-3p,hsa-miR-4646-3p,hsa-miR-148b-3p,hsa-miR-4428,hsa-miR-660-5p,hsa-miR-3150a-5p,hsa-miR-3167,hsa-miR-7157-5p,hsa-miR-3591-3p,hsa-miR-501-5p,hsa-miR-6864-5p,hsa-miR-3612,hsa-miR-449c-5p,hsa-miR-27a-3p,hsa-miR-148a-3p,hsa-miR-6830-3p,hsa-miR-4798-5p,hsa-miR-203b-5p,hsa-miR-6759-5p,hsa-miR-515-3p,hsa-miR-6884-5p,hsa-miR-30e-5p,hsa-miR-337-5p,hsa-miR-488-5p,hsa-miR-146b-5p,hsa-miR-125b-2-3p,hsa-miR-4536-3p,hsa-miR-27b-3p,hsa-miR-1248,hsa-miR-6852-3p,hsa-miR-101-5p,hsa-miR-455-5p,hsa-miR-1185-1-3p,hsa-miR-4667-3p,hsa-miR-1297,hsa-miR-548m,hsa-miR-4286,hsa-miR-576-5p,hsa-miR-873-5p,hsa-miR-3667-5p,hsa-miR-210-3p,hsa-miR-4659a-5p,hsa-miR-4476,hsa-miR-1291,hsa-miR-34c-3p,hsa-miR-370-5p,hsa-miR-423-3p,hsa-let-7d-3p,hsa-miR-3182,hsa-miR-345-3p,hsa-miR-504-5p,hsa-miR-3681-5p,hsa-miR-26a-2-3p,hsa-miR-6515-3p,hsa-miR-339-3p,hsa-miR-6818-5p,hsa-miR-4714-3p,hsa-miR-7845-5p,hsa-miR-6881-3p,hsa-miR-653-3p,hsa-miR-152-3p,hsa-miR-3168,hsa-miR-92a-1-5p,hsa-miR-4999-5p,hsa-miR-3684,hsa-miR-377-3p,hsa-miR-1910-5p,hsa-miR-6846-3p,hsa-miR-4444,hsa-miR-10b-5p,hsa-miR-155-5p,hsa-miR-520a-5p,hsa-miR-202-5p,hsa-miR-487a-3p,hsa-miR-6826-3p,hsa-miR-365a-5p,hsa-miR-652-5p,hsa-miR-518b,hsa-miR-3130-3p,hsa-miR-320b,hsa-miR-5010-3p,hsa-miR-6866-5p,hsa-miR-1197,hsa-miR-7-1-3p,hsa-miR-452-3p,hsa-miR-92b-3p,hsa-miR-629-3p,hsa-miR-1185-2-3p,hsa-miR-194-5p,hsa-miR-5001-3p,hsa-miR-362-3p,hsa-miR-3202,hsa-miR-4787-3p,hsa-miR-214-5p,hsa-miR-485-3p,hsa-miR-6838-5p,hsa-miR-2681-3p,hsa-miR-6729-5p,hsa-miR-4635,hsa-let-7a-3p,hsa-miR-548l,hsa-miR-24-1-5p,hsa-miR-3925-3p,hsa-miR-191-3p,hsa-miR-326,hsa-miR-3613-5p,hsa-miR-6862-3p,hsa-miR-3911,hsa-miR-5699-5p,hsa-miR-4639-3p,hsa-miR-199a-3p,hsa-miR-149-3p,hsa-miR-3140-3p,hsa-miR-483-3p,hsa-miR-642b-5p,hsa-miR-514a-5p,hsa-miR-6812-3p,hsa-miR-193a-3p,hsa-miR-520b,hsa-miR-6792-3p,hsa-miR-3934-3p,hsa-miR-520c-3p,hsa-miR-578,hsa-miR-664b-3p,hsa-miR-4677-5p,hsa-miR-3656,hsa-miR-3192-5p,hsa-miR-135b-5p,hsa-miR-26a-1-3p,hsa-miR-6739-3p,hsa-miR-6747-3p,hsa-miR-5001-5p,hsa-miR-23c,hsa-miR-3664-3p,hsa-miR-1269a,hsa-miR-3912-3p,hsa-miR-3125,hsa-miR-502-3p,hsa-miR-548ap-3p,hsa-miR-585-3p,hsa-miR-194-3p,hsa-miR-4510,hsa-miR-4524a-3p,hsa-miR-486-3p,hsa-miR-3176,hsa-miR-196b-5p,hsa-miR-6844,hsa-miR-154-3p,hsa-miR-6794-3p,hsa-miR-1307-3p,hsa-miR-195-5p,hsa-miR-5695,hsa-miR-224-5p,hsa-miR-222-5p,hsa-miR-3622a-5p,hsa-miR-6891-5p,hsa-miR-7706,Disese Group
sample_01,4.0,24.0,10.0,282.5,1095.33,5.0,8.0,203795.0,50.0,361.33,46208.34,26149.75,3941.83,29775.58,2764.0,44.75,11.0,1669011.08,493.0,232.5,10.0,194.67,136955.0,11.33,3069.0,661.0,13.5,12.0,4.0,304431.83,2884300.33,4.0,5.0,421.5,23.0,300.67,7.0,78.0,177.0,7453.5,0.0,46.0,130.0,1585.5,23.58,37803.33,3.0,4988.0,2.5,2.0,8.0,186.42,79.0,12.0,36.0,0.0,5607.42,23798.5,5.0,24.0,731.42,2.0,1.0,10.0,40987.17,528.83,332.33,5277.0,1757.25,54.16,115386.5,10.0,0.25,172.0,619.0,257.5,20.0,7.0,1.5,8.67,897.33,812.42,0.0,13156.75,0.0,0.0,203.0,10.0,173.0,4540.75,1128.0,1.0,12.0,1174.33,2.0,588.25,35.0,3583.0,0.0,7.0,2.5,125.5,11.0,10974.17,0.33,23.0,195.0,0.0,265.0,35.0,3.0,1.84,56.0,1499.0,1.5,0.0,408.0,5.0,31.5,13.0,13.0,4.0,881.0,228.0,63.0,235.0,2859.0,2.5,4275.33,32.0,52.5,9797.0,50.0,51.0,5.0,31.0,9.5,6311.5,4.0,29.0,2.0,1.0,958.34,27.0,13.33,0.0,460.0,654.75,267.83,1.0,1.0,37.33,4.0,2712.62,5.0,7.0,10.83,109.58,3.0,5.0,1.0,0.0,2.5,0.0,0.0,4.0,86.0,10.0,0.5,12.0,7509.83,61.0,16.0,120.5,4.0,25.0,6.0,11.0,64.0,9.5,466.42,0.0,72.0,39.0,0.0,12.75,2690.84,7.0,3.0,2.0,59.0,52.0,3305.0,6328.5,8.0,31.0,3.0,11.5,1.0,96.5,0
sample_02,6.0,40.5,22.0,230.5,1702.5,5.0,4.25,120300.83,28.0,504.0,34865.66,16161.25,2396.92,51614.08,2836.5,29.83,9.0,1113228.84,179.0,232.0,6.0,39.67,209929.83,22.5,2704.0,421.5,21.0,8.0,0.0,381538.08,2570369.5,5.0,6.0,251.5,18.5,104.42,5.0,50.33,311.5,3570.33,0.0,19.0,110.0,754.33,10.0,39631.67,1.0,5368.0,4.5,13.0,2.0,183.0,39.0,5.0,17.0,2.0,7508.08,16331.0,2.0,32.0,990.37,0.0,0.0,2.0,60405.67,518.0,345.67,4847.08,1589.08,49.84,93924.08,18.0,0.33,336.5,638.0,149.0,14.0,3.58,2.0,5.5,932.08,1018.67,0.0,15968.75,0.5,0.0,87.0,5.0,99.0,2089.0,513.0,1.33,25.0,439.33,8.0,473.33,23.5,3331.5,0.0,6.0,1.83,74.5,16.5,9103.83,0.33,6.0,202.0,2.0,333.0,11.0,3.0,3.34,31.0,1276.0,0.0,2.0,257.0,7.5,10.0,37.0,5.0,5.5,545.0,157.5,59.0,331.0,2213.75,2.0,2261.33,41.5,23.0,10592.34,35.5,58.0,3.16,26.0,10.5,3806.0,1.0,24.0,0.0,3.0,1224.84,12.0,10.25,1.0,343.0,770.0,266.75,1.0,0.0,40.5,2.0,3059.12,1.0,6.0,2.0,84.58,2.01,5.0,3.0,1.0,1.5,0.0,1.0,5.0,98.75,13.0,0.0,11.0,6668.83,42.33,4.0,50.5,1.0,19.0,11.0,5.0,75.0,44.5,351.67,0.0,110.0,36.0,1.0,8.5,2108.66,11.0,2.0,0.0,80.0,38.0,1807.0,6329.08,11.67,29.0,1.0,6.5,0.0,82.0,0
sample_03,9.0,16.0,4.0,201.0,805.5,1.0,2.5,42925.42,54.0,138.0,10047.66,7975.25,423.0,34706.92,1922.0,8.0,7.5,548076.06,178.0,69.0,2.0,19.0,82986.67,7.5,2481.0,409.5,3.0,3.0,0.0,213142.33,1524776.75,1.0,3.0,92.0,13.33,108.75,2.0,30.0,146.33,1271.0,0.0,16.0,61.0,682.0,2.83,29855.92,2.0,3007.5,1.0,6.0,3.0,110.75,24.0,2.0,1.0,1.0,7108.25,13147.0,0.0,16.0,640.87,0.0,1.0,4.0,36687.75,697.83,225.0,1610.0,134.83,19.34,98887.58,29.0,0.33,205.5,206.0,205.83,7.0,1.08,9.0,0.0,237.5,714.92,0.0,14854.75,0.0,0.0,139.0,3.0,160.0,1055.92,688.0,1.67,9.0,421.0,6.0,536.33,10.0,1745.0,2.0,3.0,0.33,37.0,12.0,10524.5,0.0,5.0,62.5,2.0,94.0,29.0,1.0,2.5,15.0,360.0,3.5,1.0,158.25,0.0,6.0,13.0,6.0,1.0,141.0,56.5,12.5,185.0,1933.0,5.0,552.0,26.5,42.83,7805.5,7.0,29.0,3.0,23.0,8.17,2631.5,1.0,41.33,0.0,0.0,1575.0,1.0,2.5,2.0,274.25,428.83,179.83,0.0,0.0,41.0,2.0,1310.82,1.0,8.0,2.0,43.83,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,39.17,1.0,0.5,9.0,2504.0,37.0,4.0,25.0,0.0,12.5,3.0,24.0,39.0,5.0,177.08,0.0,41.0,21.0,0.0,9.75,572.08,2.0,1.0,1.0,38.0,17.5,852.0,2700.5,7.33,29.0,0.0,1.5,0.0,39.0,0
sample_04,6.0,39.0,14.0,410.0,1600.5,9.0,2.5,96194.33,18.0,218.0,26894.66,14910.08,660.5,68175.67,3101.0,16.5,32.83,1193248.35,352.0,247.25,8.0,48.0,141832.33,17.5,5783.5,833.5,11.0,18.33,2.0,371335.0,3124480.0,3.0,5.0,215.08,21.83,270.92,5.0,63.5,297.0,3661.0,0.0,24.0,190.0,1654.25,16.67,51752.25,2.0,5522.0,2.5,6.5,8.0,372.5,63.0,18.0,2.0,7.0,16587.25,28504.33,1.33,28.0,1712.46,0.0,2.0,4.0,54616.83,947.0,492.83,2207.5,191.75,88.42,231545.25,29.0,0.25,308.75,531.0,639.5,10.0,6.25,4.5,5.5,523.5,1874.08,0.0,26706.5,0.5,0.0,296.0,2.0,347.0,2608.08,1983.5,0.67,19.0,861.0,10.0,1633.67,22.0,2362.25,3.0,10.0,1.0,92.5,10.0,20034.83,0.0,22.0,2.0,0.0,129.5,83.0,2.0,6.0,22.0,650.0,2.5,2.0,414.0,17.5,18.0,11.0,30.0,1.0,213.0,116.0,19.0,273.5,5820.17,6.0,1821.0,48.0,128.5,18545.0,20.0,79.0,11.34,25.0,14.17,7037.5,1.0,75.0,0.0,13.0,3659.66,7.5,10.75,1.0,585.0,527.75,455.83,1.0,0.0,32.0,7.0,2571.3,9.0,9.0,1.67,91.21,12.0,13.0,5.0,1.5,0.0,0.0,1.5,7.0,58.0,8.0,0.75,22.5,4351.5,103.5,10.0,71.5,4.0,26.0,13.0,28.5,98.0,3.5,325.0,0.0,45.0,77.0,0.0,23.75,1364.84,6.0,4.0,10.0,81.0,66.0,1800.0,7790.5,20.83,90.0,4.0,6.75,0.0,83.0,0
sample_05,20.0,43.0,12.5,312.0,1249.0,8.0,0.5,70847.75,48.0,168.0,27283.5,8760.25,631.33,49251.92,2274.5,11.0,28.0,861134.44,224.5,245.5,5.0,51.0,96182.17,12.0,3415.5,440.0,20.0,14.0,5.0,257152.5,3120540.75,1.0,8.0,115.5,19.5,215.83,13.0,62.5,146.0,3231.5,0.0,33.0,71.0,829.75,14.5,40828.67,1.0,3458.33,0.5,5.0,6.0,168.25,56.0,9.0,1.0,1.0,10059.08,21093.5,3.0,20.0,1012.92,0.0,1.0,2.0,41414.5,494.83,434.5,2181.0,130.5,68.66,143814.75,12.0,1.75,251.17,381.0,359.0,12.33,4.08,23.67,2.0,386.17,974.17,0.0,22052.08,0.0,1.0,249.83,4.0,154.0,1712.25,1407.0,0.33,23.0,641.5,4.0,1061.08,23.0,2357.83,5.0,11.0,1.5,57.0,13.5,13168.83,0.33,17.0,159.83,4.0,70.0,73.0,1.0,2.66,24.0,630.0,1.0,5.0,222.0,1.0,10.0,16.0,14.0,4.5,180.34,85.58,13.0,149.0,4411.17,3.0,1890.0,34.0,60.0,11797.34,25.0,34.5,5.66,17.0,17.42,4865.5,0.0,61.0,0.0,0.0,2647.16,6.5,7.0,0.0,382.5,410.42,361.5,0.0,0.0,35.0,1.0,2008.64,1.67,11.0,3.33,224.87,2.01,16.0,3.0,0.33,1.0,3.0,0.33,7.0,38.5,8.0,0.0,16.0,2251.17,112.0,5.0,46.5,7.0,11.0,13.0,13.0,58.0,79.83,233.25,0.0,104.0,54.5,0.0,13.25,1005.42,1.5,4.0,3.0,57.0,74.5,1290.0,6983.5,14.5,80.0,1.0,4.5,0.0,82.0,0
sample_06,19.0,64.0,4.0,512.0,2467.33,8.0,3.5,104796.25,29.0,333.33,34321.66,16503.0,1061.17,92316.17,4366.0,13.33,67.5,1259053.95,678.0,500.58,15.0,159.5,185938.0,26.83,7921.33,1189.5,26.0,25.0,7.0,436607.17,3611356.25,4.0,12.0,273.0,42.33,557.75,8.0,78.5,348.0,4389.5,0.0,48.0,144.0,1882.75,21.0,64516.67,8.0,6072.5,2.5,1.0,8.0,314.0,84.5,15.0,8.0,0.0,25803.67,28780.0,4.0,32.0,1991.08,0.0,2.0,0.0,80694.08,1553.33,578.33,2702.33,248.0,89.66,306126.83,6.0,1.83,459.33,711.0,899.0,17.0,9.08,26.33,9.5,503.75,1953.5,0.0,43845.5,1.5,1.0,395.25,14.0,469.17,2851.21,2709.5,1.67,11.0,995.0,9.0,1897.83,36.83,4026.5,5.0,17.0,3.33,93.0,47.5,22193.0,0.0,28.0,242.83,2.0,183.0,99.0,5.0,7.66,43.0,726.0,4.0,6.0,477.0,3.0,17.5,30.33,22.0,3.5,375.67,133.0,19.5,377.0,7350.17,4.0,1894.0,67.5,177.0,22193.5,35.0,64.5,15.66,33.5,29.0,10605.5,2.0,109.5,1.0,5.0,4655.5,7.0,9.0,1.0,722.0,1041.67,591.83,3.0,1.0,62.0,7.0,3028.28,5.0,5.0,7.5,131.17,3.99,29.0,5.0,0.33,6.83,0.0,0.33,6.0,62.5,11.0,0.25,21.0,4438.83,171.5,4.0,80.5,2.0,50.0,15.0,47.0,86.0,14.5,371.25,0.0,94.0,118.0,0.0,38.17,1547.24,8.0,2.0,0.0,147.0,98.0,2434.5,7877.33,23.67,80.0,2.0,20.5,0.0,120.5,0
sample_07,1.0,35.5,4.0,328.0,1209.5,4.0,3.75,70851.92,29.0,276.5,20146.16,12615.42,643.83,49249.42,3192.0,15.0,7.0,990696.64,306.0,183.0,8.0,67.33,110509.17,10.0,4359.5,633.0,7.0,4.0,5.83,322803.42,2707689.25,3.0,2.0,154.0,14.5,215.0,5.0,51.5,178.5,2431.0,0.33,22.0,87.0,705.5,11.17,48064.33,4.0,3819.0,4.0,11.5,5.0,194.0,41.0,5.0,6.0,1.0,10502.75,21790.33,2.0,28.0,718.0,0.0,5.0,0.0,55192.0,642.0,470.33,2584.33,222.0,74.34,140384.17,10.0,0.0,310.5,416.0,443.5,8.0,4.83,2.5,2.5,382.17,996.0,0.0,26312.5,0.5,0.0,220.75,6.0,214.0,1622.17,1324.5,0.67,20.0,586.0,5.0,1016.0,17.0,3075.0,1.0,14.0,0.25,51.0,23.0,14907.67,0.0,10.0,94.83,0.0,81.0,49.0,3.0,3.66,26.0,547.0,2.5,15.0,195.0,2.0,8.0,14.0,25.0,5.16,202.59,77.0,26.0,250.0,4181.67,0.0,1009.5,24.33,69.5,13162.34,17.0,53.0,8.0,32.0,12.0,6166.5,4.0,55.17,0.0,2.0,2348.0,6.0,8.75,1.0,449.0,673.17,415.92,2.0,2.0,42.33,4.0,2302.3,3.33,8.0,1.83,106.83,2.01,14.0,0.0,2.67,0.5,0.0,2.67,8.0,43.0,6.0,0.0,12.0,3179.33,63.5,3.0,70.0,0.0,15.0,9.0,10.0,76.0,51.0,253.17,0.0,23.0,49.0,1.0,14.5,795.0,2.0,1.0,6.0,51.0,46.5,1329.0,5258.5,23.17,74.0,1.0,5.5,0.0,78.0,0
sample_08,4.0,11.0,7.0,299.0,1121.33,7.0,5.0,78622.17,8.0,235.0,22853.5,12886.5,878.42,49771.08,2758.33,11.5,12.0,1030404.63,218.0,123.0,13.0,45.0,123663.83,8.83,3108.58,443.0,9.0,14.5,6.0,320379.58,2833282.75,4.0,3.0,148.0,17.0,135.0,7.0,43.0,205.0,2709.0,2.42,33.0,114.0,754.5,5.5,45327.0,5.0,4238.0,2.5,6.0,1.0,146.5,52.0,4.0,5.0,1.0,7979.42,16672.75,2.0,17.0,365.58,1.0,2.0,0.0,47366.0,535.83,392.83,2292.92,171.0,67.34,132943.75,4.0,0.5,264.0,255.0,370.5,16.0,4.75,7.0,1.83,441.92,1034.92,0.0,19568.5,0.0,0.0,188.0,5.0,202.5,1570.71,1283.0,1.0,7.0,610.33,3.0,1017.17,13.0,3016.5,3.0,6.0,2.0,88.0,6.0,12091.83,0.0,15.0,84.5,2.0,82.0,54.5,1.0,4.66,8.0,548.0,4.0,1.0,164.0,17.0,15.0,7.0,17.0,3.0,197.66,114.5,27.5,196.0,4228.83,1.0,1192.5,32.5,81.5,12773.5,24.0,54.5,8.0,21.25,16.75,4420.0,0.0,53.0,0.0,2.0,2263.66,9.0,3.75,0.0,389.5,484.08,281.5,0.0,0.0,36.5,6.0,1689.14,1.0,6.0,4.5,133.75,5.01,9.0,0.0,0.0,1.0,0.0,0.0,6.0,42.5,2.0,0.0,22.0,3392.5,54.5,6.0,56.0,9.0,14.0,10.0,0.0,67.0,67.5,269.83,0.0,18.0,64.0,0.0,15.75,697.66,6.0,2.0,3.0,64.0,46.0,1036.0,3312.5,12.67,43.0,5.0,3.0,0.0,88.5,0
sample_09,6.5,27.33,22.5,343.5,1993.5,8.0,3.25,66994.0,33.0,230.33,26545.5,9095.17,401.08,101661.92,3177.33,13.5,8.0,813145.02,255.0,196.83,6.0,27.0,116146.33,16.5,4507.17,406.0,27.5,9.0,1.0,390478.83,3410072.0,1.0,5.0,125.5,31.33,195.58,6.0,51.5,240.0,2480.5,0.0,19.0,85.0,1287.0,12.0,47599.0,1.0,5977.0,2.5,4.0,5.0,157.0,58.0,10.0,1.0,3.0,21381.67,15648.83,1.0,19.0,952.25,0.0,2.0,0.0,54544.92,695.67,575.33,2958.92,142.5,92.5,175376.67,31.5,0.5,547.33,339.0,270.0,19.5,6.83,9.33,1.25,497.08,1551.67,0.0,61075.5,0.0,0.0,199.0,3.0,171.0,1322.67,995.0,1.33,17.0,318.33,4.0,1398.5,12.0,3089.0,2.0,13.0,1.0,65.5,72.5,12426.33,0.0,24.0,108.0,3.0,112.0,60.0,0.0,10.0,39.0,766.0,3.0,5.0,318.5,4.0,6.0,29.5,19.0,5.0,209.34,136.83,15.0,324.0,7291.5,8.0,1476.5,67.5,52.0,18149.16,23.0,87.0,7.66,21.5,32.75,4167.5,1.33,72.0,0.0,2.0,4187.16,1.0,4.5,3.0,504.0,547.17,469.58,1.0,0.0,51.5,5.0,2756.96,1.0,7.0,7.67,205.25,2.01,10.0,2.0,0.58,4.0,2.0,0.58,9.0,57.0,12.0,0.0,15.0,3611.25,67.33,3.0,39.5,2.0,3.0,23.5,8.0,95.0,46.0,230.33,0.0,32.0,62.0,0.0,24.5,894.66,2.0,6.0,4.0,56.0,55.5,865.5,7810.5,17.67,114.0,2.0,1.0,0.0,68.0,0
sample_10,5.0,39.0,9.0,322.0,1613.0,7.0,4.25,60425.25,39.5,176.0,21533.34,7936.75,354.67,99426.17,2848.33,15.33,10.0,680177.42,268.0,278.5,9.0,27.0,150867.83,13.0,4381.0,494.0,3.0,10.0,1.0,345757.75,3013769.67,7.0,4.0,133.83,22.75,209.83,10.0,66.0,368.5,2130.0,0.0,38.0,102.0,937.0,8.67,43843.17,2.0,5744.5,2.5,4.5,4.0,141.0,57.5,4.0,0.0,4.0,16884.75,16611.75,2.0,31.0,1542.21,0.0,0.0,0.0,63486.58,851.83,443.67,2303.17,104.0,80.34,173521.75,23.0,0.0,529.5,399.0,386.5,16.0,4.67,12.0,4.08,376.5,1824.67,1.0,34069.75,1.0,0.5,179.0,2.0,253.5,1300.25,1046.33,0.33,14.0,607.67,3.0,1584.0,13.0,3360.5,2.0,12.0,0.0,62.0,49.5,13889.83,0.33,18.0,126.0,4.0,171.5,37.0,2.0,4.66,25.0,507.0,0.0,2.0,328.0,7.5,2.0,13.0,5.0,6.5,155.0,92.0,13.0,297.0,5985.25,8.0,1291.83,40.0,83.5,21066.0,22.0,86.0,6.0,18.0,20.5,4480.0,3.0,75.0,0.0,2.0,4243.0,3.5,4.5,2.0,479.0,518.58,599.5,1.0,1.0,33.0,1.0,1563.98,2.0,13.0,5.0,128.83,2.01,9.0,4.0,1.5,0.0,0.0,1.5,7.0,58.0,4.0,0.25,22.0,2524.58,85.0,10.0,38.0,2.25,3.5,12.0,13.0,122.0,1.5,233.75,0.0,33.0,56.0,2.0,22.75,759.92,6.0,1.0,5.0,69.0,58.0,911.0,5440.92,22.83,79.0,1.0,8.0,0.0,68.0,0
sample_11,7.5,51.0,14.0,393.0,1548.0,10.0,2.08,89385.83,30.0,176.0,32250.5,9529.58,657.08,100355.5,3284.67,8.5,8.0,1111278.92,219.0,362.0,8.0,75.0,155023.33,12.5,4324.0,498.5,8.5,19.0,3.0,428694.33,4192663.75,9.5,2.0,164.0,31.33,241.08,13.0,70.5,317.0,3299.5,0.0,47.0,117.0,1339.5,13.5,58024.17,2.0,5743.0,4.0,1.0,6.0,132.25,61.0,8.0,5.0,0.0,12365.08,20428.0,0.0,15.0,1305.83,0.0,0.0,1.0,69589.0,788.83,614.33,2990.83,218.0,105.34,182486.08,10.0,0.5,433.83,580.0,461.33,18.17,6.33,11.0,3.17,423.33,1592.67,0.0,32945.75,2.0,0.0,355.5,0.0,237.0,1553.29,1404.0,2.33,20.0,648.83,8.0,2026.5,26.0,3649.33,4.0,7.0,3.25,111.0,26.0,14731.0,0.0,31.0,252.0,2.0,156.0,97.0,1.0,7.66,20.0,412.0,2.0,8.0,357.0,3.5,3.0,16.0,9.0,2.5,166.34,135.0,27.0,196.0,6036.67,8.0,1631.0,36.0,102.33,20271.5,40.0,72.0,8.66,25.0,22.0,6362.5,5.0,65.0,0.0,5.0,4833.34,7.5,11.5,1.0,533.0,397.83,691.25,1.0,0.0,46.0,5.0,2628.12,1.0,16.0,7.5,187.79,8.76,11.0,1.0,0.67,1.0,1.0,0.67,8.0,65.25,8.0,0.25,23.0,3733.33,153.5,10.5,51.5,8.0,8.5,12.0,14.0,112.0,8.0,280.08,0.0,35.5,61.5,0.0,22.25,857.0,2.0,3.0,9.0,64.0,73.5,1371.0,7852.75,19.33,96.0,4.0,6.0,0.0,86.0,0
