,ENSG00000100297,ENSG00000112877,ENSG00000138944,ENSG00000198346,ENSG00000230606,ENSG00000230879,ENSG00000237194,ENSG00000258509,ENSG00000266809,ENSG00000279400,Diagnosis
sample_01,272,211,1481,116,9,0,28,0,0,183,0
sample_02,147,267,2032,117,30,0,33,6,0,135,0
sample_03,165,194,1249,75,5,0,29,2,0,180,0
sample_04,281,191,1154,77,8,0,15,1,0,211,0
sample_05,380,353,1703,106,15,0,57,1,0,251,0
sample_06,300,260,2193,152,9,0,33,2,0,149,0
sample_07,321,341,2080,136,25,0,42,2,0,164,0
sample_08,262,259,1549,54,18,0,31,1,0,138,0
sample_09,245,277,1739,94,21,0,60,0,0,176,0
sample_10,296,288,1085,79,14,0,53,1,0,193,0
sample_11,351,301,1468,78,9,0,16,0,0,147,0
sample_12,288,319,1468,92,23,0,56,6,0,216,0
sample_13,323,203,604,29,11,0,25,1,0,158,0
sample_14,280,215,998,56,12,0,33,0,0,308,0
sample_15,223,268,1327,91,10,0,49,0,0,149,0
sample_16,233,330,1503,104,23,0,49,1,0,227,0
sample_17,242,226,1336,61,12,0,37,0,0,162,0
sample_18,584,334,674,98,21,0,42,2,0,317,0
sample_19,190,269,1582,83,12,0,44,8,0,114,0
sample_20,309,315,793,48,39,0,67,2,0,263,0
sample_21,143,171,893,96,29,0,21,1,0,66,0
sample_22,238,255,1050,101,19,0,45,5,0,147,0
sample_23,258,256,1540,109,22,0,42,0,0,101,0
sample_24,214,207,838,131,11,0,38,0,0,99,0
sample_25,334,243,2107,102,15,0,57,3,0,140,0
sample_26,256,266,1679,113,20,0,33,1,0,117,0
sample_27,174,262,823,58,12,0,40,1,0,117,0
sample_28,175,153,888,54,11,0,35,0,0,300,0
sample_29,219,259,1657,120,25,0,31,3,0,111,0
sample_30,235,266,1589,61,15,0,34,1,0,111,0
sample_31,220,322,1456,101,33,0,50,3,0,110,0
sample_32,305,332,934,102,17,0,55,6,0,155,0
sample_33,347,371,1562,101,13,0,64,3,0,198,0
sample_34,541,292,1023,88,11,0,14,0,0,100,0
sample_35,392,348,1388,99,25,0,68,1,0,280,0
sample_36,329,282,902,92,9,0,31,1,0,192,0
sample_37,301,226,1146,125,31,0,37,2,0,473,0
sample_38,296,264,1061,99,15,0,35,2,0,228,0
sample_39,483,270,745,129,10,0,16,1,0,295,0
sample_40,236,234,1170,38,13,0,28,0,0,259,0
sample_41,389,300,1695,129,24,0,36,2,0,188,1
sample_42,212,283,1218,86,19,0,24,1,0,99,1
sample_43,256,305,1543,133,25,0,67,0,0,142,1
sample_44,272,214,1540,118,29,0,25,1,0,187,1
sample_46,326,298,1127,135,39,0,37,2,0,148,1
sample_47,371,325,1269,103,19,0,46,2,0,340,1
sample_48,352,360,1652,94,13,0,43,5,0,79,1
sample_49,276,227,1487,85,25,0,32,1,0,243,1
sample_50,386,304,1555,75,20,0,32,2,0,204,1
sample_51,565,433,771,104,24,0,47,5,0,343,1
sample_52,320,296,1271,83,25,0,39,3,0,155,1
sample_53,464,452,1543,95,47,0,80,2,0,243,1
sample_54,338,360,797,95,29,0,54,3,0,281,1
sample_55,508,326,995,97,16,0,44,0,0,230,1
sample_56,334,290,1266,150,27,0,33,1,0,94,1
sample_57,337,276,1122,89,17,0,39,1,0,353,1
sample_58,501,311,1015,91,19,0,44,1,0,100,1
sample_59,368,330,1208,74,13,0,93,1,0,353,1
sample_60,570,418,860,83,29,0,48,4,0,152,1
sample_61,345,349,2586,151,49,0,76,2,0,479,1
sample_62,355,354,1549,105,37,0,41,1,0,93,1
sample_63,282,267,1588,146,44,0,47,1,0,398,1
sample_64,346,349,752,96,41,0,47,4,0,393,1
sample_65,360,293,1282,110,46,0,66,1,0,443,1
sample_66,401,336,1168,103,47,0,65,0,0,410,1
sample_67,273,266,1477,76,22,0,25,2,0,136,1
sample_68,340,322,1730,99,32,0,73,2,0,346,1
sample_69,499,380,3736,193,66,0,44,3,0,314,1
sample_70,379,446,1557,181,70,0,44,4,0,68,1
sample_71,352,322,1483,90,22,0,51,1,0,128,1
sample_72,397,424,1131,92,42,0,52,2,0,437,1
sample_73,433,311,750,149,22,0,43,3,0,1051,1
sample_74,465,443,1446,95,57,0,70,0,0,149,1
sample_75,448,401,701,121,42,0,71,2,0,403,1
sample_76,573,420,876,130,54,0,73,0,0,488,1
sample_77,461,513,1344,101,22,0,102,4,0,432,1
sample_78,326,239,904,89,17,0,36,1,0,897,1
sample_79,326,363,945,99,67,0,46,3,0,158,1
sample_80,358,413,1304,133,83,0,58,0,0,215,1
