,ENSG00000005884,ENSG00000054611,ENSG00000087086,ENSG00000099622,ENSG00000113391,ENSG00000114473,ENSG00000118523,ENSG00000120647,ENSG00000121381,ENSG00000122432,ENSG00000124942,ENSG00000125457,ENSG00000131591,ENSG00000133961,ENSG00000138768,ENSG00000144152,ENSG00000145685,ENSG00000146376,ENSG00000152049,ENSG00000154358,ENSG00000161921,ENSG00000163626,ENSG00000167741,ENSG00000173145,ENSG00000173456,ENSG00000177479,ENSG00000177694,ENSG00000180660,ENSG00000181395,ENSG00000182986,ENSG00000183604,ENSG00000187607,ENSG00000196419,ENSG00000196666,ENSG00000197149,ENSG00000197329,ENSG00000197536,ENSG00000199303,ENSG00000199839,ENSG00000200502,ENSG00000200790,ENSG00000202200,ENSG00000202331,ENSG00000203808,ENSG00000204520,ENSG00000206567,ENSG00000211947,ENSG00000214035,ENSG00000219693,ENSG00000223731,ENSG00000225697,ENSG00000225999,ENSG00000227492,ENSG00000228274,ENSG00000228285,ENSG00000228495,ENSG00000230606,ENSG00000230831,ENSG00000233055,ENSG00000234127,ENSG00000239665,ENSG00000240393,ENSG00000241179,ENSG00000241556,ENSG00000249920,ENSG00000250756,ENSG00000252688,ENSG00000252983,ENSG00000253098,ENSG00000254683,ENSG00000255618,ENSG00000256259,ENSG00000257332,ENSG00000258077,ENSG00000258414,ENSG00000258620,ENSG00000258683,ENSG00000258792,ENSG00000259065,ENSG00000259137,ENSG00000259600,ENSG00000260465,ENSG00000260477,ENSG00000264300,ENSG00000266545,ENSG00000267216,ENSG00000267332,ENSG00000268296,ENSG00000268318,ENSG00000268628,ENSG00000270482,ENSG00000271309,ENSG00000274290,ENSG00000276203,ENSG00000276637,ENSG00000277575,ENSG00000278281,ENSG00000278764,ENSG00000280893,ENSG00000281560,Disese Group
sample_01,1057,701,2811,7493,1006,611,116,155,5,9,3377,137,399,1540,2398,532,180,595,23,2322,180,431,0,464,845,3472,292,2343,0,523,154,216,2840,2,37,329,254,0,0,46,0,0,0,9,247,22,0,0,2,0,497,0,7,138,0,14,9,159,0,1019,1499,123,0,1,0,12,0,5,0,5,7,0,0,41,5,37,84,0,221,0,0,11,0,0,0,92,0,0,0,6,0,0,180,3,0,0,0,0,0,0,0
sample_02,1018,903,5412,3717,1077,612,35,159,9,5,4400,134,495,1610,2631,526,251,319,74,3740,188,296,0,297,981,3382,141,2849,0,776,406,332,3121,1,78,425,274,0,0,59,0,0,0,18,332,11,0,0,0,0,979,0,1,105,1,21,30,547,0,1884,1612,125,0,0,0,10,0,0,0,3,8,0,0,54,3,52,91,3,11,1,0,6,0,0,0,161,0,0,1,12,2,0,626,14,0,0,0,0,0,0,0
sample_03,1356,887,3427,5418,1173,663,17,113,13,6,3414,120,418,1543,2535,463,226,232,106,3483,150,341,0,296,876,3213,305,2072,0,764,393,253,3028,1,45,300,288,0,0,44,0,0,0,22,331,29,0,0,6,0,917,0,6,140,0,17,5,309,0,1175,1548,141,0,0,0,9,0,3,0,2,13,0,0,47,3,38,83,0,114,0,0,7,0,1,0,137,0,0,0,11,2,0,397,12,0,0,3,0,0,0,0
sample_04,1214,1015,4510,9210,1436,734,43,97,3,8,3396,135,477,1576,2641,474,229,202,198,2148,200,422,0,528,1034,3631,383,1411,0,470,282,215,3596,2,63,337,392,0,0,32,0,0,0,15,170,17,0,4,0,0,617,0,4,138,0,28,8,182,0,1334,1275,97,0,1,0,11,0,4,0,6,5,0,0,55,3,28,31,0,57,1,5,9,0,0,0,80,0,0,0,19,4,1,358,4,0,0,0,0,0,0,0
sample_05,1448,1189,6354,13158,1594,936,42,158,4,13,6573,217,633,1965,3193,799,355,678,133,2685,251,522,0,629,940,4519,487,2593,0,842,184,329,3862,6,30,505,436,0,0,33,0,0,0,20,182,36,0,3,4,0,772,0,15,216,0,16,15,263,0,1924,2054,125,0,0,0,6,0,1,0,4,3,0,0,72,4,57,197,0,265,0,0,12,0,0,0,184,0,0,0,8,2,0,261,7,0,0,0,0,0,0,0
sample_06,1416,1001,4486,10447,1516,745,216,148,5,16,4359,206,619,1654,3416,478,355,352,19,2966,230,680,0,732,1523,4339,474,4001,0,745,298,381,4446,3,85,533,490,0,0,27,0,0,0,22,219,31,0,4,7,0,420,0,7,179,1,18,9,507,0,1683,1737,126,0,0,0,7,0,2,0,1,6,0,0,63,2,29,88,1,58,0,0,4,0,0,0,90,0,0,1,12,3,1,241,4,0,0,1,0,0,0,0
sample_07,1885,1107,5775,10213,1581,688,101,202,8,23,4881,229,633,2106,3438,565,317,244,21,3588,245,602,2,545,1315,4539,311,3806,0,955,335,354,3954,1,84,521,440,0,0,45,0,0,0,20,185,65,0,5,4,1,610,0,16,245,3,31,25,296,0,1797,2018,146,0,1,0,6,0,1,0,2,9,1,0,61,2,27,113,0,66,0,0,13,0,0,0,166,0,0,0,25,5,0,371,10,0,0,1,0,0,0,0
sample_08,942,896,3323,8537,1197,649,45,103,6,12,2291,203,570,1346,2229,579,180,130,63,2102,153,427,0,392,905,3284,354,2597,0,557,127,185,2851,4,39,323,312,0,0,22,0,0,0,16,188,27,1,0,2,0,455,0,23,134,3,15,18,185,0,1293,1578,123,0,3,0,11,0,0,0,4,1,0,0,42,3,32,100,1,88,1,0,13,0,0,0,98,0,0,0,12,2,0,240,7,0,0,0,0,0,0,0
sample_09,1190,901,4583,7521,1143,622,243,149,8,14,3821,121,498,1462,2209,602,290,227,11,2239,195,390,1,479,833,4059,288,3410,0,740,292,278,2952,4,44,349,468,0,0,44,0,2,0,15,208,34,1,0,7,0,574,0,7,158,0,14,21,364,0,1343,1922,121,0,0,0,7,0,5,0,3,7,0,0,34,5,43,193,2,226,0,0,8,0,1,0,124,0,0,0,12,2,0,264,9,0,0,3,0,0,0,0
sample_10,928,910,3742,8357,1059,668,17,115,6,14,2925,140,506,1311,1939,475,197,260,135,2637,171,272,1,457,671,2943,321,2034,0,541,285,183,2833,1,41,249,354,0,0,44,0,2,0,4,112,20,0,4,3,0,480,1,12,159,0,16,14,275,0,1395,1551,130,0,0,0,13,0,3,0,6,6,0,0,56,4,44,131,1,53,0,0,11,0,1,0,113,0,0,0,10,2,0,178,7,0,0,0,0,0,0,0
sample_11,1003,754,3750,9167,1134,740,118,145,3,16,4370,161,469,1528,2329,627,219,731,161,2629,163,424,0,477,688,4112,315,4004,0,516,138,184,3075,3,46,321,250,0,0,21,0,0,0,9,126,22,0,1,2,0,639,1,6,156,0,4,9,171,0,1325,1395,65,0,0,0,9,0,2,0,2,4,0,0,40,4,46,197,0,346,0,0,12,0,0,0,116,0,0,0,9,1,1,167,5,0,0,1,0,0,0,0
sample_12,1349,978,7846,8514,1620,828,201,183,4,21,7695,203,455,1770,3203,535,607,315,31,2140,300,511,0,599,788,4901,470,6335,0,869,291,414,3820,2,49,520,343,0,0,50,0,0,0,3,145,24,0,5,7,0,740,0,5,190,0,7,23,547,0,1534,1759,87,0,0,0,5,0,4,0,1,6,0,0,61,2,31,456,1,348,1,1,31,0,0,0,118,0,0,0,5,6,0,328,7,0,0,2,0,0,0,0
sample_13,802,878,4125,8741,1138,688,37,79,6,12,3936,104,406,1218,1907,506,309,76,363,1841,185,321,0,561,496,3520,323,1359,0,380,246,174,2840,1,59,242,291,0,0,43,0,0,0,5,48,12,0,1,1,0,762,0,12,107,0,3,11,110,0,1354,1277,71,0,0,0,9,0,1,0,4,1,0,0,61,3,51,83,1,66,0,6,13,0,0,0,68,0,0,0,13,5,1,267,4,0,0,1,0,0,0,0
sample_14,1155,842,5670,9838,1295,711,89,118,2,22,6436,150,418,1534,2390,575,425,537,298,2160,186,333,0,584,589,3215,412,2324,0,610,156,259,2906,0,21,395,333,0,0,36,0,0,0,13,126,27,0,7,6,0,681,0,12,158,0,13,12,249,0,1414,1582,97,0,3,0,6,0,0,0,2,5,0,0,66,3,58,168,0,176,0,0,21,0,0,0,107,0,0,0,9,1,0,213,4,0,0,2,0,0,0,0
sample_15,845,801,3074,8560,914,549,77,116,1,15,5308,117,479,1353,2011,423,322,121,30,1917,124,365,0,526,554,3252,353,3347,0,540,218,238,2626,4,43,292,354,0,0,38,0,0,0,10,61,25,0,1,4,1,448,0,9,125,0,9,10,352,0,1236,1561,116,0,0,0,5,0,3,0,0,0,0,0,39,4,45,139,0,70,0,0,11,0,0,0,92,0,0,0,6,2,0,152,5,0,0,1,0,0,0,0
sample_16,1023,732,4503,8175,1240,563,37,136,3,38,5172,175,470,1678,2628,458,310,104,48,2243,162,395,0,488,647,3430,318,3752,0,774,286,289,2676,2,53,430,321,0,0,42,0,0,0,8,94,19,0,0,1,0,611,0,8,178,0,13,23,266,0,1411,1712,121,0,0,0,4,0,1,0,2,4,0,0,69,4,30,188,1,70,0,0,18,0,0,0,148,0,0,0,12,5,0,265,6,0,0,0,0,0,0,0
sample_17,916,883,3430,8925,1096,678,77,71,5,13,3343,175,505,1323,2005,755,228,95,74,1765,154,429,0,473,628,3659,325,3326,0,572,112,190,2806,0,26,361,258,0,0,34,0,0,0,9,85,23,0,2,4,0,466,0,21,126,0,8,12,153,0,1374,1544,70,0,0,0,5,0,2,0,4,3,0,0,50,1,18,143,0,117,0,0,15,0,1,0,98,0,0,0,8,6,0,220,9,0,0,2,0,0,0,0
sample_18,1342,1217,10673,12414,2328,1197,63,171,10,27,7989,260,509,1951,3160,554,513,410,138,3982,418,648,0,660,1038,4540,646,4082,0,686,317,341,4667,2,100,536,331,0,0,39,0,0,0,3,222,36,0,4,1,0,956,0,16,249,0,13,21,399,0,2002,1682,54,0,1,0,2,0,0,0,4,2,0,0,156,5,29,105,0,139,1,0,6,0,0,0,198,0,0,0,16,3,0,669,3,0,0,1,0,0,0,0
sample_19,775,868,4420,5168,1205,550,34,101,2,16,6468,113,395,1529,2650,716,327,126,422,3004,172,397,0,376,700,3224,323,4563,0,622,132,291,3038,3,55,281,240,0,0,41,0,3,0,14,128,12,0,0,7,0,629,0,8,141,0,7,12,551,0,1560,1589,123,0,0,0,5,0,1,0,2,3,0,0,78,3,22,273,0,215,0,0,10,0,0,0,106,0,0,0,7,1,0,364,10,0,0,1,0,0,0,0
sample_20,832,999,4394,9546,1143,721,27,145,1,13,4496,167,488,1497,1933,584,340,307,626,2477,177,311,1,527,524,3050,442,2709,0,617,312,219,2707,5,31,290,374,0,0,51,0,0,0,2,42,18,0,1,1,1,599,0,16,144,0,11,39,317,0,1585,1848,111,0,0,0,13,0,2,0,11,1,0,0,73,6,60,269,0,85,0,2,19,0,0,0,107,0,0,0,9,2,0,201,13,0,0,0,0,0,0,0
sample_21,800,681,3514,3268,808,477,74,129,11,22,3780,116,365,1198,1986,393,182,191,21,2871,130,260,0,273,655,2346,238,2377,0,533,268,237,2011,3,34,259,224,0,0,27,0,0,0,6,166,19,0,0,5,0,590,0,3,119,0,28,29,292,0,1011,1218,97,0,0,0,8,0,1,0,0,1,0,0,40,3,36,79,0,6,0,2,10,0,0,0,106,0,0,0,4,0,0,262,4,0,0,1,0,0,0,0
