,ENSG00000051009,ENSG00000108342,ENSG00000115263,ENSG00000148344,ENSG00000196247,ENSG00000196935,ENSG00000204131,ENSG00000217372,ENSG00000224645,ENSG00000226141,ENSG00000258414,ENSG00000259867,ENSG00000261288,ENSG00000265028,ENSG00000278857,Disese Group
sample_01,769,0,0,9,339,1609,73,0,1,0,5,5,4,0,0,0
sample_02,1069,13,0,15,234,2272,68,0,0,0,3,8,9,0,0,0
sample_03,979,5,0,9,272,2235,75,0,0,0,3,2,1,0,0,0
sample_04,1200,5,1,13,262,2018,65,0,0,0,3,14,0,0,0,0
sample_05,1472,2,0,6,353,1807,99,0,3,0,4,13,1,0,0,0
sample_06,1275,0,0,27,472,2572,117,0,1,0,2,11,1,1,0,0
sample_07,1400,0,0,8,411,2904,135,0,0,0,2,7,7,0,0,0
sample_08,918,4,0,4,330,1499,74,0,1,0,3,10,1,0,0,0
sample_09,1300,1,0,10,267,1395,119,0,1,1,5,9,0,0,0,0
sample_10,1054,0,0,9,247,1365,45,0,2,0,4,7,3,0,0,0
sample_11,1004,1,0,5,295,1165,101,0,1,0,4,8,7,0,0,0
sample_12,1878,0,0,9,401,1620,162,0,1,0,2,9,1,0,0,0
sample_13,1236,5,0,5,268,1337,56,0,0,0,3,5,3,0,0,0
sample_14,1198,1,0,5,343,1368,100,0,1,0,3,10,2,0,0,0
sample_15,1041,0,0,6,292,1395,72,0,0,0,4,5,2,0,0,0
sample_16,1242,0,0,7,370,1482,101,0,1,1,4,6,5,0,0,0
sample_17,1019,1,0,5,299,1208,88,0,2,0,1,9,1,0,0,0
sample_18,1588,0,0,14,452,1799,150,0,0,0,5,12,2,0,0,0
sample_19,1289,0,0,12,290,1703,78,0,0,0,3,3,1,0,0,0
sample_20,1254,0,0,5,324,1333,58,0,1,0,6,5,6,0,0,0
sample_21,789,1,0,9,210,1521,45,0,0,0,3,4,3,0,0,0
sample_22,1063,2,2,21,267,1448,69,0,0,0,0,11,0,0,0,0
