,ENSG00000002586,ENSG00000009413,ENSG00000049768,ENSG00000058063,ENSG00000089335,ENSG00000091181,ENSG00000100605,ENSG00000104047,ENSG00000105428,ENSG00000105948,ENSG00000108417,ENSG00000108465,ENSG00000111247,ENSG00000112877,ENSG00000113593,ENSG00000114735,ENSG00000121486,ENSG00000127249,ENSG00000127564,ENSG00000134640,ENSG00000138356,ENSG00000140854,ENSG00000141497,ENSG00000141510,ENSG00000144730,ENSG00000145375,ENSG00000145700,ENSG00000145982,ENSG00000148985,ENSG00000149260,ENSG00000149932,ENSG00000152240,ENSG00000157890,ENSG00000161921,ENSG00000165120,ENSG00000165655,ENSG00000167384,ENSG00000171496,ENSG00000172954,ENSG00000173662,ENSG00000176723,ENSG00000178700,ENSG00000182197,ENSG00000183111,ENSG00000183604,ENSG00000183638,ENSG00000184260,ENSG00000185904,ENSG00000188626,ENSG00000188897,ENSG00000189320,ENSG00000203737,ENSG00000206106,ENSG00000206685,ENSG00000206839,ENSG00000206871,ENSG00000207129,ENSG00000207165,ENSG00000210191,ENSG00000211668,ENSG00000211770,ENSG00000214204,ENSG00000216708,ENSG00000217643,ENSG00000218676,ENSG00000221375,ENSG00000224050,ENSG00000224970,ENSG00000225230,ENSG00000225760,ENSG00000226002,ENSG00000226617,ENSG00000226762,ENSG00000227726,ENSG00000227757,ENSG00000228532,ENSG00000228759,ENSG00000230054,ENSG00000230606,ENSG00000230793,ENSG00000231004,ENSG00000231068,ENSG00000231134,ENSG00000233691,ENSG00000234127,ENSG00000234568,ENSG00000235172,ENSG00000236576,ENSG00000237007,ENSG00000237194,ENSG00000237574,ENSG00000238290,ENSG00000239887,ENSG00000240877,ENSG00000241431,ENSG00000241963,ENSG00000242850,ENSG00000244610,ENSG00000247373,ENSG00000248492,ENSG00000248564,ENSG00000248671,ENSG00000249364,ENSG00000249715,ENSG00000249859,ENSG00000249920,ENSG00000250927,ENSG00000252206,ENSG00000254913,ENSG00000255726,ENSG00000255920,ENSG00000256299,ENSG00000257292,ENSG00000259236,ENSG00000259347,ENSG00000260974,ENSG00000261075,ENSG00000261284,ENSG00000261315,ENSG00000261460,ENSG00000263445,ENSG00000263666,ENSG00000263815,ENSG00000264322,ENSG00000265494,ENSG00000266450,ENSG00000266745,ENSG00000267980,ENSG00000268355,ENSG00000269837,ENSG00000270906,ENSG00000271074,ENSG00000271184,ENSG00000273077,ENSG00000273211,ENSG00000273398,ENSG00000273454,ENSG00000273554,ENSG00000274911,ENSG00000275226,ENSG00000275552,ENSG00000277467,ENSG00000279009,ENSG00000279025,ENSG00000279384,ENSG00000280300,ENSG00000280703,ENSG00000283225,ENSG00000283393,ENSG00000283505,Disese Group
sample_01,196,5692,6,3735,1662,5,2428,906,0,292,0,1633,83,211,872,859,490,245,340,0,25,672,35,116,15,765,73,326,481,358,412,184,1198,180,0,311,233,7,659,3,98,173,952,1182,154,6237,463,51,7,25,0,71,0,2,0,0,0,0,5,0,0,0,0,7,3,0,4,1,0,7,67,0,0,22,0,1,0,0,9,12,0,0,1,0,1019,0,0,79,4,28,0,5,252,12,1,5,0,0,188,0,0,58,228,37,69,0,0,10,0,0,6,121,0,0,7,0,1,0,42,829,3,33,1,4,0,0,4,39,0,175,1,2,0,5,24,5,16,0,6,0,13,0,0,0,40,0,0,4,0,0,0
sample_02,389,5189,26,3885,1967,13,3689,1412,2,313,0,2126,42,267,745,1514,853,316,475,0,11,627,20,189,28,1071,67,441,413,273,455,131,2014,188,0,470,356,1,796,3,82,165,1146,1107,406,15146,507,54,6,59,0,88,1,5,0,0,2,0,5,0,0,0,0,8,2,0,17,1,0,0,103,0,0,12,0,0,0,0,30,25,0,0,1,0,1884,0,1,77,1,33,0,11,370,16,0,5,0,0,244,0,0,48,720,37,134,0,0,5,0,0,4,49,0,0,8,0,0,0,53,945,2,48,0,6,0,0,6,36,2,113,0,2,0,6,53,7,31,0,17,0,46,0,0,24,39,0,0,0,0,0,0
sample_03,169,5140,11,3937,1504,3,3224,1296,1,277,0,2386,66,194,663,1304,735,254,340,0,13,634,30,100,12,936,90,517,369,306,433,130,1502,150,0,330,336,1,595,3,74,218,1029,1308,393,15790,395,24,9,45,0,70,1,3,0,0,3,0,3,0,0,1,0,9,0,0,11,1,0,0,117,0,0,24,0,2,0,0,5,25,0,1,0,0,1175,0,0,70,1,29,0,6,515,13,0,2,0,1,119,0,0,67,113,34,131,0,0,7,0,0,1,67,0,0,4,0,0,0,40,1260,1,39,1,4,0,0,2,56,0,157,0,2,0,4,25,2,38,2,17,0,18,1,0,4,46,1,0,5,0,0,0
sample_04,302,6135,12,3588,1566,3,3144,1088,2,290,0,1743,73,191,1100,1025,667,214,488,0,29,675,32,167,36,822,101,442,495,728,519,152,960,200,0,236,243,8,763,3,100,159,1370,1027,282,10591,601,24,22,77,1,40,0,1,0,0,1,0,4,0,0,1,0,5,1,0,8,0,0,3,120,0,0,21,0,2,0,0,8,19,0,0,1,0,1334,0,0,48,3,15,0,7,291,10,0,4,1,0,122,1,0,78,96,36,88,0,0,13,0,0,8,104,0,0,8,0,0,0,20,762,1,24,0,2,0,1,4,36,1,172,0,1,0,9,28,5,9,0,8,0,31,0,1,1,34,0,0,2,0,0,0
sample_05,254,7847,17,5258,2327,4,3010,1489,0,471,0,2079,130,353,1115,1746,726,351,850,0,49,836,41,200,28,1083,161,437,728,709,757,245,1645,251,0,441,359,8,859,8,145,277,1814,1823,184,18881,863,45,16,45,0,72,0,3,0,0,1,0,8,0,0,0,0,15,3,0,16,0,0,9,22,0,0,29,0,1,0,0,15,19,0,0,2,0,1924,0,0,80,5,57,0,11,252,21,0,5,1,0,384,0,0,107,194,68,79,0,0,6,0,0,6,167,0,0,5,0,0,0,47,1672,2,42,2,10,0,0,7,54,2,318,0,1,0,14,31,4,22,0,6,0,36,0,3,2,37,0,0,2,0,0,0
sample_06,230,6712,17,4826,2526,3,3483,1403,3,461,0,1809,107,260,933,963,928,294,466,0,20,978,24,150,23,1320,103,480,550,453,684,223,1449,230,0,547,410,1,965,7,125,239,1166,1140,298,8561,897,33,14,43,2,85,1,6,0,0,1,0,2,0,0,1,0,8,0,0,10,0,0,11,92,0,0,19,0,3,0,0,9,17,0,1,2,0,1683,0,0,44,2,33,0,10,247,12,0,5,0,0,205,1,0,122,193,53,93,0,0,4,0,0,2,69,0,0,11,0,0,0,51,962,1,28,0,4,0,0,4,46,1,226,0,6,0,10,48,5,41,0,18,0,56,1,0,1,32,0,0,0,0,0,0
sample_07,483,7449,11,4357,2265,2,4035,1641,1,389,0,2146,86,341,916,1645,1077,348,436,0,30,1004,43,211,21,1171,163,511,599,527,699,205,2166,245,0,539,430,0,1015,1,172,342,1538,1391,335,13804,950,16,21,30,0,91,0,4,0,0,0,0,1,0,0,2,0,13,2,0,25,2,0,1,143,0,0,23,0,5,0,0,25,18,0,0,1,0,1797,0,0,88,2,42,0,13,537,13,0,1,1,0,375,0,0,107,659,46,113,0,1,5,0,0,4,75,0,1,8,0,0,0,77,1111,0,42,0,3,2,0,9,58,2,272,1,2,0,1,53,4,31,2,16,0,71,0,1,1,46,0,0,0,0,0,0
sample_08,179,5379,14,3661,1613,8,2558,1093,0,276,0,1671,76,259,848,1223,755,167,675,0,12,740,34,102,16,750,109,365,507,360,467,166,1716,153,0,329,227,3,524,7,112,198,1084,1150,127,12555,627,25,13,20,0,53,0,6,0,0,0,0,3,0,0,0,0,9,1,0,9,3,1,7,52,0,0,30,0,0,0,0,18,23,0,0,1,0,1293,0,0,53,5,31,0,6,283,10,0,4,0,0,210,0,0,116,177,46,66,0,0,5,0,0,1,105,0,1,16,0,0,0,32,1178,1,28,0,10,0,0,8,40,3,212,3,3,0,8,22,1,30,1,6,0,32,0,0,1,26,0,0,0,0,0,0
sample_09,340,5594,21,3866,1785,2,2587,1481,1,354,0,2115,78,277,755,1700,661,275,473,1,13,695,30,182,21,1071,121,442,568,317,455,174,3446,195,0,437,338,1,733,3,124,222,1314,852,292,17085,769,28,13,28,0,102,0,13,0,0,2,0,2,0,0,1,0,11,2,0,22,1,0,13,38,0,1,20,0,25,0,0,21,29,0,0,0,0,1343,0,0,83,5,60,0,6,238,15,0,3,0,0,251,0,0,77,86,42,72,0,0,5,0,0,5,98,0,0,4,0,0,0,72,1169,1,43,1,7,2,0,0,51,0,188,1,4,0,8,51,1,44,0,5,0,43,0,1,2,33,1,0,2,0,0,0
sample_10,149,4796,18,3397,1535,5,2093,1071,1,328,0,1420,90,288,746,1212,547,172,603,0,16,615,30,131,12,963,89,391,472,414,503,134,1427,171,0,324,239,0,700,6,114,129,1170,1231,285,17181,723,37,21,11,0,84,0,2,0,0,0,0,3,0,0,3,0,6,0,0,3,0,0,0,32,0,0,10,1,2,0,0,14,20,0,0,0,0,1395,0,0,71,4,53,0,7,230,11,0,3,0,0,167,0,0,109,280,33,67,0,0,6,0,0,4,80,0,1,0,0,0,0,39,1355,0,39,0,6,0,0,7,43,0,155,0,2,0,7,22,0,26,0,8,0,32,0,0,0,24,0,0,2,0,0,0
