,ENSG00000006607,ENSG00000019485,ENSG00000044090,ENSG00000049540,ENSG00000055955,ENSG00000075420,ENSG00000080986,ENSG00000081377,ENSG00000087086,ENSG00000091879,ENSG00000103227,ENSG00000104946,ENSG00000105063,ENSG00000105204,ENSG00000111058,ENSG00000112902,ENSG00000112984,ENSG00000114204,ENSG00000119596,ENSG00000120451,ENSG00000123124,ENSG00000124575,ENSG00000124659,ENSG00000125257,ENSG00000128045,ENSG00000131899,ENSG00000132388,ENSG00000136732,ENSG00000136840,ENSG00000142621,ENSG00000145936,ENSG00000151812,ENSG00000152457,ENSG00000155961,ENSG00000161243,ENSG00000163389,ENSG00000163815,ENSG00000170379,ENSG00000173821,ENSG00000173889,ENSG00000174485,ENSG00000174498,ENSG00000174799,ENSG00000178093,ENSG00000178460,ENSG00000182093,ENSG00000184925,ENSG00000196735,ENSG00000197149,ENSG00000197324,ENSG00000197536,ENSG00000198674,ENSG00000199469,ENSG00000199516,ENSG00000200209,ENSG00000201467,ENSG00000201822,ENSG00000203499,ENSG00000204933,ENSG00000205653,ENSG00000209702,ENSG00000212187,ENSG00000212242,ENSG00000213604,ENSG00000213625,ENSG00000214273,ENSG00000215023,ENSG00000216811,ENSG00000220785,ENSG00000221886,ENSG00000224530,ENSG00000225674,ENSG00000226601,ENSG00000226829,ENSG00000227288,ENSG00000227411,ENSG00000227459,ENSG00000227960,ENSG00000228021,ENSG00000228392,ENSG00000229402,ENSG00000230042,ENSG00000230606,ENSG00000231170,ENSG00000231849,ENSG00000232064,ENSG00000232771,ENSG00000232953,ENSG00000233533,ENSG00000233934,ENSG00000234056,ENSG00000235978,ENSG00000236509,ENSG00000236977,ENSG00000237015,ENSG00000237213,ENSG00000240476,ENSG00000241286,ENSG00000242140,ENSG00000242808,ENSG00000243738,ENSG00000244061,ENSG00000244113,ENSG00000244266,ENSG00000244661,ENSG00000244945,ENSG00000246090,ENSG00000246922,ENSG00000247728,ENSG00000248735,ENSG00000249238,ENSG00000249479,ENSG00000249482,ENSG00000250243,ENSG00000250866,ENSG00000251079,ENSG00000251873,ENSG00000252190,ENSG00000252238,ENSG00000252507,ENSG00000252929,ENSG00000252948,ENSG00000253084,ENSG00000253670,ENSG00000254122,ENSG00000254469,ENSG00000255035,ENSG00000255438,ENSG00000256400,ENSG00000256596,ENSG00000257058,ENSG00000257065,ENSG00000257654,ENSG00000257986,ENSG00000258744,ENSG00000259241,ENSG00000259496,ENSG00000259867,ENSG00000259999,ENSG00000260708,ENSG00000261460,ENSG00000262171,ENSG00000262660,ENSG00000264125,ENSG00000264513,ENSG00000264850,ENSG00000265552,ENSG00000266947,ENSG00000267058,ENSG00000267295,ENSG00000268895,ENSG00000269376,ENSG00000270751,ENSG00000271667,ENSG00000272189,ENSG00000273933,ENSG00000275134,ENSG00000275226,ENSG00000275611,ENSG00000276136,ENSG00000276769,ENSG00000276897,ENSG00000276952,ENSG00000277693,ENSG00000278126,ENSG00000279400,ENSG00000279452,ENSG00000279619,ENSG00000279649,ENSG00000279724,ENSG00000279752,ENSG00000281344,ENSG00000283156,ENSG00000283354,ENSG00000283396,Disese Group
sample_01,1639,835,1261,285,59,881,0,916,2811,29,657,1847,1681,712,1036,1523,1,8,5218,3943,2757,63,399,229,22,965,840,161,77,11,0,210,164,747,132,331,24,47,4404,6068,5912,99,668,12,29,2522,122,9,37,1108,254,0,0,0,0,0,0,124,0,0,1,0,0,0,603,19,2,1,111,364,4,1,1,0,53,0,0,22,5,0,0,50,9,8,0,0,0,1,0,0,9,23,0,43,2,0,1,0,2,240,1,2,10,3,1,15,21,7345,52,0,157,0,0,0,0,48,0,0,0,1,0,0,0,0,554,203,17,0,1,40,0,0,0,0,1,1,0,5,31,72,829,0,0,4,0,2,0,107,167,0,176,25,0,0,7,0,0,0,13,11,0,0,9,1,66,183,0,17,133,0,7,42,15,0,0,0
sample_02,1516,1179,1743,563,72,927,1,1095,5412,61,553,2578,2600,1891,584,2308,5,2,5585,4699,3275,37,536,248,37,1848,900,160,133,27,2,164,223,890,306,490,24,100,5738,6554,5902,79,726,33,36,2601,89,20,78,1366,274,0,0,0,1,0,0,103,0,0,2,0,0,0,470,57,1,0,138,560,5,2,0,0,59,2,0,16,3,1,0,38,30,13,0,0,0,3,0,0,25,19,0,34,2,0,1,0,2,312,5,8,6,3,0,8,31,8264,37,0,526,0,0,0,0,0,0,0,0,5,0,0,0,0,744,139,40,1,8,8,0,3,0,0,4,4,0,8,18,126,945,0,0,3,0,6,0,86,237,0,134,67,1,0,6,0,0,0,12,16,0,0,17,0,40,135,0,18,120,0,5,41,6,0,0,0
sample_03,1425,941,1587,323,80,747,2,1025,3427,86,728,2578,2284,1352,671,2660,2,2,5145,4001,3169,55,511,274,27,1779,875,130,98,24,0,202,205,808,246,409,15,196,5847,5994,6110,107,692,30,23,2400,106,16,45,1423,288,0,0,0,0,0,0,108,0,1,0,0,0,0,557,21,1,0,84,490,1,4,0,0,81,0,0,26,6,0,0,45,5,3,0,0,0,7,0,0,8,23,0,20,1,0,1,0,0,241,7,9,10,7,0,11,38,6332,59,0,62,0,0,0,0,46,0,0,0,0,0,0,0,0,554,159,18,1,7,22,0,0,1,0,2,4,0,2,22,88,1260,0,0,2,0,2,0,95,240,0,160,40,1,0,5,0,0,0,12,23,0,0,18,0,59,180,0,11,138,0,20,47,10,0,0,0
sample_04,1735,913,1203,186,73,1318,2,1117,4510,148,657,1962,1812,897,626,2632,1,3,4806,3774,3037,58,588,298,33,1250,924,109,85,17,0,249,141,803,182,314,15,358,4094,5607,8932,112,608,27,29,3113,349,39,63,1158,392,0,0,0,1,0,0,130,0,7,1,0,0,0,668,12,0,0,80,335,1,1,1,0,58,1,0,15,6,1,0,38,8,0,0,0,0,11,0,0,5,25,0,17,1,0,2,0,1,305,10,1,3,1,0,43,20,6761,60,1,53,0,0,0,0,41,0,0,0,3,0,0,0,0,670,146,14,0,11,24,0,0,0,0,3,0,0,14,27,104,762,0,0,2,0,1,0,98,200,0,150,15,0,0,15,0,0,0,24,19,0,0,11,0,39,211,0,41,95,0,6,34,16,0,0,0
sample_05,2460,986,1969,432,94,1636,4,1575,6354,62,887,2662,2285,1752,956,2924,3,6,6531,4977,4157,47,547,213,50,1366,924,356,145,20,0,379,215,768,317,449,23,123,6448,8073,9826,163,745,32,56,4116,309,6,30,1586,436,0,0,0,0,0,0,350,0,8,1,0,0,0,965,18,5,0,149,592,2,5,0,0,76,0,0,29,6,0,0,60,15,9,0,0,0,31,0,0,10,30,0,52,2,0,1,0,2,531,8,7,5,6,0,66,46,7494,59,0,79,0,0,0,0,43,0,0,0,3,0,0,0,0,793,228,18,0,11,18,0,0,0,0,7,2,0,13,25,118,1672,0,0,0,0,4,0,201,236,0,176,35,0,0,17,0,0,0,23,20,0,0,14,0,73,251,1,41,170,0,5,45,25,0,0,0
sample_06,1903,1692,1687,360,82,1181,1,1237,4486,35,874,2534,2492,1419,740,3167,0,9,6949,4887,3897,50,781,506,63,1697,1154,122,138,34,3,262,287,1028,294,575,25,79,3998,7357,7957,177,624,30,48,2631,138,6,85,1583,490,0,0,0,0,0,0,168,0,0,1,0,0,0,850,45,1,0,146,582,1,7,0,0,49,1,0,13,6,1,0,38,9,8,0,0,0,30,0,0,5,33,0,27,2,0,0,1,1,355,10,3,6,2,0,14,36,10880,87,0,61,0,0,0,0,55,0,0,0,2,0,0,0,0,788,200,19,0,11,25,0,0,1,0,6,1,0,11,17,88,962,0,0,4,1,3,0,172,166,0,249,27,0,0,23,0,0,0,8,20,1,0,12,0,95,149,3,12,159,0,4,40,39,0,0,0
sample_07,2154,1482,2127,505,78,1317,6,1446,5775,121,968,2747,2759,1523,1155,3637,4,4,7287,5371,4145,96,731,282,45,1913,1122,181,171,16,1,148,312,1238,429,448,18,74,9346,8140,8373,196,766,79,75,2627,171,18,84,2090,440,0,0,0,3,0,0,201,0,0,2,0,0,0,893,15,1,0,174,682,3,4,0,0,91,1,0,15,6,1,0,80,25,12,0,0,0,31,0,0,20,34,0,43,1,0,0,0,2,388,2,6,23,5,0,31,41,14113,65,3,391,0,0,0,0,66,0,0,0,6,0,0,0,0,944,233,19,0,16,33,1,1,0,0,3,3,0,7,26,117,1111,0,0,4,0,2,0,177,235,0,268,22,0,0,24,0,0,0,7,34,0,0,17,0,59,164,0,40,138,0,11,44,33,1,0,0
sample_08,1661,951,1370,262,95,929,4,925,3323,32,683,2175,1665,902,614,2733,1,2,4867,3364,2773,79,471,233,22,1152,717,77,79,9,2,251,128,676,198,292,23,58,3880,5490,5541,100,476,24,30,2706,150,25,39,1016,312,0,0,0,0,0,0,132,0,0,1,0,0,0,679,22,6,0,107,453,3,6,1,0,48,0,0,13,5,1,0,65,18,2,0,0,0,5,0,0,5,22,0,39,1,0,2,1,0,340,6,5,10,7,0,25,63,9803,78,1,83,0,0,0,0,54,0,0,0,5,0,0,0,0,531,182,12,0,3,24,0,2,0,0,2,0,0,10,9,150,1178,0,0,0,0,5,0,148,175,0,69,22,0,0,7,0,0,0,2,23,0,0,6,1,66,138,0,24,101,0,3,22,29,0,0,0
sample_09,1842,936,1589,417,79,1039,4,1204,4583,70,694,2744,2309,1258,676,2142,0,3,5901,3848,3159,96,530,296,30,1205,673,101,89,20,1,152,222,728,302,378,16,26,5842,5970,6167,130,733,48,44,1984,86,90,44,1063,468,0,0,0,2,0,0,151,0,0,0,0,0,0,632,20,1,0,114,383,1,2,0,0,83,0,0,25,3,0,0,82,21,3,0,0,0,25,0,0,9,19,0,48,2,0,2,1,2,385,1,8,2,3,0,16,39,17643,64,0,37,0,0,0,0,63,0,0,0,2,0,0,0,0,621,203,14,3,16,20,1,1,0,0,5,4,0,9,20,99,1169,0,0,1,0,4,0,135,201,0,138,29,0,0,5,0,0,0,12,37,0,0,11,0,87,176,0,8,113,0,8,49,18,0,0,0
sample_10,1726,925,1238,247,78,913,1,1029,3742,24,634,2023,1673,1174,643,2592,0,0,4772,3162,2673,46,454,239,27,1188,636,141,80,11,5,158,159,515,232,319,20,60,4126,5174,5861,105,524,19,44,2271,134,6,41,960,354,0,0,0,0,0,0,202,0,1,2,0,0,0,573,46,1,0,112,385,5,3,0,0,54,2,0,22,3,0,0,53,14,10,0,0,0,5,0,0,1,34,0,34,1,0,2,0,2,270,3,1,10,1,1,11,22,4385,39,0,161,0,0,0,0,4,1,0,0,3,0,0,0,0,619,175,20,0,9,32,0,0,0,0,1,2,0,7,24,86,1355,0,0,1,0,5,0,116,168,0,160,34,4,0,6,0,0,0,5,19,0,0,14,0,44,193,0,31,140,0,0,32,19,0,0,0
