,ENSG00000010671,ENSG00000035664,ENSG00000048707,ENSG00000056736,ENSG00000070061,ENSG00000072135,ENSG00000087884,ENSG00000100227,ENSG00000100228,ENSG00000101276,ENSG00000101282,ENSG00000102743,ENSG00000105479,ENSG00000107902,ENSG00000111725,ENSG00000112877,ENSG00000116652,ENSG00000117643,ENSG00000120549,ENSG00000120820,ENSG00000122643,ENSG00000126215,ENSG00000128191,ENSG00000129170,ENSG00000130544,ENSG00000130669,ENSG00000130733,ENSG00000130856,ENSG00000132842,ENSG00000136531,ENSG00000138315,ENSG00000145708,ENSG00000150637,ENSG00000152457,ENSG00000156427,ENSG00000157168,ENSG00000158290,ENSG00000159905,ENSG00000163815,ENSG00000164638,ENSG00000165066,ENSG00000165487,ENSG00000167994,ENSG00000169239,ENSG00000169271,ENSG00000170615,ENSG00000170949,ENSG00000172232,ENSG00000175164,ENSG00000176087,ENSG00000180573,ENSG00000185361,ENSG00000188976,ENSG00000196171,ENSG00000198178,ENSG00000201021,ENSG00000201351,ENSG00000205356,ENSG00000205364,ENSG00000206677,ENSG00000206687,ENSG00000207002,ENSG00000207989,ENSG00000211514,ENSG00000215354,ENSG00000217268,ENSG00000221468,ENSG00000221548,ENSG00000222118,ENSG00000223542,ENSG00000223586,ENSG00000224254,ENSG00000225721,ENSG00000226048,ENSG00000226397,ENSG00000226469,ENSG00000226791,ENSG00000228327,ENSG00000229373,ENSG00000229625,ENSG00000230606,ENSG00000230757,ENSG00000231170,ENSG00000231291,ENSG00000231489,ENSG00000231630,ENSG00000231684,ENSG00000232004,ENSG00000232043,ENSG00000232419,ENSG00000233036,ENSG00000234001,ENSG00000234089,ENSG00000235572,ENSG00000235728,ENSG00000235829,ENSG00000236859,ENSG00000237261,ENSG00000237442,ENSG00000237643,ENSG00000238246,ENSG00000239887,ENSG00000240291,ENSG00000240382,ENSG00000240713,ENSG00000242396,ENSG00000242999,ENSG00000243136,ENSG00000243150,ENSG00000243420,ENSG00000244363,ENSG00000244556,ENSG00000249209,ENSG00000249380,ENSG00000249506,ENSG00000250102,ENSG00000250118,ENSG00000250563,ENSG00000250903,ENSG00000250968,ENSG00000251073,ENSG00000251074,ENSG00000251621,ENSG00000251916,ENSG00000252438,ENSG00000252815,ENSG00000253172,ENSG00000253560,ENSG00000253768,ENSG00000253989,ENSG00000254263,ENSG00000254315,ENSG00000254419,ENSG00000255320,ENSG00000256742,ENSG00000257721,ENSG00000258088,ENSG00000258120,ENSG00000258679,ENSG00000258717,ENSG00000259038,ENSG00000259306,ENSG00000259425,ENSG00000260066,ENSG00000260693,ENSG00000263952,ENSG00000265567,ENSG00000265859,ENSG00000266306,ENSG00000266325,ENSG00000266463,ENSG00000266910,ENSG00000267083,ENSG00000267270,ENSG00000267416,ENSG00000267559,ENSG00000269604,ENSG00000271243,ENSG00000272886,ENSG00000272942,ENSG00000272954,ENSG00000273051,ENSG00000273090,ENSG00000273445,ENSG00000273983,ENSG00000274251,ENSG00000275441,ENSG00000276496,ENSG00000276662,ENSG00000277512,ENSG00000277563,ENSG00000278499,ENSG00000278765,ENSG00000278896,ENSG00000279511,ENSG00000279694,ENSG00000279987,ENSG00000280104,ENSG00000283205,ENSG00000283402,Disese Group
sample_01,8,45,12508,61,3222,644,164,1474,135,29,210,42,53,369,756,211,232,1952,2406,22,406,211,1602,0,454,601,431,1045,815,4022,0,18,48,164,5,1205,1840,387,24,1055,20,1434,223,691,8,33,1542,8,79,673,656,98,1043,0,0,0,0,3123,49,0,4,1,8,10,0,0,0,0,0,0,0,0,5,4,0,13,0,101,0,0,9,0,8,0,0,0,1,2,1,0,2,0,0,0,0,0,191,1,0,0,1,252,53,0,0,2,10,0,2,0,2,0,1,0,2,0,0,0,824,0,0,0,5,0,36,0,0,0,3,0,0,0,18,26,169,0,27,0,0,19,9,0,2,0,11,0,0,2,9,0,3,46,23,129,24,2,1,0,979,2,7,0,0,0,0,32,11,0,0,0,23,0,8,39,0,8,0,0,0,0,0
sample_02,14,57,12983,154,4890,727,247,2104,181,46,167,51,77,411,651,267,258,3063,3454,32,407,182,2028,0,563,884,639,1850,1069,3901,15,107,101,223,13,1359,1723,518,24,1603,12,1063,177,308,5,22,1521,6,175,933,1638,84,1797,0,0,0,0,2575,22,0,1,0,11,11,0,0,0,0,0,0,0,0,3,4,1,14,1,114,2,0,30,0,13,0,0,0,0,3,2,0,4,0,0,0,0,0,176,0,0,0,0,370,66,0,0,13,31,0,8,1,4,0,0,0,0,0,1,1,703,0,3,0,5,0,34,0,0,0,1,0,0,0,17,12,194,0,14,0,0,17,26,0,0,0,9,0,0,3,123,0,1,56,28,584,12,0,1,0,1032,7,4,0,0,0,3,46,13,0,0,0,24,0,3,35,0,3,0,0,0,0,0
sample_03,8,38,12994,135,4575,803,196,1710,155,35,173,72,66,499,584,194,129,2997,2785,23,367,171,1693,0,445,714,490,1551,1026,4249,3,50,106,205,15,1543,1809,382,15,1636,23,1142,209,498,8,28,1517,2,182,862,907,81,1427,0,0,0,0,2853,32,0,3,3,13,7,0,0,0,0,0,0,0,0,7,6,4,8,2,171,2,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,203,0,0,0,0,515,58,0,0,13,25,0,2,2,1,2,1,0,1,0,1,0,678,0,1,0,4,0,37,0,0,0,2,0,0,0,18,16,185,0,41,0,0,25,30,0,0,0,10,0,0,3,39,1,6,50,20,200,22,1,2,0,974,9,12,0,5,0,2,56,5,0,0,0,15,0,8,38,0,11,0,0,0,0,0
sample_04,8,42,12593,55,3605,628,115,1597,199,5,186,58,55,559,818,191,184,2439,1758,20,491,219,1668,1,530,576,557,1364,1183,4414,0,27,88,141,6,1292,2333,316,15,1104,19,1141,242,570,8,28,1719,9,94,933,1177,50,1311,0,0,0,0,3294,254,0,2,1,7,5,0,0,0,0,0,0,2,0,8,3,2,7,1,147,1,0,8,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,173,0,0,0,0,291,66,0,0,10,17,0,1,1,1,0,0,0,0,0,0,1,725,0,0,0,1,0,32,0,0,0,2,0,0,0,13,16,176,0,44,0,1,18,17,0,2,0,10,0,0,0,3,0,7,40,21,113,10,2,1,0,1111,5,4,0,2,0,3,19,7,0,0,0,8,0,6,53,0,7,0,0,0,0,0
sample_05,16,36,16065,121,4582,999,239,2243,239,58,205,70,116,608,1288,353,280,2134,4020,20,705,329,2492,0,713,912,653,1705,1417,3686,1,3,171,215,13,1257,2851,519,23,1212,18,1691,482,1175,9,42,2101,9,72,1063,929,70,1572,0,0,0,0,4844,399,0,5,3,3,11,0,0,0,0,0,0,0,0,9,1,21,11,1,231,1,0,15,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,263,0,0,0,0,252,66,0,0,5,18,0,5,0,3,0,6,0,0,0,0,0,1329,0,1,0,2,0,35,0,0,0,0,0,1,0,14,23,266,0,35,0,0,29,17,0,1,0,24,0,0,0,1,1,3,58,50,200,28,2,4,0,1345,2,13,0,10,0,0,66,5,0,0,0,18,0,11,82,0,18,0,0,0,0,0
sample_06,20,76,15407,98,3945,927,216,2391,241,30,200,124,65,534,1112,260,238,2951,3647,40,725,242,1698,1,774,1008,778,2009,1245,5669,1,124,99,287,7,1559,2897,477,25,1331,20,1365,197,792,17,59,1222,5,117,1314,1110,128,1882,0,0,0,0,4114,37,0,2,3,9,5,0,0,0,0,0,0,0,0,9,5,0,9,2,119,1,0,9,0,8,0,0,0,1,3,0,0,7,0,0,0,0,0,187,0,0,0,0,247,73,0,0,13,35,0,1,0,1,0,3,0,1,0,0,1,816,0,1,0,12,0,14,0,0,0,3,0,0,0,20,23,119,0,28,0,0,20,19,0,2,0,12,0,0,1,4,0,0,71,42,137,15,2,3,0,1228,1,7,0,3,0,0,36,14,0,0,0,26,0,4,46,0,7,0,0,0,0,0
sample_07,11,76,15838,98,4942,1042,237,2563,274,74,203,90,95,485,1293,341,236,3833,3806,34,646,321,2292,0,831,1043,872,2192,1295,6411,11,45,156,312,12,1654,2520,533,18,1659,22,1451,196,535,15,64,1588,9,226,1343,1174,170,2065,0,0,0,0,4446,64,0,6,0,12,21,0,0,0,0,0,0,0,0,5,5,12,6,0,238,0,0,25,0,12,0,0,0,0,0,2,0,8,0,0,0,0,0,292,0,0,0,0,537,75,0,0,10,29,0,1,2,4,1,4,0,0,0,0,0,1039,0,3,0,11,0,33,0,0,0,2,0,0,0,25,21,204,0,27,0,2,16,21,0,0,0,16,0,0,1,6,0,0,59,37,261,27,3,1,0,1449,3,14,0,3,0,3,62,11,0,0,0,22,0,7,53,0,9,0,0,0,0,0
sample_08,14,30,11614,56,3256,672,160,1413,176,19,110,52,65,387,711,259,190,2077,3076,26,501,254,1541,0,473,719,548,1317,973,3700,3,11,145,128,9,1416,1989,331,23,1011,23,1277,222,689,8,30,1258,3,67,872,887,58,1217,0,0,0,0,3053,100,0,8,4,7,4,0,0,0,0,0,0,0,0,8,3,0,10,1,125,0,0,18,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,212,0,0,0,0,283,58,0,0,7,18,0,0,0,0,0,1,0,0,0,0,0,772,0,2,0,8,0,45,0,0,0,1,0,0,0,14,26,202,0,19,0,1,14,22,0,0,0,9,0,0,0,4,0,3,58,21,126,32,2,0,0,925,8,9,0,0,0,0,42,8,0,0,0,8,0,4,44,0,9,0,0,0,0,0
sample_09,22,44,13164,47,3950,922,189,1911,196,35,152,60,67,427,911,277,180,2288,2087,14,440,199,1827,0,579,975,613,1728,898,3007,6,11,157,222,9,1115,1697,417,16,918,26,1079,167,383,6,23,1133,1,110,989,993,72,1647,0,0,0,0,4528,30,0,5,0,14,20,0,0,0,0,0,0,0,0,9,3,12,21,2,127,0,0,21,0,3,0,0,0,1,2,1,0,4,0,0,0,0,0,223,0,1,0,0,238,85,0,0,1,24,0,1,1,1,1,2,0,0,0,0,0,912,0,1,0,4,0,43,0,0,0,3,0,0,0,17,20,197,0,24,0,1,17,7,0,0,0,8,0,0,1,16,1,1,63,28,224,22,2,2,0,1080,1,12,0,3,0,1,58,10,0,0,0,24,0,9,49,0,4,0,0,0,0,0
sample_10,12,26,11404,35,3376,823,186,1608,154,22,190,56,70,399,873,288,192,1750,2684,19,379,271,1609,0,453,779,457,1371,1007,2797,2,22,103,159,4,893,1700,310,20,943,13,1029,169,610,3,25,1104,5,66,869,972,50,1254,0,0,0,0,3642,137,0,5,3,4,4,0,0,0,0,0,0,0,0,6,4,4,18,1,110,0,0,14,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,171,0,0,0,0,230,77,0,0,3,21,0,3,0,1,1,1,0,0,0,0,0,920,0,1,0,6,0,50,0,0,0,0,0,0,0,17,20,163,0,29,0,0,19,18,0,0,1,13,0,0,0,5,1,1,52,28,109,26,4,0,0,859,2,7,0,3,0,0,34,11,0,1,0,18,0,7,47,0,6,0,0,0,0,0
