,ENSG00000026025,ENSG00000075891,ENSG00000105849,ENSG00000125869,ENSG00000158042,ENSG00000172342,ENSG00000182903,ENSG00000197037,ENSG00000218776,ENSG00000225122,ENSG00000226774,ENSG00000227344,ENSG00000240827,ENSG00000247373,ENSG00000260428,ENSG00000267174,ENSG00000272942,ENSG00000278381,ENSG00000279796,ENSG00000282386,Diagnosis
sample_01,7561,124,206,611,393,0,1503,541,0,0,2,1,0,188,34,9,2,0,65,14,0
sample_02,11835,134,270,484,463,0,1461,587,0,0,1,0,0,244,46,7,7,0,27,23,0
sample_03,9924,102,261,305,497,0,1195,498,0,0,0,0,0,119,39,10,9,0,29,19,0
sample_04,13655,43,365,672,618,0,1406,552,0,0,1,0,0,122,31,8,5,0,104,26,0
sample_05,21441,247,290,935,589,0,1720,770,0,0,0,1,0,384,38,4,2,0,120,29,0
sample_06,11381,67,379,722,414,0,1693,722,0,0,3,0,0,205,30,14,1,0,49,18,0
sample_07,11761,80,356,593,476,0,1563,880,0,0,3,0,0,375,52,13,3,0,48,21,0
sample_08,8719,78,213,457,408,0,1373,563,0,0,3,0,0,210,52,6,8,0,60,18,0
sample_09,6393,85,222,592,326,0,1487,652,0,0,3,1,0,251,36,10,1,0,50,18,0
sample_10,10804,58,198,594,389,0,1234,619,0,0,0,0,0,167,16,5,2,0,61,12,0
sample_11,10001,114,186,732,490,0,1574,525,0,0,0,0,0,207,34,10,2,0,53,16,0
sample_12,18267,128,288,1136,371,0,1655,713,0,0,5,2,0,281,28,4,6,0,46,16,0
sample_13,12701,66,264,528,553,1,1343,554,0,0,1,2,0,119,16,5,2,0,154,9,0
sample_14,20815,150,225,923,495,0,1473,566,0,0,1,2,0,184,37,2,1,0,97,24,0
sample_15,9605,136,180,635,215,0,1316,454,0,0,0,0,0,187,20,6,1,0,64,10,0
sample_16,13128,119,234,605,272,0,1420,666,0,0,8,1,0,265,41,1,3,0,43,27,0
sample_17,12122,151,179,676,368,0,1267,569,0,0,0,1,0,220,34,3,5,0,87,14,0
sample_18,51073,118,452,1345,888,1,1846,741,0,0,1,2,0,280,23,3,8,0,156,38,0
sample_19,14302,112,206,900,451,0,1442,496,0,0,1,1,0,233,27,7,3,0,32,8,0
sample_20,16846,83,172,755,338,0,1521,630,0,0,0,2,0,215,18,2,1,0,73,10,0
sample_21,7466,111,177,356,348,0,991,475,0,0,1,0,0,126,36,11,2,0,20,9,0
sample_22,16430,57,213,258,529,0,1272,578,0,0,0,1,0,225,38,7,4,0,34,25,0
sample_23,8940,39,314,481,338,0,1326,572,0,0,2,0,0,182,20,5,4,0,25,14,0
sample_24,11876,23,308,792,412,0,1384,553,0,0,0,2,0,198,34,13,2,0,27,10,0
sample_25,12515,126,330,623,401,0,1500,697,0,0,2,1,0,222,30,12,1,0,85,16,0
sample_26,10455,100,269,479,358,0,1326,563,0,0,0,1,0,227,48,8,8,0,36,16,0
sample_27,13266,47,128,419,288,0,984,386,0,0,0,0,0,152,19,2,2,0,38,10,0
sample_28,16599,194,132,551,431,0,1064,429,0,0,0,1,0,110,29,4,4,0,30,11,0
sample_29,14303,62,299,442,420,0,1203,656,0,0,5,1,0,164,32,14,2,0,28,11,0
sample_30,13225,102,173,607,485,0,1249,529,0,0,3,0,0,186,25,8,2,0,47,19,0
sample_31,16755,335,223,594,399,0,1435,660,0,0,2,3,0,229,51,2,7,0,36,11,0
sample_32,28441,103,252,540,599,0,1560,730,0,0,1,0,0,270,47,5,6,0,59,19,0
sample_33,18617,114,275,886,348,0,1522,694,0,0,0,0,0,233,24,1,5,0,46,13,0
sample_34,54433,76,351,1563,1673,0,1236,613,0,0,0,0,0,83,18,6,3,0,46,36,0
sample_35,20383,239,367,1155,340,0,1872,833,0,0,3,1,0,249,26,3,1,0,145,16,0
sample_36,26759,66,350,986,390,0,1341,603,0,0,0,0,0,143,18,0,6,0,33,11,0
sample_37,48809,59,305,1389,550,0,1478,557,0,0,1,1,0,151,38,3,8,0,39,20,0
