,ENSG00000039650,ENSG00000054118,ENSG00000060069,ENSG00000081479,ENSG00000087302,ENSG00000100297,ENSG00000100941,ENSG00000101040,ENSG00000104894,ENSG00000107882,ENSG00000107902,ENSG00000108469,ENSG00000109452,ENSG00000112877,ENSG00000117154,ENSG00000118420,ENSG00000119333,ENSG00000122432,ENSG00000130669,ENSG00000136068,ENSG00000136732,ENSG00000137460,ENSG00000137857,ENSG00000138136,ENSG00000141756,ENSG00000143554,ENSG00000143889,ENSG00000145241,ENSG00000151503,ENSG00000153721,ENSG00000155111,ENSG00000157349,ENSG00000164220,ENSG00000165238,ENSG00000165923,ENSG00000166261,ENSG00000172478,ENSG00000172663,ENSG00000172772,ENSG00000173193,ENSG00000173852,ENSG00000174417,ENSG00000175221,ENSG00000175536,ENSG00000177084,ENSG00000179447,ENSG00000182170,ENSG00000182199,ENSG00000182327,ENSG00000182979,ENSG00000184613,ENSG00000184895,ENSG00000186665,ENSG00000197536,ENSG00000198185,ENSG00000198431,ENSG00000198824,ENSG00000205078,ENSG00000206681,ENSG00000207002,ENSG00000207049,ENSG00000207650,ENSG00000207698,ENSG00000212265,ENSG00000213014,ENSG00000213296,ENSG00000213638,ENSG00000214226,ENSG00000215883,ENSG00000217160,ENSG00000220848,ENSG00000222383,ENSG00000223715,ENSG00000223928,ENSG00000224339,ENSG00000224692,ENSG00000224781,ENSG00000224961,ENSG00000225066,ENSG00000225163,ENSG00000225357,ENSG00000226242,ENSG00000226352,ENSG00000226359,ENSG00000227014,ENSG00000227254,ENSG00000227800,ENSG00000227895,ENSG00000227929,ENSG00000227946,ENSG00000228118,ENSG00000228505,ENSG00000228779,ENSG00000229146,ENSG00000229607,ENSG00000229775,ENSG00000229923,ENSG00000230606,ENSG00000230739,ENSG00000230979,ENSG00000231907,ENSG00000231940,ENSG00000232183,ENSG00000232498,ENSG00000232977,ENSG00000233107,ENSG00000233623,ENSG00000233916,ENSG00000233933,ENSG00000233946,ENSG00000234087,ENSG00000234241,ENSG00000234292,ENSG00000234819,ENSG00000235213,ENSG00000235262,ENSG00000235619,ENSG00000235770,ENSG00000236445,ENSG00000236499,ENSG00000237002,ENSG00000237604,ENSG00000237699,ENSG00000239572,ENSG00000240006,ENSG00000240520,ENSG00000241241,ENSG00000242641,ENSG00000243156,ENSG00000243260,ENSG00000244402,ENSG00000244668,ENSG00000248449,ENSG00000248994,ENSG00000249140,ENSG00000249465,ENSG00000250539,ENSG00000250704,ENSG00000250732,ENSG00000250829,ENSG00000250903,ENSG00000251395,ENSG00000251802,ENSG00000252366,ENSG00000252438,ENSG00000252744,ENSG00000253347,ENSG00000254244,ENSG00000254738,ENSG00000255358,ENSG00000256226,ENSG00000256790,ENSG00000256810,ENSG00000257506,ENSG00000258230,ENSG00000258587,ENSG00000258785,ENSG00000259162,ENSG00000259512,ENSG00000259581,ENSG00000260878,ENSG00000261000,ENSG00000261335,ENSG00000263063,ENSG00000263343,ENSG00000265684,ENSG00000266065,ENSG00000266162,ENSG00000267083,ENSG00000267221,ENSG00000267586,ENSG00000267642,ENSG00000267690,ENSG00000268663,ENSG00000271243,ENSG00000271734,ENSG00000272555,ENSG00000272662,ENSG00000272895,ENSG00000273004,ENSG00000273372,ENSG00000274199,ENSG00000274225,ENSG00000275107,ENSG00000275229,ENSG00000276029,ENSG00000276178,ENSG00000276742,ENSG00000277073,ENSG00000277103,ENSG00000277108,ENSG00000277437,ENSG00000278337,ENSG00000278388,ENSG00000279175,ENSG00000279619,ENSG00000279957,ENSG00000280429,ENSG00000280432,ENSG00000283093,Disese Group
sample_01,786,3655,629,4658,1047,272,1895,2773,14,530,369,679,582,211,753,331,218,9,601,1585,161,264,6,0,213,71,1284,1892,928,303,1014,378,513,15369,17,174,0,368,0,365,788,13,1031,23,948,0,2,571,1,1544,2672,0,135,254,1049,1612,640,97,4,1,0,58,5,0,2,0,43,73,316,0,48,0,8,60,4,0,3,52,2,3,0,0,2,1,39,0,0,13,0,58,0,0,9,4,0,0,0,9,1,1,1,9,0,12,1,0,21,4,0,0,0,0,3,0,0,23,31,4,7,11,0,8,1,2,0,1,0,1,2841,34,0,2,224,8,79,2,260,0,0,0,824,0,0,0,36,0,44,0,0,15,0,19,0,0,29,1,0,0,42,106,43,1,38,6,0,10,0,0,23,423,31,0,0,0,0,13,4,1,0,14,56,3,9,0,0,0,3,6,2,9,0,0,0,4,172,17,12,1,44,0,0
sample_02,1050,3593,846,4522,1043,147,1734,4451,25,681,411,1222,619,267,941,335,349,5,884,2198,160,1131,5,0,197,112,1508,1900,1164,406,1379,400,79,17646,12,448,0,289,0,316,987,7,1731,29,1204,0,2,1011,1,1342,4761,0,101,274,832,1725,640,99,0,0,0,139,5,0,0,0,102,255,423,0,72,6,2,89,2,0,3,52,1,4,0,0,7,1,36,0,0,10,1,36,0,0,0,9,0,0,0,30,11,5,0,12,0,1,7,0,36,5,0,0,0,3,7,0,0,24,32,4,3,11,0,0,3,0,0,2,0,0,4177,43,0,0,295,22,47,5,418,0,1,0,703,0,0,0,34,0,25,1,0,43,0,6,0,0,7,1,1,1,39,101,67,1,34,11,0,4,0,0,28,472,20,0,2,0,0,18,12,2,0,19,33,2,8,0,0,0,2,48,9,41,0,0,0,39,58,18,15,1,56,0,0
sample_03,968,3483,843,5021,994,165,1757,3481,11,533,499,887,770,194,961,311,301,6,714,2086,130,651,4,0,187,115,1415,1718,980,268,1401,371,75,19715,38,259,1,404,0,349,1075,6,1540,19,1056,0,4,715,1,1648,3706,0,154,288,991,1682,586,167,0,3,0,71,3,0,0,0,86,152,353,0,49,3,3,59,1,0,5,34,5,7,0,0,6,2,32,0,0,11,0,53,0,0,1,8,0,0,0,5,2,1,1,15,0,2,8,0,33,7,0,0,0,0,9,0,0,24,32,13,1,16,0,3,0,1,0,1,0,2,3920,36,0,1,220,28,65,3,338,0,0,0,678,0,0,0,37,0,28,0,0,36,1,9,0,0,11,0,0,1,15,91,37,1,21,6,0,10,0,0,20,439,21,1,1,0,0,11,11,3,0,21,87,10,5,0,0,0,1,14,4,29,0,0,0,1,134,11,15,0,47,0,0
sample_04,948,4281,944,4625,1120,281,1772,3585,22,463,559,786,484,191,985,359,200,8,576,2365,109,253,1,0,259,91,1614,1752,991,364,1229,440,115,19522,25,281,0,553,0,359,1168,8,1459,17,798,0,1,757,3,1650,3676,0,252,392,1096,1317,718,137,7,1,0,64,6,0,1,0,50,76,305,0,39,0,6,17,1,0,2,56,1,6,3,0,5,2,27,0,0,5,0,51,0,0,10,4,0,0,0,8,2,1,1,16,0,3,5,0,12,2,0,0,0,4,23,0,0,21,19,6,5,7,0,0,0,0,0,0,0,0,4042,43,0,0,209,10,125,3,223,0,0,0,725,0,0,0,32,0,27,0,0,18,0,8,0,2,24,0,1,1,35,70,45,1,36,13,0,9,0,0,21,354,32,0,0,0,0,4,9,1,0,9,57,6,14,0,0,0,1,3,2,22,0,0,0,10,92,41,30,0,34,0,0
sample_05,1474,4974,951,13831,1282,380,2124,4240,35,889,608,1147,501,353,1171,425,503,13,912,2715,356,205,2,0,372,115,1911,2000,1263,473,1600,547,622,23268,37,340,1,754,0,419,1478,19,1820,37,1323,0,0,735,5,2098,5313,0,296,436,1570,1677,929,286,4,3,0,113,8,1,3,2,53,101,608,0,65,0,4,60,0,0,0,89,2,6,1,0,12,7,43,0,0,4,0,66,1,0,7,2,0,0,0,15,2,0,4,16,0,4,10,0,34,2,0,0,0,0,12,0,0,59,36,4,7,16,0,15,0,2,0,4,0,2,3927,41,0,1,258,16,171,4,407,0,0,0,1329,0,0,0,35,0,25,4,0,41,0,4,0,0,32,0,1,1,40,123,46,0,48,13,0,12,0,0,50,580,41,0,2,0,0,16,14,5,0,22,67,1,15,0,0,0,2,5,3,20,0,0,0,21,271,41,14,2,37,0,0
sample_06,1133,5105,815,9338,1502,300,1878,4104,19,710,534,872,710,260,938,479,457,16,1008,2302,122,499,9,0,242,86,1544,1892,1262,215,1355,544,235,13568,31,349,0,422,0,608,1344,9,1706,32,1009,0,0,565,2,1939,5134,0,166,490,1260,2308,1123,170,0,3,0,86,8,0,3,0,68,79,361,0,48,0,3,56,1,0,1,78,1,1,0,0,16,5,39,0,0,21,1,70,0,0,1,8,0,0,0,9,0,2,0,17,0,7,8,0,30,5,0,0,0,0,5,0,0,15,21,7,4,8,0,3,3,4,0,3,0,4,3686,21,0,1,224,24,78,3,409,0,1,0,816,0,0,0,14,0,28,0,0,22,0,6,2,0,27,0,1,0,36,93,69,1,28,10,0,5,0,0,42,538,38,0,0,0,0,11,9,2,0,21,97,0,14,0,0,0,1,2,2,19,0,0,0,10,103,12,9,0,52,0,0
sample_07,1180,4719,912,7948,1504,321,2071,5350,23,897,485,1234,793,341,1279,454,538,23,1043,2234,181,681,2,0,319,120,1873,2249,1220,159,1563,499,264,18255,40,426,0,499,0,544,1668,16,1951,25,1377,0,2,1327,2,2367,5833,0,211,440,1525,2237,1000,264,0,0,0,118,13,0,1,1,80,128,701,0,67,0,3,64,2,0,3,33,2,2,0,0,13,3,33,0,0,6,0,85,0,0,0,8,0,0,1,25,1,4,1,18,0,0,15,0,31,2,0,0,0,4,1,0,0,10,32,4,0,16,0,0,2,0,0,2,0,3,4598,36,0,1,365,30,89,2,387,0,1,0,1039,0,0,0,33,0,27,1,0,35,0,5,1,8,25,0,0,3,28,113,76,0,48,27,0,10,0,0,37,742,46,0,0,0,0,17,8,10,0,16,72,0,21,0,0,0,2,6,4,44,0,0,0,35,163,40,24,2,27,0,0
sample_08,1070,3265,614,4535,1034,262,1804,3195,16,530,387,806,461,259,918,350,255,12,719,1767,77,241,4,0,190,68,1444,1590,884,198,1046,391,255,18225,15,189,0,415,0,343,683,6,1234,20,929,0,1,492,1,1541,3199,0,153,312,1079,1333,653,140,0,4,0,53,7,0,0,0,53,83,366,0,60,0,2,38,0,0,3,53,1,3,0,0,7,0,33,0,0,13,0,49,0,0,3,5,0,0,0,18,0,0,1,15,0,3,6,0,18,1,0,0,0,4,5,0,0,19,26,11,4,5,0,17,1,1,1,0,0,0,2826,52,0,1,141,17,90,3,276,0,1,0,772,0,0,0,45,0,31,1,0,25,0,6,0,1,25,0,0,0,30,84,56,1,59,11,0,12,0,0,21,350,28,2,0,0,0,6,9,2,0,13,46,5,11,0,0,0,0,6,0,10,0,0,0,3,162,24,5,0,38,0,0
sample_09,1070,3592,707,6427,911,245,1782,3658,33,702,427,1040,407,277,1006,435,443,14,975,1670,101,336,6,0,212,99,1332,1876,1067,144,1007,465,255,14287,24,330,0,343,0,533,1343,13,1979,22,1028,0,0,563,1,1734,4177,0,133,468,1244,1588,733,230,1,0,0,78,9,0,8,1,69,111,457,0,75,1,3,34,0,0,0,56,1,7,0,0,17,5,37,0,0,15,1,36,1,0,1,10,1,0,0,21,2,1,1,21,0,2,7,0,35,0,0,0,0,0,1,0,0,14,28,9,5,4,0,0,1,0,0,0,0,0,2969,33,0,0,253,30,93,7,356,0,1,0,912,0,0,0,43,0,35,0,0,31,0,6,0,0,17,0,0,0,31,123,42,0,28,2,0,7,0,0,28,601,18,0,3,0,0,8,12,3,0,24,33,1,4,2,0,0,3,17,3,40,0,0,0,25,205,8,12,0,47,0,0
sample_10,993,3345,751,3882,876,296,1473,3195,19,559,399,872,420,288,867,392,328,14,779,1281,141,197,6,0,223,88,1265,1553,1065,275,1480,362,208,16530,22,280,0,447,0,380,996,17,1290,23,909,0,1,506,0,1594,3352,0,153,354,939,1124,538,144,1,3,0,59,6,0,3,1,46,54,390,0,42,0,1,35,2,0,1,77,1,10,0,0,13,5,27,0,0,9,0,37,0,0,3,7,0,0,0,14,0,4,0,11,0,3,5,0,14,1,0,0,0,1,6,0,0,23,21,10,2,11,0,0,0,0,0,1,0,3,2980,40,0,1,229,13,105,3,268,0,0,0,920,0,0,0,50,0,29,1,0,31,0,14,0,2,15,0,0,0,38,130,33,0,53,10,0,5,0,0,28,420,25,0,2,0,0,16,10,7,0,10,42,1,10,0,0,0,1,4,3,10,0,0,0,2,126,31,14,0,42,0,0
