,ENSG00000118564,ENSG00000149133,ENSG00000153291,ENSG00000161996,ENSG00000163521,ENSG00000171456,ENSG00000176953,ENSG00000206709,ENSG00000207946,ENSG00000215179,ENSG00000220745,ENSG00000224853,ENSG00000225839,ENSG00000230606,ENSG00000242510,ENSG00000257239,ENSG00000258594,ENSG00000259056,ENSG00000264017,ENSG00000267594,ENSG00000274293,ENSG00000274559,ENSG00000274923,ENSG00000277138,ENSG00000283199,Disese Group
sample_01,3052,0,2585,1258,126,2964,1326,0,0,0,0,0,3,9,0,0,0,2,3,0,0,0,2,1,107,0
sample_02,2976,0,2052,1696,97,3637,1181,0,0,0,0,0,7,30,0,0,0,4,70,16,0,0,3,0,167,0
sample_03,2878,0,2161,1474,116,3346,1400,0,0,0,0,0,7,5,0,0,0,7,26,30,0,0,2,2,179,0
sample_04,3753,1,2386,1228,151,3313,1347,0,0,0,0,0,6,8,0,0,0,8,6,0,0,0,0,1,142,0
sample_05,4197,0,3112,2093,276,4448,2152,0,0,0,0,0,6,15,0,0,0,5,12,0,0,0,1,1,156,0
sample_06,5102,0,2484,1189,219,3698,2047,0,0,0,0,1,11,9,0,0,0,6,6,65,0,0,0,1,105,0
sample_07,4654,0,3050,1527,348,4157,2148,0,0,1,0,0,8,25,0,2,0,2,22,1,0,0,5,1,210,0
sample_08,2942,0,2371,1397,206,2707,1472,0,0,0,0,0,2,18,0,0,0,4,3,0,0,0,4,0,151,0
sample_09,3351,0,2314,1699,156,3378,1522,0,0,1,0,0,9,21,0,1,0,6,8,17,0,0,1,1,146,0
sample_10,2567,0,1992,1349,179,3120,1406,0,0,0,0,0,3,14,0,0,0,5,9,0,0,0,0,2,131,0
sample_11,2723,0,2781,1894,176,3342,1627,0,0,0,0,0,11,9,0,0,0,6,1,0,0,0,1,0,60,0
sample_12,4669,0,2546,2296,228,4150,1958,0,0,0,0,0,7,23,0,0,0,10,4,46,0,0,3,1,121,0
sample_13,2852,0,2026,1362,141,3283,1209,0,0,1,0,0,2,11,0,0,0,3,2,0,0,0,1,0,151,0
sample_14,3071,0,2329,1529,226,3474,1350,0,0,0,0,1,7,12,0,1,0,8,7,1,0,0,0,2,92,0
sample_15,2870,0,2033,1511,183,3046,1585,0,0,1,0,0,9,10,0,0,0,4,6,65,0,0,2,2,73,0
sample_16,3652,0,2513,1607,337,3368,1818,0,0,0,0,0,1,23,0,0,0,4,13,2,0,0,3,2,118,0
sample_17,2840,0,2386,1712,238,2848,1468,0,0,0,0,0,3,12,0,0,0,5,3,1,0,0,3,1,90,0
sample_18,3931,0,2166,1791,250,4835,1596,0,0,0,0,0,10,21,0,0,0,10,5,94,0,0,3,0,136,0
sample_19,3077,0,2328,1972,144,3356,1504,0,0,0,0,0,3,12,0,0,0,6,14,1,0,0,0,1,85,0
sample_20,2522,0,2184,1765,220,3505,1561,0,0,1,0,0,4,39,0,1,0,8,6,1,0,0,2,0,64,0
sample_21,2226,0,1543,1154,67,2634,1095,0,0,0,0,0,5,29,0,0,0,5,25,2,0,0,1,0,100,0
