,ENSG00000100031,ENSG00000100297,ENSG00000105669,ENSG00000168348,ENSG00000181744,ENSG00000183423,ENSG00000184060,ENSG00000186350,ENSG00000199036,ENSG00000199424,ENSG00000205452,ENSG00000227533,ENSG00000230107,ENSG00000230606,ENSG00000231095,ENSG00000233565,ENSG00000234296,ENSG00000235748,ENSG00000235759,ENSG00000236854,ENSG00000250412,ENSG00000250903,ENSG00000254016,ENSG00000254903,ENSG00000256223,ENSG00000263613,ENSG00000267083,ENSG00000269821,ENSG00000273541,ENSG00000278202,Diagnosis
sample_01,194,272,961,125,523,443,54,1359,2,1,0,560,1,9,0,0,0,0,0,0,22,824,54,0,587,0,23,7707,0,0,0
sample_02,152,147,979,135,623,739,186,2551,0,0,0,377,0,30,2,0,0,1,0,0,51,703,87,0,428,0,28,11096,0,1,0
sample_03,149,165,1136,150,787,670,111,1870,3,0,0,555,2,5,1,0,0,0,0,0,74,678,53,0,405,0,20,11918,0,2,0
sample_04,167,281,1105,137,788,420,56,1827,0,0,0,252,0,8,0,0,0,0,0,0,50,725,12,0,750,1,21,5948,0,1,0
sample_05,158,380,1379,195,737,713,176,2490,2,0,0,474,0,15,1,0,0,0,0,0,52,1329,84,0,953,1,50,4862,0,0,0
sample_06,176,300,1397,182,776,876,89,1502,4,0,0,248,0,9,1,0,0,0,0,1,11,816,53,0,816,0,42,5635,0,1,0
sample_07,177,321,1587,342,915,883,147,2578,5,0,0,363,4,25,3,0,0,1,0,0,34,1039,58,0,706,0,37,4632,0,0,0
sample_08,151,262,957,140,523,655,76,1457,5,0,0,637,0,18,1,0,0,0,1,0,28,772,40,0,491,0,21,4446,0,0,0
sample_09,138,245,943,203,484,748,177,1958,1,0,0,271,0,21,1,1,0,1,1,0,25,912,41,0,541,0,28,6300,0,4,0
sample_10,135,296,934,189,578,640,96,1776,8,0,0,331,1,14,3,0,0,0,0,1,39,920,34,0,596,0,28,4647,0,2,0
sample_11,140,351,905,225,505,560,72,1829,7,0,0,727,0,9,3,0,0,0,0,0,14,696,49,0,819,1,22,4163,0,2,0
sample_12,112,288,1059,360,746,1586,168,2514,5,0,0,286,0,23,1,0,0,0,0,0,16,905,44,0,767,0,28,2768,0,1,0
sample_13,104,323,718,144,608,488,50,2070,2,0,0,271,1,11,0,0,0,0,0,0,33,691,27,0,666,0,25,3574,0,2,0
sample_14,98,280,907,131,602,586,140,2266,1,0,0,348,0,12,3,0,0,0,0,0,16,1041,55,0,893,0,31,3950,0,2,0
sample_15,124,223,711,133,434,755,63,1261,2,0,0,201,2,10,0,0,0,0,0,0,16,682,42,0,571,0,31,3298,0,0,0
sample_16,106,233,879,312,802,1203,113,2166,8,0,0,327,0,23,3,0,0,1,0,0,25,1011,35,0,662,0,25,3405,0,2,0
sample_17,159,242,851,183,474,678,103,1496,4,0,0,622,1,12,1,0,0,0,0,0,35,735,31,0,566,1,19,2683,0,0,0
sample_18,163,584,1466,339,1074,1157,89,2660,4,0,0,829,1,21,2,0,0,1,0,0,80,1286,20,0,1064,0,20,4418,0,1,0
sample_19,132,190,905,223,705,984,105,1937,3,0,0,412,0,12,0,0,0,0,0,1,37,838,29,0,874,0,21,3465,0,1,0
sample_20,90,309,775,250,526,714,84,2028,2,0,0,324,0,39,0,0,0,0,0,0,40,1053,29,0,804,0,28,3602,0,1,0
sample_21,126,143,676,104,665,661,74,1601,2,0,0,342,2,29,3,0,0,0,0,0,38,468,28,0,349,0,30,5175,0,0,0
sample_22,147,238,887,182,808,871,103,2099,1,0,0,828,0,19,4,0,0,0,0,0,79,897,42,0,534,0,19,6909,0,2,0
sample_23,145,258,1016,147,562,882,77,1284,1,0,0,310,4,22,3,0,0,0,0,0,18,654,37,0,636,0,16,2507,0,0,0
sample_24,98,214,1196,315,725,812,77,1138,3,0,0,260,1,11,2,0,0,0,0,0,24,803,21,0,695,0,14,2874,0,0,0
sample_25,161,334,1200,220,534,771,94,1532,3,0,0,312,0,15,4,0,0,0,0,1,20,820,26,0,696,0,34,3303,0,2,0
sample_26,119,256,1098,147,713,694,134,1860,7,0,0,231,1,20,1,0,0,0,0,1,37,642,53,0,550,0,24,4167,0,1,0
sample_27,81,174,648,165,488,836,114,1582,1,0,0,352,0,12,0,0,0,0,0,0,47,682,45,0,382,0,21,3268,0,2,0
sample_28,127,175,662,191,677,875,86,1329,1,0,0,409,0,11,0,0,0,0,0,0,37,692,73,0,545,0,30,3736,0,3,0
sample_29,113,219,1067,183,759,863,139,1727,0,0,0,454,2,25,4,0,0,0,1,0,60,874,65,0,518,0,32,6260,0,0,0
sample_30,105,235,1020,226,538,838,94,1445,1,0,0,572,0,15,1,0,0,0,0,0,21,802,50,0,500,0,28,3273,0,3,0
sample_31,152,220,845,213,750,1028,113,2599,2,0,0,536,0,33,1,0,0,0,0,2,35,691,43,0,559,1,38,4186,0,1,0
sample_32,125,305,912,270,716,1058,135,2797,4,0,0,835,0,17,0,0,0,1,0,0,94,1109,51,0,693,0,46,5759,0,0,0
sample_33,172,347,1017,237,535,1152,115,1881,1,0,0,484,3,13,0,0,0,0,0,0,30,873,51,0,748,0,24,2344,0,0,0
sample_34,124,541,2573,429,859,948,83,1342,11,0,0,243,0,11,1,0,0,0,0,0,49,1337,46,0,686,0,19,1619,0,0,0
sample_35,143,392,1048,251,658,1241,146,1870,13,0,0,491,0,25,1,0,0,0,0,1,23,977,32,0,941,0,36,3083,0,0,0
sample_36,91,329,970,291,673,733,85,1920,2,0,0,211,3,9,0,0,0,0,0,0,21,729,11,0,806,0,20,2250,0,1,0
sample_37,175,301,1097,292,1255,1117,153,1818,2,0,0,628,0,31,1,0,0,0,0,0,36,821,29,0,714,0,22,3578,0,7,0
sample_38,149,296,1015,370,1134,1279,118,1885,0,0,0,527,1,15,3,0,0,1,0,0,34,988,53,0,814,0,26,3040,0,2,0
sample_39,208,483,2589,491,1114,1122,110,1661,0,0,0,526,0,10,0,0,0,1,0,0,34,1293,17,0,688,0,15,1274,0,1,0
sample_40,124,236,633,198,597,945,98,1572,4,0,0,892,0,13,0,0,0,0,0,3,27,702,52,0,600,0,34,3475,0,2,0
sample_41,182,389,1373,208,887,1005,113,2181,7,0,0,434,1,24,2,0,0,0,0,1,59,888,39,0,750,1,34,4712,0,0,1
sample_42,113,212,1162,189,867,835,103,1607,5,0,0,433,0,19,3,0,0,0,0,0,71,914,48,0,530,1,16,5948,0,1,1
sample_43,172,256,1172,187,715,987,113,1886,11,0,0,377,1,25,2,0,0,0,0,0,33,751,31,0,730,0,26,3286,0,1,1
sample_44,117,272,1193,158,599,709,87,1426,2,0,0,206,2,29,0,0,2,0,0,1,35,694,45,0,538,0,28,3275,0,1,1
sample_46,160,326,1029,151,591,844,137,1634,3,0,0,312,1,39,1,0,0,0,0,0,34,873,79,0,581,0,29,4650,0,3,1
sample_47,164,371,1250,211,622,857,118,1841,11,0,0,400,2,19,0,0,0,0,0,1,45,938,103,0,558,0,38,4820,0,0,1
sample_48,135,352,864,217,594,707,115,1788,5,0,0,570,1,13,0,0,0,0,0,0,29,785,70,0,657,0,25,3632,0,3,1
