,ENSG00000072135,ENSG00000090372,ENSG00000103494,ENSG00000104946,ENSG00000108469,ENSG00000110911,ENSG00000112877,ENSG00000116151,ENSG00000124356,ENSG00000138613,ENSG00000139364,ENSG00000160505,ENSG00000166575,ENSG00000169208,ENSG00000173517,ENSG00000176986,ENSG00000183495,ENSG00000201999,ENSG00000204859,ENSG00000223946,ENSG00000225179,ENSG00000227716,ENSG00000228131,ENSG00000229949,ENSG00000230198,ENSG00000230606,ENSG00000236741,ENSG00000238845,ENSG00000241269,ENSG00000253371,ENSG00000254481,ENSG00000256589,ENSG00000259023,ENSG00000259130,ENSG00000264750,ENSG00000269148,ENSG00000275448,ENSG00000275481,ENSG00000278454,ENSG00000282458,Diagnosis
sample_01,644,1281,445,1847,679,2079,211,752,956,868,695,1,742,0,3679,2908,5011,0,293,0,77,0,0,0,0,9,0,0,7,1,6,3,0,2,2,0,0,85,0,46,0
sample_02,727,1763,389,2578,1222,1673,267,581,981,444,866,0,675,0,5786,3358,6168,0,433,0,179,0,0,0,0,30,1,0,2,0,9,2,1,0,1,2,0,117,0,41,0
sample_03,803,1444,337,2578,887,1722,194,777,864,569,770,2,721,0,4475,2916,5474,0,351,0,133,0,0,0,0,5,2,0,3,0,5,1,0,5,2,0,0,109,0,34,0
sample_04,628,1283,403,1962,786,1947,191,725,978,670,622,0,740,0,3264,3034,5260,0,349,0,103,0,0,0,0,8,0,0,4,0,11,1,0,4,1,0,0,115,0,74,0
sample_05,999,1582,594,2662,1147,2550,353,1385,1167,1210,973,4,820,0,4607,3978,7510,0,533,0,98,0,0,0,0,15,0,0,9,0,5,3,1,3,2,0,0,230,0,29,0
sample_06,927,1630,626,2534,872,2956,260,852,1219,1202,975,3,1031,0,4906,3620,6137,0,539,0,128,0,0,0,0,9,1,0,7,2,5,2,1,2,1,0,0,120,0,82,0
sample_07,1042,1970,598,2747,1234,2481,341,1169,1158,1311,930,1,864,0,6227,4287,7594,0,630,0,149,0,0,0,0,25,0,0,11,0,2,4,0,0,0,0,0,202,0,102,0
sample_08,672,1191,453,2175,806,1898,259,884,817,859,583,0,598,0,3664,2489,4753,0,371,0,85,0,0,0,0,18,0,0,7,0,6,3,1,7,1,1,0,136,0,47,0
sample_09,922,1791,395,2744,1040,1873,277,1198,905,778,569,0,568,0,4628,3280,6546,0,563,0,82,0,0,0,0,21,0,0,9,0,6,1,0,1,1,0,0,128,0,76,0
sample_10,823,1310,395,2023,872,1564,288,986,806,641,462,0,614,0,3422,2810,5601,0,393,0,137,0,0,0,0,14,0,0,4,0,8,0,2,1,0,0,0,87,0,44,0
sample_11,634,1684,350,2183,893,2160,301,1105,865,860,462,1,524,0,4440,3531,6154,0,392,0,60,0,0,0,0,9,0,0,5,0,1,2,1,13,1,0,0,97,0,64,0
sample_12,905,1888,500,2953,1165,2480,319,1452,1046,1185,581,0,648,0,5368,4686,7159,0,612,0,70,0,0,0,0,23,0,0,12,0,1,2,3,7,0,0,0,193,0,89,0
sample_13,510,1070,284,1453,736,1480,203,875,836,619,308,0,438,0,3029,2774,5396,0,239,0,89,0,0,0,0,11,0,0,2,0,13,0,3,10,0,0,0,97,0,81,0
sample_14,672,1157,428,1912,865,1764,215,962,800,986,598,2,671,0,3677,2973,5460,0,406,0,89,0,0,0,0,12,0,0,2,0,8,1,0,3,0,0,0,188,0,20,0
