,ENSG00000075213,ENSG00000100368,ENSG00000125122,ENSG00000136861,ENSG00000137261,ENSG00000160214,ENSG00000161021,ENSG00000163815,ENSG00000168334,ENSG00000179528,ENSG00000184560,ENSG00000186409,ENSG00000186603,ENSG00000198598,ENSG00000198855,ENSG00000200591,ENSG00000201581,ENSG00000201708,ENSG00000202526,ENSG00000204310,ENSG00000204421,ENSG00000207109,ENSG00000219087,ENSG00000224865,ENSG00000226377,ENSG00000228799,ENSG00000228862,ENSG00000231548,ENSG00000232646,ENSG00000232864,ENSG00000234639,ENSG00000236567,ENSG00000237580,ENSG00000237883,ENSG00000239429,ENSG00000239991,ENSG00000244203,ENSG00000244535,ENSG00000251348,ENSG00000252955,ENSG00000253742,ENSG00000255486,ENSG00000260115,ENSG00000265257,ENSG00000266827,ENSG00000267137,ENSG00000271901,ENSG00000273971,ENSG00000274767,ENSG00000278593,ENSG00000279223,Diagnosis
sample_01,1408,10,144,1845,647,312,1863,24,1,0,6,188,9,88,175,1,4,0,0,873,4,3,0,1,0,38,5,0,2,0,0,56,0,2,0,0,1,1,177,0,0,0,0,1,0,0,48,1,9,1,0,0
sample_02,1760,25,136,2554,560,573,2617,24,0,1,12,342,5,165,170,0,2,0,0,1154,5,5,0,0,0,43,2,0,1,0,0,88,0,3,0,0,2,1,165,0,0,0,0,2,0,0,148,5,9,0,1,0
sample_03,1709,20,167,2003,614,468,2135,15,0,0,6,280,7,77,170,0,8,0,0,1038,5,5,1,0,2,60,1,0,0,0,0,48,0,1,0,0,0,0,191,0,0,0,0,2,0,0,126,1,16,0,2,0
sample_04,1532,15,224,1792,407,459,1829,15,3,0,12,188,7,76,205,0,6,0,0,1109,1,5,0,1,0,30,2,0,3,0,0,36,0,2,0,0,0,0,112,0,0,0,0,0,0,0,98,1,13,0,2,0
sample_05,2880,17,373,2692,427,469,2881,23,0,0,23,272,16,156,217,0,4,0,0,1464,1,5,0,0,2,14,6,0,1,0,0,69,0,2,0,0,1,0,180,0,0,0,0,0,0,0,111,3,20,0,5,0
sample_06,2881,23,250,2154,611,520,2542,25,0,1,6,286,15,65,338,1,1,0,0,1572,0,5,0,1,0,46,4,0,2,0,0,58,0,3,0,0,0,0,143,0,0,0,0,2,0,0,83,4,17,0,0,0
sample_07,2634,27,286,2324,633,559,2860,18,0,0,16,399,22,157,353,1,3,0,0,1742,3,12,0,0,2,63,4,0,1,0,0,85,0,1,0,0,0,0,233,0,0,0,0,0,0,0,130,3,39,0,1,0
sample_08,1735,17,236,1626,399,362,2075,23,1,0,10,235,10,49,152,0,2,0,0,1251,2,7,1,0,4,30,3,0,0,1,0,55,0,1,0,0,0,0,171,0,0,0,0,0,0,0,62,3,12,0,2,0
sample_09,2026,54,232,2517,566,447,2421,16,0,2,26,245,5,81,195,0,2,0,0,1176,1,6,1,1,0,28,5,0,0,0,0,87,0,3,0,0,0,0,132,0,0,0,0,5,0,0,67,3,18,0,3,0
sample_10,1784,12,249,2119,323,371,2051,20,0,1,10,218,6,73,175,0,6,0,0,938,3,3,0,0,2,31,4,0,0,0,0,64,0,2,0,0,0,0,125,0,0,0,0,2,0,0,99,0,42,1,1,0
