,ENSG00000009780,ENSG00000060069,ENSG00000072135,ENSG00000073111,ENSG00000075275,ENSG00000078142,ENSG00000083223,ENSG00000105656,ENSG00000131748,ENSG00000133083,ENSG00000133961,ENSG00000137393,ENSG00000141736,ENSG00000143294,ENSG00000145936,ENSG00000146966,ENSG00000154252,ENSG00000162576,ENSG00000164754,ENSG00000170819,ENSG00000172062,ENSG00000174326,ENSG00000176349,ENSG00000179412,ENSG00000180264,ENSG00000181873,ENSG00000197149,ENSG00000197536,ENSG00000199591,ENSG00000202374,ENSG00000212856,ENSG00000215016,ENSG00000220181,ENSG00000223717,ENSG00000223720,ENSG00000225912,ENSG00000226526,ENSG00000227131,ENSG00000228597,ENSG00000230373,ENSG00000230793,ENSG00000232091,ENSG00000232715,ENSG00000233686,ENSG00000233840,ENSG00000233873,ENSG00000234229,ENSG00000234931,ENSG00000237194,ENSG00000238468,ENSG00000238924,ENSG00000245849,ENSG00000249052,ENSG00000251079,ENSG00000252461,ENSG00000254703,ENSG00000256006,ENSG00000256902,ENSG00000257640,ENSG00000257643,ENSG00000258066,ENSG00000259140,ENSG00000259921,ENSG00000267083,ENSG00000268061,ENSG00000268738,ENSG00000271612,ENSG00000272209,ENSG00000273515,ENSG00000277435,Diagnosis
sample_01,603,629,644,320,46,2541,881,295,496,2056,1540,232,657,1145,0,862,34,135,5515,1,121,67,19,0,1,558,37,254,12,6,0,0,0,0,0,0,2,0,0,81,12,1,2,0,0,0,0,0,28,0,0,353,0,48,2,0,81,15,1,0,26,0,13,23,7,0,2,10,0,0,0
sample_02,418,846,727,201,95,2509,976,367,1198,2515,1610,315,653,1243,2,1181,41,109,5535,8,106,47,5,0,1,1049,78,274,10,22,0,0,0,0,0,0,1,0,0,20,25,0,2,0,1,1,0,0,33,0,1,363,0,0,4,1,51,39,0,5,21,0,13,28,47,0,2,1,0,0,0
sample_03,504,843,803,269,131,2677,928,321,757,2249,1543,203,647,1195,0,1160,42,95,5652,5,99,39,13,0,3,883,45,288,11,23,0,0,1,0,0,0,4,0,0,30,25,0,3,0,0,1,0,0,29,0,1,359,0,46,3,1,97,24,0,1,14,0,7,20,26,0,0,5,0,0,0
sample_04,627,944,628,366,145,3107,1088,385,536,2271,1576,213,603,1074,0,1221,17,282,5477,1,120,47,19,0,0,777,63,392,9,19,0,0,0,0,0,0,7,0,0,23,19,0,2,0,0,6,0,0,15,0,0,254,0,41,4,1,109,4,1,0,14,0,17,21,20,5,2,20,0,0,0
sample_05,886,951,999,435,138,3559,1279,594,714,3420,1965,427,1169,1655,0,1816,34,216,7431,8,132,82,17,0,3,1122,30,436,9,12,0,0,0,0,0,0,8,0,1,73,19,0,5,0,0,2,0,0,57,0,1,534,1,43,8,0,101,15,0,0,22,0,29,50,20,0,2,4,0,0,0
sample_06,941,815,927,413,132,3681,1345,408,619,2945,1654,306,976,1580,3,1291,25,212,6935,5,126,84,20,0,6,970,85,490,9,13,0,0,0,0,0,0,2,0,1,40,17,0,7,0,1,0,0,0,33,0,0,449,0,55,6,2,26,22,0,1,19,0,20,42,24,0,0,12,0,0,0
sample_07,879,912,1042,476,203,3167,1243,431,900,2964,2106,330,1212,1599,1,1695,32,276,7752,10,153,114,28,0,1,1180,84,440,16,18,0,0,0,0,0,0,0,0,1,34,18,0,9,0,3,0,0,0,42,0,0,603,0,66,7,1,38,24,0,0,24,0,17,37,36,0,2,9,0,0,0
sample_08,668,614,672,279,158,2662,826,358,433,2272,1346,270,931,1137,2,869,24,124,4839,3,105,80,12,0,1,719,39,312,8,18,0,0,0,0,0,1,2,0,0,42,23,0,5,0,0,0,0,0,31,0,0,386,0,54,6,2,39,16,0,1,22,0,15,21,16,4,1,13,0,0,0
sample_09,708,707,922,304,47,2208,1044,368,693,2020,1462,208,724,1293,1,1503,12,130,5306,4,77,47,4,0,0,1121,44,468,14,7,0,0,0,0,0,0,5,0,0,48,29,0,2,0,2,0,0,0,60,0,1,480,0,63,11,3,17,26,1,2,24,0,15,28,36,0,1,4,0,0,0
sample_10,523,751,823,328,84,2432,947,363,557,1598,1311,202,714,1037,5,1064,12,129,4325,4,98,65,20,0,1,946,41,354,5,13,0,0,0,0,0,0,3,0,1,63,20,0,4,0,2,1,0,0,53,0,0,324,0,4,2,0,72,11,1,2,13,0,15,28,15,1,0,3,0,0,0
