,ENSG00000104129,ENSG00000108688,ENSG00000125703,ENSG00000128487,ENSG00000130300,ENSG00000130669,ENSG00000133519,ENSG00000151240,ENSG00000152705,ENSG00000154099,ENSG00000160181,ENSG00000161847,ENSG00000161921,ENSG00000169981,ENSG00000170180,ENSG00000173193,ENSG00000185475,ENSG00000186526,ENSG00000188599,ENSG00000196136,ENSG00000196247,ENSG00000197334,ENSG00000197467,ENSG00000197536,ENSG00000198074,ENSG00000202169,ENSG00000204310,ENSG00000204711,ENSG00000205592,ENSG00000226314,ENSG00000226469,ENSG00000227536,ENSG00000228429,ENSG00000229357,ENSG00000230146,ENSG00000230306,ENSG00000230480,ENSG00000230606,ENSG00000232874,ENSG00000233154,ENSG00000233955,ENSG00000234265,ENSG00000234498,ENSG00000235924,ENSG00000235964,ENSG00000236662,ENSG00000237032,ENSG00000237317,ENSG00000237674,ENSG00000238020,ENSG00000239238,ENSG00000239808,ENSG00000240641,ENSG00000242308,ENSG00000244625,ENSG00000248408,ENSG00000251171,ENSG00000252062,ENSG00000253119,ENSG00000253974,ENSG00000254314,ENSG00000255945,ENSG00000259721,ENSG00000261150,ENSG00000261997,ENSG00000265684,ENSG00000268020,ENSG00000270718,ENSG00000272839,ENSG00000273004,ENSG00000273512,ENSG00000274818,ENSG00000275206,ENSG00000275217,ENSG00000276929,ENSG00000278390,ENSG00000279355,ENSG00000280187,ENSG00000280364,ENSG00000282692,Diagnosis
sample_01,730,0,370,1678,0,601,529,3478,35,347,0,351,180,239,1,365,114,0,73,60,339,5,4,254,3,0,873,31,7,161,13,29,0,0,0,3,11,9,3,4,0,0,6,4,0,16,0,0,0,4,0,0,0,0,152,0,0,6,4,220,0,0,0,918,64,10,0,0,0,14,0,0,0,0,0,50,43,93,0,95,0
sample_02,932,0,423,2561,2,884,625,3750,57,215,0,594,188,367,1,316,179,0,94,105,234,4,2,274,2,1,1154,62,10,203,14,37,0,0,1,3,4,30,7,3,0,0,11,1,0,24,0,0,0,16,0,0,0,1,142,0,3,16,0,209,0,0,0,682,40,4,0,0,0,19,0,3,0,0,0,15,49,170,0,62,0
sample_03,848,0,383,2671,1,714,643,4374,67,341,0,539,150,288,0,349,159,1,63,165,272,9,3,288,2,1,1038,65,16,302,8,17,0,0,1,4,8,5,10,3,0,0,4,1,0,23,0,0,0,10,0,0,0,0,167,0,0,9,1,259,0,0,0,613,58,10,0,0,0,21,0,3,0,0,0,36,64,190,0,41,0
sample_04,578,0,280,1938,1,576,451,5149,29,441,0,361,200,296,1,359,145,0,96,204,262,8,9,392,1,1,1109,13,16,186,7,26,0,0,2,2,2,8,8,1,0,0,1,3,0,11,0,0,0,0,0,0,0,1,111,0,0,14,1,234,0,0,0,431,66,9,0,0,0,9,0,5,0,0,0,25,69,163,0,63,0
sample_05,1003,0,454,2718,3,912,954,4297,73,716,0,629,251,349,2,419,193,0,82,262,353,10,6,436,0,0,1464,19,3,193,11,36,0,0,1,8,4,15,2,0,0,0,10,4,0,29,0,0,0,3,0,0,0,1,187,0,0,10,2,200,0,0,0,416,34,12,0,0,0,22,0,1,0,0,0,47,52,270,0,40,0
sample_06,812,0,418,2346,0,1008,568,3977,43,386,0,436,230,384,2,608,157,0,65,25,472,8,2,490,0,3,1572,19,12,211,9,21,0,0,1,6,4,9,18,0,0,0,5,1,0,38,0,0,0,4,0,0,0,0,124,0,0,10,0,241,0,0,0,659,49,5,0,0,0,21,1,2,0,0,0,58,48,227,0,27,0
sample_07,950,0,454,2828,3,1043,1133,4972,63,459,0,563,245,374,1,544,202,0,136,71,411,8,3,440,2,0,1742,37,9,280,6,19,0,0,0,4,14,25,12,0,0,0,3,4,0,50,0,0,0,7,0,0,0,0,160,0,0,9,0,257,1,0,0,1418,85,10,0,0,0,16,0,1,0,0,0,35,87,301,0,46,0
sample_08,701,0,267,1713,0,719,601,3333,46,518,0,397,153,289,1,343,96,0,60,34,330,10,0,312,1,1,1251,17,7,299,10,19,0,0,1,1,1,18,8,1,0,0,5,1,0,10,0,0,0,6,0,0,0,0,139,0,0,6,2,241,0,0,1,312,29,12,0,0,0,13,0,1,0,0,0,37,29,209,0,15,0
sample_09,853,0,389,2455,7,975,543,3209,77,415,0,487,195,320,1,533,168,0,63,25,267,7,5,468,0,1,1176,29,6,345,21,22,0,0,0,3,5,21,3,1,0,0,13,2,0,38,0,0,0,2,0,0,0,0,182,0,0,12,1,214,0,0,0,591,63,7,0,0,0,24,0,4,0,0,0,36,31,229,0,87,0
sample_10,789,0,251,1892,0,779,635,3166,46,427,0,448,171,220,3,380,133,0,55,70,247,11,2,354,1,2,938,31,4,271,18,21,0,0,2,1,4,14,3,0,0,0,4,1,0,26,0,0,0,2,0,0,0,0,160,0,0,14,0,200,0,0,1,639,19,5,0,0,1,10,0,3,0,0,0,35,37,180,0,55,0
