,ENSG00000125107,ENSG00000203280,ENSG00000185015,ENSG00000104368,ENSG00000246366,ENSG00000103489,ENSG00000261460,ENSG00000213058,ENSG00000123989,ENSG00000279968,ENSG00000120800,ENSG00000104870,ENSG00000259581,ENSG00000100031,ENSG00000241769,ENSG00000166535,ENSG00000228327,ENSG00000244625,ENSG00000054392,ENSG00000173193,ENSG00000222499,ENSG00000259495,ENSG00000241839,ENSG00000072694,ENSG00000251339,ENSG00000175575,ENSG00000134463,ENSG00000122176,ENSG00000125845,ENSG00000074201,ENSG00000156384,ENSG00000157766,ENSG00000142798,ENSG00000214188,ENSG00000249364,ENSG00000258428,ENSG00000240322,ENSG00000217783,ENSG00000075218,ENSG00000124608,ENSG00000277749,ENSG00000117480,ENSG00000223893,ENSG00000073111,ENSG00000157890,ENSG00000205155,ENSG00000164764,ENSG00000159625,ENSG00000169220,ENSG00000253764,ENSG00000279608,ENSG00000153767,ENSG00000144893,ENSG00000166800,ENSG00000274466,ENSG00000261734,ENSG00000273209,ENSG00000205060,ENSG00000206633,ENSG00000089289,ENSG00000196735,ENSG00000272848,ENSG00000238198,ENSG00000223473,ENSG00000228956,ENSG00000184995,ENSG00000130856,ENSG00000225568,ENSG00000235876,ENSG00000167065,ENSG00000144649,ENSG00000279568,ENSG00000276957,ENSG00000245711,ENSG00000144935,ENSG00000099204,ENSG00000276742,ENSG00000234167,ENSG00000152217,ENSG00000213272,ENSG00000173950,ENSG00000178093,ENSG00000154640,ENSG00000247240,ENSG00000235244,ENSG00000204261,ENSG00000059691,ENSG00000105583,ENSG00000152229,ENSG00000234498,ENSG00000215908,ENSG00000211849,ENSG00000243696,ENSG00000267681,ENSG00000028310,ENSG00000234614,ENSG00000249772,ENSG00000105327,ENSG00000171858,ENSG00000279741,ENSG00000060069,ENSG00000169752,ENSG00000162931,ENSG00000260366,ENSG00000130254,ENSG00000273792,ENSG00000234690,ENSG00000106366,ENSG00000165071,ENSG00000196912,ENSG00000269067,ENSG00000131981,ENSG00000013375,ENSG00000196353,ENSG00000223368,ENSG00000115318,ENSG00000275611,ENSG00000159214,ENSG00000126698,ENSG00000157388,ENSG00000205531,ENSG00000146834,ENSG00000119509,ENSG00000166407,ENSG00000144134,ENSG00000196367,ENSG00000174930,ENSG00000279196,ENSG00000231910,ENSG00000232859,ENSG00000181885,ENSG00000125124,ENSG00000167676,ENSG00000247596,ENSG00000125991,ENSG00000270276,ENSG00000231473,ENSG00000273295,ENSG00000143367,ENSG00000119686,ENSG00000226253,ENSG00000261367,ENSG00000186812,ENSG00000167272,ENSG00000186827,ENSG00000249238,ENSG00000170412,ENSG00000178636,ENSG00000215939,ENSG00000235623,ENSG00000242412,ENSG00000169398,ENSG00000226864,ENSG00000137571,ENSG00000248587,ENSG00000082212,ENSG00000255553,ENSG00000261864,ENSG00000177807,ENSG00000265113,ENSG00000120896,ENSG00000146856,ENSG00000130311,ENSG00000212296,ENSG00000188157,ENSG00000228014,ENSG00000178074,ENSG00000269867,ENSG00000281005,ENSG00000275318,ENSG00000226469,ENSG00000271392,ENSG00000225649,ENSG00000238072,ENSG00000114805,ENSG00000207612,ENSG00000258701,ENSG00000243317,ENSG00000202533,ENSG00000241956,ENSG00000175387,ENSG00000255581,ENSG00000121005,ENSG00000254781,ENSG00000160049,ENSG00000275160,ENSG00000236031,ENSG00000134594,ENSG00000177418,ENSG00000186297,ENSG00000241764,ENSG00000243702,ENSG00000267083,ENSG00000224318,ENSG00000177917,ENSG00000221916,ENSG00000273619,ENSG00000264859,ENSG00000226287,ENSG00000113645,Disese Group
sample_01,6225,3,206,75,1,2236,829,46,1156,23,635,109,106,194,411,34,101,152,161,365,0,130,623,2,0,1041,37,165,61,1570,107,1,409,39,228,16,31,16,39,899,0,725,698,320,1198,127,260,2,27,60,621,227,1639,28,10,2,7,1404,3,551,9,4,44,34,79,11,1045,27,1,205,560,1,4,1,1979,10233,6,17,808,1,174,12,71,97,272,11,1236,388,58,6,876,94,117,9,1117,14,5,138,781,6,629,75,11,10,2260,264,18,97,7,875,67,97,1399,123,1,214,13,386,960,2390,3186,486,1014,59,645,4265,0,71,18,190,28,2856,9,184,1010,0,47,370,193,33,17,6,1154,178,3,157,84,2,3,2,20,5375,26,255,15,1308,565,3,1494,19,1160,215,515,1,1037,57,754,16,50,138,13,9,109,1,1401,14,39,582,8,31,6712,12,134,7,1031,55,1,327,25,37,23,4,23,6,325,24,71,3,24,1647,0
sample_02,5427,2,358,189,15,3453,945,67,1596,25,818,173,101,152,318,19,114,142,184,316,0,105,562,10,26,675,24,109,79,1606,81,19,464,35,720,1,20,24,28,880,0,1198,519,201,2014,166,246,1,98,34,642,314,1775,30,18,0,4,1482,11,783,20,1,56,94,88,23,1850,23,0,365,431,2,4,5,1512,12945,48,11,1161,3,167,33,59,87,303,25,1776,699,66,11,1026,78,128,15,1568,44,1,172,1115,12,846,97,30,24,3007,245,22,39,6,894,94,105,1272,203,6,197,12,426,1132,2304,3954,808,1010,70,877,6556,0,130,115,61,26,2420,34,248,1445,2,18,0,165,68,11,3,2069,208,11,526,165,2,13,0,26,5340,221,306,10,1297,814,7,1443,32,1348,144,672,0,1584,6,747,26,83,137,14,14,53,0,1589,25,139,956,4,25,6874,14,42,0,1740,54,4,471,24,44,69,4,28,12,418,51,111,11,50,2446,0
sample_03,5392,4,331,189,11,2779,1260,47,1389,22,712,136,91,149,442,17,171,167,177,349,1,89,691,11,0,857,32,139,139,1710,98,1,295,31,113,3,11,50,22,879,0,1396,669,269,1502,159,194,14,86,31,522,244,1438,13,12,6,2,1492,9,713,16,2,55,50,83,8,1551,27,0,265,470,9,6,0,1751,11461,14,8,1072,1,233,30,44,141,205,13,1427,445,56,4,1288,69,137,10,1270,42,1,248,1051,4,843,119,30,18,2601,294,29,68,7,975,37,214,1296,444,10,381,12,508,1021,2403,3583,629,1071,91,582,5736,2,68,54,126,9,2630,19,208,1377,2,27,121,170,74,9,10,1714,177,1,62,112,4,5,0,18,5417,63,232,17,1115,727,7,1819,21,1642,189,594,2,2082,19,733,23,83,103,8,11,77,8,1613,32,109,857,3,23,7509,17,26,0,1408,100,4,456,22,38,26,2,20,6,390,32,123,4,56,1468,0
sample_04,6023,4,268,214,5,2426,762,22,1982,20,814,124,70,167,558,9,147,111,146,359,0,114,537,8,12,1196,55,236,139,1799,98,2,274,26,96,15,28,17,20,819,0,846,477,366,960,163,308,6,26,67,937,249,1379,51,14,4,2,1521,7,614,39,3,52,45,77,5,1364,13,0,157,739,1,4,0,2018,14154,3,8,1293,0,190,27,96,75,262,14,1162,415,58,1,1166,77,119,13,1250,17,4,167,1023,5,944,215,16,18,1939,257,11,230,9,970,51,2038,1277,135,1,359,24,557,1307,2803,2995,702,1145,69,589,4786,1,52,39,264,18,3549,20,205,1331,1,42,175,175,42,8,3,1336,167,3,53,92,4,1,0,12,6408,19,278,14,1719,324,1,869,23,1288,183,546,3,1493,16,800,21,51,104,7,10,86,0,1537,19,46,842,8,21,7104,6,66,5,975,45,1,328,18,45,24,5,21,3,312,31,66,0,36,1582,0
sample_05,7623,3,345,285,11,3794,1672,70,1952,34,854,335,123,158,632,43,231,187,182,419,1,223,1169,27,0,1629,128,505,160,2142,142,13,459,21,194,42,38,18,15,1275,0,1075,701,435,1645,155,321,12,33,121,1293,417,1743,28,13,1,5,1868,7,755,6,2,87,96,104,7,1705,18,4,339,852,2,6,2,2706,17266,5,14,1571,0,286,32,128,126,300,26,1647,510,126,10,1459,175,249,7,1377,18,6,193,1217,9,951,315,27,14,2662,256,27,373,33,1047,131,552,1748,192,2,408,23,872,1563,3056,3412,841,1558,98,988,6183,1,102,54,291,36,5128,18,191,1798,0,69,591,182,74,10,4,1879,265,12,79,160,5,2,3,17,6922,51,327,14,3008,1176,6,1980,48,1252,261,797,3,1862,31,976,45,101,146,11,14,117,6,2021,15,82,1155,5,53,9584,3,124,2,1723,74,3,207,40,51,38,8,50,15,515,37,109,2,51,2019,0
sample_06,7659,8,349,133,8,4229,962,33,1893,43,1239,191,93,176,383,52,119,124,229,608,0,163,721,4,0,1315,69,190,155,2278,128,2,516,37,193,7,23,20,26,1162,0,1198,697,413,1449,196,306,12,51,45,702,473,1883,31,15,2,8,2659,5,814,6,7,75,52,91,15,2009,27,1,305,441,7,3,1,2746,13259,2,12,1106,0,245,30,67,95,276,22,1595,555,97,5,742,54,146,12,1207,33,3,127,1242,12,815,163,26,16,1934,166,20,37,12,1130,70,269,1750,228,1,254,8,536,1518,2707,3862,1206,1285,75,717,6687,1,68,32,246,16,4427,21,266,1772,1,51,2,218,88,11,2,1626,270,3,61,144,6,3,4,17,6894,49,451,12,2309,436,1,2079,20,1466,194,820,0,1542,26,966,30,42,176,9,15,70,1,2495,9,63,1138,8,39,9649,11,122,1,1561,75,6,294,24,57,28,6,42,18,427,34,93,7,41,1963,0
sample_07,7857,1,402,156,13,3580,1111,116,1856,18,1158,192,113,177,452,27,238,160,236,544,0,145,961,10,0,1374,67,194,137,2223,145,10,583,34,659,9,18,19,34,1438,0,1182,579,476,2166,178,258,8,73,48,702,451,1713,51,11,3,2,2372,13,950,18,6,79,95,91,13,2192,22,0,391,609,9,13,0,2764,16001,6,16,1218,8,289,79,70,136,261,54,1766,722,85,3,2299,79,150,15,1641,36,1,258,1432,20,912,180,40,16,2552,209,44,24,3,1422,78,328,1858,298,1,248,7,694,1521,3360,4514,977,1345,84,829,6819,1,106,89,365,44,4457,21,308,1972,2,58,202,261,102,20,7,2207,335,3,391,161,9,7,3,20,6889,67,428,11,2160,709,7,1762,35,1985,227,809,2,1898,4,915,41,89,158,6,15,50,1,1925,22,103,1142,1,17,8733,20,126,3,1694,126,4,371,36,49,31,9,37,20,536,37,123,13,45,2414,0
sample_08,5164,2,248,124,9,2672,1178,62,1449,25,676,109,84,151,456,42,125,139,214,343,1,139,760,5,0,998,63,130,101,1773,88,0,370,25,177,24,38,23,18,818,0,939,570,279,1716,141,147,7,11,23,760,288,1347,6,13,0,7,1602,3,502,25,2,71,60,69,7,1317,19,1,180,593,16,15,1,1926,10081,6,7,963,3,203,24,41,91,222,14,1426,457,60,5,1039,85,152,14,903,41,3,96,797,4,614,231,20,11,1893,190,30,28,8,823,42,115,1106,104,3,298,2,467,1110,2423,2801,620,1126,56,640,4566,3,84,50,223,20,2843,13,147,1435,0,77,408,115,71,10,7,1182,167,4,83,85,4,6,0,22,5316,46,250,12,1848,657,5,1775,17,1002,191,645,1,1227,24,642,23,43,113,10,11,66,4,1647,16,78,837,8,17,6732,6,86,13,1078,52,4,202,26,30,37,2,21,15,372,15,86,5,24,1466,0
sample_09,5277,9,282,159,8,3721,1169,62,1084,34,847,183,123,138,349,15,127,182,149,533,1,134,522,9,0,965,50,148,73,1688,71,4,908,33,86,6,25,21,22,1228,0,975,943,304,3446,136,152,13,37,19,641,326,1221,30,12,1,3,1470,4,606,90,1,40,73,100,8,1728,20,0,385,323,1,4,0,1867,10798,17,15,1106,2,206,48,34,94,275,24,1250,540,44,13,1810,81,195,11,1285,27,4,165,1044,16,707,190,20,18,2448,268,22,47,7,1319,46,144,1351,180,7,145,12,528,1047,2325,3100,661,1062,77,851,5945,4,99,25,180,44,3519,36,204,1451,0,29,175,128,71,9,2,1703,236,6,37,58,3,10,0,30,5664,114,323,7,1844,1058,1,1193,39,1058,170,545,0,1291,15,502,25,95,112,21,9,53,8,1491,7,151,872,6,31,7178,9,65,1,1617,55,3,228,24,31,49,7,28,10,383,24,122,3,23,2042,0
sample_10,5071,3,254,98,12,2519,1355,21,1323,15,735,181,130,135,414,21,110,160,110,380,0,141,691,8,9,979,65,116,87,1547,100,3,229,16,280,29,20,23,18,894,0,862,787,328,1427,140,165,6,47,32,634,274,1276,16,9,4,4,1263,3,479,6,8,43,74,58,6,1371,34,0,201,719,0,0,0,1538,10417,4,10,1158,2,232,19,52,89,217,12,1144,334,51,4,1821,90,132,10,1073,23,7,91,740,6,751,205,26,12,1773,272,17,157,10,1088,52,344,1008,110,0,353,5,530,949,2269,2782,610,1044,75,684,5140,2,52,56,210,25,2841,30,140,1224,0,36,156,129,36,5,1,1306,185,7,161,70,2,10,0,21,4837,36,295,11,1660,627,4,1278,24,910,93,525,1,1114,9,518,31,26,77,18,5,45,1,1494,17,88,744,9,29,6469,3,53,2,1244,56,5,150,24,30,14,3,28,6,347,25,83,3,28,1105,0
