,KCTD20,OR1I1,Diagnosis
SEQ12179,8.240872351,5.367471116,0
SEQ12182,8.136873093,4.727253356,1
SEQ12199,8.271564841,4.727253356,0
SEQ12196,8.146756817,5.447511367,1
SEQ12201,8.235011316,5.253815068,0
SEQ12155,8.191817154,5.456307117,1
SEQ12121,8.253857111,5.232717081,0
SEQ12164,8.10005239,5.104437828,1
SEQ12102,8.248050604,5.412810261,0
SEQ12118,7.995057741,5.211570816,1
SEQ12137,8.26466415,5.134874843,0
SEQ12116,8.293386208,4.932654237,1
SEQ12104,8.165401358,5.174960053,0
SEQ12115,8.274547141,5.102753473,1
SEQ12103,8.125141564,5.273599157,0
SEQ12119,8.062458277,5.092675647,1
SEQ12101,8.310772497,5.211208691,0
SEQ12162,8.055756121,4.727253356,1
SEQ12163,8.388949559,5.148532081,0
SEQ12109,8.239609208,5.401800764,1
SEQ12123,8.087998287,5.317379666,0
SEQ12106,8.279205289,5.290824245,1
SEQ12198,8.092511731,5.007477362,1
SEQ12176,8.186305263,5.268574066,0
SEQ12180,8.082582377,5.103211294,1
SEQ12178,8.248097872,5.396469187,0
SEQ12122,8.17794374,5.146738665,0
SEQ12113,8.291189334,5.265688708,1
SEQ12099,8.147079612,5.373483526,0
SEQ12107,8.13356334,4.727253356,1
SEQ12111,8.268704996,4.97542078,0
SEQ12120,8.322163465,5.004713554,1
SEQ12139,8.313502861,5.102959363,1
SEQ12166,8.138711645,5.403776111,0
SEQ12177,8.170669665,5.175936565,1
SEQ12181,8.279331025,5.468890723,0
SEQ12143,8.339286676,5.313093909,0
SEQ12167,8.243903511,5.245789846,1
SEQ12134,8.138470703,5.105967297,1
SEQ12129,8.254957415,5.297626485,0
SEQ12128,8.237252208,5.073814631,1
SEQ12150,8.320398389,5.226285848,0
SEQ12165,8.314488897,5.323798588,0
SEQ12132,8.004476484,5.226394268,1
SEQ12149,8.214760019,5.167844829,1
SEQ12133,8.263720565,5.51816615,0
SEQ12140,8.066449494,5.099161326,1
SEQ12195,8.370548667,5.543530563,0
SEQ12126,8.037455812,4.727253356,1
SEQ12174,8.359236451,5.356097069,0
SEQ12135,8.135380185,5.208885505,1
SEQ12145,8.372864196,5.311565179,0
SEQ12136,8.228039491,5.2982353,1
SEQ12142,8.239362556,5.361012319,0
SEQ12168,8.318897315,5.234267791,1
SEQ12125,8.219154727,5.25761459,0
SEQ12156,8.237416257,5.214026914,1
SEQ12157,8.158140209,5.251475857,0
SEQ12170,8.216516255,5.426891235,1
SEQ12158,8.169080916,5.154302249,0
SEQ12175,7.969356789,5.047446203,1
SEQ12197,8.195586567,5.21159248,0
SEQ12159,8.281473559,5.250259578,1
SEQ12153,8.288284584,5.359904394,0
SEQ12171,8.173027871,5.175770019,1
SEQ12152,8.268757035,5.434663634,0
SEQ12203,8.324785646,5.589081437,0
SEQ12173,8.218529018,5.239277716,1
SEQ12151,8.434294077,5.357143627,0
SEQ12172,8.164396928,5.28024153,1
