,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,AC022395.1,AP005131.4,AL034550.1,ILF3-DT,AC138207.7,ACTA2-AS1,STARD4-AS1,WAC-AS1,AC008507.2,AP001350.1,AC131971.1,AC009951.5,AP005131.1,AL450326.1,AC006441.1,Diagnosis
RNA1_FPKM,0.920158445,0.711848367,0.807862564,2.787448344,4.176552116,0.737853973,0.537576825,0.092871496,0.058220797,0.0,0.886272876,14.90269312,0.237851131,0.184126645,0.172993104,3.607889848,0.0,0.364892352,0.107209552,0.493430297,0.217650076,0.940763816,0.363580219,0
RNA102_FPKM,1.392504711,1.21549882,1.045066782,6.023060406,5.310044686,2.706485289,1.503542461,1.691546631,0.248533654,0.132897584,1.070065885,10.60308346,0.564126678,0.222310359,0.170182914,3.78514218,0.128151242,0.988978047,1.017005765,0.351022967,0.095298114,0.594986252,0.689729338,1
RNA104_FPKM,0.939106131,0.928716632,1.300313281,4.617603345,5.657347392,1.604309915,1.468275102,0.865413178,0.352629162,0.261105718,0.900974743,12.39379959,0.443254317,0.187181015,0.095528267,3.38294758,0.125924035,1.748690187,0.599433939,0.114974119,0.140406976,1.071470743,1.185867004,0
RNA108_FPKM,0.975753435,0.576385329,0.817750262,4.859161715,4.968511746,1.742645804,0.666107677,0.770831337,0.206251133,0.106365224,0.978646358,8.799419929,0.240792876,0.067767175,0.12970331,4.095639211,0.068356026,0.580419044,0.651110195,0.249766523,0.152520333,1.692853057,1.104056418,0
RNA110_FPKM,0.662916166,0.403883694,0.32406766,1.317803421,2.605636794,0.79069143,0.105168622,0.140503508,0.0,0.09936821,0.380898989,14.96253147,0.112424627,0.110795165,0.024233144,6.015214247,0.0,0.049277986,0.050674528,0.116614365,0.015827113,0.39535099,0.859419686,0
RNA114_FPKM,0.540319405,0.626950207,0.646890444,1.091189481,4.930322269,1.429784197,0.351049237,0.638045442,0.076930007,0.030855671,0.212922909,9.068556321,0.628471375,0.044235564,0.124153503,4.96974979,0.0,0.413228915,0.330499016,0.0,0.073727759,0.64447308,0.480416449,0
RNA115_FPKM,0.322597989,0.419316751,0.384493707,1.064131125,3.043168603,0.772558563,0.118280253,0.09117115,0.0,0.0,0.158174706,12.89849358,0.0,0.032861412,0.100627638,4.644864633,0.0,0.153529362,0.473589424,0.0,0.016442252,0.513077641,0.535420474,0
RNA116_FPKM,0.372564945,1.139252513,0.685696311,0.619674285,4.307177403,1.820620506,0.305963039,1.133386425,0.058243479,0.175187248,0.241762905,10.25902858,0.118909835,0.066981228,0.07690909,3.586600717,0.0,0.573598452,0.911552287,0.123341258,0.150730787,1.777526959,0.0,0
RNA126_FPKM,0.53089589,1.149902206,1.01344492,3.596123377,5.825523654,2.930250178,0.739296899,1.143976724,0.088183075,0.141476551,1.545580604,13.26710102,0.0,0.152099165,0.155256754,3.427164462,0.0,1.684169244,0.811852808,0.249121753,0.287376242,0.949819257,0.183563397,0
RNA132_FPKM,0.953559668,0.422465985,0.411678194,1.83809762,6.985086906,1.557067044,1.411932034,1.230997225,0.230372913,0.0,0.717249553,12.60169178,0.588250987,0.182137315,0.145767221,4.413859855,0.0,0.721889579,0.265149568,0.0,0.115928316,0.82722063,0.0,0
RNA140_FPKM,0.820786228,0.273576395,0.70549871,1.338845126,5.08743402,0.992269822,0.569818694,0.303316895,0.055938303,0.033636194,1.083513024,18.31779211,0.799658564,0.06431298,0.221568541,3.476547224,0.064869803,0.600898994,0.360439893,0.355500802,0.192996853,2.008195888,0.0,1
RNA145_FPKM,0.846089826,0.523604182,0.382668265,2.990116284,4.909277594,0.452277297,0.221581469,0.204936498,0.026776836,0.096631196,0.518590959,12.376796,0.109392193,0.107739293,0.047128177,5.415354977,0.0,0.14380548,0.197146514,0.0,0.015400208,0.480585682,0.0,0
RNA150_FPKM,2.074759377,1.304688323,1.096872984,4.888289475,4.99829986,1.202141033,0.877736262,0.453929803,0.059282284,0.178330415,1.88698488,11.78931962,1.089844438,0.119307782,0.189201641,3.444950328,0.275138354,0.3715451,0.600403129,0.12560664,0.102285365,2.235244395,1.295731653,1
RNA151_FPKM,0.780087803,0.0,0.357621101,2.544856571,4.678017625,1.167648085,0.220015361,0.305239986,0.053144356,0.031986149,0.662053572,8.595184711,0.217112198,0.076414813,0.081893,3.293965265,0.0,0.142766098,0.293624201,0.112646871,0.030565005,1.240587787,0.829896346,0
RNA152_FPKM,1.275376612,0.452132685,0.725531797,3.27810201,6.744807856,0.937134967,0.647462478,0.23590881,0.18486295,0.148279379,0.852726798,16.53660745,0.629332801,0.12401763,0.094941152,3.854370638,0.071510782,0.386212382,0.737569947,0.391754718,0.194917872,0.995764512,0.384881828,0
RNA155_FPKM,0.603599943,0.140091537,0.38541413,1.980810173,3.346977333,0.726004814,0.237114833,0.091385408,0.028644587,0.034466965,0.396405059,11.27367482,0.0,0.115296575,0.050431505,3.616370428,0.0,0.102586716,0.316482096,0.0,0.049423231,0.925620142,0.357762369,0
RNA165_FPKM,2.979643138,1.101888146,0.866194304,7.705227125,6.950942011,2.882636266,1.383531472,1.129554012,0.321882481,0.271099464,1.603542948,11.02967193,0.0,0.259103913,0.148774663,4.299979635,0.0,0.749268176,0.533464792,0.136370295,0.259158519,1.271368107,2.010108218,0
RNA174_FPKM,1.659768632,1.581857242,1.038583196,4.53628227,7.741687757,2.235886569,1.076656241,0.863036768,0.147034529,0.141536942,0.97660019,12.5444375,0.720687291,0.219801777,0.213567951,5.483569018,0.0,0.789817668,0.920502711,0.249228094,0.202935255,1.58379227,1.285287314,1
RNA179_FPKM,1.359037623,1.177516732,1.088326867,7.68484604,4.585130247,2.441068742,1.015740789,0.960143547,0.300966094,0.14483689,1.582689528,7.745133,0.491751598,0.224965333,0.165602393,4.717790127,0.139695693,0.485036354,0.443356502,0.127548241,0.27694598,0.756464828,1.315591005,0
RNA18_FPKM,0.408288862,0.0,1.698182255,4.008197762,4.948253216,3.157511566,0.882838277,1.153811405,0.241119435,0.0,0.0,19.74279373,0.985052304,0.138646215,0.398003982,5.085208606,0.419630219,1.457175363,1.609420235,0.0,0.381329979,0.0,0.0,1
RNA185_FPKM,2.051531924,1.122570239,1.110017143,4.426550074,5.135362889,2.181854792,2.40274356,1.061875234,0.286923588,0.103584839,1.111820512,19.62527635,0.468922985,0.148483846,0.132618685,3.135249575,0.0,0.719327444,0.792554091,0.243199188,0.148515138,1.339401166,0.895997008,1
RNA2_FPKM,1.521339626,1.002982149,1.207207123,2.80521232,5.026523146,1.881100455,1.352506353,1.476706258,0.380845118,0.141019795,1.216270564,19.27120915,0.239395879,0.18529496,0.199887108,4.954288916,0.339921422,0.734410122,0.971035034,0.124091145,0.336984271,1.262383725,0.731883054,0
RNA201_FPKM,1.112375393,0.582974952,0.601436935,0.887678064,4.196014269,1.168166638,0.743838659,0.243372729,0.190711829,0.143430345,0.329918888,18.01089005,0.194728778,0.12337259,0.15740486,5.577782701,0.110611244,0.640309335,0.219500691,0.40407809,0.041128041,2.739224107,0.0,1
RNA205_FPKM,0.707846696,0.148391615,0.459258765,1.936754208,2.647640476,0.87151218,0.289796943,0.271021733,0.182022639,0.036509048,0.251934648,13.40252055,0.495823479,0.139558539,0.093488181,4.474773624,0.0,0.054332363,0.391054186,0.128575343,0.087252393,1.30730909,0.757917812,0
RNA209_FPKM,1.505432765,0.931690556,0.507317937,3.209057904,3.381313931,1.770500506,0.566120542,0.303883172,0.063491825,0.152828105,0.878800681,13.37056105,0.778268459,0.091279152,0.076868633,3.420263631,0.073701085,0.284259091,0.175399234,0.0,0.237394971,1.254071296,0.0,0
RNA213_FPKM,0.778931477,0.140593949,0.507721738,1.682344642,5.442951262,1.214466089,0.356989827,0.183426289,0.143736577,0.103771725,0.636522708,12.93739274,0.234884502,0.033060018,0.056945142,4.295722502,0.0,0.154431936,0.370553283,0.0,0.099200957,0.929030018,0.538568126,0
RNA219_FPKM,0.89975464,1.169383148,1.080802388,3.020906465,3.182966673,0.555547505,0.285489935,0.133493412,0.0,0.0,0.496335545,12.8329666,0.0,0.034371881,0.026313243,4.858257384,0.0,0.107039993,0.275183787,0.0,0.085947813,0.858573416,0.559939185,0
RNA23_FPKM,1.498426415,1.14553957,1.378883686,3.582369647,5.716521855,2.226339661,1.873778394,1.942890821,0.380613497,0.105700145,1.053442426,11.84617229,0.717605934,0.185195746,0.347981873,4.66882403,0.203850279,0.838859685,1.024392772,0.744349012,0.269425113,0.841067211,1.096935387,1
RNA246_FPKM,1.498025751,0.632147454,0.543469999,5.362888308,5.620514448,1.659822939,0.897122286,0.907144861,0.025851101,0.093317005,0.786976257,8.893493864,0.528051316,0.208091352,0.147923849,3.632961477,0.119979007,0.648032517,0.428382778,0.109546049,0.237870784,0.649781041,0.807181417,1
RNA253_FPKM,1.610656574,1.162964958,0.824906888,2.688019413,6.198992759,1.757890392,0.946385367,0.62586459,0.148623895,0.0,0.740384901,10.92162587,0.971458752,0.102545233,0.124301051,5.00367204,0.20692163,0.479015428,0.383107113,0.0,0.205133688,0.96055199,0.0,1
RNA26_FPKM,3.095335098,2.610205286,1.003295439,1.169070272,8.126523396,3.289115355,1.47942826,1.862986057,0.533709985,0.377760802,0.434463235,16.24531076,1.026061676,0.595725442,0.152018332,4.012312462,0.218561607,2.417371686,0.924978677,0.1330375,0.30695354,3.043757959,0.588165789,0
RNA277_FPKM,0.803824779,1.218779644,0.898202974,1.325690139,4.054671791,0.721861051,0.589433026,0.181717029,0.035589846,0.128517273,0.88684739,13.66925873,0.0,0.102344407,0.047016239,4.068728823,0.0,0.701234191,0.262214484,0.0,0.122856554,1.150567798,0.0,0
RNA288_FPKM,0.501086586,0.814041202,0.746550893,2.508798486,9.02726935,2.156345032,1.104100274,0.601830079,0.0,0.133532758,0.460684574,15.04191965,1.133364199,0.207366483,0.189278676,4.166607673,0.064363391,1.241884062,0.715150255,0.0,0.111680999,0.597677619,0.519819099,0
RNA29_FPKM,0.324732505,0.527544831,0.20410864,0.860731041,4.148389343,1.230387969,0.618226369,0.137652568,0.107867357,0.097344582,0.223912284,16.99755746,0.771178934,0.294618115,0.08903037,3.790082505,0.0,0.482890446,0.744863401,0.228548149,0.077547423,0.290496726,0.168403899,0
RNA295_FPKM,0.701680647,0.360011157,0.536459241,2.871350254,4.645099471,1.036463719,0.460893041,0.266124077,0.024544686,0.059040467,0.814892279,13.43823154,0.400909517,0.296253736,0.080999185,3.609187797,0.0,0.307541852,0.316257613,0.207925122,0.09877635,1.057215509,0.45969388,0
RNA3_FPKM,1.250308806,0.677015172,0.785876084,3.129975382,6.143145626,1.637547174,1.124017677,0.463748384,0.2768991,0.041653789,0.670574898,14.3843127,0.28284669,0.179102344,0.106642873,5.398705092,0.321236791,1.177500163,0.446144973,0.14669378,0.119434364,1.739822352,0.216180308,0
RNA302_FPKM,0.599973695,0.0,0.624184817,2.632239744,2.358301756,0.836123213,0.315094852,0.298175776,0.054974308,0.066148539,0.456523493,9.987310972,0.0,0.126455342,0.030251711,3.385800554,0.0,0.295362312,0.303732904,0.0,0.142284667,0.493540749,0.171718981,0
RNA303_FPKM,0.601820485,0.404510783,0.394205872,2.053569273,1.753720671,0.2795675,0.289716148,0.070381927,0.027570174,0.06634833,0.0,14.95085334,0.337899726,0.047559422,0.012136302,3.215168561,0.0,0.049369426,0.152305679,0.0,0.047569445,0.891077013,0.344343275,1
