,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,Diagnosis
RNA1_FPKM,0.920158445,0.711848367,0.807862564,2.787448344,4.176552116,0.737853973,0.537576825,0.092871496,0
RNA102_FPKM,1.392504711,1.21549882,1.045066782,6.023060406,5.310044686,2.706485289,1.503542461,1.691546631,1
RNA104_FPKM,0.939106131,0.928716632,1.300313281,4.617603345,5.657347392,1.604309915,1.468275102,0.865413178,0
RNA108_FPKM,0.975753435,0.576385329,0.817750262,4.859161715,4.968511746,1.742645804,0.666107677,0.770831337,0
RNA110_FPKM,0.662916166,0.403883694,0.32406766,1.317803421,2.605636794,0.79069143,0.105168622,0.140503508,0
RNA114_FPKM,0.540319405,0.626950207,0.646890444,1.091189481,4.930322269,1.429784197,0.351049237,0.638045442,0
RNA115_FPKM,0.322597989,0.419316751,0.384493707,1.064131125,3.043168603,0.772558563,0.118280253,0.09117115,0
RNA116_FPKM,0.372564945,1.139252513,0.685696311,0.619674285,4.307177403,1.820620506,0.305963039,1.133386425,0
RNA126_FPKM,0.53089589,1.149902206,1.01344492,3.596123377,5.825523654,2.930250178,0.739296899,1.143976724,0
RNA132_FPKM,0.953559668,0.422465985,0.411678194,1.83809762,6.985086906,1.557067044,1.411932034,1.230997225,0
RNA140_FPKM,0.820786228,0.273576395,0.70549871,1.338845126,5.08743402,0.992269822,0.569818694,0.303316895,1
RNA145_FPKM,0.846089826,0.523604182,0.382668265,2.990116284,4.909277594,0.452277297,0.221581469,0.204936498,0
RNA150_FPKM,2.074759377,1.304688323,1.096872984,4.888289475,4.99829986,1.202141033,0.877736262,0.453929803,1
RNA151_FPKM,0.780087803,0.0,0.357621101,2.544856571,4.678017625,1.167648085,0.220015361,0.305239986,0
RNA152_FPKM,1.275376612,0.452132685,0.725531797,3.27810201,6.744807856,0.937134967,0.647462478,0.23590881,0
RNA155_FPKM,0.603599943,0.140091537,0.38541413,1.980810173,3.346977333,0.726004814,0.237114833,0.091385408,0
RNA165_FPKM,2.979643138,1.101888146,0.866194304,7.705227125,6.950942011,2.882636266,1.383531472,1.129554012,0
RNA174_FPKM,1.659768632,1.581857242,1.038583196,4.53628227,7.741687757,2.235886569,1.076656241,0.863036768,1
RNA179_FPKM,1.359037623,1.177516732,1.088326867,7.68484604,4.585130247,2.441068742,1.015740789,0.960143547,0
RNA18_FPKM,0.408288862,0.0,1.698182255,4.008197762,4.948253216,3.157511566,0.882838277,1.153811405,1
RNA185_FPKM,2.051531924,1.122570239,1.110017143,4.426550074,5.135362889,2.181854792,2.40274356,1.061875234,1
RNA2_FPKM,1.521339626,1.002982149,1.207207123,2.80521232,5.026523146,1.881100455,1.352506353,1.476706258,0
RNA201_FPKM,1.112375393,0.582974952,0.601436935,0.887678064,4.196014269,1.168166638,0.743838659,0.243372729,1
RNA205_FPKM,0.707846696,0.148391615,0.459258765,1.936754208,2.647640476,0.87151218,0.289796943,0.271021733,0
RNA209_FPKM,1.505432765,0.931690556,0.507317937,3.209057904,3.381313931,1.770500506,0.566120542,0.303883172,0
RNA213_FPKM,0.778931477,0.140593949,0.507721738,1.682344642,5.442951262,1.214466089,0.356989827,0.183426289,0
RNA219_FPKM,0.89975464,1.169383148,1.080802388,3.020906465,3.182966673,0.555547505,0.285489935,0.133493412,0
RNA23_FPKM,1.498426415,1.14553957,1.378883686,3.582369647,5.716521855,2.226339661,1.873778394,1.942890821,1
RNA246_FPKM,1.498025751,0.632147454,0.543469999,5.362888308,5.620514448,1.659822939,0.897122286,0.907144861,1
RNA253_FPKM,1.610656574,1.162964958,0.824906888,2.688019413,6.198992759,1.757890392,0.946385367,0.62586459,1
RNA26_FPKM,3.095335098,2.610205286,1.003295439,1.169070272,8.126523396,3.289115355,1.47942826,1.862986057,0
RNA277_FPKM,0.803824779,1.218779644,0.898202974,1.325690139,4.054671791,0.721861051,0.589433026,0.181717029,0
RNA288_FPKM,0.501086586,0.814041202,0.746550893,2.508798486,9.02726935,2.156345032,1.104100274,0.601830079,0
RNA29_FPKM,0.324732505,0.527544831,0.20410864,0.860731041,4.148389343,1.230387969,0.618226369,0.137652568,0
RNA295_FPKM,0.701680647,0.360011157,0.536459241,2.871350254,4.645099471,1.036463719,0.460893041,0.266124077,0
RNA3_FPKM,1.250308806,0.677015172,0.785876084,3.129975382,6.143145626,1.637547174,1.124017677,0.463748384,0
RNA302_FPKM,0.599973695,0.0,0.624184817,2.632239744,2.358301756,0.836123213,0.315094852,0.298175776,0
RNA303_FPKM,0.601820485,0.404510783,0.394205872,2.053569273,1.753720671,0.2795675,0.289716148,0.070381927,1
RNA31_FPKM,0.412823265,0.149092238,0.743202118,1.296875082,4.913094874,0.669409931,0.252268589,0.272221302,1
RNA314_FPKM,0.495580591,0.338921445,0.524611945,1.659225889,3.947050863,0.585629933,0.617922699,0.15479652,1
RNA319_FPKM,0.592975124,0.688124129,0.567953907,1.347155235,4.037259894,1.236265705,0.286701869,0.161583034,0
RNA32_FPKM,1.31637927,1.247470411,1.562886579,1.550714782,3.557274863,3.201854578,0.696127853,1.464764182,1
RNA328_FPKM,0.680262059,0.57041567,0.735616686,4.187793925,5.390785566,1.182415121,1.030453317,0.204640199,0
RNA331_FPKM,0.923788162,0.625278583,1.053764777,0.816211067,4.954904382,0.950615142,1.042170161,0.195799054,0
RNA334_FPKM,0.53294543,0.371033792,0.659321105,1.210741847,2.730668105,0.982895031,0.370398001,0.16136762,0
RNA335_FPKM,0.820218017,0.161590061,0.972094002,0.527110797,6.545729295,0.781286697,1.14615825,0.316074666,1
RNA336_FPKM,0.54123934,0.140652432,0.70153161,2.295276932,3.318689236,1.409578994,0.393823718,0.385439689,0
RNA35_FPKM,0.775889573,0.530755259,0.912621358,1.443281845,7.423715545,0.733477845,0.457811452,0.467386174,0
RNA358_FPKM,1.859312264,1.066087334,1.09989379,1.35290519,9.296447953,1.350575647,1.052631493,1.344478611,0
RNA365_FPKM,1.641083005,1.066500203,0.855746578,3.093146686,7.794351692,1.351016324,0.995114828,0.997092494,0
RNA368_FPKM,0.883634084,0.546866466,0.681755973,2.527960366,4.506916541,0.56684487,0.284814494,0.178359898,0
RNA37_FPKM,1.301807945,1.720605604,1.183453867,2.963183423,6.28779052,1.981574312,1.213488408,1.328139709,0
RNA379_FPKM,1.963950098,1.196343604,1.097270116,3.90409416,7.598897268,1.240124027,1.60978718,0.676399506,1
RNA38_FPKM,0.923475389,0.533463577,0.779661814,3.62635429,3.145871585,0.967583328,0.312546835,0.626335966,0
RNA383_FPKM,2.188381541,0.725519389,0.648755709,3.156645763,5.134684511,1.604374784,0.765199586,0.719392779,0
RNA385_FPKM,2.164774263,0.570296237,1.01334697,3.6185128,5.576782878,1.313602248,0.940571563,0.632420738,1
RNA386_FPKM,1.167155766,0.158069989,1.059668579,2.921730578,4.826635543,0.87351767,0.246890276,0.103072869,0
RNA39_FPKM,1.638333108,0.591415329,0.686525725,2.734244714,8.362696371,2.196841517,1.068543361,0.983848155,1
RNA392_FPKM,1.995682383,0.656558075,0.846828616,2.678322474,5.163311673,1.92842479,0.726720838,0.449755976,0
RNA409_FPKM,1.740852785,0.955944013,0.958934957,2.946210437,5.734331534,0.990921351,0.549770379,0.914629197,0
RNA41_FPKM,0.103499182,0.0,0.323812643,2.340933199,1.342456416,0.418256341,0.061294748,0.105289376,0
