,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,Diagnosis
RNA1_FPKM,1.088250381,54.08626465,0.62356576,0.211704938,0.057839299,0.150269126,0.635030198,0.507618389,2138.33528,0.0,0.438302222,30.94125681,1.461007408,0
RNA102_FPKM,1.032321547,53.18212935,0.236586908,0.050201819,0.05486198,0.237601905,1.807254825,0.0,2796.084946,0.238081928,0.311805228,43.2669686,1.472579027,1
RNA104_FPKM,0.3687346,58.05346726,0.813538274,0.147935078,0.0,0.466755632,3.077041871,0.945986849,2584.095521,0.350790761,0.408405357,25.04143564,2.12722538,0
RNA108_FPKM,0.500729724,46.02783328,0.50490269,0.160717074,0.087818102,0.354892397,2.506852323,0.513896617,2960.538295,0.381100043,0.332739762,27.30946455,1.016734049,0
RNA110_FPKM,0.0,48.21911686,0.943380697,0.100066157,0.027338788,0.189449402,0.180149561,0.479869974,2598.530296,0.356030176,0.310851174,18.72834764,0.518006958,0
RNA114_FPKM,0.697111088,51.4458708,0.659056324,0.093245387,0.025475305,0.088247998,1.34239857,0.447160784,3099.387919,0.331661909,0.386010418,34.13747358,1.045538413,0
RNA115_FPKM,0.0,55.22697632,0.856984721,0.103904237,0.056774758,0.0,0.436370317,0.747535933,2175.491666,0.492765434,0.6453528,26.48402451,1.344529088,0
RNA116_FPKM,0.296859557,51.90005582,0.623743608,0.211787414,0.028915825,0.100218445,1.46103905,1.523448442,2765.506751,0.627685116,0.657709465,30.20187568,1.278784213,0
RNA126_FPKM,0.799060313,40.62479001,0.377789031,0.213770032,0.0,0.0,1.025885744,0.512569996,3089.330618,0.506901765,0.331933259,26.7004221,1.936065384,0
RNA132_FPKM,0.880707421,48.9157306,0.370072245,0.157052645,0.0,0.297271147,1.38197234,0.502007029,1748.11997,0.248227804,0.542002288,23.61706231,1.445158527,0
RNA140_FPKM,0.095002351,46.97986968,1.078222213,0.254174745,0.0,0.529256826,0.610003547,0.243728076,1939.534557,0.602711362,0.526229369,28.38541085,0.877143032,1
RNA145_FPKM,0.545774222,49.33715071,0.9173348,0.146009029,0.0,0.230293265,0.992612726,0.233463211,2932.297235,0.230782886,0.705283704,26.08759143,1.427308643,0
RNA150_FPKM,0.805884693,55.04603291,0.50794773,0.538911899,0.088340746,0.153008845,1.810567924,1.292183323,2311.27084,0.383368133,0.334720039,31.83408738,1.394760556,1
RNA151_FPKM,0.722590581,31.35249341,0.569332344,0.096622884,0.026408659,0.137185078,1.159552831,0.231771837,2233.216033,0.343721221,0.200042687,21.79769667,0.416855981,0
RNA152_FPKM,0.104728119,65.81808121,0.396059714,0.448157461,0.0,0.159073164,1.478633577,0.268679487,2143.589425,0.398562461,0.463858803,34.22226559,1.449737954,0
RNA155_FPKM,0.097348789,51.78261588,0.736305284,0.156237997,0.02845689,0.0,0.312434363,0.249747852,2856.793103,0.493972055,0.431288704,28.33808254,0.628962694,0
RNA165_FPKM,1.093919416,59.58228721,1.103102127,0.234101383,0.03197032,0.276928528,0.421287862,0.280582971,2108.772297,0.277480157,0.848073911,31.13428964,1.716403307,0
RNA174_FPKM,0.699465201,48.30245935,1.511660576,0.160395962,0.058428428,0.050599903,1.98843016,0.256394397,2003.170508,0.380338607,0.664026359,28.44226397,1.383542673,1
RNA179_FPKM,0.920542221,48.22555284,0.25789974,0.164172686,0.0,0.258909921,0.91912593,0.0,2791.067806,0.259529438,0.79298382,30.77162458,1.888044529,0
