,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,AC012618.2,AL354710.1,AC068790.1,FTH1P12,AC139451.1,AL139132.1,RPS12P3,RPL10P12,BAK1P1,AC018638.4,SRP72P2,AL162151.2,RPL41P2,MTND3P12,FTH1P16,RPL11P3,YWHAQP6,RPL23AP23,AC138932.2,AC084337.1,EEF1A1P29,EIF4BP5,NSRP1P1,RPS24P16,RIMKLBP1,NDUFB4P6,MTCYBP3,RPS27AP10,YBX1P1,HNRNPA3P15,RPL23AP30,FAM32BP,AC005183.1,AC093433.1,RBM8B,PRKXP1,AL512310.6,ST13P7,AL513475.1,RPL21P134,EEF1A1P16,XBP1P1,VDAC2P5,PTMAP2,Diagnosis
RNA1_FPKM,1.088250381,54.08626465,0.62356576,0.211704938,0.057839299,0.150269126,0.635030198,0.507618389,2138.33528,0.0,0.438302222,30.94125681,1.461007408,1.4971454,0.0,0.0,1.585961989,0.240734175,0.230936854,1.188662511,2.498184837,1.748729386,29.49676922,0.080285273,17.09466012,0.776941592,0.968808266,1.583088869,2.27845921,0.261323282,0.337334513,0.041767759,2.316101394,0.07248383,0.088515073,0.046923968,0.202658872,0.0,0.217055404,0.209610232,0.0,24.16327019,0.154858241,0.158567421,0.715696196,0.0,0.0,20.42770516,1.345279214,0.135220898,1.807149177,0.252197707,2.302674719,0.505643918,0.243687969,20.10817635,35.71208729,0
RNA102_FPKM,1.032321547,53.18212935,0.236586908,0.050201819,0.05486198,0.237601905,1.807254825,0.0,2796.084946,0.238081928,0.311805228,43.2669686,1.472579027,3.994395417,0.306312724,0.212261775,0.820670692,0.91336885,0.657147647,5.262089664,1.895897521,1.895897521,53.86722228,0.076152532,7.154670209,0.368473986,1.608361224,1.092201833,3.890525861,0.743614442,1.120047731,0.079235468,2.307037091,0.0,0.083958697,0.13352557,0.0,0.45321519,0.411764646,0.0,0.0,17.89842005,0.514173959,0.752168904,0.678855227,0.228493962,0.0,15.35942694,4.097176945,0.0,1.30286589,0.478431303,0.780200044,0.319794591,1.27140215,11.46247919,37.56564839,1
RNA104_FPKM,0.3687346,58.05346726,0.813538274,0.147935078,0.0,0.466755632,3.077041871,0.945986849,2584.095521,0.350790761,0.408405357,25.04143564,2.12722538,1.482236593,0.0,0.0,1.343510766,0.672880459,0.860738034,3.692141807,1.396794178,1.978646018,33.47300234,0.112203412,9.370562434,0.542910884,0.902725255,1.34107687,3.397022463,1.217556632,0.314409055,0.077858394,3.021481971,0.067557785,0.082499535,0.043734987,0.0,0.317987299,0.0,0.130243329,0.0,15.34517278,0.360757521,0.295582165,1.333875521,0.074829037,0.0,5.922104663,2.243241694,0.063015602,2.626983073,0.0,2.29898892,1.570596391,1.02182684,18.56971845,24.44933361,0
RNA108_FPKM,0.500729724,46.02783328,0.50490269,0.160717074,0.087818102,0.354892397,2.506852323,0.513896617,2960.538295,0.381100043,0.332739762,27.30946455,1.016734049,0.852425185,0.0,0.22644137,1.605369552,1.218442328,0.233682228,3.809986659,0.252788322,1.011513043,44.26109124,0.203176336,6.107248794,0.786364337,0.245081361,3.20478438,1.537467817,0.264429889,0.341506669,0.0,1.640989333,0.0,0.0,0.095008648,0.0,0.138186977,0.219635755,0.070700692,0.386474454,19.26518929,0.391896655,0.481509635,0.483031955,0.121898094,0.140782288,16.54177432,3.153370727,0.273721714,1.463322418,0.0,1.997816376,0.227456162,0.739988734,14.69491765,41.55800759,0
RNA110_FPKM,0.0,48.21911686,0.943380697,0.100066157,0.027338788,0.189449402,0.180149561,0.479869974,2598.530296,0.356030176,0.310851174,18.72834764,0.518006958,0.26545006,0.305283134,0.0,1.499638122,0.0,0.0,0.562012721,0.472324848,2.007809212,17.04802964,0.0,6.180379158,0.734637536,0.0,1.632971478,0.718100197,0.0,0.0,0.078969139,0.328523471,0.068521579,0.0,0.399310783,0.0,0.0,0.0,0.0,0.0,18.62243044,0.512508629,0.0,0.0,0.0,0.0,21.6047631,1.071182717,0.0,1.64040083,0.0,1.710767299,0.584371008,0.345655063,23.70283853,38.36177214,0
RNA114_FPKM,0.697111088,51.4458708,0.659056324,0.093245387,0.025475305,0.088247998,1.34239857,0.447160784,3099.387919,0.331661909,0.386010418,34.13747358,1.045538413,0.82419497,0.0,0.0,0.761921739,0.212062614,0.203432159,1.919506713,0.660194932,1.760315106,39.36708761,0.070723257,7.971656539,0.513305595,0.0,1.521082892,1.204131676,1.150783604,0.0,0.073586396,1.632012256,0.127701939,0.038986442,0.0413353,0.0,0.120241689,0.382407993,0.307685326,1.009336482,20.04417064,0.136414547,1.117325756,0.21015214,0.070723257,0.0,10.66248007,1.060197032,0.059558011,1.146061632,0.444321668,2.31793045,0.346392886,0.75122629,15.72592936,33.5952969,0
RNA115_FPKM,0.0,55.22697632,0.856984721,0.103904237,0.056774758,0.0,0.436370317,0.747535933,2175.491666,0.492765434,0.6453528,26.48402451,1.344529088,0.091894567,0.0,0.0,0.707693298,0.0,0.0,0.972416477,0.490441069,1.839214319,14.98584678,0.0,11.84508304,1.143962787,0.0,0.988947948,0.447378102,0.25663976,0.496770164,0.081998034,0.795771526,0.071184751,0.0,0.0,0.0,0.067026192,0.0,0.0,0.0,25.83107788,0.152008051,0.0,0.936698258,0.0,0.0,24.50826004,1.529022157,0.066398712,2.341567467,0.0,1.614495445,0.275770161,0.358863109,21.77442157,41.97119141,0
RNA116_FPKM,0.296859557,51.90005582,0.623743608,0.211787414,0.028915825,0.100218445,1.46103905,1.523448442,2765.506751,0.627685116,0.657709465,30.20187568,1.278784213,1.310414918,0.0,0.0,0.865407191,0.0,0.0,1.981669219,0.24978544,2.374004628,22.87284573,0.080316551,6.538674019,0.582831844,0.24217003,1.583630509,1.367528846,0.522850178,0.506110879,0.083568062,0.810890864,0.072474243,0.0,0.0,0.0,0.204792289,0.0,0.0,1.146049155,13.57572623,0.542174593,0.317258392,0.477316679,0.0,0.0,8.476512495,2.408131811,0.135273578,2.458529474,0.252164349,3.619555212,1.405025676,1.706353167,26.24859176,21.62867972,0
RNA126_FPKM,0.799060313,40.62479001,0.377789031,0.213770032,0.0,0.0,1.025885744,0.512569996,3089.330618,0.506901765,0.331933259,26.7004221,1.936065384,0.755766114,0.0,0.0,0.436754289,0.0,1.165947738,3.8003553,1.513242209,1.008876464,10.32256313,0.162136846,3.045639382,0.196130084,0.97825859,3.77801251,3.527363848,1.055489531,1.873242132,0.0,3.624572483,0.14638176,0.0,0.189526767,0.0,0.068915124,0.0,0.0,2.699174167,9.691951736,0.0,0.0,0.481785011,0.0,0.0,13.59732106,0.714866167,0.068269961,3.649218746,0.254657792,2.158864291,0.397049665,0.61516261,29.49816652,25.75528019,0
RNA132_FPKM,0.880707421,48.9157306,0.370072245,0.157052645,0.0,0.297271147,1.38197234,0.502007029,1748.11997,0.248227804,0.542002288,23.61706231,1.445158527,1.943745086,0.0,0.0,0.427833067,0.476146061,0.685279127,1.371770222,1.729810878,0.864905439,38.06113301,0.079397777,8.952554163,0.192195158,0.0,1.708232027,0.450738088,1.292604142,0.33360552,0.041329032,2.749235565,0.071722463,0.0,0.092810514,0.0,0.067532491,0.0,0.138195427,0.0,20.95525405,0.612756022,0.156901836,0.0,0.079397777,0.0,11.67504539,3.15170693,0.0,1.501582873,0.997916951,2.115014283,0.333431428,0.120564141,19.6232965,48.06240067,0
