,POM121B,Diagnosis
RNA1_FPKM,0.770349361,0
RNA102_FPKM,1.918307217,1
RNA104_FPKM,1.345953513,0
RNA108_FPKM,1.137120393,0
RNA110_FPKM,0.394545417,0
RNA114_FPKM,0.904695279,0
RNA115_FPKM,0.441099725,0
RNA116_FPKM,0.802709618,0
RNA126_FPKM,0.421305637,0
RNA132_FPKM,1.079511708,0
RNA140_FPKM,0.431654078,1
RNA145_FPKM,0.649294399,0
RNA150_FPKM,0.621011874,1
RNA151_FPKM,0.468880999,0
RNA152_FPKM,2.276160637,0
RNA155_FPKM,0.536905022,0
RNA165_FPKM,1.703534919,0
RNA174_FPKM,1.069910716,1
RNA179_FPKM,1.526482377,0
RNA18_FPKM,0.0,1
RNA185_FPKM,1.423715349,1
RNA2_FPKM,1.09827531,0
RNA201_FPKM,0.841135483,1
RNA205_FPKM,0.434891891,0
RNA209_FPKM,1.435357914,0
RNA213_FPKM,0.570586977,0
RNA219_FPKM,0.725017552,0
RNA23_FPKM,0.903934861,1
RNA246_FPKM,0.883574174,1
RNA253_FPKM,1.278182839,1
RNA26_FPKM,2.21546408,0
RNA277_FPKM,1.138359941,0
RNA288_FPKM,1.009428646,0
RNA29_FPKM,0.773124875,0
RNA295_FPKM,1.29851027,0
RNA3_FPKM,0.992200848,0
RNA302_FPKM,0.90931144,0
RNA303_FPKM,0.304023247,1
RNA31_FPKM,0.806420506,1
RNA314_FPKM,0.726050595,1
RNA319_FPKM,0.341303382,0
RNA32_FPKM,1.165164506,1
RNA328_FPKM,0.964475211,0
RNA331_FPKM,0.704889532,0
RNA334_FPKM,0.529810051,0
RNA335_FPKM,0.801107213,1
RNA336_FPKM,0.539198889,0
RNA35_FPKM,1.465785671,0
RNA358_FPKM,0.801152489,0
RNA365_FPKM,2.444357618,0
RNA368_FPKM,0.308220316,0
RNA37_FPKM,1.454676877,0
RNA379_FPKM,0.899151901,1
RNA38_FPKM,0.811758505,0
RNA383_FPKM,0.948727715,0
RNA385_FPKM,1.328610472,1
RNA386_FPKM,0.890591234,0
RNA39_FPKM,1.53348054,1
RNA392_FPKM,1.480381876,0
RNA409_FPKM,1.185406012,0
RNA41_FPKM,0.18194855,0
RNA418_FPKM,1.082173427,0
RNA431_FPKM,1.024714012,1
RNA44_FPKM,0.844823807,1
RNA442_FPKM,0.321158737,0
RNA454_FPKM,0.517303819,0
RNA457_FPKM,0.953545414,0
RNA466_FPKM,0.886025982,0
RNA471_FPKM,0.964663908,0
RNA476_FPKM,0.872077252,0
RNA483_FPKM,1.34423737,0
RNA488_FPKM,0.759050135,0
RNA499_FPKM,1.266165998,0
RNA50_FPKM,0.630332967,1
RNA504_FPKM,0.832244122,0
RNA519_FPKM,2.92060332,0
RNA52_FPKM,0.0,0
RNA521_FPKM,1.050819321,0
RNA528_FPKM,0.738318364,0
RNA53_FPKM,2.702841973,0
RNA535_FPKM,0.676159717,1
RNA58_FPKM,1.173101456,0
RNA6_FPKM,0.52797236,0
RNA60_FPKM,1.146290116,0
RNA62_FPKM,0.823855867,0
RNA63_FPKM,1.55769583,0
RNA64_FPKM,0.27343685,0
RNA66_FPKM,0.3222805,0
RNA67_FPKM,1.510122922,0
RNA69_FPKM,1.101348235,0
RNA7_FPKM,1.200165661,0
RNA72_FPKM,1.327024351,0
RNA74_FPKM,1.672330668,0
RNA75_FPKM,0.9991589,0
RNA78_FPKM,3.370876561,1
RNA86_FPKM,2.468060392,1
RNA87_FPKM,1.057796738,0
RNA89_FPKM,0.24321937,0
RNA94_FPKM,0.0,1
RNA95_FPKM,0.885240819,0
RNA97_FPKM,0.772861498,0
RNA98_FPKM,1.771383658,1
R_JS001_FPKM,1.69194795,1
R_JS002_FPKM,2.211634049,1
R_JS003_FPKM,2.295267131,1
R_JS004_FPKM,1.656461944,1
R_JS005_FPKM,1.533287137,1
R_JS006_FPKM,6.293401501,1
R_JS007_FPKM,1.868147251,1
R_JS008_FPKM,1.42112471,1
R_JS009_FPKM,1.516744354,1
R_JS010_FPKM,1.718749099,1
R_JS011_FPKM,1.439456167,1
R_JS012_FPKM,1.903006248,1
R_JS013_FPKM,2.957603314,1
R_JS014_FPKM,1.824273081,1
R_JS015_FPKM,2.798371832,1
R_JS016_FPKM,1.640320637,1
R_JS017_FPKM,1.424340507,1
R_JS018_FPKM,1.108210625,1
R_JS019_FPKM,1.312690997,1
R_JS020_FPKM,2.262115369,1
R_JS021_FPKM,1.207975133,1
R_JS022_FPKM,2.649388122,1
R_JS023_FPKM,3.478739958,1
R_JS024_FPKM,2.532571172,1
R_JS025_FPKM,3.316399127,1
R_JS026_FPKM,2.244979054,1
R_JS027_FPKM,1.860991214,1
R_JS028_FPKM,2.413642968,1
R_JS029_FPKM,1.966609028,1
R_JS030_FPKM,2.784623715,1
R_JS031_FPKM,1.586915646,1
R_JS032_FPKM,1.109885845,1
R_JS033_FPKM,1.792280192,1
R_JS034_FPKM,3.650095837,1
R_JS035_FPKM,1.444221846,1
R_JS036_FPKM,1.961876147,1
R_JS037_FPKM,2.049363362,1
R_JS038_FPKM,1.178195841,1
R_JS039_FPKM,1.033794677,1
R_JS040_FPKM,0.975776472,1
R_JS041_FPKM,1.95010025,1
