,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,Diagnosis
RNA1_FPKM,0.770349361,1.168268791,0.207964078,0.515154702,2.583488709,0.640663531,0
RNA102_FPKM,1.918307217,0.554171502,0.591824039,1.003114037,8.577633965,1.063593713,1
RNA104_FPKM,1.345953513,1.088638871,0.726709194,1.970685595,7.824103305,0.298561824,0
RNA108_FPKM,1.137120393,0.47297502,0.526240621,0.65866574,10.45990507,0.486363563,0
RNA110_FPKM,0.394545417,0.0,0.0,0.256359319,0.0,0.454369156,0
RNA114_FPKM,0.904695279,0.205825479,0.091597726,1.146307585,3.697635851,0.282180092,0
RNA115_FPKM,0.441099725,0.114733069,0.0,0.532287577,2.219102712,0.0,0
RNA116_FPKM,0.802709618,0.818045783,0.208045097,1.356113519,5.16865333,1.281659078,0
RNA126_FPKM,0.421305637,0.589832385,0.682415872,1.012887355,6.520974307,1.94055292,0
RNA132_FPKM,1.079511708,1.386682469,1.028554815,0.643677678,3.833106013,1.584306208,0
RNA140_FPKM,0.431654078,0.336680171,0.29966298,0.781345841,1.240769937,0.153804209,1
RNA145_FPKM,0.649294399,0.0,0.0,0.573384034,2.67242379,1.17810941,0
RNA150_FPKM,0.621011874,0.713741259,0.582328165,1.104337401,4.603534409,0.326172081,1
RNA151_FPKM,0.468880999,1.173258485,0.854392291,0.816876215,2.948256848,0.877320698,0
RNA152_FPKM,2.276160637,0.247343175,0.055037094,0.373064389,2.050776385,0.339099514,0
RNA155_FPKM,0.536905022,0.344872401,0.0,0.666942034,0.635537217,0.157602979,0
RNA165_FPKM,1.703534919,0.775045758,0.919796078,1.019297527,3.213800088,2.479248328,0
RNA174_FPKM,1.069910716,0.70796928,0.735229502,1.917086631,6.197554241,1.941386667,1
RNA179_FPKM,1.526482377,0.362387061,0.430009382,1.037149652,10.01599679,1.159099333,0
RNA18_FPKM,0.0,0.483757849,0.645922955,1.712326375,11.70181271,0.0,1
RNA185_FPKM,1.423715349,0.575809842,0.614944207,1.068991398,2.227983963,2.52595827,1
RNA2_FPKM,1.09827531,1.293249825,0.732487582,0.982303017,2.27505707,0.644824385,0
RNA201_FPKM,0.841135483,0.191292387,0.170305164,1.154564208,0.793303076,1.442752292,1
RNA205_FPKM,0.434891891,0.121768413,0.216760526,0.226056254,1.682978069,0.333881133,0
RNA209_FPKM,1.435357914,0.127459523,0.79387163,0.650576235,4.931040041,0.0,0
RNA213_FPKM,0.570586977,0.692218445,0.0,0.321329087,4.146120523,0.632672772,0
RNA219_FPKM,0.725017552,0.35984327,0.106759783,0.445403274,2.984066142,0.657778021,0
RNA23_FPKM,0.903934861,2.350040736,0.784387794,1.718024242,4.547040017,0.161043572,1
RNA246_FPKM,0.883574174,0.622479317,0.507826302,0.91488534,3.727861385,1.422199462,1
RNA253_FPKM,1.278182839,0.59646266,0.318507641,0.664409113,4.945931656,0.163477955,1
RNA26_FPKM,2.21546408,0.251988676,0.616778567,1.92990645,7.662094713,0.345468347,0
RNA277_FPKM,1.138359941,0.285812478,0.0,0.663178305,0.394815814,0.391839688,0
RNA288_FPKM,1.009428646,0.111310806,0.247737986,1.369427838,5.231762696,0.305207049,0
RNA29_FPKM,0.773124875,0.0,0.0,0.527454807,10.47079919,0.0,0
RNA295_FPKM,1.29851027,0.0,0.04383668,0.365628445,2.721621517,0.405012552,0
RNA3_FPKM,0.992200848,0.0,0.185408162,0.934849652,4.223419983,0.380930623,0
RNA302_FPKM,0.90931144,0.220624834,0.0,0.844918736,2.744474564,0.151292732,0
RNA303_FPKM,0.304023247,0.0,0.0,0.950232288,1.835372003,0.0,1
RNA31_FPKM,0.806420506,0.366907052,0.0,0.596038893,2.366274179,2.179631127,1
RNA314_FPKM,0.726050595,0.41724651,0.18568562,0.548722287,0.0,0.381286625,1
RNA319_FPKM,0.341303382,0.225821597,0.0,1.25800147,1.560866927,0.0,0
RNA32_FPKM,1.165164506,0.73122368,0.715898167,1.730910222,13.74396038,0.200460068,1
RNA328_FPKM,0.964475211,0.468076388,0.364498813,1.059091636,6.145343072,0.320782583,0
RNA331_FPKM,0.704889532,0.410542599,0.137014489,0.619253386,0.56726549,0.562840659,0
RNA334_FPKM,0.529810051,0.101454495,0.090345418,0.800864793,0.0,0.556644352,0
RNA335_FPKM,0.801107213,0.662718269,0.0,0.615187634,0.0,1.090164825,1
RNA336_FPKM,0.539198889,0.57719464,0.873375164,0.803763209,4.148410373,0.0,0
RNA35_FPKM,1.465785671,0.326648641,0.145367196,0.505367971,5.116288936,0.149274917,0
RNA358_FPKM,0.801152489,0.145828867,0.454214897,0.845926796,4.836396199,0.399853346,0
RNA365_FPKM,2.444357618,0.43757876,0.58413602,0.643118705,4.434533601,0.399869813,0
RNA368_FPKM,0.308220316,0.112212634,0.299537824,1.093534876,2.480906407,0.153839901,0
RNA37_FPKM,1.454676877,0.470636239,0.31416817,1.037619861,9.106278806,0.80644929,0
RNA379_FPKM,0.899151901,0.654529693,0.436884641,0.949413471,4.522926513,0.44854746,1
RNA38_FPKM,0.811758505,0.875428768,1.217486748,0.584124032,9.98215981,0.45005567,0
RNA383_FPKM,0.948727715,0.238163235,0.3709364,0.829049241,5.924730235,0.653028225,0
RNA385_FPKM,1.328610472,0.701967575,0.520656578,0.506831751,2.802867226,0.427756828,1
RNA386_FPKM,0.890591234,0.129710373,0.115392542,0.331019923,3.584086674,0.0,0
RNA39_FPKM,1.53348054,0.606697383,0.269996218,1.126399217,5.366353947,0.332671122,1
RNA392_FPKM,1.480381876,0.404137412,0.419615737,0.562727942,4.096016355,1.292687189,0
RNA409_FPKM,1.185406012,0.261435811,0.174547369,0.849622918,2.16836081,0.717016951,0
RNA41_FPKM,0.18194855,0.0,0.0,0.0,0.915289961,0.756629103,0
RNA418_FPKM,1.082173427,0.347487414,0.309332249,0.752805309,5.123578068,0.0,0
RNA431_FPKM,1.024714012,0.0,0.0,0.489250479,5.379099167,0.667017388,1
RNA44_FPKM,0.844823807,0.591333535,0.36840092,0.631277106,4.903741512,0.48648589,1
RNA442_FPKM,0.321158737,0.233762699,0.05201526,0.705353704,0.0,0.640962239,0
RNA454_FPKM,0.517303819,0.434489652,0.257832501,0.537808845,2.80252449,0.397052149,0
RNA457_FPKM,0.953545414,1.862267235,1.318494094,0.589361644,4.211779556,0.696302265,0
RNA466_FPKM,0.886025982,0.119464941,0.478384447,0.997939503,5.942857199,0.32756516,0
RNA471_FPKM,0.964663908,0.718221695,0.710259519,0.740784551,5.514506114,0.546959593,0
RNA476_FPKM,0.872077252,0.52903979,0.882812522,0.429716426,4.021470005,0.362556364,0
RNA483_FPKM,1.34423737,0.293521128,0.130624586,1.294459701,4.598183879,0.536663441,0
RNA488_FPKM,0.759050135,0.425009895,0.378281058,1.011084297,3.818249698,0.874083083,0
RNA499_FPKM,1.266165998,0.224800786,0.150088151,0.756509775,2.175055951,0.308194625,0
