,Y_RNA.226,Diagnosis
RNA1_FPKM,6.230766887,0
RNA102_FPKM,14.03774131,1
RNA104_FPKM,14.51518495,0
RNA108_FPKM,10.2483529,0
RNA110_FPKM,14.72876235,0
RNA114_FPKM,6.174126143,0
RNA115_FPKM,6.116088626,0
RNA116_FPKM,7.790679967,0
RNA126_FPKM,4.717755121,0
RNA132_FPKM,8.474742143,0
RNA140_FPKM,12.71849371,1
RNA145_FPKM,11.45830331,0
RNA150_FPKM,11.10264181,1
RNA151_FPKM,11.37725954,0
RNA152_FPKM,14.01349307,0
RNA155_FPKM,31.41969619,0
RNA165_FPKM,15.50091516,0
RNA174_FPKM,16.52060035,1
RNA179_FPKM,22.5456184,0
RNA18_FPKM,20.15887698,1
RNA185_FPKM,16.88871783,1
RNA2_FPKM,3.919094038,0
RNA201_FPKM,10.84293033,1
RNA205_FPKM,18.66967937,0
RNA209_FPKM,11.04352095,0
RNA213_FPKM,13.07599356,0
RNA219_FPKM,29.58644021,0
RNA23_FPKM,4.699615333,1
RNA246_FPKM,8.299080831,1
RNA253_FPKM,3.180636307,1
RNA26_FPKM,2.519886764,0
RNA277_FPKM,5.715238735,0
RNA288_FPKM,8.1644964,0
RNA29_FPKM,15.15139788,0
RNA295_FPKM,10.50285632,0
RNA3_FPKM,1.85236852,0
RNA302_FPKM,10.29638933,0
RNA303_FPKM,11.06588277,1
RNA31_FPKM,24.45965041,1
RNA314_FPKM,4.635743071,1
RNA319_FPKM,6.775398389,0
RNA32_FPKM,21.44797708,1
RNA328_FPKM,8.580844408,0
RNA331_FPKM,67.04836671,0
RNA334_FPKM,31.80137263,0
RNA335_FPKM,18.55555904,1
RNA336_FPKM,18.4703698,0
RNA35_FPKM,5.807086951,0
RNA358_FPKM,16.52418204,0
RNA365_FPKM,17.50216185,0
RNA368_FPKM,6.731446735,0
RNA37_FPKM,1.568787462,0
RNA379_FPKM,14.18177351,1
RNA38_FPKM,7.295371572,0
RNA383_FPKM,21.43284407,0
RNA385_FPKM,14.55899048,1
RNA386_FPKM,12.96596062,0
RNA39_FPKM,2.426954351,1
RNA392_FPKM,20.65476482,0
RNA409_FPKM,20.91916413,0
RNA41_FPKM,52.24406624,0
RNA418_FPKM,4.633918391,0
RNA431_FPKM,37.83750564,1
RNA44_FPKM,6.307073605,1
RNA442_FPKM,31.17202153,0
RNA454_FPKM,32.82931397,0
RNA457_FPKM,7.336443685,0
RNA466_FPKM,1.592865877,0
RNA471_FPKM,12.23548144,0
RNA476_FPKM,15.86985334,0
RNA483_FPKM,10.43746842,0
RNA488_FPKM,9.20871986,0
RNA499_FPKM,7.493359521,0
RNA50_FPKM,7.283185034,1
RNA504_FPKM,10.09707942,0
RNA519_FPKM,9.064178339,0
RNA52_FPKM,3.071928125,0
RNA521_FPKM,9.422947905,0
RNA528_FPKM,7.67755959,0
RNA53_FPKM,9.280792226,0
RNA535_FPKM,53.12728303,1
RNA58_FPKM,5.023045172,0
RNA6_FPKM,4.003357576,0
RNA60_FPKM,2.454236397,0
RNA62_FPKM,4.997655078,0
RNA63_FPKM,5.087966253,0
RNA64_FPKM,10.32030441,0
RNA66_FPKM,14.21789038,0
RNA67_FPKM,4.071005336,0
RNA69_FPKM,6.108116291,0
RNA7_FPKM,9.706974962,0
RNA72_FPKM,8.237082451,0
RNA74_FPKM,9.794757028,0
RNA75_FPKM,12.76004816,0
RNA78_FPKM,11.01091153,1
RNA86_FPKM,3.032408974,1
RNA87_FPKM,5.988868313,0
RNA89_FPKM,7.376585573,0
RNA94_FPKM,49.44996882,1
RNA95_FPKM,7.160036035,0
RNA97_FPKM,3.750229539,0
RNA98_FPKM,6.837906039,1
R_JS001_FPKM,9.122870851,1
R_JS002_FPKM,32.19921702,1
R_JS003_FPKM,19.61054586,1
R_JS004_FPKM,13.14048507,1
R_JS005_FPKM,19.4111437,1
R_JS006_FPKM,11.43287951,1
R_JS007_FPKM,12.63307376,1
R_JS008_FPKM,10.09224758,1
R_JS009_FPKM,26.92989475,1
R_JS010_FPKM,14.56348076,1
R_JS011_FPKM,17.1951725,1
R_JS012_FPKM,12.3687384,1
R_JS013_FPKM,22.62905402,1
R_JS014_FPKM,42.47693776,1
R_JS015_FPKM,20.44384302,1
R_JS016_FPKM,17.15618201,1
R_JS017_FPKM,16.52941961,1
R_JS018_FPKM,12.60502914,1
R_JS019_FPKM,9.800364129,1
R_JS020_FPKM,7.841228431,1
R_JS021_FPKM,27.76822178,1
R_JS022_FPKM,12.00060836,1
R_JS023_FPKM,41.40900565,1
R_JS024_FPKM,15.80212884,1
R_JS025_FPKM,35.76559944,1
R_JS026_FPKM,17.89844433,1
R_JS027_FPKM,39.66449149,1
R_JS028_FPKM,28.91224102,1
R_JS029_FPKM,18.6404821,1
R_JS030_FPKM,23.56994951,1
R_JS031_FPKM,12.25196383,1
R_JS032_FPKM,40.39658038,1
R_JS033_FPKM,36.79857807,1
R_JS034_FPKM,16.45961122,1
R_JS035_FPKM,31.99623818,1
R_JS036_FPKM,16.80107941,1
R_JS037_FPKM,26.63935194,1
R_JS038_FPKM,29.4294398,1
R_JS039_FPKM,55.49134816,1
R_JS040_FPKM,26.04446432,1
R_JS041_FPKM,15.50078521,1
