,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Diagnosis
RNA1_FPKM,6.230766887,11.58533218,0.703029007,0.79707971,17.13460894,0.872992064,14.31392393,1.557691722,0.751819664,0.786557206,0.709306052,0.239283969,1.360312976,0.0,1.655047454,0.0,0.0,0.0,0.561429525,3.394969137,0.547877778,1.69026123,0
RNA102_FPKM,14.03774131,17.2706289,6.669037804,1.260323148,41.3751753,0.828054178,12.22069084,2.216262652,1.90187827,2.735822449,6.055788766,1.135050064,0.51611596,0.738754217,10.20554201,0.500683921,1.482588693,1.674509559,0.798794313,10.94994661,1.299436625,0.801626917,1
RNA104_FPKM,14.51518495,10.02421858,5.240599713,1.733190237,47.17435108,2.44011595,28.00995449,2.902881214,1.167625288,1.954415075,4.626998936,0.223022085,0.253573056,0.725915023,6.168622579,0.245991137,0.242765024,2.467228349,1.569542574,5.694282905,0.765691557,0.787695025,0
RNA108_FPKM,10.2483529,8.375996546,4.269669511,1.075662253,18.13164377,0.88337018,9.417405367,3.153166801,1.268409995,1.592318992,4.30779156,0.242128573,0.275296871,0.0,3.350239726,0.0,0.790938778,0.893185404,0.852425185,5.498481159,0.0,0.855177515,0
RNA110_FPKM,14.72876235,4.69443806,0.0,0.0,39.03105321,0.825270889,12.857351,1.472542174,0.236907416,0.0,0.0,0.0,0.0,0.0,0.78228803,0.499001003,0.0,0.0,2.919790124,1.283754716,0.517928627,0.0,0
RNA114_FPKM,6.174126143,2.915182841,1.857893702,0.468098079,66.54257949,0.769018272,6.934434163,2.058254787,0.441518377,0.923622286,0.624827346,0.0,0.0,0.686084929,1.457930474,0.929759311,0.458889592,0.0,1.978021922,2.990070218,0.0,0.744475136,0
RNA115_FPKM,6.116088626,2.437278616,0.69042909,0.0,87.15501503,0.857346013,6.323058802,0.764887129,1.722079707,0.51472033,2.089095956,0.0,0.0,0.0,1.624586041,0.0,0.0,0.86687208,1.10219265,1.332993675,0.537794,0.829983906,0
RNA116_FPKM,7.790679967,2.483106502,2.109541807,0.265658094,29.60523418,1.746664331,13.60240489,0.778742843,0.250573407,2.885029838,2.128377001,0.0,0.544337172,0.0,1.655692231,0.52806131,0.521135915,0.882575222,2.527270624,2.037420719,1.096182442,0.84501883,0
RNA126_FPKM,4.717755121,5.012614816,4.258504623,1.073139857,125.0327141,1.76301548,11.5620096,1.57288636,0.0,0.794229746,2.148675116,0.0,0.274716453,2.359329539,2.506787636,0.0,1.052028909,0.89130227,1.133812076,5.484148983,1.935959402,1.706749029,0
RNA132_FPKM,8.474742143,9.004413527,1.390515045,1.314219596,36.97991367,1.726683518,9.203170259,1.54047255,0.74364675,0.518574918,2.806641423,0.236770541,1.34572486,0.0,4.911167079,0.522020598,0.0,3.492709327,3.054500702,3.358561189,0.271061447,0.836253401,0
RNA140_FPKM,12.71849371,6.358945926,1.350934767,2.041668257,31.42268019,1.677534381,4.125090389,0.747910666,0.962868784,0.755585863,0.681132928,0.229779783,0.0,0.0,3.179472963,0.760606367,0.250120944,0.847632088,2.426952472,3.260823012,0.263058234,0.811562637,1
RNA145_FPKM,11.45830331,7.608623274,0.646672433,0.244394599,68.03218467,1.6053359,6.580430939,0.0,1.843351001,0.482130584,0.652446294,0.220102364,0.250253373,0.0,1.521724655,0.242770714,0.239586836,0.811933166,0.516203416,1.873158563,0.755722592,0.777382819,0
RNA150_FPKM,11.10264181,17.69568479,2.863386763,1.623224268,19.03389969,1.777817056,15.30437604,1.586091687,2.041405074,2.13572742,2.888952716,0.487293229,1.108091453,0.793045844,2.527833626,0.537479575,0.530430663,1.797570579,2.28666222,7.605106295,0.557866731,0.860539107,1
RNA151_FPKM,11.37725954,4.532823608,0.641987478,0.0,17.06531851,1.593746683,26.13642307,2.133093463,0.228847271,0.239421073,2.590358199,0.0,0.24844036,0.0,1.510739043,0.24101191,0.475511305,0.0,0.512476849,8.058518956,0.250153742,0.771750905,0
RNA152_FPKM,14.01349307,12.26224313,0.744218401,0.0,41.21687534,0.924139334,4.544963881,0.824477249,0.265289209,1.387439972,0.750863209,0.0,0.0,0.0,0.0,0.558781923,1.102615187,0.0,1.782653678,5.030663847,1.449635556,0.894645525,0
RNA155_FPKM,31.41969619,4.885692354,2.075338345,1.045766925,26.822068,0.859022832,12.67577484,0.766383114,0.493192919,0.515980711,0.0,0.235455053,0.80312751,0.0,1.628564118,0.0,0.0,0.86856753,0.828668668,2.004386607,0.808666321,0.831607209,0
RNA165_FPKM,15.50091516,22.87444721,3.109612176,1.468925237,39.61376456,1.930164172,13.45289078,0.861004606,0.277042492,1.739376619,0.784129195,1.851968631,0.0,0.0,6.404724848,0.0,0.575885048,1.951610441,2.482954259,9.009078898,0.908840366,1.868563188,0
RNA174_FPKM,16.52060035,13.37430804,3.550948943,2.14689633,45.62878473,2.64565207,7.229053106,1.573557767,1.771831408,2.118554464,1.433061538,0.966884893,0.549667439,0.786778883,2.507857691,0.5332322,0.526238991,0.0,1.417870073,4.800603046,0.830187374,2.561216365,1
RNA179_FPKM,22.5456184,10.26608754,4.360815947,3.29613513,17.71451838,1.805298181,11.83881687,4.025795438,1.813606527,3.252621795,1.466804772,0.989427914,1.687576034,0.0,6.844316005,0.272893911,0.538629949,0.912678525,1.160742288,7.019969837,0.283245059,0.873841141,0
RNA18_FPKM,20.15887698,0.0,2.911109177,0.0,58.05707504,1.80801979,22.22906026,2.419555895,3.632492355,2.985826321,2.937101223,1.981972707,0.0,0.0,5.997396232,0.0,0.269720985,0.0,0.290688694,8.435643382,0.0,0.875158515,1
