,RNU4-31P,RNU6-785P,RNU1-134P,RNU6-915P,RNU6-1076P,RNU6-553P,RNU6-262P,RNU4-62P,RNU6-1016P,RNU1-22P,RNU7-181P,RNU4-82P,RNU6-375P,RNU6-1152P,RNU6-1278P,RNU6-1153P,RNU6-442P,RNU6-30P,RNVU1-4,RNU6-878P,RNU6-1043P,RNU6-223P,RNU6ATAC39P,RNU6-1237P,RNU6-838P,RNU6-322P,RNU6-32P,RNU6-88P,RNU5A-6P,RNU6-118P,RNU6-1262P,RNU6-1128P,RNU6-226P,RNU6-48P,U2.4,RNU6-5P,U6.16,RNU6-1231P,RNU6-595P,RNU6-100P,RNU6-767P,RNU6-877P,Diagnosis
RNA1_FPKM,0.0,1.527736112,0.48146835,0.0,1.527736112,0.0,0.684847222,1.222188889,0.845130615,0.502799227,4.294177179,0.0,1.588845556,0.742451194,0.742451194,3.78296561,0.0,0.0,0.968808266,6.499822729,0.802447251,0.0,0.53316965,0.742451194,0.735576646,4.627705503,0.742451194,1.588845556,0.0,4.673075165,0.0,1.457656473,0.742451194,2.227353583,1.247784468,13.3641215,0.0,0.0,5.939609555,0.749455451,0.0,0.0,0
RNA102_FPKM,0.534417944,2.898189621,1.370053276,0.731581846,5.797071265,0.0,0.649594225,1.738913773,6.413780974,3.338876465,6.110669612,0.538235215,2.260587905,0.0,0.0,0.717646954,0.724547405,2.112698976,0.918938173,6.850920654,0.761140709,0.0,0.505724363,0.704232992,0.0,5.853353511,0.704232992,1.507058603,0.0,3.694476678,1.569852712,2.073933858,3.52183758,3.52183758,1.972966603,4.930303565,1.449094811,0.731581846,9.156374137,1.421753399,0.704232992,0.704232992,1
RNA104_FPKM,0.525130017,4.270966812,0.0,0.0,2.847056575,0.0,0.0,1.708081165,5.513020009,1.874011923,2.001171145,1.586075367,2.960938838,0.69199376,0.0,0.705174594,1.423910238,0.69199376,1.353966777,2.69176258,0.0,0.69199376,0.0,0.69199376,0.0,4.31243251,0.69199376,2.960938838,0.0,1.451830046,0.771284712,0.679296627,4.151220079,6.918452638,1.550229758,10.37767896,1.423910238,0.718867304,4.151220079,1.397044007,0.69199376,0.0,0
RNA108_FPKM,0.570118343,4.639160141,1.462038348,0.0,3.092528978,1.675517093,1.386634836,1.237304931,5.987865331,1.018035702,2.173643797,1.148926007,1.60849641,0.0,0.0,0.765587489,1.546631163,1.503267673,1.470953216,0.730788058,0.0,0.0,0.0,0.0,0.0,8.587947796,1.503267673,0.803866864,0.0,1.576957264,0.837361316,1.475684779,4.509090231,2.254545115,1.263017421,11.27272558,1.546631163,0.0,10.52073535,0.0,0.0,0.0,0
RNA110_FPKM,1.065243275,1.444224055,0.455149399,0.0,0.722112028,0.0,0.0,3.466661952,0.798932456,0.475314246,2.029720294,0.536426078,0.750996509,0.0,0.0,2.146353344,0.722112028,0.701865896,0.457924701,2.048791829,0.0,0.0,2.016555383,0.0,0.695367138,3.646275757,0.0,0.750996509,0.647410783,2.209481384,0.0,2.067588084,0.701865896,0.701865896,2.359508135,11.23240195,0.722112028,0.0,2.10623459,0.0,0.0,0.0,0
RNA114_FPKM,0.0,2.690938007,0.424125229,1.358847821,2.018672964,0.0,0.603281576,0.53831279,1.488950271,1.328746761,1.891369264,0.499861877,1.399613255,0.654024886,0.654024886,0.0,0.672890988,1.308049771,1.280134075,2.54415957,0.706875381,0.0,0.469668878,0.0,0.0,2.038271731,0.0,2.099419883,0.603281576,1.372169858,0.728965237,1.284048858,2.615491147,1.962074657,1.831613694,8.501106722,1.345781976,0.0,4.577565804,1.320389863,0.0,0.654024886,0
RNA115_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600142209,0.829983906,0.493787893,2.107571081,0.0,0.0,0.72914474,0.72914474,0.743033211,0.0,0.72914474,0.475722483,0.709258974,0.0,0.0,0.523614008,0.0,0.0,1.514177281,0.0,0.0,0.0,3.058044313,1.624586041,0.715765937,0.0,0.72914474,2.041565482,8.745435139,0.750177761,0.0,2.915145046,0.0,0.0,0.0,0
RNA116_FPKM,0.0,3.05666258,0.0,0.0,3.820429599,0.0,0.684756638,3.056343679,3.38183945,1.508722938,2.147925056,0.567369786,0.0,0.0,0.0,0.756493048,2.292098309,0.0,0.484340061,4.334903295,0.0,0.0,1.066754726,0.742352991,0.735479352,5.400690607,0.0,3.178929083,0.0,0.778742843,1.655692231,1.45822435,1.48548088,4.45644264,0.832180388,7.426629501,0.763767019,0.0,2.227833871,0.749356321,2.97096176,0.0,0
RNA126_FPKM,0.0,1.542638545,0.0,0.778807809,0.771319273,0.835595879,0.0,2.468221672,3.413498057,5.584158507,2.16803255,0.572980031,0.0,0.0,0.0,1.527946749,0.0,1.499386997,0.0,6.562387594,0.0,2.249080496,0.538370499,0.0,0.0,3.115231237,2.249080496,0.0,0.691527624,0.78644318,0.0,0.735937655,3.748467493,4.497299274,4.199370889,14.99214654,1.542638545,0.0,11.24454076,0.0,0.0,0.0,0
RNA132_FPKM,0.0,2.266692498,0.0,0.0,0.75584442,0.0,0.0,0.604675536,5.851913396,0.994482279,6.371243778,0.561484426,0.0,0.0,0.0,0.0,3.022536918,0.73465252,1.437414755,7.143780718,0.0,0.0,1.054551679,0.73465252,0.727850182,3.815064651,3.672445412,2.357360198,0.0,1.54047255,0.818831455,0.721172657,0.73465252,4.406280743,2.879999263,14.68814727,0.75584442,0.0,5.140933264,1.482341511,2.203140372,0.0,0
