,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
RNA1_FPKM,0.923747416,1.168268791,436.4585378,1.045293129,4.605349438,0.892609863,2.997821804,125.2365051,0.91312963,6.620189817,4.539558732,6.485083902,0.0,2.604664846,1.986056945,4.785679386,8.189925547,0
RNA102_FPKM,3.504787449,0.0,153.3831564,2.974457769,14.19901497,1.693324273,9.953631725,57.62960262,0.866125634,4.396187345,6.459850732,10.76617309,0.66684009,2.470587874,1.883823254,3.631466514,9.32275394,1
RNA104_FPKM,3.442952137,1.088872535,172.4390887,2.921717782,18.2379546,2.494950016,4.189633046,74.8976066,0.0,7.403009142,2.115523782,9.064909153,0.0,2.427650241,2.775631893,0.892088342,16.78923798,0
RNA108_FPKM,4.675418236,1.182157153,223.2594632,3.174162202,9.323511531,0.903221195,4.551628818,72.84331243,0.923984901,4.690494509,4.594614482,8.205057841,0.711386605,2.63687936,2.010620512,6.781437844,5.802673619,0
RNA110_FPKM,0.873251754,1.104406631,543.4843156,0.0,2.176801475,0.843816302,1.416974545,137.8596121,0.0,1.878059176,2.145704311,5.365651563,0.0,3.694542642,0.938745636,10.86024405,1.54844641,0
RNA114_FPKM,0.813728637,1.029127394,211.5640845,0.920798194,4.055906562,1.572599163,3.96116959,72.44214402,1.608750868,1.749516569,4.997688793,7.854308082,0.0,3.441671939,1.749516569,4.214918259,3.606579541,0
RNA115_FPKM,0.0,0.0,561.4614485,0.0,1.130702712,0.876612215,5.885292829,129.3566282,0.0,1.949822893,1.114549817,3.97896946,0.0,1.278991593,0.0,8.45613888,0.804314301,0
RNA116_FPKM,0.923625233,0.0,255.2312598,2.091400713,4.607143599,0.892491798,1.498712641,98.16549397,0.913008851,2.649107569,1.134739571,10.54194383,0.0,3.90783974,1.986830677,0.957009277,8.192261409,0
RNA126_FPKM,5.595477004,3.538994309,0.943731816,1.055489531,19.76232276,1.802633805,0.0,95.30715065,0.922036832,11.36333558,2.291920124,0.0,0.0,1.315036137,1.002715054,0.966472341,28.11451893,0
RNA132_FPKM,3.655160924,1.155997348,307.8579099,1.034313416,7.972171872,0.883233929,1.483166408,117.4112688,0.903538157,6.548465658,2.244688573,9.621878358,0.0,1.288652781,4.911895738,2.840193009,23.49409543,0
RNA140_FPKM,4.436235958,0.0,523.4058593,1.003774841,2.212400416,0.857156044,1.439375243,122.9959954,1.754662399,1.272130239,5.450232748,4.672296256,0.0,3.753156009,1.908195358,0.919119131,5.506927021,1
