,MIR4513,MIR553,MIR1244-1,Diagnosis
RNA1_FPKM,0.923747416,1.168268791,436.4585378,0
RNA102_FPKM,3.504787449,0.0,153.3831564,1
RNA104_FPKM,3.442952137,1.088872535,172.4390887,0
RNA108_FPKM,4.675418236,1.182157153,223.2594632,0
RNA110_FPKM,0.873251754,1.104406631,543.4843156,0
RNA114_FPKM,0.813728637,1.029127394,211.5640845,0
RNA115_FPKM,0.0,0.0,561.4614485,0
RNA116_FPKM,0.923625233,0.0,255.2312598,0
RNA126_FPKM,5.595477004,3.538994309,0.943731816,0
RNA132_FPKM,3.655160924,1.155997348,307.8579099,0
RNA140_FPKM,4.436235958,0.0,523.4058593,1
RNA145_FPKM,0.8496975,0.0,531.9413155,0
RNA150_FPKM,3.762357025,1.189568765,299.7818815,1
RNA151_FPKM,1.686406374,0.0,373.7364687,0
RNA152_FPKM,1.955736729,1.236715873,466.9042608,0
RNA155_FPKM,0.0,1.149574672,616.1374261,0
RNA165_FPKM,3.064694257,1.291506909,348.2548381,0
RNA174_FPKM,5.597896632,1.180168325,388.0035188,1
RNA179_FPKM,3.819651947,1.207956871,207.744139,0
RNA18_FPKM,2.869705829,4.837578485,0.967822358,1
RNA185_FPKM,0.910583006,1.151619684,439.4222831,1
RNA2_FPKM,0.929240665,0.0,432.6567161,0
RNA201_FPKM,0.756671318,0.956966667,542.6412858,1
RNA205_FPKM,0.962820012,1.217684133,550.3435898,0
RNA209_FPKM,0.0,0.0,337.4120984,0
RNA213_FPKM,0.912225857,0.0,559.3397292,0
RNA219_FPKM,0.0,1.199477567,514.3287112,0
RNA23_FPKM,2.787534049,3.525410708,282.0048883,1
RNA246_FPKM,0.82032158,0.0,292.131763,1
RNA253_FPKM,1.886683391,0.0,327.3215809,1
RNA26_FPKM,3.984937208,1.259943382,264.0867074,0
RNA277_FPKM,2.259912619,0.0,532.6355858,0
RNA288_FPKM,1.76026391,1.113108061,0.890486449,0
RNA29_FPKM,5.134360743,0.0,0.865794164,0
RNA295_FPKM,0.778865663,0.0,486.8004699,0
RNA3_FPKM,2.196995222,0.0,430.0278849,0
RNA302_FPKM,0.872572034,2.206248338,433.341337,0
RNA303_FPKM,1.749744318,1.106455966,858.7082691,1
RNA31_FPKM,1.933759609,0.0,494.0782166,1
RNA314_FPKM,1.10011001,1.391315601,738.8048828,1
RNA319_FPKM,0.892783057,1.129107984,764.2964587,0
RNA32_FPKM,2.31228357,0.0,107.6314082,1
RNA328_FPKM,1.850094897,1.169912949,353.8439526,0
RNA331_FPKM,0.0,0.0,803.7564727,0
RNA334_FPKM,0.802198333,1.014544951,1066.89547,0
RNA335_FPKM,0.0,1.325989034,643.6030324,1
RNA336_FPKM,0.912605315,0.0,692.6462865,0
RNA35_FPKM,1.721868805,0.0,359.7295144,0
RNA358_FPKM,2.306130925,1.458288673,269.4398416,0
RNA365_FPKM,3.459925078,0.0,233.3559631,0
RNA368_FPKM,1.773747749,1.122126336,542.0847759,0
RNA37_FPKM,5.581964692,1.175973612,221.1945899,0
RNA379_FPKM,2.586971399,1.63676949,247.4111552,1
RNA38_FPKM,2.595669909,1.093989325,164.5815576,0
RNA383_FPKM,2.824288596,1.19026205,300.0639545,0
RNA385_FPKM,3.08337865,1.559675201,345.0520172,1
RNA386_FPKM,1.025616906,0.0,448.1094879,0
RNA39_FPKM,3.837322714,2.426542304,265.9698037,1
RNA392_FPKM,4.259993089,0.0,276.9530063,0
RNA409_FPKM,4.135353577,0.0,257.3064927,0
RNA41_FPKM,0.0,0.0,475.936228,0
RNA418_FPKM,3.663730849,1.158667815,375.3442276,0
RNA431_FPKM,1.281924501,1.621257457,403.4558123,1
RNA44_FPKM,1.869881424,1.182425018,399.2583336,1
RNA442_FPKM,1.848356223,1.168813494,715.3955873,0
RNA454_FPKM,1.14552439,0.0,286.1972477,0
RNA457_FPKM,4.015882833,0.846844244,237.6950292,0
RNA466_FPKM,2.832924164,0.0,300.037954,0
RNA471_FPKM,3.785974825,0.797757653,258.5457414,0
RNA476_FPKM,1.046041284,1.322934565,307.8815885,0
RNA483_FPKM,0.773621577,0.0,353.8354068,0
RNA488_FPKM,0.840340003,1.062782945,525.3349523,0
RNA499_FPKM,2.666682505,0.0,462.1948734,0
RNA50_FPKM,2.591090023,0.0,429.1207841,1
RNA504_FPKM,3.684976399,1.164959293,356.5057922,0
RNA519_FPKM,3.909448281,0.0,410.3730275,0
RNA52_FPKM,0.0,4.607892188,0.737625666,0
RNA521_FPKM,2.629831194,0.831490745,352.5321864,0
RNA528_FPKM,3.035314256,0.0,199.6230361,0
RNA53_FPKM,2.935320332,0.928079223,291.7866687,0
RNA535_FPKM,0.926365103,1.171579395,449.079086,1
RNA58_FPKM,1.985546945,2.5111329,265.2233318,0
RNA6_FPKM,2.849108407,1.201531959,373.7708829,0
RNA60_FPKM,2.910838518,0.0,356.3530611,0
RNA62_FPKM,1.975544447,0.0,268.8752226,0
RNA63_FPKM,0.861870012,0.0,294.8160971,0
