,AC093525.8,Diagnosis
RNA1_FPKM,29.36119271,0
RNA102_FPKM,41.05022154,1
RNA104_FPKM,31.386946,0
RNA108_FPKM,43.56102197,0
RNA110_FPKM,18.02329871,0
RNA114_FPKM,14.33860195,0
RNA115_FPKM,5.113508311,0
RNA116_FPKM,8.941569814,0
RNA126_FPKM,15.06169837,0
RNA132_FPKM,19.96760252,0
RNA140_FPKM,17.00228345,1
RNA145_FPKM,31.51508053,0
RNA150_FPKM,35.38335149,1
RNA151_FPKM,19.24010786,0
RNA152_FPKM,23.49546172,0
RNA155_FPKM,29.47270997,0
RNA165_FPKM,39.33765024,0
RNA174_FPKM,34.97966261,1
RNA179_FPKM,47.43057583,0
RNA18_FPKM,12.93162796,1
RNA185_FPKM,33.72542678,1
RNA2_FPKM,31.69301751,0
RNA201_FPKM,12.94328001,1
RNA205_FPKM,18.38516465,0
RNA209_FPKM,38.99738645,0
RNA213_FPKM,25.07994093,0
RNA219_FPKM,28.504612,0
RNA23_FPKM,22.80339728,1
RNA246_FPKM,49.04388535,1
RNA253_FPKM,33.84815671,1
RNA26_FPKM,14.36456272,0
RNA277_FPKM,24.25243845,0
RNA288_FPKM,20.75991357,0
RNA29_FPKM,12.33882877,0
RNA295_FPKM,36.52076073,0
RNA3_FPKM,28.57450758,0
RNA302_FPKM,33.31663487,0
RNA303_FPKM,18.33531219,1
RNA31_FPKM,16.85544826,1
RNA314_FPKM,17.26606256,1
RNA319_FPKM,21.22907824,0
RNA32_FPKM,24.30470424,1
RNA328_FPKM,34.86286625,0
RNA331_FPKM,15.28817129,0
RNA334_FPKM,10.85111486,0
RNA335_FPKM,13.09578026,1
RNA336_FPKM,24.04136052,0
RNA35_FPKM,17.32295701,0
RNA358_FPKM,17.58303048,0
RNA365_FPKM,17.44083238,0
RNA368_FPKM,13.813464,0
RNA37_FPKM,19.67370017,0
RNA379_FPKM,23.13287112,1
RNA38_FPKM,24.39731542,0
RNA383_FPKM,27.09046163,0
RNA385_FPKM,25.64901245,1
RNA386_FPKM,22.00954061,0
RNA39_FPKM,19.79717029,1
RNA392_FPKM,22.93394177,0
RNA409_FPKM,18.61602691,0
RNA41_FPKM,16.49865106,0
RNA418_FPKM,17.37531488,0
RNA431_FPKM,33.85307789,1
RNA44_FPKM,21.39318346,1
RNA442_FPKM,13.09012373,0
RNA454_FPKM,26.49369049,0
RNA457_FPKM,27.40818804,0
RNA466_FPKM,33.52915899,0
RNA471_FPKM,32.63038683,0
RNA476_FPKM,23.85654464,0
RNA483_FPKM,35.749048,0
RNA488_FPKM,44.14976002,0
RNA499_FPKM,41.46290684,0
RNA50_FPKM,8.690883482,1
RNA504_FPKM,27.59836337,0
RNA519_FPKM,43.90517996,0
RNA52_FPKM,2.428001083,0
RNA521_FPKM,10.78522869,0
RNA528_FPKM,38.83906165,0
RNA53_FPKM,28.49784288,0
RNA535_FPKM,18.82402704,1
RNA58_FPKM,35.88827872,0
RNA6_FPKM,26.10831149,0
RNA60_FPKM,29.9078818,0
RNA62_FPKM,39.63137354,0
RNA63_FPKM,28.39641821,0
RNA64_FPKM,16.41696421,0
RNA66_FPKM,19.88403128,0
RNA67_FPKM,23.33251858,0
RNA69_FPKM,20.13770742,0
RNA7_FPKM,34.55417857,0
RNA72_FPKM,19.52204177,0
RNA74_FPKM,6.43428605,0
RNA75_FPKM,8.680073352,0
RNA78_FPKM,28.33425187,1
RNA86_FPKM,26.6191239,1
RNA87_FPKM,23.93027454,0
RNA89_FPKM,10.03626766,0
RNA94_FPKM,9.772133744,1
RNA95_FPKM,21.04247996,0
RNA97_FPKM,13.75453308,0
RNA98_FPKM,23.31359937,1
R_JS001_FPKM,43.47692901,1
R_JS002_FPKM,41.36427449,1
R_JS003_FPKM,51.51257736,1
R_JS004_FPKM,39.59726335,1
R_JS005_FPKM,59.69100052,1
R_JS006_FPKM,40.15778951,1
R_JS007_FPKM,33.71904285,1
R_JS008_FPKM,49.60567179,1
R_JS009_FPKM,44.6885785,1
R_JS010_FPKM,52.57895435,1
R_JS011_FPKM,41.74035197,1
R_JS012_FPKM,46.75315155,1
R_JS013_FPKM,72.92460442,1
R_JS014_FPKM,55.70030252,1
R_JS015_FPKM,80.96579174,1
R_JS016_FPKM,58.36558078,1
R_JS017_FPKM,53.50829801,1
R_JS018_FPKM,42.92082182,1
R_JS019_FPKM,35.7553997,1
R_JS020_FPKM,46.08976378,1
R_JS021_FPKM,68.82735645,1
R_JS022_FPKM,54.92078126,1
R_JS023_FPKM,47.45212463,1
R_JS024_FPKM,55.11421712,1
R_JS025_FPKM,66.04402155,1
R_JS026_FPKM,43.94692966,1
R_JS027_FPKM,54.45048635,1
R_JS028_FPKM,52.96572308,1
R_JS029_FPKM,51.06089572,1
R_JS030_FPKM,55.47627616,1
R_JS031_FPKM,40.70711153,1
R_JS032_FPKM,54.34600995,1
R_JS033_FPKM,51.10696356,1
R_JS034_FPKM,52.54307474,1
R_JS035_FPKM,37.92608056,1
R_JS036_FPKM,47.78140675,1
R_JS037_FPKM,35.77057541,1
R_JS038_FPKM,55.34549434,1
R_JS039_FPKM,38.01664962,1
R_JS040_FPKM,34.31213188,1
R_JS041_FPKM,45.2041277,1
