,AC093525.8,AC131649.2,AC005921.3,AC099811.6,AC092117.2,AC092653.2,AL133243.4,AC233300.1,AC134407.3,AL356750.1,Diagnosis
RNA1_FPKM,29.36119271,0.107378614,0.738654373,0.096999118,0.335199484,0.154858241,0.204418856,3.208707492,0.668518467,0.159139178,0
RNA102_FPKM,41.05022154,0.101867437,0.56057221,0.368068017,0.953964704,0.587547214,0.072711094,7.194918305,0.563717075,0.634065482,1
RNA104_FPKM,31.386946,0.166766036,0.516230427,0.451937993,0.446217259,0.288667962,0.047631607,3.624354626,0.62293698,1.038045077,0
RNA108_FPKM,43.56102197,0.072453934,0.149522554,0.5890997,0.533187838,0.0,0.025856123,3.54325083,0.33833987,0.708750392,0
RNA110_FPKM,18.02329871,0.033836292,0.244460183,0.045848383,0.135845148,0.0,0.04831113,2.022684286,0.035109701,0.210670614,0
RNA114_FPKM,14.33860195,0.06304518,0.130105789,0.341746156,0.126547311,0.272829095,0.112524354,2.483695015,0.294418357,0.420504705,0
RNA115_FPKM,5.113508311,0.0,0.362529661,0.238058002,0.0,0.0,0.025094399,0.477281526,0.072912698,0.374904471,0
RNA116_FPKM,8.941569814,0.107420447,0.110822047,0.097036907,0.622730859,0.929511428,0.0,1.167191935,0.334370073,0.254688663,0
RNA126_FPKM,15.06169837,0.271044348,0.596644847,0.734533493,1.643826604,0.469106458,0.051603219,2.454401103,0.150008797,0.482037605,0
RNA132_FPKM,19.96760252,0.177025429,0.584513212,0.143916984,0.568381,0.306292788,0.252755188,2.116092285,0.220417036,0.535214639,0
RNA140_FPKM,17.00228345,0.051575246,0.674078097,0.139769546,0.414000934,0.594989093,0.0,1.5878658,0.178361988,0.550309794,1
RNA145_FPKM,31.51508053,0.0,0.407491121,0.044611712,0.484329005,0.142444415,0.023504016,2.414013167,0.136592395,0.029276436,0
RNA150_FPKM,35.38335149,0.1457818,0.75215949,0.740806889,0.780188282,0.630726519,0.078054689,5.643735154,0.52943874,0.550970768,1
RNA151_FPKM,19.24010786,0.08169964,0.269753713,0.088541482,0.306025106,0.424123846,0.046648745,1.420416736,0.067803155,0.145298359,0
RNA152_FPKM,23.49546172,0.0,0.39088267,0.307992058,0.405475798,0.327862298,0.189317359,2.367034619,0.275169551,0.505317316,0
RNA155_FPKM,29.47270997,0.017610065,0.145366951,0.238617453,0.424033338,0.152380268,0.025143479,2.487529054,0.146182473,0.219229785,0
RNA165_FPKM,39.33765024,0.316613743,0.530862251,0.589889964,1.588399987,0.684963306,0.11302225,5.483246794,0.739174075,0.739045294,0
RNA174_FPKM,34.97966261,0.27116065,0.67147694,0.489880888,0.967359728,1.564181081,0.103250494,4.223321808,0.937871445,0.707272709,1
RNA179_FPKM,47.43057583,0.12951414,0.152715048,0.050147172,0.148537192,0.480357118,0.105657789,5.428516794,0.422383141,0.329061086,0
RNA18_FPKM,12.93162796,0.29644641,0.917685054,0.602545956,0.892378188,2.084279096,0.238108665,1.510116251,1.268920239,0.790841567,1
RNA185_FPKM,33.72542678,0.052924176,0.436836238,0.33460565,1.227178886,0.305302684,0.12594104,6.133922023,0.549118823,0.345081975,1
RNA2_FPKM,31.69301751,0.162084576,0.22299502,0.829714389,0.481913914,0.155779137,0.180014165,2.935616277,0.897024876,0.256241481,0
RNA201_FPKM,12.94328001,0.073282276,0.211705647,0.119140755,0.588204597,0.253564958,0.146471163,1.114758499,0.273738342,0.338843191,1
RNA205_FPKM,18.38516465,0.037306835,0.230934348,0.303259941,0.199644415,0.0,0.0,1.114752004,0.309651624,0.232188423,0
RNA209_FPKM,38.99738645,0.156150601,0.604234461,0.37030269,0.208929561,0.506708899,0.167218826,2.757408214,0.526619512,0.24301114,0
RNA213_FPKM,25.07994093,0.14138576,0.072944141,0.23947321,0.567507067,0.152926752,0.151401911,1.920569908,0.293413459,0.345770353,0
RNA219_FPKM,28.504612,0.128621609,0.796305888,0.099590323,0.294989058,0.317990154,0.05246991,3.494110101,0.381320592,0.196068448,0
RNA23_FPKM,22.80339728,0.251987349,1.857285776,0.536592801,1.059543655,0.0,0.514000547,4.792098033,1.120614308,0.416143523,1
RNA246_FPKM,49.04388535,0.206590201,0.393540793,0.258416322,0.255145229,0.962638579,0.04538286,5.094307459,0.857460403,0.706554545,1
RNA253_FPKM,33.84815671,0.091370716,0.188560953,0.198061602,0.391160004,0.632407219,0.026080755,3.27640496,0.151671297,0.552465528,1
RNA26_FPKM,14.36456272,0.250910104,2.987313458,1.778381623,0.826291983,0.501030117,0.082672387,4.299537514,3.644992552,0.480555328,0
RNA277_FPKM,24.25243845,0.065662801,0.632337556,0.41518867,0.1756945,0.0,0.0,1.070295626,0.136267964,0.3113797,0
RNA288_FPKM,20.75991357,0.136431108,0.281551691,0.323520353,0.182551112,0.147546488,0.024345882,1.20460383,0.743275324,0.636965512,0
RNA29_FPKM,12.33882877,0.165786222,1.334349892,0.494210955,0.177438225,1.291096561,0.047341591,1.621377077,0.068810195,1.061461981,0
RNA295_FPKM,36.52076073,0.045254838,0.186755619,0.081748339,0.121088744,0.130570072,0.021544692,1.966837771,0.187803336,0.241425305,0
RNA3_FPKM,28.57450758,0.063821507,0.702560008,0.230631542,0.512368732,1.104709659,0.182282424,3.121380529,0.574054654,0.605451353,0
RNA302_FPKM,33.31663487,0.152092981,0.104633232,0.274805961,0.045232788,0.0,0.024136763,2.846495726,0.035082373,0.15027683,0
RNA303_FPKM,18.33531219,0.050848618,0.13994584,0.505309244,0.408208879,0.0,0.048400776,0.921000655,0.070349701,0.090431497,1
RNA31_FPKM,16.85544826,0.018741489,0.309296568,0.101528282,0.200486228,0.648356048,0.026758916,1.628633824,0.194389959,0.299875956,1
RNA314_FPKM,17.26606256,0.042603777,0.219826031,0.288672645,0.399074572,0.368651396,0.060829259,1.736399186,0.309520671,0.113672927,1
RNA319_FPKM,21.22907824,0.086499947,0.535491977,0.234415912,0.37029011,0.0,0.074087497,0.939959031,0.179510642,0.307670885,0
RNA32_FPKM,24.30470424,0.112014441,0.138672515,0.789223923,0.839166353,0.581451424,0.063961527,4.260027476,0.697337622,0.557763213,1
RNA328_FPKM,34.86286625,0.053781902,0.51789121,0.631473926,0.095906065,0.15507618,0.0,3.993050522,0.409184726,0.478180318,0
RNA331_FPKM,15.28817129,0.125763367,0.486653042,0.085193718,0.63097691,0.408105534,0.0,3.245832284,0.326232304,0.195724001,0
RNA334_FPKM,10.85111486,0.015541576,0.57754106,0.379188381,0.166422904,0.538198048,0.133185497,1.942932039,0.161329899,0.13825507,0
RNA335_FPKM,13.09578026,0.142124129,0.419012946,0.220073974,0.217288227,0.702692337,0.173921439,1.544403935,0.421363649,0.361096493,1
RNA336_FPKM,24.04136052,0.035361143,0.182469714,0.287531387,0.094616103,0.459111581,0.050488297,2.402122211,0.183493387,0.031443933,0
RNA35_FPKM,17.32295701,0.050038539,0.103264099,0.361613473,0.223147555,0.0,0.023814847,2.809171457,0.449951213,0.148318026,0
RNA358_FPKM,17.58303048,0.134011429,0.460914089,0.242093695,0.478121755,0.386602845,0.095653214,4.975487757,0.324469548,0.953328097,0
RNA365_FPKM,17.44083238,0.201072277,0.599410286,0.121083899,0.478265546,0.19340766,0.127587924,2.549171645,0.231832157,0.55626956,0
RNA368_FPKM,13.813464,0.085932886,0.248255874,0.419174339,0.321879678,0.594837209,0.073607879,1.960826384,0.320994655,0.336197866,0
RNA37_FPKM,19.67370017,0.054062295,0.557917459,0.781520494,0.578720872,0.467802196,0.0,5.679791192,0.598471514,0.320545515,0
RNA379_FPKM,23.13287112,0.225605025,0.620753404,0.339670645,0.603653229,1.301286026,0.143158633,4.085729347,0.312089636,0.356634768,1
RNA38_FPKM,24.39731542,0.050287815,0.276751075,0.18172935,0.403666568,0.14501223,0.023927718,6.011222566,0.173942941,0.178868279,0
RNA383_FPKM,27.09046163,0.127684348,0.903422258,0.346026141,0.439265714,0.157773527,0.052091026,4.459772011,0.567797783,0.356848084,0
RNA385_FPKM,25.64901245,0.155328979,0.320551063,0.259025161,0.831198985,0.413581651,0.10235616,4.349426539,0.396711748,0.254988222,1
RNA386_FPKM,22.00954061,0.099311255,0.57387784,0.376778061,0.637736664,0.859342419,0.028370233,2.697935501,0.329764151,0.141281894,0
RNA39_FPKM,19.79717029,0.074343265,0.690436052,0.352600181,1.044410664,0.160905394,0.106146592,2.221813658,0.308603817,0.859467753,1
RNA392_FPKM,22.93394177,0.123817725,0.596203377,0.391436414,0.607365897,0.714150888,0.029473701,4.148371451,0.428231083,0.40369392,0
RNA409_FPKM,18.61602691,0.20028321,0.661308194,0.325651257,0.482293634,0.0,0.0,2.61169491,0.207841251,0.569901413,0
RNA41_FPKM,16.49865106,0.0,0.209355026,0.045808685,0.045228828,0.0,0.0,0.734944144,0.035079301,0.180417733,0
RNA418_FPKM,17.37531488,0.053230782,0.073258402,0.240458037,0.56981275,0.460607099,0.101344758,1.542717509,0.331440448,0.410299985,0
RNA431_FPKM,33.85307789,0.07453044,0.56388135,0.201978403,0.332327691,0.214903523,0.106413839,4.184014006,0.154670699,0.309265527,1
RNA44_FPKM,21.39318346,0.199283287,0.897278857,0.343660932,0.630155703,0.1567347,0.025861982,3.641952427,0.488746289,0.322200965,1
RNA442_FPKM,13.09012373,0.071619119,0.332584173,0.291178635,0.431216731,0.154930444,0.051128541,0.778346682,0.22297831,0.286614005,0
RNA454_FPKM,26.49369049,0.044365367,0.045799673,0.240517742,0.71241964,0.0,0.09503151,2.049320701,0.230239906,0.03946919,0
RNA457_FPKM,27.40818804,0.181539496,0.481681902,0.070282036,0.832708677,0.112252258,0.092579401,6.55231956,0.242203509,0.161438835,0
RNA466_FPKM,33.52915899,0.091485424,0.792957392,0.694185124,0.636431027,0.316710174,0.026129353,4.771806189,0.531591974,0.423012449,0
RNA471_FPKM,32.63038683,0.09778979,0.554984466,0.165623906,0.523313895,0.317342919,0.03491457,4.848416297,0.228326672,0.326093843,0
RNA476_FPKM,23.85654464,0.081042365,0.250848449,0.494116313,0.216845725,0.525901573,0.086776297,4.072716808,0.294312559,0.28825886,0
RNA483_FPKM,35.749048,0.029975875,0.061860954,0.365593617,0.120310046,0.648570219,0.021399632,4.560875727,0.404407392,0.159955119,0
RNA488_FPKM,44.14976002,0.016280523,0.335914429,0.220559199,0.217767311,0.140875712,0.0,2.476275804,0.236472393,0.20265002,0
RNA499_FPKM,41.46290684,0.103310116,0.319817898,0.326656754,0.322521859,0.149064642,0.098336786,2.338855045,0.250146687,0.734925645,0
RNA50_FPKM,8.690883482,0.167354105,0.241771795,0.136040135,0.223895381,0.434373766,0.047799516,1.272977923,0.382042647,0.416675867,1
RNA504_FPKM,27.59836337,0.062464481,0.276237937,0.217641676,0.453660197,0.463258666,0.050959943,2.860567973,0.203699999,0.206318338,0
RNA519_FPKM,43.90517996,0.0,0.273516336,0.102628984,0.405319532,0.491464106,0.054070851,4.320969153,0.19645973,0.505111676,0
RNA52_FPKM,2.428001083,0.0,0.815688763,0.229522424,0.0,0.0,0.040308538,0.0,0.029311913,0.577407797,0
RNA521_FPKM,10.78522869,0.07642447,0.184002601,0.034518541,0.579349419,0.110217097,0.054559058,2.837296166,0.396474028,0.362419598,0
RNA528_FPKM,38.83906165,0.058805367,0.404532625,0.053137117,0.576967013,0.0,0.055966043,4.89923226,0.122036945,0.209164284,0
RNA53_FPKM,28.49784288,0.085302168,0.234716456,0.269698236,0.342365572,0.492080991,0.121793607,4.48022577,0.590083096,0.379263144,0
RNA535_FPKM,18.82402704,0.053859469,0.296373392,0.535153449,0.288224453,0.0,0.076900027,1.268049124,0.372563792,0.223490291,1
RNA58_FPKM,35.88827872,0.153905641,0.436691165,0.469209804,0.669125819,0.166429861,0.02746173,2.403946036,0.199612945,0.068412275,0
RNA6_FPKM,26.10831149,0.055197865,0.531572497,0.548467105,0.196942433,0.318360916,0.026279888,2.499145117,0.496357302,0.229031099,0
RNA60_FPKM,29.9078818,0.150390074,0.155158955,0.560386844,0.452680131,0.162601949,0.107348637,3.268345701,0.429132141,0.367753866,0
RNA62_FPKM,39.63137354,0.03827367,0.158002787,0.103722114,0.358495723,0.496842903,0.163962952,1.455836546,0.238317353,0.068067637,0
RNA63_FPKM,28.39641821,0.033409562,0.241270366,0.407373385,0.268144507,0.144485031,0.023840727,1.996452754,0.103985913,0.11880877,0
RNA64_FPKM,16.41696421,0.118579551,0.314623991,0.0,0.362583673,1.172565915,0.024197456,2.024817094,0.281218473,0.24099612,0
RNA66_FPKM,19.88403128,0.114346823,0.101128248,0.619762575,0.131119265,0.282641391,0.023329632,0.887530489,0.13560481,0.087150185,0
RNA67_FPKM,23.33251858,0.187109241,0.617808511,0.659183159,0.901135961,0.323739671,0.267152757,3.253136127,0.310615539,0.698777505,0
RNA69_FPKM,20.13770742,0.105269406,0.181023903,0.475485237,0.281670219,0.455449214,0.025059015,2.097119482,0.109231158,0.15600257,0
RNA7_FPKM,34.55417857,0.055762077,0.07672887,0.302231821,0.0,0.160787647,0.026530737,3.635752768,0.347163901,0.23141645,0
RNA72_FPKM,19.52204177,0.13765948,0.745709182,0.93259903,0.506439066,0.744404651,0.147411651,3.085125128,0.42852064,0.336611542,0
RNA74_FPKM,6.43428605,0.096461687,0.232232733,0.26141235,0.387154999,0.0,0.022946021,0.524104565,0.266887231,0.514623842,0
RNA75_FPKM,8.680073352,0.058646746,0.272274187,0.158933399,0.078439751,0.0,0.104663455,0.955849339,0.486765781,0.208572116,0
RNA78_FPKM,28.33425187,0.0,0.111894091,0.146937845,0.435197491,0.156428928,0.103207558,1.669201021,0.525064505,0.224982567,1
RNA86_FPKM,26.6191239,0.1219385,0.251643423,0.755273662,0.279661587,0.301467559,0.024871801,4.732132481,0.506070781,1.022276822,1
RNA87_FPKM,23.93027454,0.058973895,0.243407829,0.213113216,0.631246741,0.850631142,0.05612441,2.456771554,0.244773371,0.349619266,0
RNA89_FPKM,10.03626766,0.050858769,0.314840524,0.275616538,0.136083229,0.0,0.024205219,1.10516497,0.035181873,0.0602997,0
RNA94_FPKM,9.772133744,0.0,1.046216606,2.88984701,0.841918294,4.840462929,0.0,0.28498807,0.036270152,1.430117194,1
RNA95_FPKM,21.04247996,0.255920263,0.603617946,0.842168055,0.586958952,1.107326564,0.156604198,4.072216739,0.607004302,0.227587551,0
RNA97_FPKM,13.75453308,0.021543333,0.222293941,0.175148083,0.172931019,0.372829837,0.030759361,3.628983065,0.268299528,0.268238599,0
RNA98_FPKM,23.31359937,0.089784239,0.324252169,0.425803673,0.720709291,0.58267871,0.096144798,3.170856237,0.23290804,0.598786415,1
R_JS001_FPKM,43.47692901,0.524079722,1.557420124,0.284080728,0.78527371,1.813904146,0.179574323,7.289533484,1.392133908,1.043885485,1
R_JS002_FPKM,41.36427449,0.87043072,1.646633938,1.022202582,0.349363743,0.627690031,0.16570567,5.359878695,0.933286673,0.72240635,1
R_JS003_FPKM,51.51257736,0.216292556,0.520773312,0.683872646,0.482304104,0.623861374,0.102940137,5.680089505,0.448865196,0.352601075,1
R_JS004_FPKM,39.59726335,0.408498855,0.989642058,0.673860952,0.99802479,1.383123154,0.228221994,4.728631098,1.032056325,0.8844425,1
R_JS005_FPKM,59.69100052,0.538951516,0.843769878,1.611652779,1.541527081,1.447260078,0.318433826,9.592720689,1.041336199,0.627991801,1
R_JS006_FPKM,40.15778951,0.187647429,0.890645858,0.813642916,0.401671819,1.461258345,0.053584235,5.403415697,0.389418857,0.667441455,1
R_JS007_FPKM,33.71904285,0.102455687,0.528552214,0.786674923,0.456867918,0.295461094,0.097532728,2.597731033,0.602418665,0.485875268,1
R_JS008_FPKM,49.60567179,0.386522266,1.0768089,1.309308752,0.879068656,0.668881906,0.082791071,7.665196144,1.082849904,0.962357842,1
R_JS009_FPKM,44.6885785,0.268152669,1.106724731,0.726697007,0.607105192,0.714004618,0.294505121,3.698247295,0.727685632,0.403520638,1
R_JS010_FPKM,52.57895435,0.152118354,0.47085607,0.783244168,0.284908758,0.131681867,0.130302616,4.710885176,0.726053219,1.000943548,1
R_JS011_FPKM,41.74035197,0.185209762,1.24856767,1.238081244,0.693786692,1.068375535,0.317336856,7.849100253,1.358064384,0.900323613,1
