,AC093525.8,AC131649.2,AC005921.3,AC099811.6,AC092117.2,AC092653.2,AL133243.4,AC233300.1,AC134407.3,AL356750.1,AC020951.1,AC090181.3,AC018529.3,AC005785.2,AP000560.1,AC022413.1,AC005261.5,AC009951.4,AC009948.3,AC141586.5,AC141586.4,AC020978.8,AC064801.2,AC118344.2,AC131212.2,AC012676.5,AC005839.1,AC020763.3,AP003108.3,AC092139.1,AC000123.3,AL356274.2,AC027290.2,AC012513.3,AC055811.4,AC120114.3,AC093525.10,AC127070.4,AC087741.3,AC093330.2,AC010435.1,AC127024.8,AC130448.2,AC022532.1,AP000648.4,AC092881.1,AC126474.1,AL845472.1,AC025809.2,AC109326.1,AL353795.3,AC007998.5,AC084876.2,AL353763.2,AC011466.4,AC009093.7,AC111170.3,AC008985.1,AL445363.3,AD001527.2,AL662907.2,AP000974.1,AC020978.9,AC099521.2,PRO1804,AC124319.3,AL118508.3,AL031602.1,AC006330.1,FP671120.9,AP001148.1,AC091925.2,AC002350.2,AL023806.3,AC005538.2,AC007224.2,PWAR1,AC008537.3,AC091132.3,AL158212.4,AC073592.9,AC026362.2,AL139288.2,AC008993.2,AC006128.1,AC120057.4,AL031587.5,AL359922.3,AC090617.9,AC093909.6,AC099494.2,AC090373.1,AC009716.2,AC079777.1,AC004678.2,AC007610.4,AC004836.1,AL109806.1,AC020604.1,AC011815.3,AC021106.2,AL359258.3,AL049833.3,AC099804.1,AP001767.3,AC093642.3,AC012313.10,AC100788.2,Diagnosis
RNA1_FPKM,29.36119271,0.107378614,0.738654373,0.096999118,0.335199484,0.154858241,0.204418856,3.208707492,0.668518467,0.159139178,0.314830691,0.104943564,0.458185276,1.007192112,0.0820261,2.664140265,0.458210687,0.759776949,0.036060952,0.465027968,0.202014692,0.0,0.182906242,0.716880755,1.348466708,1.381563324,0.59340637,0.21884925,0.497847757,0.246205406,1.053891294,0.232906465,2.915929037,0.412979705,1.177593628,1.412109247,0.101264854,0.868427942,0.235908769,0.894152415,0.134991126,0.075876101,0.637237522,2.390577141,1.357216384,0.0,0.798723597,0.223863317,0.0,1.443311633,0.292579417,0.0,0.139453969,5.593853354,0.344545195,0.779482693,0.354653026,0.212886854,28.05886029,0.910803185,0.668163009,0.033281222,1.263290236,0.48671239,0.038752331,0.698474446,1.959035762,0.617747106,0.279867109,0.0,0.370438769,0.0,0.912630106,0.182931768,0.127857743,1.401922549,0.03290898,1.435915098,0.140481482,0.061774711,0.0,0.114182217,0.42573568,0.09856362,8.082782366,1.031717894,2.57785588,0.285421357,0.0,2.767666453,0.812293229,0.0,0.232102272,0.0,0.396418552,0.336461412,0.125303277,1.782358797,0.416146034,0.0,0.748044047,1.022423138,0.0,1.78021911,0.703029007,0.016533252,0.428953984,0.274981924,0
RNA102_FPKM,41.05022154,0.101867437,0.56057221,0.368068017,0.953964704,0.587547214,0.072711094,7.194918305,0.563717075,0.634065482,1.16144449,0.298672095,0.969619723,1.194296786,0.544700549,0.536120408,1.467011554,0.951390427,0.034204689,0.955801022,1.628917677,0.0,0.694019288,0.727527095,0.500552282,2.544178595,1.829520154,0.337373289,0.539745221,0.622825838,1.151250337,0.321372821,3.517309561,0.641066486,2.706847413,2.095274627,0.960613476,0.967084137,0.503525124,2.035780908,0.064021181,0.251930507,1.81349824,1.43919825,1.521612673,0.212049877,1.107385625,0.12003578,0.083632553,0.798701713,0.317202076,1.271779412,0.132275477,3.564138407,0.513602356,1.109155097,0.581107798,0.168305771,15.16214172,0.095990994,1.11468424,0.063136096,2.257510002,1.154268791,0.0,0.802097781,1.153483574,0.117189627,0.265496971,0.322021069,0.127770971,0.294347383,1.071877514,0.20509358,0.323441744,1.329898709,0.031214967,1.242014203,0.099937573,0.351624845,0.203107628,0.0,0.0,0.186979976,5.898273598,0.978609483,1.95639398,0.0,0.5623353,3.695188642,0.770553448,0.2499268,0.460380692,0.0,0.0,0.354635893,0.118853202,2.656962162,0.157889848,1.1153118,2.270792511,0.129305757,0.080634489,0.844391333,0.333420045,0.0,0.976573577,0.521703892,1
RNA104_FPKM,31.386946,0.166766036,0.516230427,0.451937993,0.446217259,0.288667962,0.047631607,3.624354626,0.62293698,1.038045077,0.521556575,1.173476056,0.821067471,1.173176596,0.382175752,0.526650285,0.587107256,1.189405106,0.117617767,0.902773698,0.423541704,0.0,0.795370926,0.636948923,0.928722411,2.234068164,0.990709082,0.152954734,0.728986609,0.305882111,1.681420966,0.197301288,3.224938532,0.664700157,2.532295663,1.147181942,0.471812895,0.387033158,0.384724485,1.629410512,0.062908524,0.777724968,2.573061454,2.741747962,1.511088775,0.263835215,0.858787044,0.45348838,0.0,0.784533169,0.662107339,0.624838248,0.043325531,6.418522694,0.091751341,0.363189328,0.390553971,0.0,22.50596585,1.320214415,0.72996438,0.062038821,1.39620416,1.007861719,0.32499078,0.342561051,1.951417202,0.402973469,0.149015543,0.0,0.34519617,0.0,0.971905223,0.046483264,0.198571468,1.016125257,0.030672466,0.826471131,0.098165584,0.287820541,0.0,0.026605581,0.0,0.183730353,4.456751883,2.403488417,1.8416435,0.08867465,0.0,4.393804945,0.605508965,0.0,0.196620035,0.0,0.147791083,0.313520518,0.11678759,2.66925877,0.03878645,0.313079629,2.509345009,0.063529243,0.019808275,0.933096779,0.327625364,0.0,0.239795412,0.153748892,0
RNA108_FPKM,43.56102197,0.072453934,0.149522554,0.5890997,0.533187838,0.0,0.025856123,3.54325083,0.33833987,0.708750392,0.389501816,0.478011217,0.499431536,1.529231869,0.332123023,1.961270954,0.695706784,1.138187687,0.018244822,0.980623076,0.408977937,0.0,0.246832704,0.793141298,1.186857075,2.056549673,0.800851742,0.083070361,0.503902723,0.249211082,1.293048821,0.257181586,3.123890357,0.570029129,2.292220416,1.942475359,0.256268941,0.802592344,0.238769869,1.669373239,0.273256596,0.345610784,2.365130008,1.442563634,1.498677812,0.105582319,0.31097136,0.275853177,0.0,0.730465791,0.155131291,0.0,0.141156423,7.310084863,0.099659009,0.262978752,0.424241881,0.071839947,23.48821971,0.717018269,0.792919457,0.0,2.260066051,1.258996459,0.117676257,0.223263607,3.829104817,0.125077481,0.040456309,0.343532848,0.102262114,0.62831891,0.923771494,0.10099909,0.301963166,0.946024813,0.033300201,2.009206955,0.10664736,0.062509087,0.216675705,0.0,0.086159364,0.399035997,5.664142383,1.566469658,2.261440915,0.09631715,0.0,4.046544846,0.739988734,0.0,0.170869136,0.0,0.0,0.227045955,0.0,2.51287841,0.37910371,0.340062666,1.211529747,0.379476029,0.0,1.238877623,0.355862038,0.016729799,0.868353854,0.139178251,0
RNA110_FPKM,18.02329871,0.033836292,0.244460183,0.045848383,0.135845148,0.0,0.04831113,2.022684286,0.035109701,0.210670614,0.0,0.148855417,0.06663678,0.357158639,0.0,1.832114342,0.0,0.0,0.187539856,0.183203123,0.429773144,0.131638301,0.0,0.267988806,0.776088235,0.9221486,0.65461166,0.258654547,1.344941527,0.0,0.28686753,0.020015898,1.650276887,0.496975216,0.085632441,0.445077442,0.430868805,0.428422175,0.50188059,0.563648466,0.319087853,0.143489375,0.200801206,1.564931,0.499992582,0.0,0.0,0.092028033,0.0,1.535275901,0.026341512,0.0,0.043943623,4.263023729,0.139632653,0.982720366,0.518249456,0.100655248,30.56130305,1.81804581,0.806061607,0.0,0.1388929,0.357930415,0.0,0.208545143,1.341354941,1.109771354,0.151216282,1.604984628,0.031835376,0.0,1.232749763,0.062898629,0.765646975,1.767451483,0.0,2.356104987,0.199233446,0.0,0.0,0.026985142,0.402536338,0.0,7.145253663,0.487660071,2.071876678,0.044969851,0.0,3.683096865,0.153578018,0.0,0.079805246,0.0,0.074949751,0.035341012,0.710829738,0.300934618,0.039339786,0.0,0.0,0.290018513,0.0,0.526003365,0.33229934,0.0,0.16220227,0.286016132,0
RNA114_FPKM,14.33860195,0.06304518,0.130105789,0.341746156,0.126547311,0.272829095,0.112524354,2.483695015,0.294418357,0.420504705,0.462166334,0.231068835,0.372510096,0.554418725,0.325121769,1.635528403,0.706271869,0.428293959,0.095283449,0.307200423,0.400356559,0.0,0.107414678,0.572701019,0.722951352,0.82320202,0.979999762,0.240957827,0.43849556,0.289109042,0.914215536,0.111892025,1.664760945,0.462948526,1.715417906,1.754093329,0.312173066,1.097481691,0.155858937,0.525052399,0.059456808,0.133647351,0.748282227,0.323946877,2.126967856,0.09187761,0.270563198,0.188603196,0.116504988,0.900485292,0.233164222,0.0,0.081896621,7.64807425,0.520221658,0.343269729,0.085203729,0.124992208,19.70906543,0.178294682,0.162349247,0.0,1.060976953,1.190824557,0.0,0.323804502,3.986550696,0.435287872,0.070438513,0.0,0.177964764,0.273361964,1.454562196,0.043948501,0.41294109,0.137216986,0.057979008,1.599597558,0.09281255,0.0,0.0,0.0,0.225018208,0.260473931,8.509612535,2.271676724,1.702941717,0.0,0.0,3.611485186,0.858525313,0.0,0.13009284,0.035832393,0.0,0.362222208,0.551795293,1.625944573,0.036658283,0.443851984,1.317780658,0.030021734,0.056164256,0.980030153,0.30964895,0.0,1.057882378,0.41174838,0
RNA115_FPKM,5.113508311,0.0,0.362529661,0.238058002,0.0,0.0,0.025094399,0.477281526,0.072912698,0.374904471,0.103028951,0.0,0.069192662,0.247163645,0.080516396,0.396279479,0.224888623,0.208836751,0.070794489,0.19021415,0.247895109,0.0,0.0,0.818259496,0.402877688,0.917432914,0.339782701,0.241687165,0.349060564,0.402829553,0.642658027,0.166268934,0.969432193,0.405396875,0.666898693,2.132546855,0.298203174,0.778337018,0.636837258,0.07801914,0.132506593,0.148959179,1.251018128,0.36101912,0.847806684,0.043890217,0.060339124,0.076432374,0.0,1.652871794,0.218814816,0.329191929,0.0,7.826757698,0.096629653,0.191315411,0.632955601,0.139312425,30.21607634,0.596026471,0.45232094,0.0,0.173032833,0.212335276,0.0,0.252614191,1.193573418,0.667044935,0.235470951,0.333412338,0.13222574,0.304759715,0.981171415,0.228537119,0.125525079,1.223217725,0.0,1.119352401,0.034490932,0.0,0.0,0.0,0.167159979,0.290296212,7.089172004,1.519342514,2.530453109,0.186778754,0.0,4.628498038,0.478405705,0.0,0.082847416,0.0,0.0,0.036714582,0.369051652,0.562387442,0.449355572,0.0,0.881131412,0.368005057,0.0,0.10926959,0.0,0.016236938,0.252676833,0.053984168,0
RNA116_FPKM,8.941569814,0.107420447,0.110822047,0.097036907,0.622730859,0.929511428,0.0,1.167191935,0.334370073,0.254688663,0.104966193,0.0,0.669861111,1.133466857,0.164116112,1.776671918,1.145913214,0.97282993,0.0,0.310098977,1.010414258,0.278609034,0.0,0.883901539,1.055671715,1.503990852,1.187197684,0.109467255,0.462448744,0.985119639,0.910489195,0.127089382,1.405222265,0.82620282,2.355915708,1.412601901,0.455842949,1.28418436,0.354001011,0.636062391,0.135043716,0.45539437,1.274971557,0.643832329,2.574276018,0.208692978,0.491649577,0.311563028,0.132285363,0.721874194,0.250865516,0.335155148,0.0,9.47931549,0.196959671,0.129964394,0.290266878,0.0,15.86984531,0.101186968,0.27656491,0.199765129,1.204953781,0.405709338,0.0,0.882550496,3.648998814,0.988715956,0.159986366,2.037775053,0.572666591,0.0,0.565158914,0.249523558,0.298428719,0.155748569,0.0,1.013924307,0.10538383,0.432559201,0.0,0.0,0.0,0.295754621,6.698026881,1.547910546,1.59021207,0.0,0.0,4.819292224,1.218787357,0.0,0.021097416,0.0,0.0,0.336572982,0.0,1.14618203,0.12487073,0.16793186,1.795848985,0.204564291,0.0,0.222614081,0.0,0.0,1.029801092,0.137530176,0
RNA126_FPKM,15.06169837,0.271044348,0.596644847,0.734533493,1.643826604,0.469106458,0.051603219,2.454401103,0.150008797,0.482037605,0.812334343,0.370824456,1.281074865,1.271124944,0.248431091,0.570557141,0.867459165,0.981895152,0.254868057,0.273867428,0.866878748,0.351521491,0.677127432,0.117823342,0.887945285,1.107764762,1.772445778,0.248575288,0.251310755,1.988665803,1.547761605,0.128254537,3.189119965,1.326713394,2.46936603,1.279546737,0.817962438,1.524910439,1.012323883,1.364236286,0.0,0.612885896,4.0747125,0.69627654,2.722882986,0.466414692,0.124079202,0.324294429,0.0,2.793052676,0.154734662,0.338469217,0.09387619,5.100031365,0.248504351,0.852601351,0.097667051,0.0,25.46140813,0.408750086,0.65136233,0.0,1.216208864,0.518700638,0.0,0.148481637,0.750252589,0.436569383,0.080742028,0.685617131,0.0,1.566742272,0.482657026,0.0,0.129104943,0.471865908,0.0,1.023406963,0.14185182,0.0,0.0,0.0,0.0,1.393236547,3.428578137,0.0,1.518293965,0.048034254,0.0,5.174827616,0.656079173,0.13303019,0.234341844,0.0,0.0,0.905895763,0.0,4.049056775,0.37813653,1.356544252,1.20837181,0.37850581,0.0,1.685106249,1.597041229,0.0,1.645726215,0.0,0
RNA132_FPKM,19.96760252,0.177025429,0.584513212,0.143916984,0.568381,0.306292788,0.252755188,2.116092285,0.220417036,0.535214639,0.830460413,0.467112325,0.278920887,0.747182313,0.283985472,2.71523524,1.133115903,1.022108445,0.053503409,0.459972722,0.249810336,0.275498545,0.301574566,0.445270014,0.869939142,1.246064172,1.149499961,0.189421439,1.160780509,0.405941797,1.484761156,0.06282943,2.968626106,0.928442069,2.374467169,1.790829259,0.200346615,0.746973269,0.291723578,0.432428063,0.066786593,0.112576896,1.470801763,0.545685231,2.179441359,0.280064517,0.486224036,0.240698777,0.043622541,1.18972881,0.137814079,1.326345314,0.091941603,8.754301911,0.0,0.128477678,0.446493392,0.03510845,21.19728924,0.700738674,0.387440759,0.0,1.714635685,2.086248751,0.0,0.436346173,0.801823197,0.549928506,0.39547855,0.335930853,0.133253005,1.227905623,0.515833741,0.0,0.505871287,0.30809451,0.0,1.086179584,0.069464279,0.061125832,0.0,0.04235286,0.421170053,1.169905805,5.819153526,3.06150675,3.059992857,0.094088743,0.58662552,3.650218937,0.160662781,0.0,0.062612489,0.0,0.548981895,0.480730305,0.0,2.581627673,0.288150791,0.0,1.479879245,0.033722788,0.0,0.990487478,0.0,0.016359588,0.84861326,0.244793375,0
RNA140_FPKM,17.00228345,0.051575246,0.674078097,0.139769546,0.414000934,0.594989093,0.0,1.5878658,0.178361988,0.550309794,0.53764838,0.403209253,0.47397686,0.604621699,0.236388763,3.334756369,0.550190654,0.700634384,0.034647215,0.707288774,0.291090294,0.200650759,0.23425127,0.432403105,0.563184087,0.468424586,0.380018509,0.183943499,0.853959341,0.157702096,1.058394809,0.081351121,1.852378749,0.360640093,1.957795919,1.460853865,0.826823683,0.435251933,0.396564158,0.744414923,0.12969892,0.21866525,1.224291532,0.794891925,1.202149534,0.057255563,0.531189134,0.31788443,0.084714555,0.577679362,0.080302531,0.0,0.044638319,5.012553622,0.236379363,0.311951179,0.309705535,0.0,20.81222413,1.749774836,0.420516818,0.127871556,1.467539873,0.467519825,0.07446616,0.176546179,0.908455648,0.415374744,0.345660569,0.978386823,0.258778639,0.596311049,2.25426783,0.143778009,0.655042635,0.598489028,0.031601859,1.298245051,0.0,0.059321064,0.0,0.054838197,0.081765153,0.757393063,5.605074581,0.495369402,2.641382385,0.0,0.569305134,4.627909253,0.0,0.0,0.060808105,0.0,0.0,0.287274734,0.120326322,1.528641961,0.439707347,0.645305295,0.574819971,0.098216438,0.0,0.854984326,1.013019985,0.015876564,0.988952555,0.316985139,1
RNA145_FPKM,31.51508053,0.0,0.407491121,0.044611712,0.484329005,0.142444415,0.023504016,2.414013167,0.136592395,0.029276436,0.0,0.289469419,0.064811698,0.926057476,0.113143806,1.781594721,1.053293491,0.195612351,0.016585108,0.249429603,0.510808531,0.064043808,0.056081339,0.689825574,0.700802499,1.457167344,0.50015675,0.17607806,0.817440998,0.603659367,0.499199405,0.077870771,2.700743106,0.31068821,0.499722578,0.832344207,0.465537179,0.3818925,0.32535761,1.041419375,0.0,0.174424603,0.39060312,1.183599733,0.875179745,0.054806065,0.677891262,0.071593025,0.0,2.156519423,0.550847649,0.0,0.299198763,3.876827084,0.362046015,0.59724271,0.385384491,0.065245899,28.08593466,1.116577581,0.487243393,0.030613316,0.324154364,0.44752638,0.0,0.101415804,2.670861643,0.795226572,0.25733804,0.312281987,0.185780712,0.285445254,1.078910699,0.137621154,0.15674417,1.43221144,0.0,1.436829661,0.0,0.056822694,0.0,0.0,0.234897698,0.453157715,8.48749261,0.948607577,1.935743641,0.0,0.0,3.581613647,0.896230472,0.0,0.232805684,0.0,0.072928129,0.171880056,0.46083775,1.931494758,0.229573966,0.154490454,0.275114062,0.282031854,0.0,0.920751054,0.0,0.030402823,0.788798957,0.328690684,0
RNA150_FPKM,35.38335149,0.1457818,0.75215949,0.740806889,0.780188282,0.630726519,0.078054689,5.643735154,0.52943874,0.550970768,0.854891135,0.267142259,0.717788405,2.435823119,0.626454148,1.890820216,0.174961808,0.649879778,0.25702893,0.828675971,0.719942444,0.779839997,1.179588939,0.933714642,0.776072907,4.386055158,1.33438186,0.27854916,1.412183486,0.668517984,0.715447805,0.064678046,3.641117384,0.420509185,1.936995403,2.728420536,1.28894101,1.191869059,0.360314815,0.991447277,0.068726148,0.618114785,2.162852301,1.732081341,1.776885191,0.136562762,0.437923227,0.218044158,0.0,0.734813106,0.283741681,0.341310869,0.0,4.165807084,0.701653943,1.058325723,0.459606114,0.14451215,15.79297508,0.927409025,0.750749181,0.338880084,2.094123672,0.991200096,0.039458866,0.860975054,1.582114874,0.503207938,0.407099527,0.34568665,0.13716096,0.0,1.725830366,0.152400269,0.737780599,0.951655012,0.033508979,1.118149453,0.143042752,0.314504961,0.0,0.072664998,0.086699546,0.602163842,6.574743517,1.05052826,3.325005954,0.0,0.0,3.548857456,0.330841211,0.0,0.601599063,0.0,0.080729218,0.380662005,0.0,2.916861785,0.127119973,1.026097371,1.218691918,0.138808539,0.0,0.906338107,0.357923345,0.016834688,1.659831952,0.672017227,1
RNA151_FPKM,19.24010786,0.08169964,0.269753713,0.088541482,0.306025106,0.424123846,0.046648745,1.420416736,0.067803155,0.145298359,0.159693837,0.095793229,0.353955532,1.149399659,0.112326037,0.442226693,0.10456449,0.998861072,0.0,0.247656415,0.276637677,0.317848119,1.16890787,0.380526143,0.588793926,1.521067798,0.722347564,0.224788162,0.486990102,0.14982536,0.349881907,0.13531334,1.931561398,0.137107806,0.496214569,1.22313921,0.231143852,0.517079795,0.269238829,0.471673751,0.061635161,0.242452556,0.387783284,1.175221415,1.528782296,0.0,0.729193131,0.079978537,0.080483323,0.658864765,0.114483483,0.0,0.127311605,5.716920997,0.404451562,0.711660143,0.264928905,0.097175316,31.23821724,0.739159537,0.504832508,0.091150202,0.724221983,0.691212596,0.0,2.181559479,1.78854353,0.507608726,0.218999027,0.310019594,0.061479842,0.849904427,1.190301847,0.04554648,0.116725071,1.990963339,0.030051609,1.041093165,0.096187238,0.112776787,0.781994928,0.0,0.07775411,0.0,3.187591974,0.941759403,2.392769018,0.0,0.0,4.585713267,1.112408883,0.0,0.520131804,0.0,0.144741465,0.51196983,0.114423636,1.452890283,0.379922045,0.0,0.956112338,0.062218339,0.0,0.812661396,0.16049687,0.0,0.626609327,0.075311711,0
RNA152_FPKM,23.49546172,0.0,0.39088267,0.307992058,0.405475798,0.327862298,0.189317359,2.367034619,0.275169551,0.505317316,0.296206231,0.111092047,0.634150973,1.732295817,0.26044966,2.563470481,1.030552482,0.578987365,0.038173708,0.902327124,0.427644215,0.515852472,0.387176509,0.599966773,0.310254104,1.075222835,0.889773318,0.636973349,0.940940305,0.608045114,0.439428607,0.022413827,2.401455248,0.357646989,1.62989833,1.379647194,0.375135545,0.479554174,0.811491211,0.778149731,0.14290005,0.160600588,0.674572294,0.681235729,1.082051394,0.0,0.715301858,0.206036061,0.0,0.954785783,0.383401845,1.064514929,0.0,6.84853293,0.05210451,0.687480476,0.477749732,0.225319781,19.17222773,1.392456893,0.560866382,0.140887152,1.927922806,1.516787691,0.0,0.427989497,3.36040072,0.588476694,0.211572376,0.718775037,0.320805862,0.328502654,2.069872524,0.123212826,0.676648079,1.48388437,0.0,1.341018051,0.074356038,0.065393996,0.226675686,0.030217995,0.0,0.313014936,9.820586483,0.546082334,3.046780734,0.100714586,0.0,5.207648937,0.945690493,0.0,0.156331386,0.0,0.251786465,0.276982433,0.265289209,1.684343463,0.52853954,1.244371396,0.791703035,0.396776191,0.0,0.706570015,0.0,0.0,1.089613371,0.291031022,0
