,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,Diagnosis
RNA1_FPKM,8.892792292,3.694989665,4.673075165,1.176922634,1.791931078,0.625529746,0.588461317,0.876201593,1.610316442,0.0,0
RNA102_FPKM,1.687005899,8.762805487,1.773010121,2.791382379,2.833358053,0.593330159,4.465891938,0.554065663,3.055334806,0.5623353,1
RNA104_FPKM,3.867342394,10.3297802,4.354555484,5.483514313,2.226269803,1.16603673,4.935045185,0.544436267,1.500341564,0.552562182,0
RNA108_FPKM,3.600542199,7.48049181,0.945725722,2.97841458,0.604411176,1.266532606,1.191478822,1.18243755,1.086821898,0.599900645,0
RNA110_FPKM,6.166422427,2.620547688,2.651377661,0.0,2.259148512,0.591335834,0.0,1.104657177,0.507430074,0.0,0
RNA114_FPKM,6.788197159,5.6953435,2.469905744,2.073018909,1.052340793,0.0,1.036750559,1.800733607,2.363771726,0.0,0
RNA115_FPKM,7.565522739,0.907191711,1.834826588,0.57791472,0.0,0.0,0.0,0.860215982,1.05378554,0.0,0
RNA116_FPKM,7.709779813,2.771839816,2.804449696,0.588383481,1.195086122,1.251546883,2.943145765,0.87639053,2.147925056,0.0,0
RNA126_FPKM,3.591127033,5.595477004,1.887463632,1.782604541,3.618127988,0.63163153,2.971007568,0.294916192,2.710040687,0.0,0
RNA132_FPKM,4.105073576,9.137393942,0.924797878,2.91075303,0.0,0.0,1.163912594,1.15567588,1.592810944,0.0,0
RNA140_FPKM,4.555662753,4.436235958,3.59093417,1.695870493,1.721372305,0.0,0.565088058,1.402633428,0.515451945,0.569305134,1
RNA145_FPKM,3.270572392,4.247036264,1.718653728,0.541288777,1.647816179,0.0,0.0,0.268654356,1.974129282,0.0,0
RNA150_FPKM,1.207323523,5.643535538,2.854965037,3.595141158,3.041002859,1.273868914,2.995950965,2.081745339,0.546558622,0.0,1
RNA151_FPKM,3.247396018,1.686406374,3.413177862,0.537367297,1.635906265,0.0,1.611670616,0.799910049,0.490166115,0.0,0
