,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,Diagnosis
RNA1_FPKM,8.892792292,3.694989665,4.673075165,1.176922634,1.791931078,0.625529746,0.588461317,0.876201593,1.610316442,0.0,1.203670876,6.441265768,21.83084622,20.12537704,14.66626667,1.527736112,27.7718439,0.0,13.6186762,0.620642795,20.00286746,31.08552069,12.73502163,26.77829589,1.739611923,6.3132936,1.678357982,4.814683503,0.592852819,0.592852819,35.80382737,0
RNA102_FPKM,1.687005899,8.762805487,1.773010121,2.791382379,2.833358053,0.593330159,4.465891938,0.554065663,3.055334806,0.5623353,1.141711063,4.07313136,10.35493652,18.08662245,1.738913773,4.347976455,44.11429841,0.607684921,4.305881723,0.588694767,9.758968946,42.0494446,4.027041843,11.85488722,4.400696435,10.48097645,1.061308875,5.709100545,1.124670599,0.5623353,2.122617751,1
RNA104_FPKM,3.867342394,10.3297802,4.354555484,5.483514313,2.226269803,1.16603673,4.935045185,0.544436267,1.500341564,0.552562182,1.121868672,2.001171145,14.69259094,23.68856998,2.847209355,0.711955119,38.51821526,0.597123648,11.63311092,0.0,17.04194616,75.09972903,4.52051731,17.46732806,4.322538449,18.13885915,3.64946395,4.486270966,1.657093667,0.552562182,1.042863836,0
RNA108_FPKM,3.600542199,7.48049181,0.945725722,2.97841458,0.604411176,1.266532606,1.191478822,1.18243755,1.086821898,0.599900645,1.217980097,2.173643797,9.20749341,15.00958243,5.56699217,3.092528978,27.45717329,0.0,5.744085262,0.628020987,13.30523499,32.04812013,3.682997364,14.45582386,1.174084971,5.858004126,1.698847376,4.264085917,0.0,0.599900645,7.927596353,0
RNA110_FPKM,6.166422427,2.620547688,2.651377661,0.0,2.259148512,0.591335834,0.0,1.104657177,0.507430074,0.0,0.0,12.18108454,25.2295124,6.008880717,5.200255038,1.444224055,8.549589901,0.0,9.657616499,0.586716023,12.42901232,15.24106713,8.027477541,13.50412369,0.0,2.984543403,0.528870781,0.568936749,0.0,0.560445156,19.04318746,0
RNA114_FPKM,6.788197159,5.6953435,2.469905744,2.073018909,1.052340793,0.0,1.036750559,1.800733607,2.363771726,0.0,1.060313072,1.891369264,4.807334859,7.463736051,2.152750406,1.345781976,14.22212418,0.0,4.997688793,0.546723928,18.62560454,16.73261941,5.341538392,14.15192959,0.510807757,2.316809374,0.985643137,2.650289511,1.044487504,0.522243752,1.971286275,0
RNA115_FPKM,7.565522739,0.907191711,1.834826588,0.57791472,0.0,0.0,0.0,0.860215982,1.05378554,0.0,1.18209829,5.269446042,8.92931532,3.119716628,3.599082922,1.499617884,3.80390878,0.629181348,10.02656467,0.0,17.39152796,10.73667266,5.952681678,16.64787446,0.569478008,1.032849404,0.549425966,3.544551363,0.0,0.582227516,3.295475312,0
RNA116_FPKM,7.709779813,2.771839816,2.804449696,0.588383481,1.195086122,1.251546883,2.943145765,0.87639053,2.147925056,0.0,1.203511667,2.147925056,7.886339656,10.59532476,3.667995096,0.763767019,10.98309341,0.64057879,7.946730464,0.620560703,21.15325264,33.39938778,4.852693912,21.42911934,0.579793942,4.209952997,0.559378662,0.601755833,1.186167568,0.592774403,1.118757324,0
RNA126_FPKM,3.591127033,5.595477004,1.887463632,1.782604541,3.618127988,0.63163153,2.971007568,0.294916192,2.710040687,0.0,1.215412187,6.502851654,17.14425431,34.22231904,4.935734085,2.313957818,50.2120269,0.0,10.31232336,0.626696909,16.15753463,88.92777983,4.285711654,32.44430051,4.098016253,22.84086736,6.213359465,7.291774609,1.79590756,0.598635853,1.129819779,0
RNA132_FPKM,4.105073576,9.137393942,0.924797878,2.91075303,0.0,0.0,1.163912594,1.15567588,1.592810944,0.0,1.19102757,6.371243778,15.59621219,22.00319437,10.8807966,0.75584442,41.52721084,0.0,13.4706297,0.0,22.04851177,53.52671558,4.199082895,13.24457908,6.309662034,17.1734017,2.767265205,5.357636813,1.172598508,0.58662552,1.107152389,0
RNA140_FPKM,4.555662753,4.436235958,3.59093417,1.695870493,1.721372305,0.0,0.565088058,1.402633428,0.515451945,0.569305134,1.155861938,5.155625572,15.72825035,24.41944373,10.56594805,0.733527768,42.18817426,0.615216838,13.08242952,0.595991312,12.07830578,30.96708131,5.242958395,10.28955131,1.114274662,0.505211178,0.537231605,4.046756977,2.277831377,0.569305134,29.01972952,1
RNA145_FPKM,3.270572392,4.247036264,1.718653728,0.541288777,1.647816179,0.0,0.0,0.268654356,1.974129282,0.0,1.10718159,4.935744847,16.17049102,13.63548495,8.428253484,1.404668912,13.06507023,0.58930633,14.60944816,0.0,8.408251352,22.23131674,2.788130677,9.848465181,3.198954019,3.869816341,0.0,6.087134994,2.180381595,0.0,9.259383836,0
RNA150_FPKM,1.207323523,5.643535538,2.854965037,3.595141158,3.041002859,1.273868914,2.995950965,2.081745339,0.546558622,0.0,1.225616304,2.186234488,9.880399693,26.96464592,6.222359696,1.555589924,33.54136231,0.0,8.089067605,0.0,10.47563821,35.75720525,3.70491646,9.997724006,1.771328673,5.892698255,1.708957945,1.838424456,1.207323523,0.603661762,18.23003324,1
RNA151_FPKM,3.247396018,1.686406374,3.413177862,0.537367297,1.635906265,0.0,1.611670616,0.799910049,0.490166115,0.0,1.09916038,0.98033223,13.84127536,5.802014218,2.789728487,2.092072435,17.69001444,0.0,4.144573118,0.0,12.52275171,21.54846048,1.660881933,5.704445522,1.588142578,3.362222857,0.51087736,1.648299494,0.0,0.0,22.47368365,0
RNA152_FPKM,3.76485814,3.910437581,1.978745397,1.245876731,1.26461172,0.662178578,1.245876731,0.309178968,1.70466242,1.255174319,0.0,7.953887434,10.91126941,8.96912466,10.99520225,2.425865751,21.87518953,0.0,12.01126604,0.657005308,6.653851094,32.29219013,6.418233761,17.00531429,1.22768875,8.352794832,1.184460273,3.184805389,0.627587159,0.0,16.57993437,0
RNA155_FPKM,4.083563759,5.453796116,3.678638949,1.737135059,1.175504927,0.0,1.15809004,0.287393668,1.584548872,0.583366251,1.184410268,3.169097743,14.32037467,11.46417951,9.019213645,1.503289955,10.80357666,0.0,11.16631979,0.0,7.87285393,16.42626428,2.386903135,15.80911244,0.570591808,2.070757024,1.651501641,4.145435937,1.166732503,0.583366251,30.82610412,0
RNA165_FPKM,3.277676461,9.192963042,3.100749483,3.903934189,0.660319322,1.383031021,1.952323749,0.645753455,0.593395066,0.0,1.330643482,5.935251969,17.43335421,21.08124462,16.21634202,1.688893651,29.2796369,1.416491449,17.5672453,0.0,10.11113962,36.91787113,4.69353882,0.986769324,3.846942449,8.725999584,3.093018632,4.657981707,2.622284895,0.655391566,39.58873968,0
RNA174_FPKM,4.790462705,10.26367838,0.94413466,4.16052264,4.826481222,1.263802301,1.188910313,0.885126244,0.542239501,0.0,1.215931002,3.253437004,13.47597467,10.6989986,5.555180374,3.086594081,38.49095519,0.647189082,14.90256047,0.626964423,10.39098487,37.79634902,4.900167958,9.917711695,2.928884895,10.6281443,1.695453087,3.039827504,1.796674167,0.598891389,22.60351816,1
RNA179_FPKM,7.354808984,7.640166703,1.932730994,1.82535705,1.235204019,1.293560114,3.041712109,1.207684072,0.0,0.0,0.0,5.549069388,16.30110797,19.71187743,6.317972853,1.579635909,46.74151946,0.0,5.866159067,0.641727088,18.31709553,39.87524414,6.896775101,5.536766314,2.997307553,5.439314377,0.57845822,4.355403555,1.838979117,0.612993039,21.97932218,0
RNA18_FPKM,11.6620919,2.869705829,7.741352221,0.609369633,6.183762969,0.647755122,5.483554364,0.0,8.336249845,0.0,1.246437885,7.780405923,3.767062121,9.870397856,3.163232596,0.0,50.82017281,5.306572087,18.79893732,0.642694535,66.27188549,104.8956435,4.39503846,33.26866098,2.401133847,9.259539822,2.31658688,3.115304829,2.454890575,0.613917167,16.21831094,1
RNA185_FPKM,4.674583534,8.194236419,1.842591495,3.480450601,1.766394102,0.616615264,1.740225301,1.439524605,1.587367673,1.753212057,1.18651725,6.349470692,18.53007989,34.45414323,12.64876215,2.258946304,43.92654459,0.0,17.8982186,0.611797957,10.70363825,56.17460371,4.781635065,7.918026203,4.572220391,18.14962983,1.654439546,7.711703683,1.168808038,0.0,39.70287666,1
RNA2_FPKM,4.176597308,16.73341768,5.643085753,4.14565955,4.208000295,1.888434209,2.369132554,0.881732149,0.53996417,2.386812647,1.210828745,7.563027557,19.52912172,33.04533665,6.149962952,1.537658148,48.09857785,0.644473364,10.27847762,0.624333572,8.627645868,47.50510008,3.661544191,17.06728784,1.167273338,9.000477947,2.252344329,7.873684305,1.193406324,0.596378337,45.04075608,0
RNA201_FPKM,2.912724728,3.782558412,3.827059099,2.409629803,0.0,0.0,0.963546841,0.717472635,0.439687387,0.0,0.985965656,3.516571488,19.86407831,26.02217139,8.006962773,0.625708974,29.61869446,0.524788172,16.72834263,0.0,10.76463315,32.05636441,6.456126746,10.23323251,0.949480463,0.430951876,0.458265728,3.449839749,1.456362364,0.485624876,32.98643114,1
