,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,AC076966.1,SNORD125,SNORA21,snoZ196,SNORA52,SNORA66,AC087441.1,SNORD14C,SNORA33,AP000254.1,SNORA30,SNORD51,SNORD73B,AL355598.1,SNORA9B,SNORD14D,AL355987.6,SNORA31,AC127002.1,SNORD101,AL389886.1,U3.1,Diagnosis
RNA1_FPKM,8.892792292,3.694989665,4.673075165,1.176922634,1.791931078,0.625529746,0.588461317,0.876201593,1.610316442,0.0,1.203670876,6.441265768,21.83084622,20.12537704,14.66626667,1.527736112,27.7718439,0.0,13.6186762,0.620642795,20.00286746,31.08552069,12.73502163,26.77829589,1.739611923,6.3132936,1.678357982,4.814683503,0.592852819,0.592852819,35.80382737,0.0,0.827523727,5.416518941,2.677829589,8.299939472,4.181172516,0.0,7.222025255,14.05517223,0.448826428,1.231663222,3.97211389,2.206729939,0.615831611,1.194620719,3.65251852,10.23120244,20.77658692,0.0,3.264751143,0.588461317,0.0,0
RNA102_FPKM,1.687005899,8.762805487,1.773010121,2.791382379,2.833358053,0.593330159,4.465891938,0.554065663,3.055334806,0.5623353,1.141711063,4.07313136,10.35493652,18.08662245,1.738913773,4.347976455,44.11429841,0.607684921,4.305881723,0.588694767,9.758968946,42.0494446,4.027041843,11.85488722,4.400696435,10.48097645,1.061308875,5.709100545,1.124670599,0.5623353,2.122617751,0.588694767,2.354779067,0.570855531,3.386648546,6.748560688,4.533048207,0.0,5.138517628,4.058019088,3.406188766,0.584131242,1.883823254,1.046568474,0.0,0.566563385,2.598376902,2.283422126,13.91297104,0.584131242,5.162145495,0.0,0.0,1
RNA104_FPKM,3.867342394,10.3297802,4.354555484,5.483514313,2.226269803,1.16603673,4.935045185,0.544436267,1.500341564,0.552562182,1.121868672,2.001171145,14.69259094,23.68856998,2.847209355,0.711955119,38.51821526,0.597123648,11.63311092,0.0,17.04194616,75.09972903,4.52051731,17.46732806,4.322538449,18.13885915,3.64946395,4.486270966,1.657093667,0.552562182,1.042863836,0.578463534,0.0,6.730008311,1.663895109,3.314780213,5.565973175,0.54046228,3.364703225,7.97206397,5.018989249,0.0,1.851083309,1.028379616,1.147958641,1.113433569,4.25445076,3.365004155,14.23604677,1.147958641,3.041788376,0.0,0.342793205,0
RNA108_FPKM,3.600542199,7.48049181,0.945725722,2.97841458,0.604411176,1.266532606,1.191478822,1.18243755,1.086821898,0.599900645,1.217980097,2.173643797,9.20749341,15.00958243,5.56699217,3.092528978,27.45717329,0.0,5.744085262,0.628020987,13.30523499,32.04812013,3.682997364,14.45582386,1.174084971,5.858004126,1.698847376,4.264085917,0.0,0.599900645,7.927596353,0.0,1.675517093,3.655095869,2.710520532,1.8002711,6.045832093,0.0,7.310480632,4.329687239,1.817079174,0.623152608,4.020287672,0.0,0.623152608,1.209395797,0.923984901,6.091633852,14.22636665,0.623152608,4.405794709,0.595456936,0.0,0
RNA110_FPKM,6.166422427,2.620547688,2.651377661,0.0,2.259148512,0.591335834,0.0,1.104657177,0.507430074,0.0,0.0,12.18108454,25.2295124,6.008880717,5.200255038,1.444224055,8.549589901,0.0,9.657616499,0.586716023,12.42901232,15.24106713,8.027477541,13.50412369,0.0,2.984543403,0.528870781,0.568936749,0.0,0.560445156,19.04318746,0.0,2.34757397,4.552526546,3.376030922,2.80273435,1.129318058,1.645015337,0.853405124,9.245130832,1.697552271,0.582167836,1.877491272,1.043050707,0.0,0.564659029,0.863214378,10.24292659,23.11230286,0.0,1.028762341,0.0,0.0,0
RNA114_FPKM,6.788197159,5.6953435,2.469905744,2.073018909,1.052340793,0.0,1.036750559,1.800733607,2.363771726,0.0,1.060313072,1.891369264,4.807334859,7.463736051,2.152750406,1.345781976,14.22212418,0.0,4.997688793,0.546723928,18.62560454,16.73261941,5.341538392,14.15192959,0.510807757,2.316809374,0.985643137,2.650289511,1.044487504,0.522243752,1.971286275,0.0,2.915182841,3.710602584,2.358898745,3.132976704,4.208873713,0.510807757,3.975434267,6.458751973,0.395370976,1.084971516,1.749516569,0.0,0.542485758,2.104192126,4.021128914,3.180446048,20.99169505,0.542485758,1.917278432,0.0,0.0,0
RNA115_FPKM,7.565522739,0.907191711,1.834826588,0.57791472,0.0,0.0,0.0,0.860215982,1.05378554,0.0,1.18209829,5.269446042,8.92931532,3.119716628,3.599082922,1.499617884,3.80390878,0.629181348,10.02656467,0.0,17.39152796,10.73667266,5.952681678,16.64787446,0.569478008,1.032849404,0.549425966,3.544551363,0.0,0.582227516,3.295475312,0.0,5.686450699,0.591049145,2.628974687,3.491647611,2.345267067,0.0,5.316827044,4.79877723,0.0,0.0,1.94950325,0.0,0.0,1.172633534,0.89676422,10.63365409,16.19616821,0.0,2.136441917,0.0,0.3611967,0
RNA116_FPKM,7.709779813,2.771839816,2.804449696,0.588383481,1.195086122,1.251546883,2.943145765,0.87639053,2.147925056,0.0,1.203511667,2.147925056,7.886339656,10.59532476,3.667995096,0.763767019,10.98309341,0.64057879,7.946730464,0.620560703,21.15325264,33.39938778,4.852693912,21.42911934,0.579793942,4.209952997,0.559378662,0.601755833,1.186167568,0.592774403,1.118757324,0.0,5.794490963,3.612419413,0.892491798,1.778941971,2.390172243,0.579793942,0.90263375,6.724338775,3.591541822,1.232143056,0.992897125,1.103219028,0.0,0.597231353,0.913008851,1.805895638,20.17237853,0.615750155,2.177348687,0.588383481,0.0,0
RNA126_FPKM,3.591127033,5.595477004,1.887463632,1.782604541,3.618127988,0.63163153,2.971007568,0.294916192,2.710040687,0.0,1.215412187,6.502851654,17.14425431,34.22231904,4.935734085,2.313957818,50.2120269,0.0,10.31232336,0.626696909,16.15753463,88.92777983,4.285711654,32.44430051,4.098016253,22.84086736,6.213359465,7.291774609,1.79590756,0.598635853,1.129819779,0.626696909,2.506787636,11.54501875,0.901316903,0.598635853,4.221264862,0.585527039,0.91155914,15.42496693,4.984729063,0.0,0.0,0.0,0.0,0.0,0.922036832,2.430824374,31.46698928,0.0,6.591931813,0.0,0.0,0
RNA132_FPKM,4.105073576,9.137393942,0.924797878,2.91075303,0.0,0.0,1.163912594,1.15567588,1.592810944,0.0,1.19102757,6.371243778,15.59621219,22.00319437,10.8807966,0.75584442,41.52721084,0.0,13.4706297,0.0,22.04851177,53.52671558,4.199082895,13.24457908,6.309662034,17.1734017,2.767265205,5.357636813,1.172598508,0.58662552,1.107152389,0.614123591,5.729998533,0.595513785,2.648719323,4.691699096,7.089805106,0.0,5.357636813,4.836059068,5.327367678,1.218048063,1.964102502,2.182336113,1.218048063,1.181415039,4.516685736,7.143515751,12.08947506,0.0,3.229260545,0.0,0.0,0
