,AL133216.2,Diagnosis
RNA1_FPKM,0.053778959,0
RNA102_FPKM,0.112233171,1
RNA104_FPKM,0.050113352,0
RNA108_FPKM,0.043544952,0
RNA110_FPKM,0.081361157,0
RNA114_FPKM,0.08526413,0
RNA115_FPKM,0.042231319,0
RNA116_FPKM,0.096834225,0
RNA126_FPKM,0.097733907,0
RNA132_FPKM,0.159594847,0
RNA140_FPKM,0.103319041,1
RNA145_FPKM,0.049451004,0
RNA150_FPKM,0.120470815,1
RNA151_FPKM,0.019635926,0
RNA152_FPKM,0.079689639,0
RNA155_FPKM,0.042334729,0
RNA165_FPKM,0.083245814,0
RNA174_FPKM,0.076045296,1
RNA179_FPKM,0.100080612,0
RNA18_FPKM,0.066813585,1
RNA185_FPKM,0.084808312,1
RNA2_FPKM,0.140715723,0
RNA201_FPKM,0.070464741,1
RNA205_FPKM,0.100886454,0
RNA209_FPKM,0.105581505,0
RNA213_FPKM,0.074351471,0
RNA219_FPKM,0.044172475,0
RNA23_FPKM,0.086543607,1
RNA246_FPKM,0.09550649,1
RNA253_FPKM,0.109816488,1
RNA26_FPKM,0.139197644,0
RNA277_FPKM,0.039463468,0
RNA288_FPKM,0.04100356,0
RNA29_FPKM,0.039855133,0
RNA295_FPKM,0.09064702,0
RNA3_FPKM,0.076728413,0
RNA302_FPKM,0.081256032,0
RNA303_FPKM,0.030560116,1
RNA31_FPKM,0.033779691,1
RNA314_FPKM,0.064019198,1
RNA319_FPKM,0.051986632,0
RNA32_FPKM,0.161565203,1
RNA328_FPKM,0.118500694,0
RNA331_FPKM,0.047238756,0
RNA334_FPKM,0.037380937,0
RNA335_FPKM,0.097612014,1
RNA336_FPKM,0.106280085,0
RNA35_FPKM,0.160380005,0
RNA358_FPKM,0.067115232,0
RNA365_FPKM,0.12084482,0
RNA368_FPKM,0.072298725,0
RNA37_FPKM,0.108324073,0
RNA379_FPKM,0.075329071,1
RNA38_FPKM,0.080597287,0
RNA383_FPKM,0.08769681,0
RNA385_FPKM,0.043084931,1
RNA386_FPKM,0.035814088,0
RNA39_FPKM,0.044680443,1
RNA392_FPKM,0.074414687,0
RNA409_FPKM,0.036109989,0
RNA41_FPKM,0.020325847,0
RNA418_FPKM,0.085328798,0
RNA431_FPKM,0.104512152,1
RNA44_FPKM,0.087100123,1
RNA442_FPKM,0.064574953,0
RNA454_FPKM,0.013338085,0
RNA457_FPKM,0.062346046,0
RNA466_FPKM,0.153950072,0
RNA471_FPKM,0.06612385,0
RNA476_FPKM,0.024347137,0
RNA483_FPKM,0.081078032,0
RNA488_FPKM,0.058698241,0
RNA499_FPKM,0.04139305,0
RNA50_FPKM,0.070410389,1
RNA504_FPKM,0.080447848,0
RNA519_FPKM,0.068280372,0
RNA52_FPKM,0.02545592,0
RNA521_FPKM,0.061241669,0
RNA528_FPKM,0.058910672,0
RNA53_FPKM,0.102533529,0
RNA535_FPKM,0.053942185,1
RNA58_FPKM,0.092497582,0
RNA6_FPKM,0.044236054,0
RNA60_FPKM,0.124277505,0
RNA62_FPKM,0.06901717,0
RNA63_FPKM,0.050193734,0
RNA64_FPKM,0.040720709,0
RNA66_FPKM,0.039271417,0
RNA67_FPKM,0.1799223,0
RNA69_FPKM,0.063267113,0
RNA7_FPKM,0.067026228,0
RNA72_FPKM,0.082733608,0
RNA74_FPKM,0.154592845,0
RNA75_FPKM,0.140968319,0
RNA78_FPKM,0.141194819,1
RNA86_FPKM,0.104693242,1
RNA87_FPKM,0.094524627,0
RNA89_FPKM,0.050934994,0
RNA94_FPKM,0.021007813,1
RNA95_FPKM,0.175789629,0
RNA97_FPKM,0.077700066,0
RNA98_FPKM,0.080940747,1
R_JS001_FPKM,0.088191788,1
R_JS002_FPKM,0.104626102,1
R_JS003_FPKM,0.151663064,1
R_JS004_FPKM,0.192144312,1
R_JS005_FPKM,0.134038825,1
R_JS006_FPKM,0.157887044,1
R_JS007_FPKM,0.112885558,1
R_JS008_FPKM,0.185842936,1
R_JS009_FPKM,0.099170625,1
R_JS010_FPKM,0.118843009,1
R_JS011_FPKM,0.066788538,1
R_JS012_FPKM,0.182197659,1
R_JS013_FPKM,0.205355142,1
R_JS014_FPKM,0.123495954,1
R_JS015_FPKM,0.241989419,1
R_JS016_FPKM,0.075818997,1
R_JS017_FPKM,0.114134904,1
R_JS018_FPKM,0.208889191,1
R_JS019_FPKM,0.078953629,1
R_JS020_FPKM,0.204538515,1
R_JS021_FPKM,0.095871478,1
R_JS022_FPKM,0.130207498,1
R_JS023_FPKM,0.252931338,1
R_JS024_FPKM,0.145480271,1
R_JS025_FPKM,0.190825409,1
R_JS026_FPKM,0.128957714,1
R_JS027_FPKM,0.176972195,1
R_JS028_FPKM,0.112619714,1
R_JS029_FPKM,0.092676514,1
R_JS030_FPKM,0.10849603,1
R_JS031_FPKM,0.145029112,1
R_JS032_FPKM,0.130168014,1
R_JS033_FPKM,0.092396224,1
R_JS034_FPKM,0.162362883,1
R_JS035_FPKM,0.1367645,1
R_JS036_FPKM,0.241689854,1
R_JS037_FPKM,0.147152004,1
R_JS038_FPKM,0.150959384,1
R_JS039_FPKM,0.125975985,1
R_JS040_FPKM,0.108995721,1
R_JS041_FPKM,0.168999554,1
