,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,Diagnosis
RNA1_FPKM,0.053778959,1.474808135,0.423361859,1.772628531,8.44164749,1.936102843,2.380242315,0.474674135,0.188223067,0.309247621,0
RNA102_FPKM,0.112233171,5.145634132,0.35859139,1.681605294,41.18113121,2.710070642,2.069843183,0.926088501,0.178556154,0.42375953,1
RNA104_FPKM,0.050113352,3.323414301,0.260655475,1.410398668,22.19241988,2.535903334,0.693140854,0.692699663,0.282893011,0.70439277,0
RNA108_FPKM,0.043544952,4.098068101,0.420883192,1.145580881,28.01090659,1.706211024,1.154449229,0.661779287,0.202812565,0.278253588,0
RNA110_FPKM,0.081361157,0.764298484,0.386017042,1.998449602,8.37850122,0.640102314,2.063087468,0.186305869,0.02870425,0.227436788,0
RNA114_FPKM,0.08526413,1.929800603,0.306311372,1.39319952,15.53574607,1.484718107,1.790812535,0.268216701,0.048132136,0.151314107,0
RNA115_FPKM,0.042231319,0.737769591,0.326525097,1.820352625,6.612711611,0.657867169,2.239129825,0.272539164,0.005962893,0.0,0
RNA116_FPKM,0.096834225,1.872495492,0.128561143,1.486776501,12.2193073,1.110583484,1.289724142,0.528584812,0.097178899,0.274958003,0
RNA126_FPKM,0.097733907,2.083265028,0.0763304,2.533211524,10.24489334,1.332840186,0.901201792,1.121309053,0.055171403,0.138784091,0
RNA132_FPKM,0.159594847,1.325604138,0.321564478,1.294868244,9.511702534,2.966501663,1.61871639,0.602433253,0.114110665,0.16996179,0
RNA140_FPKM,0.103319041,0.973986491,0.232394265,1.611108096,8.24335153,2.126445158,1.429053254,0.335532228,0.314949678,0.528113958,1
RNA145_FPKM,0.049451004,1.043129219,0.319765212,1.667530624,11.38601165,1.587265872,1.595874547,0.164703278,0.027915402,0.252743195,0
RNA150_FPKM,0.120470815,2.960221241,0.384915958,0.777555947,23.88094368,5.300991184,2.474286025,0.902866016,0.080371353,0.524845019,1
RNA151_FPKM,0.019635926,1.346484582,0.269185228,1.356953847,10.00397812,0.877636167,1.856234423,0.212598834,0.01662913,0.596044985,0
RNA152_FPKM,0.079689639,1.275797053,0.56012444,1.861757783,11.53838584,1.554824153,1.889479366,0.417094734,0.096398045,0.254579442,0
RNA155_FPKM,0.042334729,0.97673468,0.215723684,1.355109595,8.031194668,0.626133017,1.951709072,0.370121769,0.047791213,0.135244079,0
RNA165_FPKM,0.083245814,3.135981444,0.710530842,1.764015603,22.84054971,2.649759873,1.699736609,0.851654662,0.751906623,0.987789534,0
RNA174_FPKM,0.076045296,3.903330782,0.412364889,1.845641701,20.58333591,2.256537653,1.352440644,0.551847845,0.410907176,0.45120209,1
RNA179_FPKM,0.100080612,4.735531642,0.234481843,1.973637794,35.71933092,1.616732892,0.922840704,0.629642025,0.376633325,0.426273531,0
RNA18_FPKM,0.066813585,3.751214377,0.109583182,2.879933863,14.47005648,0.658827156,1.283524002,1.947235606,0.842342008,0.249026833,1
RNA185_FPKM,0.084808312,0.859636273,0.327882123,2.002618362,11.48931506,3.856797847,1.906263832,0.776852738,0.418929618,0.812832827,1
RNA2_FPKM,0.140715723,1.7196784,0.456498292,1.399692263,7.876585424,2.622904226,2.145895647,0.666981406,0.164977633,0.242069221,0
RNA201_FPKM,0.070464741,0.452907741,0.229067539,1.753134528,3.090271459,2.566745979,2.558350977,0.403392822,0.3033017,0.337663871,1
RNA205_FPKM,0.100886454,1.167582366,0.323049295,1.406916606,8.506738625,1.545129488,1.860542686,0.33603037,0.050622503,0.358109804,0
RNA209_FPKM,0.105581505,2.51340102,0.296850017,1.323648727,23.71957545,1.882819772,1.352141096,0.478654268,0.331117077,0.149919611,0
RNA213_FPKM,0.074351471,2.051708953,0.4405087,1.683297427,16.31492909,1.89201814,2.203787983,0.451099665,0.173889363,0.30539049,0
RNA219_FPKM,0.044172475,1.25941165,0.380337895,1.455984902,14.34964392,1.056468924,1.120111386,0.597702614,0.024935639,0.317508768,0
RNA23_FPKM,0.086543607,2.096658305,0.539876486,2.276619013,10.68350679,1.851996312,2.493771351,1.207073061,0.329763623,0.414713071,1
RNA246_FPKM,0.09550649,3.066274791,0.328953013,2.191613149,21.61970513,2.170100448,1.497184175,0.636244007,0.145571343,0.396649611,1
RNA253_FPKM,0.109816488,2.809042893,0.478600701,1.239134002,16.69673283,2.820179836,2.075950474,0.466388036,0.148786205,0.421003179,1
RNA26_FPKM,0.139197644,3.035858604,1.410552281,1.397072377,12.90278693,3.110214584,1.176576342,0.975580673,0.052385295,0.667028849,0
RNA277_FPKM,0.039463468,1.300708411,0.388320732,1.400780723,5.811488204,2.351245558,2.971631266,0.164293435,0.037123705,0.462232226,0
