,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,UBE2Q2P1,USP32P3,HERC2P9,CSPG4P11,FRG1CP,H3P37,PKD1P3,PKD1P6,GUSBP2,AC009053.1,SMG1P3,AC242842.2,ANAPC1P1,ADAMTS7P3,HERC2P3,AC138409.2,BMS1P1,AC110079.1,RPL23AP82,AC004381.4,LINC00888,NMRAL2P,SMG1P4,AL390719.1,EP400P1,LINC01347,ZNF658B,C9orf129,CROCCP3,UBE2Q2P2,AC005622.1,GPAT2P1,FAM238A,AP000769.1,ZNF252P,PDPK2P,CASP4LP,NSUN5P2,A2MP1,SHLD2P1,EEF1DP3,H2BC19P,CEP170P1,AC127502.1,LSP1P5,ULK4P2,AC068620.3,AP000347.1,LRRC37A17P,FAAHP1,LRRC37A4P,POLR2J4,AOC4P,Diagnosis
RNA1_FPKM,0.053778959,1.474808135,0.423361859,1.772628531,8.44164749,1.936102843,2.380242315,0.474674135,0.188223067,0.309247621,0.231520141,0.416408907,0.285367294,0.03235938,4.208797913,0.030720138,3.106509505,2.686615653,0.144283105,1.365931868,0.966389244,0.555540404,0.159843617,0.040542117,0.284599971,0.707947085,0.152091151,5.415234527,1.010626282,0.0,0.903519302,0.0,0.557017355,0.193856217,0.289316744,0.494044016,0.070271807,1.288601424,1.43163245,0.152847095,0.51313274,0.525914307,5.058898624,0.654638256,0.728722847,0.782815482,1.69816086,8.925500449,0.513436419,1.014488003,0.203177181,3.135056167,0.952527607,3.143785029,0.270579965,0.167529055,0.014804748,1.079748345,0.626253442,0.393473392,0.176706687,4.413410877,0.146468531,0
RNA102_FPKM,0.112233171,5.145634132,0.35859139,1.681605294,41.18113121,2.710070642,2.069843183,0.926088501,0.178556154,0.42375953,0.146415635,0.282160937,0.475584099,0.030693658,1.517210709,0.087416392,5.573651975,2.921383332,0.355877963,2.503225772,1.409104056,0.526943568,0.530726842,0.057682774,0.534105009,0.572503169,0.496964203,7.364931493,0.387008494,0.117007656,0.659339687,0.032926777,0.797426429,0.036775466,0.243193474,2.137124782,0.133319642,3.117138086,1.057323111,0.471251579,0.885027918,0.44346849,3.427932976,0.876726241,0.656980298,1.742303778,0.756363837,5.172258811,0.081183043,1.178441387,0.385436983,3.70842659,1.577228022,2.982353865,0.462022031,0.190716808,0.028085326,1.508662106,1.113937228,0.503899214,0.327277829,3.185599543,0.427524756,1
RNA104_FPKM,0.050113352,3.323414301,0.260655475,1.410398668,22.19241988,2.535903334,0.693140854,0.692699663,0.282893011,0.70439277,0.402707719,0.316762701,0.790576632,0.045224145,5.608398877,0.286262348,4.079968998,3.057653412,0.376450533,1.605506573,1.625959899,0.517785541,0.595788983,0.151106856,0.962808092,0.540741002,0.440913983,5.568748223,0.527032036,0.0,0.604472625,0.0,0.97205442,0.216779184,0.167219658,1.178542407,0.163705093,2.64168014,1.414637737,0.071229757,0.738942377,0.272259813,3.367238495,0.75355899,0.732030724,2.020059975,1.157874575,6.379036216,0.518322154,0.810295791,0.662690385,3.877159903,1.855913784,3.447819662,1.109397688,0.062457471,0.04138102,0.928160406,1.70696949,0.4949711,0.360682007,3.486780672,0.15748286,0
RNA108_FPKM,0.043544952,4.098068101,0.420883192,1.145580881,28.01090659,1.706211024,1.154449229,0.661779287,0.202812565,0.278253588,0.328085155,0.335480558,0.359119572,0.0,2.620009771,0.435312715,4.955909586,2.708678344,0.321307164,1.021245847,1.340483689,0.56214466,0.51234227,0.061555582,0.557369694,0.540384455,0.461843639,5.055624537,0.610029907,0.124883262,0.703518015,0.070269393,0.635581326,0.431683987,0.189053167,1.620225017,0.165961769,3.260790438,1.264329039,0.232069579,1.274883703,0.621057113,3.038612753,0.428772963,0.727160333,1.859039264,1.027145409,6.663444752,0.259859599,1.215500888,0.205690078,4.91672588,1.542656183,3.255619124,0.43820447,0.271329522,0.0,0.762513281,0.396191822,0.577488935,0.127759945,3.399001176,0.296506026,0
RNA110_FPKM,0.081361157,0.764298484,0.386017042,1.998449602,8.37850122,0.640102314,2.063087468,0.186305869,0.02870425,0.227436788,0.072968021,0.104460837,0.123977346,0.0,3.2633114,0.145230628,1.756035731,1.295277044,0.245562352,0.983346422,0.211522884,0.525172384,0.075575822,0.0,0.06435363,0.120715939,0.191746491,2.717626414,0.859165873,0.058307182,0.460027241,0.180533233,0.076610595,0.329933214,0.135049775,0.317653398,0.033225284,1.09656635,1.262832653,0.0,0.705735178,0.22101269,7.306578288,0.582582166,0.806330114,0.669022783,1.635075533,11.89555169,0.107887523,1.331213614,0.096035359,5.05041006,0.229256498,1.532044744,0.409355248,0.095051498,0.0,0.965560396,0.044416063,0.762696179,0.039780363,6.305012303,0.181104334,0
RNA114_FPKM,0.08526413,1.929800603,0.306311372,1.39319952,15.53574607,1.484718107,1.790812535,0.268216701,0.048132136,0.151314107,0.244709876,0.703615866,0.482334094,0.0,1.742357913,0.162342954,3.469873568,2.132562927,0.101655486,1.189449312,0.788152737,0.489375264,0.140784332,0.0,0.512258654,0.429344389,0.253040006,5.371808144,0.628835207,0.0,0.959084444,0.030579271,0.276534951,0.170751959,0.148382809,1.026966024,0.257897873,2.496965589,1.117119111,0.033660732,0.61631224,0.205877236,2.399343517,1.322792223,0.778430887,1.617711651,0.729640516,4.606721762,0.200998278,1.021230499,0.0,4.568234903,1.891554526,2.619963454,0.40515704,0.206579309,0.02608299,1.002661834,0.220646513,0.34656215,0.214932616,3.67608791,0.307635818,0
RNA115_FPKM,0.042231319,0.737769591,0.326525097,1.820352625,6.612711611,0.657867169,2.239129825,0.272539164,0.005962893,0.0,0.136362838,0.191867923,0.249842975,0.0,1.900463225,0.0,2.430686034,1.886715492,0.141641485,1.142740935,0.193237538,0.545583826,0.15690167,0.019907754,0.291514505,0.318983731,0.414707851,2.614837077,1.392515752,0.0,0.795958853,0.01704577,0.178944714,0.380576525,0.147391835,0.40736843,0.10347332,0.948694491,1.084633927,0.03752693,0.778450127,0.229437676,3.874476967,0.755987688,0.624005878,0.546769598,1.849903594,11.49691382,0.322007423,1.239725381,0.0,3.932278192,0.66301797,1.922809402,0.371839857,0.197334787,0.014539412,0.788765061,0.015376131,0.733839757,0.107380579,8.287789609,0.199069967,0
RNA116_FPKM,0.096834225,1.872495492,0.128561143,1.486776501,12.2193073,1.110583484,1.289724142,0.528584812,0.097178899,0.274958003,0.154390782,0.416548773,0.478350332,0.0,3.915481418,0.153644501,4.132128085,1.678366238,0.288648513,2.313528768,0.939858863,0.555466923,0.506326943,0.0,0.72411704,0.429554728,0.405699132,3.576302124,0.806913144,0.0,0.741609052,0.034727213,0.658514361,0.407226305,0.135547765,0.593042533,0.117153082,1.997942217,0.682417272,0.267566682,0.466617356,0.379959726,1.00100432,1.001521123,0.615224075,1.761922077,1.61586436,6.948856171,0.6562872,1.719004905,0.203256335,4.60736139,1.403286541,3.628662076,0.270657138,0.268115944,0.044423821,1.222448848,0.031325671,0.472310951,0.286190435,2.687300157,0.078892516,0
RNA126_FPKM,0.097733907,2.083265028,0.0763304,2.533211524,10.24489334,1.332840186,0.901201792,1.121309053,0.055171403,0.138784091,0.327254106,0.46333633,0.739795804,0.049012548,5.460607426,0.403221753,1.363720953,0.97567544,0.495314301,2.632903376,2.123135723,1.121918942,0.56484805,0.061406383,0.787099183,0.72651653,0.80192295,4.175913556,0.299565118,0.062280438,1.286522374,0.0,1.615645033,0.606748834,0.085045699,0.259385934,0.378398043,1.235963078,1.503685054,0.540138844,0.376773594,0.0,1.51552142,1.283030117,1.148008138,2.386375295,1.160490074,6.993347021,0.532811481,1.651423955,0.615359364,3.653871365,2.745346072,3.442776063,0.327831828,0.405952867,0.104626952,0.988777881,1.485943945,0.178767369,0.195404225,0.0,0.113754055,0
RNA132_FPKM,0.159594847,1.325604138,0.321564478,1.294868244,9.511702534,2.966501663,1.61871639,0.602433253,0.114110665,0.16996179,0.183202658,0.596846274,0.686643723,0.0,3.455526766,0.334270572,5.633694495,2.45799812,0.313993352,2.533429692,1.354253395,1.648503635,0.210827525,0.0,0.703810462,0.769170947,0.685358718,4.767296552,0.403548944,0.0,1.604199064,0.034329954,0.821486827,0.153413294,0.307923598,0.840547148,0.278044464,3.122918909,1.131019614,0.302399076,0.276847939,0.317919713,3.024514383,0.190475841,0.976461971,1.980562798,1.587627383,9.747867867,0.437352865,0.983046962,0.401974219,3.426614587,2.244234071,2.703134894,0.26764846,0.132578591,0.087862847,1.647654055,0.588517011,0.544903278,0.424498169,4.365675453,0.078014446,0
RNA140_FPKM,0.103319041,0.973986491,0.232394265,1.611108096,8.24335153,2.126445158,1.429053254,0.335532228,0.314949678,0.528113958,0.341008625,0.359187757,0.592710243,0.0,4.144054316,0.059031566,5.027597113,4.192484805,0.415775783,1.819075592,0.997087615,0.533474741,0.460621478,0.058418606,0.380367292,0.746947925,0.227258847,2.457861716,1.024250129,0.05922895,1.268516801,0.03335277,0.457244986,0.502782039,0.246256733,0.417632961,0.202502321,1.856726126,1.116794889,0.367058412,0.0,0.449061961,2.296291299,0.406883822,0.724838147,1.055664881,1.044403111,8.961829666,0.068494846,1.093846359,0.097553565,3.848102478,1.314285723,2.276556696,0.675788116,0.160909444,0.014216714,0.715598256,0.105276295,0.491360552,0.250569876,5.115063829,0.054108111,1
RNA145_FPKM,0.049451004,1.043129219,0.319765212,1.667530624,11.38601165,1.587265872,1.595874547,0.164703278,0.027915402,0.252743195,0.07096272,0.195353358,0.205663527,0.0,2.767009602,0.254221289,2.92885029,1.21074952,0.079607538,1.198863036,0.255059686,0.511006888,0.048989124,0.223657413,0.102401285,0.394839531,0.186452542,4.302466006,0.554147634,0.0,0.894698661,0.0,0.093119306,0.320847366,0.165000461,0.963040679,0.010773107,1.303328174,0.962983092,0.035148622,0.772068411,0.214910727,7.258537204,1.239258858,0.522734747,0.719793357,1.580492553,8.374034007,0.091800841,0.666299459,0.560430563,3.843557332,0.525508057,1.867817661,0.796127886,0.184840447,0.013617962,0.969729504,0.057582013,0.9406512,0.216635985,7.145715781,0.341867176,0
RNA150_FPKM,0.120470815,2.960221241,0.384915958,0.777555947,23.88094368,5.300991184,2.474286025,0.902866016,0.080371353,0.524845019,0.235757079,0.268259788,0.534051365,0.0,2.485733667,0.250241844,5.581630131,3.535910713,0.293827374,1.37509446,1.220968496,0.565669063,0.244136849,0.10320321,0.604809153,0.449076294,0.481816735,4.532752174,0.726987241,0.06280332,0.495417247,0.0,0.649703681,0.532974572,0.156624098,1.589703492,0.119255014,4.658070629,1.917651585,0.311267633,1.092523248,0.952035004,4.415477509,0.980294932,0.657840133,1.916175986,1.202015542,13.26290798,0.116180504,1.096293521,0.103440762,5.754176087,1.675356192,3.373646981,0.551054177,0.170583459,0.060298678,1.380758485,0.111595335,0.020032362,0.299889334,6.545747769,0.34417839,1
RNA151_FPKM,0.019635926,1.346484582,0.269185228,1.356953847,10.00397812,0.877636167,1.856234423,0.212598834,0.01662913,0.596044985,0.056366839,0.372420111,0.232373525,0.0,2.190272269,0.028052817,2.682063324,1.279747258,0.052681056,1.105364395,0.596371961,0.507304791,0.24321636,0.037007131,0.299380678,0.286091489,0.185143662,4.00004129,0.389396854,0.168925103,0.21151099,0.110923236,0.323627802,0.19468418,0.106993487,0.523215719,0.128314957,1.882321755,0.833360161,0.03489398,0.76659508,0.053339812,4.720217537,1.160178046,0.5190396,1.07205893,1.030450093,4.848777862,0.052086197,0.850614455,0.463765605,3.957718761,0.758967342,1.523430792,0.321133078,0.397657831,0.0,0.626633136,0.042880476,0.197576961,0.061459616,4.554955695,0.164583814,0
