,UNC93B6,Diagnosis
RNA1_FPKM,0.173360126,0
RNA102_FPKM,0.041109073,1
RNA104_FPKM,0.080789233,0
RNA108_FPKM,0.043855257,0
RNA110_FPKM,0.0,0
RNA114_FPKM,0.114534636,0
RNA115_FPKM,0.170169405,0
RNA116_FPKM,0.173427664,0
RNA126_FPKM,0.043762796,0
RNA132_FPKM,0.0,0
RNA140_FPKM,0.333038085,1
RNA145_FPKM,0.159395054,0
RNA150_FPKM,0.441302106,1
RNA151_FPKM,0.356129199,0
RNA152_FPKM,0.229347688,0
RNA155_FPKM,0.085293047,0
RNA165_FPKM,0.191700041,0
RNA174_FPKM,0.306421471,1
RNA179_FPKM,0.0,0
RNA18_FPKM,0.0,1
RNA185_FPKM,0.213611944,1
RNA2_FPKM,0.218083793,0
RNA201_FPKM,0.106466207,1
RNA205_FPKM,0.225866124,0
RNA209_FPKM,0.0,0
RNA213_FPKM,0.128398402,0
RNA219_FPKM,0.088995608,0
RNA23_FPKM,0.0,1
RNA246_FPKM,0.423327108,1
RNA253_FPKM,0.176991218,1
RNA26_FPKM,0.327186607,0
RNA277_FPKM,0.106029725,0
RNA288_FPKM,0.041293698,0
RNA29_FPKM,0.0,0
RNA295_FPKM,0.0,0
RNA3_FPKM,0.0,0
RNA302_FPKM,0.122785642,0
RNA303_FPKM,0.0,1
RNA31_FPKM,0.0,1
RNA314_FPKM,0.206403212,1
RNA319_FPKM,0.041887257,0
RNA32_FPKM,0.325510254,1
RNA328_FPKM,0.086802052,0
RNA331_FPKM,0.0,0
RNA334_FPKM,0.11294973,0
RNA335_FPKM,0.0,1
RNA336_FPKM,0.12849113,0
RNA35_FPKM,0.121178983,0
RNA358_FPKM,0.0,0
RNA365_FPKM,0.0,0
RNA368_FPKM,0.374581324,0
RNA37_FPKM,0.043625862,0
RNA379_FPKM,0.0,1
RNA38_FPKM,0.162396441,0
RNA383_FPKM,0.0,0
RNA385_FPKM,0.0,1
RNA386_FPKM,0.0,0
RNA39_FPKM,0.13505147,1
RNA392_FPKM,0.099934371,0
RNA409_FPKM,0.0,0
RNA41_FPKM,0.122837605,0
RNA418_FPKM,0.214877395,0
RNA431_FPKM,0.180491339,1
RNA44_FPKM,0.0,1
RNA442_FPKM,0.0,0
RNA454_FPKM,0.0,0
RNA457_FPKM,0.0,0
RNA466_FPKM,0.0,0
RNA471_FPKM,0.059219529,0
RNA476_FPKM,0.0,0
RNA483_FPKM,0.145218258,0
RNA488_FPKM,0.078853508,0
RNA499_FPKM,0.1251144,0
RNA50_FPKM,0.0,1
RNA504_FPKM,0.0,0
RNA519_FPKM,0.229256608,0
RNA52_FPKM,0.0,0
RNA521_FPKM,0.0,0
RNA528_FPKM,0.047484232,0
RNA53_FPKM,0.137718248,0
RNA535_FPKM,0.0,1
RNA58_FPKM,0.139779079,0
RNA6_FPKM,0.0,0
RNA60_FPKM,0.0,0
RNA62_FPKM,0.13905096,0
RNA63_FPKM,0.080908373,0
RNA64_FPKM,0.287165644,0
RNA66_FPKM,0.0,0
RNA67_FPKM,0.045327683,0
RNA69_FPKM,0.127466147,0
RNA7_FPKM,0.0,0
RNA72_FPKM,0.0,0
RNA74_FPKM,0.0,0
RNA75_FPKM,0.106490628,0
RNA78_FPKM,0.087526541,1
RNA86_FPKM,0.3796715,1
RNA87_FPKM,0.0,0
RNA89_FPKM,0.205240515,0
RNA94_FPKM,0.0,1
RNA95_FPKM,0.13281027,0
RNA97_FPKM,0.0,0
RNA98_FPKM,0.434863325,1
R_JS001_FPKM,0.203074882,1
R_JS002_FPKM,0.0,1
R_JS003_FPKM,0.174599501,1
R_JS004_FPKM,0.0,1
R_JS005_FPKM,0.225024071,1
R_JS006_FPKM,0.681617944,1
R_JS007_FPKM,0.330808693,1
R_JS008_FPKM,0.421223167,1
R_JS009_FPKM,0.399604057,1
R_JS010_FPKM,0.07366991,1
R_JS011_FPKM,0.179403159,1
R_JS012_FPKM,0.0,1
R_JS013_FPKM,0.0,1
R_JS014_FPKM,0.149286599,1
R_JS015_FPKM,0.203160489,1
R_JS016_FPKM,0.305509609,1
R_JS017_FPKM,0.292661468,1
R_JS018_FPKM,0.187064831,1
R_JS019_FPKM,0.0,1
R_JS020_FPKM,0.0,1
R_JS021_FPKM,0.085859156,1
R_JS022_FPKM,0.333895814,1
R_JS023_FPKM,0.310200171,1
R_JS024_FPKM,0.586206917,1
R_JS025_FPKM,0.361863832,1
R_JS026_FPKM,0.779487003,1
R_JS027_FPKM,0.033941141,1
R_JS028_FPKM,0.536273825,1
R_JS029_FPKM,0.33192047,1
R_JS030_FPKM,0.0,1
R_JS031_FPKM,0.146084527,1
R_JS032_FPKM,0.449572662,1
R_JS033_FPKM,0.418862894,1
R_JS034_FPKM,0.392550011,1
R_JS035_FPKM,0.211981602,1
R_JS036_FPKM,0.934920949,1
R_JS037_FPKM,0.592943101,1
R_JS038_FPKM,0.046791137,1
R_JS039_FPKM,0.0,1
R_JS040_FPKM,0.131745005,1
R_JS041_FPKM,0.317802469,1
