,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,AC016629.1,TUBBP1,CCDC144CP,CBX3P2,AC091167.1,AL356235.1,CHP1P2,CSNK1A1P1,AP001992.1,AC135983.2,CICP18,RPL13AP7,CAP2P1,GLDCP1,AC007161.1,DENND10P1,RTEL1P1,PLEKHA8P1,AC079416.2,TMEM14EP,UPF3AP2,AL590396.1,ANP32BP1,RPS4XP16,AL391825.1,AC021148.1,AC006122.1,SMPD4BP,RPSAP36,RPL6P27,VN1R105P,AL049840.7,CYP2F2P,TSPY26P,AC231533.2,RPS10P20,AL031282.1,RPS21P1,TPI1P2,AC136632.1,VDAC1P8,AC011447.1,AL691432.1,ACTG1P17,FAM91A2P,AC092656.1,AC007318.1,RPLP1P6,CHORDC1P4,TBCAP3,IPO5P1,EGLN1P1,PTENP1,AC005363.1,AC060766.1,BOLA2P2,AC025048.6,BEND3P1,HNRNPA1P70,AP006222.1,AC104996.2,AURKAP1,INGX,BNIP3P1,RPL31P11,SUMO2P17,NPY6R,AP005264.4,SELENOKP3,PGAM1P8,AC063950.1,FDPSP3,RPL12P25,SKP1P1,AL513477.1,RPS16P5,NOC2LP1,FAM74A4,ABCA11P,AC023389.2,GUSBP5,RPL13AP3,RPS2P45,AC087633.2,RPL23AP7,AL137803.1,RPS27AP16,AC022137.1,AC016582.2,RPL12P38,ENO1P1,RPL36AP21,AC004057.1,AC090877.1,AL390726.4,GAS2L1P2,SPTLC1P1,Diagnosis
RNA1_FPKM,0.173360126,39.11014728,0.210908702,18.2794233,0.201034866,0.0,0.0,0.355568811,0.187363863,0.036324773,0.909945871,0.228036678,4.786936186,0.246715148,0.078484764,0.836234503,0.175272538,0.047484924,34.30603582,1.857489107,1.311252111,6.934019331,0.261037057,0.105501033,0.397874513,0.200611813,1.526788972,0.038396461,1.219843037,1.596829705,4.370442845,0.017902485,1.820173806,2.567012378,0.029423066,0.278256665,0.04647106,0.926146886,1.007107694,0.1795813,4.64566815,0.171458154,0.059329558,0.054189821,9.098316571,0.328749339,1.135694995,0.0,0.094913116,0.725305436,0.0,1.679418289,0.671343193,2.03791062,0.040500779,0.0,12.59361125,0.037296844,245.553833,0.174598413,0.127311343,0.501334763,1.143587272,0.591248346,0.0,7.808515381,1.28651462,0.1434494,29.57200961,0.211678822,7.926029653,6.606299901,0.191542563,0.407235651,0.0,2.617835455,0.460268122,0.176616892,0.254622685,1.802067692,0.521274789,12.5312795,1.584318931,4.054340899,0.486182851,4.76941612,0.118167434,0.0,0.195189872,0.158884556,3.670533342,0.196882969,0.477020606,0.041161802,0.310624742,0.0,0.067610449,0.054300942,1.188633602,0.725500254,0.156845563,0.0,0.974751875,0.818367608,1.179835809,0.053192017,0.0,0.255637118,0.0,0.185685106,0.0,0.082068469,1.528237529,0.401730861,0.0,437.1555237,0.5261078,0.928546104,0.25453204,1.827659765,2.532024791,995.1494482,0.0,0.775390467,0.0,2.130635803,0
RNA102_FPKM,0.041109073,32.09938419,0.200083872,16.23173937,0.603901145,0.284395944,0.015853762,0.661633889,0.59245383,0.137819717,1.104132912,0.504756355,2.59495873,0.0,0.163792571,1.851026251,0.457227911,0.045040604,42.75565107,2.297040348,1.174822332,4.371072063,0.412745478,0.100089408,0.377445133,1.141892806,0.887693499,0.0,0.530360974,3.786941065,4.095476046,0.042460464,1.189525823,2.306967149,0.725700776,0.263933205,0.0,1.186115424,1.68150343,0.127773256,2.31374774,0.433737706,0.0,0.077100542,9.804289551,0.764064846,0.803462268,0.0,0.135041093,0.404726784,0.0,0.703957529,0.636852903,3.472730579,0.115266263,0.0,8.177961361,0.318426452,112.6926053,0.165610836,0.120757901,0.329246768,0.998066784,0.101966076,0.0,2.762941682,0.610145183,0.16330428,17.59717066,0.11899643,3.417692843,2.97685573,0.249835504,0.772630952,0.067641769,1.719291095,0.349260395,0.402092989,0.241515802,0.569844434,0.494536248,32.90115599,12.23823593,5.048138626,0.368924995,6.78681514,0.384336216,0.207965769,0.314777335,0.15070586,4.041680052,0.0,0.661362408,0.117128907,0.442023022,0.05513629,0.064130153,0.0,0.724882446,1.290454216,0.148771827,0.12902899,0.616383887,0.575048662,1.865349683,0.05045392,0.0,0.161674067,0.0,0.029354472,0.0,0.025947979,0.156725673,0.643092612,0.050725635,241.1429647,0.0,1.46810116,0.187804372,1.329243332,1.501245542,112.0886565,0.0,0.468094482,0.0,3.464778284,1
RNA104_FPKM,0.080789233,32.07679794,0.229302602,11.68584187,0.405873042,0.046568134,0.031156462,0.573460999,0.407377483,0.067712238,1.183177036,0.336444333,4.248346814,0.0,0.160900566,1.818329407,0.571631724,0.0,40.88833811,2.472699797,1.221918315,6.153757167,0.405407685,0.039332447,0.406057576,0.560733716,1.147356529,0.071574028,0.994620727,2.975817928,7.449873894,0.041705602,1.507687235,2.392016211,0.520927975,0.259346173,0.043312859,1.165102316,1.276327171,0.041844212,7.179028201,0.106537169,0.0,0.100987,10.20682073,0.352286244,1.291477646,0.141523615,0.132646685,0.675842571,0.0,2.838794884,1.042640045,3.376043227,0.283051656,0.0,7.229796478,0.347546682,212.1797633,0.488110493,0.118659186,0.07188673,0.79567625,0.951627559,0.0,3.298927288,0.299770576,0.080191604,30.18692185,0.138804454,7.553820738,3.886022978,0.044631303,1.021672127,0.0,1.845206279,0.171595208,0.691237082,0.237318373,1.376056478,1.554402862,14.56102355,12.02141481,6.139361053,1.359132985,15.18499732,0.314608769,0.068117141,0.291014373,0.0,4.397630565,0.045875671,0.478692063,0.230145362,0.361815461,0.018059349,0.021005201,0.0,0.817551346,2.704144425,0.292294061,0.063393264,0.90834468,0.564879384,3.481449337,0.024788528,0.023838806,0.31761211,0.310045952,0.144190579,0.0,0.0,0.679969274,1.169839495,0.249166756,288.1760066,0.490353194,2.066979403,0.84330029,2.554628026,0.983100176,669.7556201,0.0,0.591154481,0.0,6.52336941,0
RNA108_FPKM,0.043855257,35.13971922,0.0,14.62997594,0.339137777,0.151720961,0.033841709,0.442956902,0.474128002,0.036756601,0.899635673,0.586665857,2.884185517,0.499533046,0.14299723,0.846443254,0.221779354,0.0,48.31682174,2.68597824,0.995473153,6.183127947,0.088046754,0.170869136,0.345198656,1.21836529,1.146576357,0.077742697,1.543418601,3.636728553,4.693577474,0.090602329,1.228290872,3.145285143,1.072161455,0.422480433,0.0,1.38276409,1.427166822,0.227209853,4.78077495,0.173551315,0.0,0.027417014,13.50119638,0.349400847,0.604010167,0.204985987,0.144107722,0.388672923,0.0,1.304621239,0.604022687,3.590801219,0.102494511,0.066325649,7.587741657,0.226512983,152.1587965,0.176757847,0.128824818,0.234210027,1.450793967,0.108829256,0.0,2.897251634,0.325452172,0.203271701,19.59254006,0.119034998,8.752165463,3.092747001,0.145410686,0.570748409,0.0,2.615835047,0.372680201,0.321791455,0.257649636,1.849395802,1.055243659,16.24888878,7.789134721,4.488633132,0.590541805,10.91260145,0.102522876,0.147975751,0.493925628,0.160849641,0.132714225,0.398588783,0.705683441,0.041651133,0.157233276,0.019606509,0.136871675,0.0,0.429704894,0.91791743,0.396925931,0.0,1.479977468,0.613579297,0.995262298,0.026912182,0.051786749,0.234110428,0.084174541,0.062660554,0.0,0.083070361,0.418087222,0.508277919,0.0,311.1662455,0.532362161,1.566469658,0.229021821,1.233275565,1.281467874,115.4001876,1.168854559,1.212914827,0.0,3.389113498,0
RNA110_FPKM,0.0,38.27348967,0.033229934,17.28414711,0.095051498,0.047232485,0.0,0.349130567,0.265736303,0.0,1.240596852,0.125774376,6.789526877,0.0,0.163268248,0.0,0.331458083,0.0,32.602036,3.449993093,0.688827951,6.712595409,0.0,0.0,0.232888125,1.13804559,1.397065447,0.0,1.345660438,3.019766352,3.855316985,0.016923865,0.611948578,1.405273138,0.027814686,0.263046063,0.021965385,0.963295285,0.514224002,0.04244117,3.294541763,0.324220183,0.056086371,0.128092225,4.510279128,0.077708753,0.946450116,0.095729319,0.0,0.322735502,0.0,1.292543249,0.423192609,2.497925932,0.114877913,0.123926817,8.434804105,0.176322255,314.9280755,0.165054178,0.240704009,0.109401505,0.144171364,0.050811672,0.0,2.18415523,0.0,0.027121579,27.32639681,0.103779686,71.19818769,2.186313087,0.203747184,0.266574588,0.0,2.729164743,1.82784868,0.033392464,0.240704009,2.177273834,0.394313323,8.76422973,10.27217344,1.317863804,0.367768362,3.523264846,0.063847589,0.138177831,0.313751022,0.150199302,0.123926817,0.0,0.693918596,0.233505727,0.220300197,0.073284574,0.042609731,0.0,1.070395216,0.17146039,0.0,0.064297646,0.307156036,0.659150215,0.929619809,0.025142166,0.024178896,0.610047108,0.078638378,0.029255805,0.0,0.0,1.288809853,0.522292371,0.0,496.4456004,0.497348681,0.634090849,0.294161839,0.057591757,2.793183618,952.1398362,0.436625877,1.133067133,0.06229052,2.590165345,0
RNA114_FPKM,0.114534636,36.42695503,0.154795671,14.74334772,0.501704374,0.0,0.014723472,0.409551066,0.385062532,0.031998474,1.099734527,0.393338184,2.911303912,0.217331251,0.179730966,0.49109237,0.154361585,0.0,64.24951074,2.249628413,0.930389192,6.517368344,0.076649138,0.13009284,0.350440883,0.706710992,1.518327838,0.0,1.163980766,3.516289092,4.319001908,0.01577029,1.318207246,2.379962518,0.388733239,0.245116157,0.0,0.978921954,0.816105451,0.079078144,3.716852273,0.100691601,0.026131689,0.09544937,13.14901028,0.173730138,0.762960803,0.178366828,0.041804458,0.413384636,0.0,1.066440586,0.591324757,3.955687598,0.160530427,0.230905572,7.560124521,0.098564314,154.4592994,0.230705482,0.112148498,0.033971196,0.617796525,0.473438112,0.0,2.874982486,0.566645043,0.227432599,17.5226755,0.207160712,7.616057194,6.873587787,0.063273655,0.386277241,0.0,3.429142546,0.162179983,0.217785478,0.224296996,1.014089445,0.09183814,19.913481,8.771391942,4.57556887,0.770821134,12.47163561,0.163561877,0.128759269,0.412614401,0.209941988,1.039209351,0.0,0.678706061,0.072518822,0.13681459,0.034136909,0.01985267,0.0,0.822622543,0.159773203,0.069082589,0.0,1.430964273,0.347050141,0.519658387,0.046856821,0.180225436,0.289500858,0.0,0.054523306,0.0,0.0,0.485078166,1.65864849,0.070663746,273.4058471,0.463448098,2.271845811,0.274020004,1.71711719,0.557528391,428.0276492,0.0,1.365908861,0.0,3.485128043,0
RNA115_FPKM,0.170169405,40.5480805,0.0,23.05514889,0.098683571,0.0,0.0,0.456416667,0.0,0.0,0.747811582,0.130573116,8.838548961,0.0,0.015415627,0.0,0.30110274,0.0,30.04002341,3.451344673,0.643577414,7.513730049,0.0,0.041423708,0.316169942,0.787678081,1.740412077,0.037708307,1.347090126,4.310652196,5.598088308,0.0,0.079409501,1.724115726,0.404341415,0.273135306,0.0,1.136405275,0.474524118,0.066114368,3.49622255,0.056128408,0.0,0.106384898,5.318169248,0.129079462,1.341562294,0.0,0.0,0.586316767,0.100669016,1.456855919,0.951870131,1.629988465,0.039755356,0.0,10.30176448,0.109849177,299.3687708,0.085734601,0.0,0.075708864,0.059869582,1.055211502,0.0,3.573714892,0.31586432,0.281618382,29.82007243,0.076956607,12.2010597,3.282967196,0.282025787,0.153761438,0.0,2.273201236,0.45184126,0.277385967,0.250059254,2.014633703,0.102386466,6.674221477,5.776305925,1.616874078,0.095493864,3.706420634,0.165703634,0.789162638,0.389584462,0.078018487,0.257360165,0.193259306,0.684369897,0.080808425,0.457361466,0.0,0.0,0.0,1.416824007,0.178036826,0.077017263,0.0,0.478484145,0.922328267,0.0,0.026119346,0.0,0.358474395,0.081694751,0.060755847,0.0,0.0,2.013718274,1.454129591,0.0,570.9303576,0.516678723,1.012728961,0.471947514,2.571460082,2.899659548,256.0285372,0.0,1.868235907,0.0,2.689116962,0
RNA116_FPKM,0.173427664,27.30322172,0.035146801,10.68428047,0.067037728,0.0,0.016711923,0.259918565,0.687203289,0.0,0.762085867,0.494232287,3.876504867,0.0,0.235521445,0.278707965,0.350635909,0.14248549,51.75785638,1.791742215,0.801579627,5.645149748,0.174092502,0.042216854,0.379055957,0.401379935,1.47801053,0.0,1.22021217,2.396177701,7.757467071,0.062678437,1.29479503,2.162395781,0.264895402,0.417474999,0.0,0.625372416,1.269381388,0.089825631,5.770292513,0.171495125,0.029660855,0.108421865,13.10713757,0.098663224,2.002576985,0.20260861,0.094950092,0.469475854,0.0,2.461376692,0.895395128,1.925341749,0.162045094,0.131143939,5.174105993,0.186537408,210.699525,0.873241051,0.0,0.192876057,0.076261934,0.591450637,0.0,6.906928136,0.0,0.0,24.20336024,0.156852031,1.44150318,8.632381603,0.479017971,1.096749078,0.0,2.31655241,0.644578369,0.388690103,0.254589006,1.076604121,0.312832315,16.3479493,7.697788867,6.844055193,0.097223709,13.17002581,0.371492811,0.511748972,0.325422818,0.0,1.114620866,0.0,0.660709087,0.082355676,0.38839167,0.019373602,0.112716221,0.0,0.877614091,0.544337172,0.078412409,0.068006652,0.650087747,0.606402758,0.590045109,0.425674161,0.051174003,0.280073529,0.0,0.061919148,0.0,0.0,0.729946419,0.301389321,0.133734325,428.7101708,0.526038212,3.612150211,0.678957501,3.168923429,1.055311231,140.8283972,0.0,0.634620751,0.0,5.175940571,0
RNA126_FPKM,0.043762796,40.67162835,0.0,11.6961143,0.338287575,0.25225536,0.0,0.497080865,0.315282956,0.0,1.388827188,0.364546963,6.214157842,0.0,0.332815033,1.407319374,0.132736687,0.0,54.25286837,3.248572523,1.838831455,4.970463125,0.0,0.063918091,0.459105294,0.0,3.132810202,0.0,0.718457234,2.418145841,0.376701998,0.05422096,3.716409351,0.545695268,0.029710076,0.702427359,0.0,0.77146346,2.176067706,0.0,8.325830828,0.461615418,0.0,0.0,11.95114204,0.431504843,1.418779427,0.715709788,0.143758431,0.258437713,0.0,4.180036297,0.828447929,2.019545375,0.163559886,0.860339482,3.349153601,0.715465951,366.62902,0.264452322,0.128553212,0.077880781,0.046190329,0.70550166,0.0,6.084160862,0.324766009,0.318633819,3.52870204,0.372035901,24.55398718,19.34365222,0.53182462,0.885606196,0.048005508,1.186026844,0.371806277,0.392306378,0.257106424,1.288818087,0.210543843,18.40922353,22.85180286,7.291737845,0.392740291,12.44023164,0.187483435,1.033071442,0.295610596,0.0,2.183903574,0.19880348,0.555734809,0.083126637,0.156827379,0.039130344,0.113783269,0.0,0.285742729,2.472237568,0.079187763,0.0,0.328086725,0.734463372,3.772134839,0.026855442,0.0,0.098321396,0.503885887,0.124997591,0.0,0.0,0.500440684,0.836564833,0.242969584,537.0778214,0.0,4.166708391,0.885175053,0.553575641,1.810890133,1205.171729,0.0,0.071177644,0.0,8.912316163,0
RNA132_FPKM,0.0,31.39426511,0.208615947,19.29077847,0.198849447,0.395401056,0.033058742,0.311132343,0.18532706,0.071846456,0.962925678,0.225568185,3.607838273,0.0,0.170800968,1.930104769,0.130025383,0.281812337,33.31389715,1.607749067,1.080902172,7.00752395,0.0,0.062612489,0.449791461,0.0,1.412850128,0.0,0.4022314,3.553809343,6.247574624,0.079685415,1.480411149,1.202734795,0.785819117,0.275180736,0.045957356,1.076462657,1.713510779,0.133221825,4.748646114,0.113041871,0.029353181,0.053590791,8.970844672,0.195105334,2.246828773,0.100145443,0.187780071,0.717452061,0.0,2.781674922,0.885434553,1.903889413,0.02003768,0.259359603,7.934233761,0.073769108,262.5084338,0.086382219,0.0,0.381464019,1.282049653,0.744357049,0.0,3.402583352,0.318250282,0.085133991,32.57634551,0.124078547,37.42020031,2.940710391,0.236834201,0.960589691,0.0,2.888337275,0.091086697,0.559043094,1.007512306,1.535006589,0.309364855,11.46085808,14.32831656,5.765267934,0.0,14.35025079,0.0,1.80734445,0.212381954,0.550079859,5.381477303,0.0,0.943696904,0.162872456,0.384116969,0.0,0.133750933,0.0,1.371770222,2.422045225,0.23271078,0.26913,0.642829937,1.199261166,1.36158381,0.052604017,0.202410714,0.337162034,0.0,0.06121083,0.0,0.0,0.503904245,0.844434727,0.079345682,410.888,0.520581587,1.683885491,0.447592709,3.374723063,1.461035483,980.1641141,0.0,0.976184311,0.0,4.81719509,0
