,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA1_FPKM,0.173360126,39.11014728,0.210908702,18.2794233,0.201034866,0.0,0.0,0.355568811,0.187363863,0.036324773,0.909945871,0.228036678,4.786936186,0.246715148,0.078484764,0.836234503,0.175272538,0.047484924,34.30603582,1.857489107,1.311252111,6.934019331,0.261037057,0.105501033,0.397874513,0.200611813,1.526788972,0.038396461,1.219843037,0
RNA102_FPKM,0.041109073,32.09938419,0.200083872,16.23173937,0.603901145,0.284395944,0.015853762,0.661633889,0.59245383,0.137819717,1.104132912,0.504756355,2.59495873,0.0,0.163792571,1.851026251,0.457227911,0.045040604,42.75565107,2.297040348,1.174822332,4.371072063,0.412745478,0.100089408,0.377445133,1.141892806,0.887693499,0.0,0.530360974,1
RNA104_FPKM,0.080789233,32.07679794,0.229302602,11.68584187,0.405873042,0.046568134,0.031156462,0.573460999,0.407377483,0.067712238,1.183177036,0.336444333,4.248346814,0.0,0.160900566,1.818329407,0.571631724,0.0,40.88833811,2.472699797,1.221918315,6.153757167,0.405407685,0.039332447,0.406057576,0.560733716,1.147356529,0.071574028,0.994620727,0
RNA108_FPKM,0.043855257,35.13971922,0.0,14.62997594,0.339137777,0.151720961,0.033841709,0.442956902,0.474128002,0.036756601,0.899635673,0.586665857,2.884185517,0.499533046,0.14299723,0.846443254,0.221779354,0.0,48.31682174,2.68597824,0.995473153,6.183127947,0.088046754,0.170869136,0.345198656,1.21836529,1.146576357,0.077742697,1.543418601,0
RNA110_FPKM,0.0,38.27348967,0.033229934,17.28414711,0.095051498,0.047232485,0.0,0.349130567,0.265736303,0.0,1.240596852,0.125774376,6.789526877,0.0,0.163268248,0.0,0.331458083,0.0,32.602036,3.449993093,0.688827951,6.712595409,0.0,0.0,0.232888125,1.13804559,1.397065447,0.0,1.345660438,0
RNA114_FPKM,0.114534636,36.42695503,0.154795671,14.74334772,0.501704374,0.0,0.014723472,0.409551066,0.385062532,0.031998474,1.099734527,0.393338184,2.911303912,0.217331251,0.179730966,0.49109237,0.154361585,0.0,64.24951074,2.249628413,0.930389192,6.517368344,0.076649138,0.13009284,0.350440883,0.706710992,1.518327838,0.0,1.163980766,0
RNA115_FPKM,0.170169405,40.5480805,0.0,23.05514889,0.098683571,0.0,0.0,0.456416667,0.0,0.0,0.747811582,0.130573116,8.838548961,0.0,0.015415627,0.0,0.30110274,0.0,30.04002341,3.451344673,0.643577414,7.513730049,0.0,0.041423708,0.316169942,0.787678081,1.740412077,0.037708307,1.347090126,0
RNA116_FPKM,0.173427664,27.30322172,0.035146801,10.68428047,0.067037728,0.0,0.016711923,0.259918565,0.687203289,0.0,0.762085867,0.494232287,3.876504867,0.0,0.235521445,0.278707965,0.350635909,0.14248549,51.75785638,1.791742215,0.801579627,5.645149748,0.174092502,0.042216854,0.379055957,0.401379935,1.47801053,0.0,1.22021217,0
RNA126_FPKM,0.043762796,40.67162835,0.0,11.6961143,0.338287575,0.25225536,0.0,0.497080865,0.315282956,0.0,1.388827188,0.364546963,6.214157842,0.0,0.332815033,1.407319374,0.132736687,0.0,54.25286837,3.248572523,1.838831455,4.970463125,0.0,0.063918091,0.459105294,0.0,3.132810202,0.0,0.718457234,0
RNA132_FPKM,0.0,31.39426511,0.208615947,19.29077847,0.198849447,0.395401056,0.033058742,0.311132343,0.18532706,0.071846456,0.962925678,0.225568185,3.607838273,0.0,0.170800968,1.930104769,0.130025383,0.281812337,33.31389715,1.607749067,1.080902172,7.00752395,0.0,0.062612489,0.449791461,0.0,1.412850128,0.0,0.4022314,0
