,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,AC016629.1,TUBBP1,CCDC144CP,CBX3P2,AC091167.1,AL356235.1,CHP1P2,CSNK1A1P1,AP001992.1,AC135983.2,CICP18,RPL13AP7,CAP2P1,GLDCP1,AC007161.1,DENND10P1,RTEL1P1,PLEKHA8P1,AC079416.2,TMEM14EP,UPF3AP2,AL590396.1,ANP32BP1,RPS4XP16,AL391825.1,AC021148.1,AC006122.1,SMPD4BP,RPSAP36,RPL6P27,VN1R105P,AL049840.7,CYP2F2P,TSPY26P,Diagnosis
RNA1_FPKM,0.173360126,39.11014728,0.210908702,18.2794233,0.201034866,0.0,0.0,0.355568811,0.187363863,0.036324773,0.909945871,0.228036678,4.786936186,0.246715148,0.078484764,0.836234503,0.175272538,0.047484924,34.30603582,1.857489107,1.311252111,6.934019331,0.261037057,0.105501033,0.397874513,0.200611813,1.526788972,0.038396461,1.219843037,1.596829705,4.370442845,0.017902485,1.820173806,2.567012378,0.029423066,0.278256665,0.04647106,0.926146886,1.007107694,0.1795813,4.64566815,0.171458154,0.059329558,0.054189821,9.098316571,0.328749339,1.135694995,0.0,0.094913116,0.725305436,0.0,1.679418289,0.671343193,2.03791062,0.040500779,0.0,12.59361125,0.037296844,245.553833,0.174598413,0.127311343,0.501334763,1.143587272,0
RNA102_FPKM,0.041109073,32.09938419,0.200083872,16.23173937,0.603901145,0.284395944,0.015853762,0.661633889,0.59245383,0.137819717,1.104132912,0.504756355,2.59495873,0.0,0.163792571,1.851026251,0.457227911,0.045040604,42.75565107,2.297040348,1.174822332,4.371072063,0.412745478,0.100089408,0.377445133,1.141892806,0.887693499,0.0,0.530360974,3.786941065,4.095476046,0.042460464,1.189525823,2.306967149,0.725700776,0.263933205,0.0,1.186115424,1.68150343,0.127773256,2.31374774,0.433737706,0.0,0.077100542,9.804289551,0.764064846,0.803462268,0.0,0.135041093,0.404726784,0.0,0.703957529,0.636852903,3.472730579,0.115266263,0.0,8.177961361,0.318426452,112.6926053,0.165610836,0.120757901,0.329246768,0.998066784,1
RNA104_FPKM,0.080789233,32.07679794,0.229302602,11.68584187,0.405873042,0.046568134,0.031156462,0.573460999,0.407377483,0.067712238,1.183177036,0.336444333,4.248346814,0.0,0.160900566,1.818329407,0.571631724,0.0,40.88833811,2.472699797,1.221918315,6.153757167,0.405407685,0.039332447,0.406057576,0.560733716,1.147356529,0.071574028,0.994620727,2.975817928,7.449873894,0.041705602,1.507687235,2.392016211,0.520927975,0.259346173,0.043312859,1.165102316,1.276327171,0.041844212,7.179028201,0.106537169,0.0,0.100987,10.20682073,0.352286244,1.291477646,0.141523615,0.132646685,0.675842571,0.0,2.838794884,1.042640045,3.376043227,0.283051656,0.0,7.229796478,0.347546682,212.1797633,0.488110493,0.118659186,0.07188673,0.79567625,0
RNA108_FPKM,0.043855257,35.13971922,0.0,14.62997594,0.339137777,0.151720961,0.033841709,0.442956902,0.474128002,0.036756601,0.899635673,0.586665857,2.884185517,0.499533046,0.14299723,0.846443254,0.221779354,0.0,48.31682174,2.68597824,0.995473153,6.183127947,0.088046754,0.170869136,0.345198656,1.21836529,1.146576357,0.077742697,1.543418601,3.636728553,4.693577474,0.090602329,1.228290872,3.145285143,1.072161455,0.422480433,0.0,1.38276409,1.427166822,0.227209853,4.78077495,0.173551315,0.0,0.027417014,13.50119638,0.349400847,0.604010167,0.204985987,0.144107722,0.388672923,0.0,1.304621239,0.604022687,3.590801219,0.102494511,0.066325649,7.587741657,0.226512983,152.1587965,0.176757847,0.128824818,0.234210027,1.450793967,0
RNA110_FPKM,0.0,38.27348967,0.033229934,17.28414711,0.095051498,0.047232485,0.0,0.349130567,0.265736303,0.0,1.240596852,0.125774376,6.789526877,0.0,0.163268248,0.0,0.331458083,0.0,32.602036,3.449993093,0.688827951,6.712595409,0.0,0.0,0.232888125,1.13804559,1.397065447,0.0,1.345660438,3.019766352,3.855316985,0.016923865,0.611948578,1.405273138,0.027814686,0.263046063,0.021965385,0.963295285,0.514224002,0.04244117,3.294541763,0.324220183,0.056086371,0.128092225,4.510279128,0.077708753,0.946450116,0.095729319,0.0,0.322735502,0.0,1.292543249,0.423192609,2.497925932,0.114877913,0.123926817,8.434804105,0.176322255,314.9280755,0.165054178,0.240704009,0.109401505,0.144171364,0
RNA114_FPKM,0.114534636,36.42695503,0.154795671,14.74334772,0.501704374,0.0,0.014723472,0.409551066,0.385062532,0.031998474,1.099734527,0.393338184,2.911303912,0.217331251,0.179730966,0.49109237,0.154361585,0.0,64.24951074,2.249628413,0.930389192,6.517368344,0.076649138,0.13009284,0.350440883,0.706710992,1.518327838,0.0,1.163980766,3.516289092,4.319001908,0.01577029,1.318207246,2.379962518,0.388733239,0.245116157,0.0,0.978921954,0.816105451,0.079078144,3.716852273,0.100691601,0.026131689,0.09544937,13.14901028,0.173730138,0.762960803,0.178366828,0.041804458,0.413384636,0.0,1.066440586,0.591324757,3.955687598,0.160530427,0.230905572,7.560124521,0.098564314,154.4592994,0.230705482,0.112148498,0.033971196,0.617796525,0
RNA115_FPKM,0.170169405,40.5480805,0.0,23.05514889,0.098683571,0.0,0.0,0.456416667,0.0,0.0,0.747811582,0.130573116,8.838548961,0.0,0.015415627,0.0,0.30110274,0.0,30.04002341,3.451344673,0.643577414,7.513730049,0.0,0.041423708,0.316169942,0.787678081,1.740412077,0.037708307,1.347090126,4.310652196,5.598088308,0.0,0.079409501,1.724115726,0.404341415,0.273135306,0.0,1.136405275,0.474524118,0.066114368,3.49622255,0.056128408,0.0,0.106384898,5.318169248,0.129079462,1.341562294,0.0,0.0,0.586316767,0.100669016,1.456855919,0.951870131,1.629988465,0.039755356,0.0,10.30176448,0.109849177,299.3687708,0.085734601,0.0,0.075708864,0.059869582,0
RNA116_FPKM,0.173427664,27.30322172,0.035146801,10.68428047,0.067037728,0.0,0.016711923,0.259918565,0.687203289,0.0,0.762085867,0.494232287,3.876504867,0.0,0.235521445,0.278707965,0.350635909,0.14248549,51.75785638,1.791742215,0.801579627,5.645149748,0.174092502,0.042216854,0.379055957,0.401379935,1.47801053,0.0,1.22021217,2.396177701,7.757467071,0.062678437,1.29479503,2.162395781,0.264895402,0.417474999,0.0,0.625372416,1.269381388,0.089825631,5.770292513,0.171495125,0.029660855,0.108421865,13.10713757,0.098663224,2.002576985,0.20260861,0.094950092,0.469475854,0.0,2.461376692,0.895395128,1.925341749,0.162045094,0.131143939,5.174105993,0.186537408,210.699525,0.873241051,0.0,0.192876057,0.076261934,0
RNA126_FPKM,0.043762796,40.67162835,0.0,11.6961143,0.338287575,0.25225536,0.0,0.497080865,0.315282956,0.0,1.388827188,0.364546963,6.214157842,0.0,0.332815033,1.407319374,0.132736687,0.0,54.25286837,3.248572523,1.838831455,4.970463125,0.0,0.063918091,0.459105294,0.0,3.132810202,0.0,0.718457234,2.418145841,0.376701998,0.05422096,3.716409351,0.545695268,0.029710076,0.702427359,0.0,0.77146346,2.176067706,0.0,8.325830828,0.461615418,0.0,0.0,11.95114204,0.431504843,1.418779427,0.715709788,0.143758431,0.258437713,0.0,4.180036297,0.828447929,2.019545375,0.163559886,0.860339482,3.349153601,0.715465951,366.62902,0.264452322,0.128553212,0.077880781,0.046190329,0
RNA132_FPKM,0.0,31.39426511,0.208615947,19.29077847,0.198849447,0.395401056,0.033058742,0.311132343,0.18532706,0.071846456,0.962925678,0.225568185,3.607838273,0.0,0.170800968,1.930104769,0.130025383,0.281812337,33.31389715,1.607749067,1.080902172,7.00752395,0.0,0.062612489,0.449791461,0.0,1.412850128,0.0,0.4022314,3.553809343,6.247574624,0.079685415,1.480411149,1.202734795,0.785819117,0.275180736,0.045957356,1.076462657,1.713510779,0.133221825,4.748646114,0.113041871,0.029353181,0.053590791,8.970844672,0.195105334,2.246828773,0.100145443,0.187780071,0.717452061,0.0,2.781674922,0.885434553,1.903889413,0.02003768,0.259359603,7.934233761,0.073769108,262.5084338,0.086382219,0.0,0.381464019,1.282049653,0
