Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,43,0.8276 +/- 0.0308
Naive Bayes,46,0.8207 +/- 0.0258
Naive Bayes,45,0.8207 +/- 0.0258
Naive Bayes,44,0.8207 +/- 0.0258
Naive Bayes,14,0.8138 +/- 0.0560
Naive Bayes,48,0.8138 +/- 0.0352
Naive Bayes,13,0.8138 +/- 0.0352
Naive Bayes,47,0.8138 +/- 0.0352
Naive Bayes,38,0.8138 +/- 0.0276
Naive Bayes,10,0.8138 +/- 0.0276
Naive Bayes,39,0.8138 +/- 0.0276
Naive Bayes,15,0.8069 +/- 0.0516
Naive Bayes,16,0.8069 +/- 0.0516
Naive Bayes,42,0.8069 +/- 0.0414
Naive Bayes,12,0.8069 +/- 0.0352
Naive Bayes,37,0.8069 +/- 0.0352
ANN,24,0.8069 +/- 0.0276
ANN,53,0.8069 +/- 0.0169
Naive Bayes,17,0.8000 +/- 0.0593
Naive Bayes,19,0.8000 +/- 0.0593
Naive Bayes,18,0.8000 +/- 0.0593
SVM(linear),28,0.8000 +/- 0.0507
Naive Bayes,65,0.8000 +/- 0.0507
Naive Bayes,21,0.8000 +/- 0.0402
Logistic Regression,20,0.8000 +/- 0.0402
Logistic Regression,21,0.8000 +/- 0.0402
Naive Bayes,11,0.8000 +/- 0.0338
Logistic Regression,28,0.8000 +/- 0.0338
ANN,41,0.8000 +/- 0.0258
Random Forest,14,0.7931 +/- 0.0577
Naive Bayes,66,0.7931 +/- 0.0534
Logistic Regression,30,0.7931 +/- 0.0534
Random Forest,16,0.7931 +/- 0.0488
Logistic Regression,22,0.7931 +/- 0.0488
Naive Bayes,41,0.7931 +/- 0.0436
Logistic Regression,24,0.7931 +/- 0.0436
Logistic Regression,23,0.7931 +/- 0.0436
Naive Bayes,40,0.7931 +/- 0.0436
Random Forest,79,0.7931 +/- 0.0378
Naive Bayes,20,0.7931 +/- 0.0378
Logistic Regression,25,0.7931 +/- 0.0378
Naive Bayes,9,0.7931 +/- 0.0378
Logistic Regression,27,0.7931 +/- 0.0308
ANN,21,0.7931 +/- 0.0308
Random Forest,21,0.7931 +/- 0.0308
Logistic Regression,26,0.7931 +/- 0.0308
Random Forest,34,0.7931 +/- 0.0308
Random Forest,62,0.7931 +/- 0.0218
Random Forest,80,0.7931 +/- 0.0218
ANN,43,0.7931 +/- 0.0218
Random Forest,46,0.7931 +/- 0.0000
ANN,32,0.7931 +/- 0.0000
Naive Bayes,68,0.7862 +/- 0.0593
Naive Bayes,69,0.7862 +/- 0.0593
Naive Bayes,67,0.7862 +/- 0.0593
Naive Bayes,70,0.7862 +/- 0.0593
ANN,69,0.7862 +/- 0.0507
Naive Bayes,49,0.7862 +/- 0.0507
Naive Bayes,50,0.7862 +/- 0.0507
Random Forest,19,0.7862 +/- 0.0457
Naive Bayes,22,0.7862 +/- 0.0457
Random Forest,86,0.7862 +/- 0.0457
Logistic Regression,18,0.7862 +/- 0.0457
Naive Bayes,23,0.7862 +/- 0.0457
ANN,55,0.7862 +/- 0.0457
Naive Bayes,24,0.7862 +/- 0.0457
Random Forest,77,0.7862 +/- 0.0457
Naive Bayes,25,0.7862 +/- 0.0457
ANN,61,0.7862 +/- 0.0402
Random Forest,85,0.7862 +/- 0.0402
Logistic Regression,31,0.7862 +/- 0.0402
ANN,60,0.7862 +/- 0.0402
ANN,49,0.7862 +/- 0.0402
Random Forest,39,0.7862 +/- 0.0402
Logistic Regression,19,0.7862 +/- 0.0338
ANN,38,0.7862 +/- 0.0258
Random Forest,71,0.7862 +/- 0.0258
Naive Bayes,35,0.7862 +/- 0.0258
Naive Bayes,32,0.7862 +/- 0.0258
Naive Bayes,36,0.7862 +/- 0.0258
Naive Bayes,33,0.7862 +/- 0.0258
Random Forest,42,0.7862 +/- 0.0258
Random Forest,138,0.7862 +/- 0.0258
Naive Bayes,34,0.7862 +/- 0.0258
ANN,42,0.7862 +/- 0.0138
Logistic Regression,17,0.7793 +/- 0.0601
Random Forest,72,0.7793 +/- 0.0560
SVM(linear),25,0.7793 +/- 0.0516
SVM(linear),24,0.7793 +/- 0.0516
Random Forest,24,0.7793 +/- 0.0516
Naive Bayes,8,0.7793 +/- 0.0516
Naive Bayes,72,0.7793 +/- 0.0468
Logistic Regression,32,0.7793 +/- 0.0468
ANN,40,0.7793 +/- 0.0468
Naive Bayes,53,0.7793 +/- 0.0468
Naive Bayes,54,0.7793 +/- 0.0468
Naive Bayes,61,0.7793 +/- 0.0468
Logistic Regression,33,0.7793 +/- 0.0468
Naive Bayes,62,0.7793 +/- 0.0468
Naive Bayes,52,0.7793 +/- 0.0468
Naive Bayes,60,0.7793 +/- 0.0468
Logistic Regression,15,0.7793 +/- 0.0468
SVM(linear),23,0.7793 +/- 0.0468
Random Forest,41,0.7793 +/- 0.0468
Naive Bayes,51,0.7793 +/- 0.0468
Logistic Regression,14,0.7793 +/- 0.0468
Naive Bayes,55,0.7793 +/- 0.0468
SVM(linear),29,0.7793 +/- 0.0468
Random Forest,78,0.7793 +/- 0.0414
ANN,52,0.7793 +/- 0.0414
Logistic Regression,29,0.7793 +/- 0.0352
Naive Bayes,27,0.7793 +/- 0.0352
ANN,36,0.7793 +/- 0.0352
SVM(linear),27,0.7793 +/- 0.0352
Naive Bayes,26,0.7793 +/- 0.0352
SVM(linear),30,0.7793 +/- 0.0352
ANN,58,0.7793 +/- 0.0352
Random Forest,68,0.7793 +/- 0.0352
ANN,63,0.7793 +/- 0.0352
Random Forest,59,0.7793 +/- 0.0352
ANN,31,0.7793 +/- 0.0352
Random Forest,97,0.7793 +/- 0.0276
ANN,20,0.7793 +/- 0.0276
Random Forest,116,0.7793 +/- 0.0276
ANN,22,0.7793 +/- 0.0276
ANN,27,0.7793 +/- 0.0276
Random Forest,61,0.7793 +/- 0.0276
Random Forest,32,0.7793 +/- 0.0276
Random Forest,23,0.7793 +/- 0.0276
ANN,39,0.7793 +/- 0.0276
Random Forest,58,0.7793 +/- 0.0276
ANN,25,0.7793 +/- 0.0276
Random Forest,30,0.7793 +/- 0.0276
ANN,54,0.7793 +/- 0.0276
ANN,35,0.7793 +/- 0.0276
Random Forest,37,0.7793 +/- 0.0276
Random Forest,92,0.7793 +/- 0.0276
Random Forest,110,0.7793 +/- 0.0169
ANN,57,0.7793 +/- 0.0169
ANN,46,0.7793 +/- 0.0169
SVM(linear),15,0.7724 +/- 0.0710
Random Forest,20,0.7724 +/- 0.0676
Logistic Regression,50,0.7724 +/- 0.0640
Logistic Regression,52,0.7724 +/- 0.0640
Logistic Regression,55,0.7724 +/- 0.0640
Logistic Regression,56,0.7724 +/- 0.0640
Logistic Regression,53,0.7724 +/- 0.0640
Logistic Regression,54,0.7724 +/- 0.0640
Logistic Regression,51,0.7724 +/- 0.0640
Random Forest,141,0.7724 +/- 0.0601
Naive Bayes,58,0.7724 +/- 0.0560
Naive Bayes,59,0.7724 +/- 0.0560
Logistic Regression,12,0.7724 +/- 0.0560
Naive Bayes,56,0.7724 +/- 0.0560
SVM(linear),16,0.7724 +/- 0.0560
Naive Bayes,57,0.7724 +/- 0.0560
Naive Bayes,63,0.7724 +/- 0.0560
Logistic Regression,35,0.7724 +/- 0.0560
Logistic Regression,36,0.7724 +/- 0.0560
Naive Bayes,64,0.7724 +/- 0.0560
Logistic Regression,37,0.7724 +/- 0.0560
Random Forest,139,0.7724 +/- 0.0516
Random Forest,76,0.7724 +/- 0.0516
Logistic Regression,47,0.7724 +/- 0.0468
Logistic Regression,44,0.7724 +/- 0.0468
Logistic Regression,43,0.7724 +/- 0.0468
Random Forest,75,0.7724 +/- 0.0468
Random Forest,83,0.7724 +/- 0.0468
Random Forest,38,0.7724 +/- 0.0468
Logistic Regression,46,0.7724 +/- 0.0468
Random Forest,142,0.7724 +/- 0.0468
Random Forest,108,0.7724 +/- 0.0468
Logistic Regression,45,0.7724 +/- 0.0468
Random Forest,66,0.7724 +/- 0.0414
ANN,45,0.7724 +/- 0.0414
Random Forest,124,0.7724 +/- 0.0414
Logistic Regression,39,0.7724 +/- 0.0414
Random Forest,35,0.7724 +/- 0.0414
Naive Bayes,28,0.7724 +/- 0.0352
Random Forest,55,0.7724 +/- 0.0352
ANN,30,0.7724 +/- 0.0352
Naive Bayes,30,0.7724 +/- 0.0352
Naive Bayes,31,0.7724 +/- 0.0352
Random Forest,29,0.7724 +/- 0.0352
Naive Bayes,29,0.7724 +/- 0.0352
Random Forest,87,0.7724 +/- 0.0352
Random Forest,70,0.7724 +/- 0.0352
Random Forest,115,0.7724 +/- 0.0352
Random Forest,63,0.7724 +/- 0.0352
Random Forest,40,0.7724 +/- 0.0352
Naive Bayes,71,0.7724 +/- 0.0352
Random Forest,111,0.7724 +/- 0.0352
Random Forest,120,0.7724 +/- 0.0352
Random Forest,81,0.7724 +/- 0.0352
Random Forest,91,0.7724 +/- 0.0352
