,RNA5SP494,RNA5SP493,RNA5SP82,RNA5SP37,RNA5SP498,RNA5SP310,RNA5SP317,RNA5SP207,5S_rRNA.3,RNA5SP312,RNA5SP450,RNA5SP434,RNA5SP295,RNA5SP449,RNA5SP39,RNA5SP383,RNA5SP155,RNA5SP284,RNA5SP392,RNA5SP490,RNA5SP437,RNA5SP244,RNA5SP78,RNA5SP195,RNA5SP311,RNA5SP108,RNA5SP151,RNA5SP483,RNA5SP307,RNA5SP390,RNA5SP203,RNA5SP324,RNA5SP219,RNA5SP393,RNA5SP283,RNA5SP290,RNA5SP479,RNA5SP474,RNA5SP395,RNA5SP377,RNA5SP132,RNA5SP464,RNA5SP237,RNA5SP21,RNA5SP131,RNA5SP260,RNA5SP217,RNA5SP492,RNA5SP340,RNA5SP496,RNA5SP345,RNA5SP315,RNA5SP425,RNA5SP196,RNA5SP466,RNA5SP427,RNA5SP248,RNA5SP477,RNA5SP452,RNA5SP221,RNA5SP33,RNA5SP159,RNA5SP357,RNA5SP74,RNA5SP69,RNA5SP282,RNA5SP320,RNA5SP354,RNA5SP146,RNA5SP141,RNA5SP111,RNA5SP376,RNA5SP212,RNA5SP152,RNA5SP245,RNA5SP88,RNA5SP294,RNA5SP52,RNA5SP363,RNA5SP247,RNA5SP465,RNA5SP229,RNA5SP129,RNA5SP364,RNA5SP20,RNA5SP507,RNA5SP370,RNA5SP122,RNA5SP197,RNA5SP371,RNA5SP473,RNA5SP344,RNA5SP209,RNA5SP154,5S_rRNA.4,RNA5SP394,RNA5SP67,RNA5SP435,RNA5SP298,RNA5SP369,RNA5SP372,RNA5SP289,RNA5SP367,RNA5SP386,RNA5SP432,RNA5SP124,RNA5SP65,RNA5SP296,RNA5SP174,RNA5SP469,RNA5SP97,RNA5SP341,RNA5SP25,RNA5SP482,RNA5SP297,RNA5SP327,RNA5SP18,Diagnosis
RNA1_FPKM,1.847494833,0.0,2.590509059,0.611094445,3.310094909,0.0,1.369694445,1.484902389,0.690802416,1.369694445,1.557691722,0.0,0.0,1.222188889,1.986056945,7.94422778,0.615831611,0.673239642,0.709306052,0.584134396,0.0,0.709306052,2.019718927,0.678993827,0.0,0.0,0.0,0.0,1.369694445,1.406058014,0.0,0.735576646,0.703029007,0.678993827,2.002746499,0.0,0.0,1.765383951,0.673239642,0.0,0.673239642,0.735576646,0.0,0.0,0.0,0.715696196,0.0,0.0,0.0,1.457656473,0.0,0.0,0.0,0.778845861,0.735576646,0.0,0.0,0.0,0.667582166,0.0,0.810635488,0.0,0.0,0.0,0.0,0.735576646,0.0,0.0,0.0,0.0,1.573114412,0.0,0.742451194,0.0,0.0,0.728828237,0.0,0.0,0.0,0.756593122,0.0,0.802447251,0.0,0.0,0.0,0.0,0.0,0.0,0.667582166,0.0,0.0,0.0,0.0,0.0,0.0,0.667582166,0.0,0.0,0.0,0.0,0.0,0.579870641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA102_FPKM,1.168262483,0.828054178,4.096050229,2.318551697,4.396187345,0.649594225,0.649594225,5.634536557,0.655242871,1.299188451,2.955016869,0.622751489,0.622751489,3.478381164,2.511764339,6.907951684,0.584131242,1.277168308,0.672794019,0.0,0.0,0.672794019,1.915752462,1.288084276,0.649594225,0.644042138,1.288084276,0.638584154,2.598376902,0.0,1.662196989,1.395424633,1.33368018,0.0,0.6332179,0.0,0.0,0.0,0.638584154,0.0,0.0,0.697712316,0.66684009,0.784926356,0.0,0.0,0.828054178,0.660990615,0.0,1.382622572,0.697712316,0.649594225,0.0,0.738754217,0.0,0.6332179,0.0,0.6332179,0.0,0.0,0.768907451,0.0,0.0,0.691311286,0.0,0.697712316,0.0,0.554065663,0.0,0.0,0.0,0.0,0.0,0.685026638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678855227,0.0,1.266435801,0.575213207,0.697712316,0.678855227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691311286,0.0,0.0,0.685026638,0.0,0.0,0.0,0.0,1
RNA104_FPKM,1.147958641,0.813662993,4.82804944,1.13912819,0.61702777,0.0,0.638304589,2.767232559,0.0,0.638304589,2.176966191,0.611928367,0.0,0.569564095,3.701504571,4.31853234,0.573979321,0.0,0.661101182,0.0,0.0,0.661101182,0.627485867,0.0,0.0,0.0,1.265697989,0.627485867,0.638304589,0.0,0.544436267,0.685586411,0.0,0.0,0.622212877,0.0,0.632848994,0.822703693,0.0,0.661101182,0.627485867,0.685586411,0.0,0.0,0.0,0.0,0.0,0.649502915,0.69199376,0.0,0.685586411,0.0,0.0,0.725915023,2.056023624,0.0,0.583018365,0.622212877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358593254,0.0,1.254971735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244425754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679296627,0.0,0.0,0.0,1.254971735,0.0,0.0,0.0,0
RNA108_FPKM,0.623152608,0.88337018,2.622133993,0.618359126,2.010302728,0.0,0.692988676,4.509090231,0.699014664,0.692988676,0.788104768,1.329335876,0.0,4.329687239,2.680191781,5.36101913,0.0,0.681243105,0.717738271,0.0,0.0,0.717738271,0.681243105,0.687065696,0.692988676,0.0,2.061848952,0.681243105,2.079623512,0.0,0.0,0.0,1.42344815,0.0,2.027196028,0.0,0.687065696,0.0,0.681243105,0.717738271,0.681243105,0.74432117,0.0,0.0,0.0,0.0,0.88337018,0.0,0.751277443,0.0,0.74432117,0.0,0.0,0.788104768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.489348527,0.0,0.0,1.961270954,0.669889053,0.795907786,0.0,0.0,0.0,0.0,0.737492536,0.811986731,0.0,0.699014664,0.765587489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675518373,0.0,0.0,0.0,0.0,0.0,0.0,1.351677655,0.0,0.74432117,0.724204382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687065696,0.0,0.0,0.0,0.0,0.0,0
RNA110_FPKM,0.582167836,0.0,0.0,0.0,5.007779201,0.0,0.0,2.808100486,0.653040442,0.0,0.0,0.0,0.0,0.577689622,0.0,5.007779201,1.164335673,0.0,0.670532597,0.0,0.0,0.670532597,0.636437719,1.283754716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.329197361,0.0,0.631089503,0.591335834,0.0,0.834440565,0.0,0.670532597,0.0,2.086732418,1.329197361,0.78228803,0.0,0.676573431,0.0,0.658768867,0.0,0.688987623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435609,0.670532597,0.701865896,0.0,0.0,0.0,0.758582332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774223205,0.676573431,0.625830424,1.262179006,0.0,0.0,0.676573431,0.695367138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272875439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA114_FPKM,0.542485758,0.769018272,4.563248677,0.53831279,2.915318463,0.603281576,0.603281576,1.962074657,0.608527502,0.0,0.686084929,0.0,0.0,1.076625581,4.664835032,6.996981305,0.542485758,0.593056464,0.624827346,0.514563697,0.0,0.624827346,0.0,0.0,0.0,0.0,1.196250645,0.593056464,0.603281576,0.0,0.514563697,0.6479691,0.619297901,0.0,0.588072796,0.0,0.0,0.0,0.593056464,0.0,0.593056464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6479691,0.0,0.0,0.686084929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642024429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642024429,0.0,0.0,0.0,0.666482502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6479691,0.0,0.0,0.0,0.0,0.0,0.654024886,0.0,0.0,0.0,0.0,0.0,1.284048858,0.0,0.0,0.636187843,0.593056464,0.0,0.0,0.0,0
RNA115_FPKM,0.604794474,0.0,2.543247251,0.0,0.65015406,0.0,0.672573165,0.72914474,0.678421627,1.344485,1.529022157,0.0,0.0,1.199694307,0.65015406,5.848829392,1.208994263,0.0,0.696593635,0.573665347,0.0,0.696593635,0.0,0.666824677,1.344485,0.0,0.0,0.0,0.0,0.0,0.573665347,0.0,0.69042909,0.0,0.655617539,1.228033543,0.666824677,0.0,0.0,0.696593635,0.66117362,0.0,0.0,0.0,0.655617539,0.0,0.0,0.0,0.0,0.0,1.444076481,0.0,0.696593635,0.764887129,0.0,0.0,1.228033543,0.655617539,0.0,0.0,0.796107012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54416099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788065527,0.66117362,0.0,0.0,0.0,0.644780886,0.7223934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715765937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA116_FPKM,0.0,0.872876593,1.72767885,1.222665032,1.324553785,0.0,1.370228053,7.426629501,0.690711043,1.370228053,0.778742843,0.656460909,0.0,0.611013615,1.986485201,1.986485201,0.0,0.0,0.709212232,0.0,0.0,0.709212232,1.347003849,0.0,0.0,2.037420719,0.678904017,0.0,1.370228053,0.0,0.0,0.735479352,0.702936018,0.0,0.667493866,1.251546883,0.0,0.882575222,0.673150593,0.709212232,0.0,0.0,0.0,0.0,0.667493866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625447008,1.335684489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573727269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186956185,0.0,0.673150593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.638623239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728731835,0.94561631,0.0,0.722107,0.0,0.0,0.0,0.0,0
RNA126_FPKM,1.243677587,0.0,4.359630671,1.234110836,0.0,0.0,0.0,3.748467493,0.697540907,1.383055247,2.359329539,0.0,0.0,0.617055418,2.005430109,5.347045259,0.621838793,0.0,0.716225039,0.0,0.0,0.716225039,1.359613633,0.0,0.691527624,0.0,0.685617131,0.0,4.839898506,0.0,0.0,0.0,0.709886764,0.0,0.0,0.0,0.0,0.0,0.679806816,0.0,0.0,0.0,0.0,0.0,0.0,2.890710066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674094154,0.0,0.0,1.637085803,0.0,0.0,1.471875309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249080496,0.0,0.0,0.0,0.0,2.993179266,0.0,0.0,0.735937655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668476703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207812964,0.954966718,0.685617131,0.0,0.0,0.0,0.0,0.0,0
RNA132_FPKM,1.827411006,0.0,8.541476945,1.208678462,2.619531995,0.677653618,2.032207067,3.672445412,0.683546258,0.677653618,1.54047255,0.649651402,0.0,0.0,1.309401668,1.964466831,1.218048063,1.997762879,0.701855533,0.577998674,0.0,0.701855533,1.331594916,2.686699482,1.354553449,0.0,0.0,0.666167963,2.709860685,0.0,0.577998674,1.454890742,0.695644422,0.0,2.641544869,0.0,0.671861706,0.0,0.666167963,0.0,0.666167963,0.0,0.0,0.0,0.0,0.708178555,0.0,0.0,0.0,0.0,1.454890742,0.0,0.701855533,0.0,0.0,0.0,0.0,0.660569913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727850182,0.0,1.155354413,0.639087965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587153537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257025601,0.0,0.0,0.0,0.0,0.0,1.980974956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298580166,0
