,RNA5SP494,RNA5SP493,Diagnosis
RNA1_FPKM,1.847494833,0.0,0
RNA102_FPKM,1.168262483,0.828054178,1
RNA104_FPKM,1.147958641,0.813662993,0
RNA108_FPKM,0.623152608,0.88337018,0
RNA110_FPKM,0.582167836,0.0,0
RNA114_FPKM,0.542485758,0.769018272,0
RNA115_FPKM,0.604794474,0.0,0
RNA116_FPKM,0.0,0.872876593,0
RNA126_FPKM,1.243677587,0.0,0
RNA132_FPKM,1.827411006,0.0,0
RNA140_FPKM,1.77474819,0.838317449,1
RNA145_FPKM,0.566465,0.0,0
RNA150_FPKM,0.627059504,0.888908528,1
RNA151_FPKM,0.562361124,0.0,0
RNA152_FPKM,0.651912243,0.0,0
RNA155_FPKM,0.605977346,0.0,0
RNA165_FPKM,2.043129504,0.965082086,0
RNA174_FPKM,1.244208467,0.0,1
RNA179_FPKM,1.910257378,0.902649091,0
RNA18_FPKM,3.825466185,0.0,1
RNA185_FPKM,1.821166012,1.721101946,1
RNA2_FPKM,1.859156159,1.757323597,0
RNA201_FPKM,1.512810518,0.715095971,1
RNA205_FPKM,0.641880008,0.909917813,0
RNA209_FPKM,0.671879659,0.952444791,0
RNA213_FPKM,0.608150572,0.862103558,0
RNA219_FPKM,0.0,0.896312907,0
RNA23_FPKM,0.619206294,2.634372837,1
RNA246_FPKM,1.093762107,1.550497931,1
RNA253_FPKM,2.514921731,0.89104468,1
RNA26_FPKM,7.305718215,0.941496154,0
RNA277_FPKM,1.506608413,1.067304288,0
RNA288_FPKM,0.0,1.663546113,0
RNA29_FPKM,0.0,0.0,0
RNA295_FPKM,1.557257563,0.0,0
RNA3_FPKM,0.0,1.038140599,0
RNA302_FPKM,0.0,0.824628515,0
RNA303_FPKM,0.583248106,1.65360452,1
RNA31_FPKM,1.289173073,0.0,1
RNA314_FPKM,1.466032296,0.0,1
RNA319_FPKM,0.595188705,0.0,0
RNA32_FPKM,0.77076119,1.092617511,1
RNA328_FPKM,0.0,1.748441331,0
RNA331_FPKM,0.0,0.767151959,0
RNA334_FPKM,1.070137978,0.0,0
RNA335_FPKM,0.698970964,0.0,1
RNA336_FPKM,0.608403543,0.0,0
RNA35_FPKM,1.147912537,1.627260629,0
RNA358_FPKM,1.537420617,1.089710217,0
RNA365_FPKM,1.537483933,0.0,0
RNA368_FPKM,0.591508456,0.838511987,0
RNA37_FPKM,2.480873196,2.637170624,0
RNA379_FPKM,0.0,1.223080498,1
RNA38_FPKM,0.576676544,0.817486529,0
RNA383_FPKM,0.627424956,0.889426587,0
RNA385_FPKM,1.233431397,0.583019083,1
RNA386_FPKM,2.050564786,0.0,0
RNA39_FPKM,1.279107571,0.907082056,1
RNA392_FPKM,1.419997696,1.006964146,0
RNA409_FPKM,0.689395566,0.0,0
RNA41_FPKM,0.581663764,0.0,0
RNA418_FPKM,0.0,0.0,0
RNA431_FPKM,1.709232668,0.0,1
RNA44_FPKM,1.246587616,0.883570343,1
RNA442_FPKM,0.616118741,0.0,0
RNA454_FPKM,0.763682926,0.0,0
RNA457_FPKM,1.784836815,0.632806688,0
RNA466_FPKM,0.629737672,0.892705052,0
RNA471_FPKM,0.420523414,0.596126598,0
RNA476_FPKM,1.394015166,0.988566488,0
RNA483_FPKM,1.031495436,0.731114897,0
RNA488_FPKM,0.560226669,0.794167475,0
RNA499_FPKM,0.592791947,0.840331441,0
RNA50_FPKM,2.303396041,1.63306258,1
RNA504_FPKM,1.842261208,0.870519032,0
RNA519_FPKM,1.303149427,2.770561387,0
RNA52_FPKM,0.0,0.0,0
RNA521_FPKM,1.314915597,0.621333744,0
RNA528_FPKM,0.674717814,0.95646811,0
RNA53_FPKM,1.467660166,0.0,0
RNA535_FPKM,1.235773528,0.0,1
RNA58_FPKM,0.661848982,0.0,0
RNA6_FPKM,1.266039921,0.897848057,0
RNA60_FPKM,0.646626356,0.916646153,0
RNA62_FPKM,0.658787493,0.933885566,0
RNA63_FPKM,0.0,0.814514517,0
RNA64_FPKM,0.583177442,0.0,0
RNA66_FPKM,2.24851696,0.797053045,0
RNA67_FPKM,0.644074745,0.0,0
RNA69_FPKM,0.603941692,0.856137124,0
RNA7_FPKM,1.279409293,0.906418271,0
RNA72_FPKM,0.591816821,0.0,0
RNA74_FPKM,0.0,0.0,0
RNA75_FPKM,0.0,0.715008502,0
RNA78_FPKM,0.622077832,0.881846597,1
RNA86_FPKM,0.599429681,0.849740976,1
RNA87_FPKM,2.029342016,0.0,0
RNA89_FPKM,0.0,0.0,0
RNA94_FPKM,0.0,0.0,1
RNA95_FPKM,0.629271914,0.892044801,0
RNA97_FPKM,1.482648888,2.101776994,0
RNA98_FPKM,0.772388058,0.0,1
R_JS001_FPKM,0.7216122,1.022944768,1
R_JS002_FPKM,0.998690256,2.12279058,1
R_JS003_FPKM,1.240780927,2.637478186,1
R_JS004_FPKM,2.444912012,1.73293214,1
R_JS005_FPKM,2.557948045,4.532627717,1
R_JS006_FPKM,1.936785811,1.830696561,1
R_JS007_FPKM,2.350614354,0.833284123,1
R_JS008_FPKM,3.325315099,2.828543285,1
R_JS009_FPKM,2.839413712,1.006275738,1
R_JS010_FPKM,1.046798017,0.742338436,1
R_JS011_FPKM,3.398924957,2.409128129,1
R_JS012_FPKM,1.955827722,0.92418233,1
R_JS013_FPKM,1.022329312,1.449236058,1
R_JS014_FPKM,2.121258413,1.002352876,1
R_JS015_FPKM,0.577170822,2.455209953,1
R_JS016_FPKM,4.341078403,2.307688657,1
R_JS017_FPKM,1.187915915,1.683968715,1
R_JS018_FPKM,1.328646147,2.825742795,1
R_JS019_FPKM,1.937281281,0.915746499,1
R_JS020_FPKM,1.378126055,1.953607265,1
R_JS021_FPKM,4.269200832,1.729448705,1
R_JS022_FPKM,3.389071693,4.804288444,1
R_JS023_FPKM,1.889212614,0.89301301,1
R_JS024_FPKM,0.69407935,2.951744048,1
R_JS025_FPKM,1.285609608,1.822457577,1
R_JS026_FPKM,0.615497625,0.872518611,1
R_JS027_FPKM,1.930081432,2.051696314,1
R_JS028_FPKM,1.758526288,0.830663257,1
R_JS029_FPKM,1.768561139,2.507081175,1
R_JS030_FPKM,1.242405702,2.641818719,1
R_JS031_FPKM,1.383839471,0.980853252,1
R_JS032_FPKM,1.596914371,1.509387481,1
R_JS033_FPKM,2.645444957,1.874594029,1
R_JS034_FPKM,1.859504518,3.513743941,1
R_JS035_FPKM,1.204447851,2.561574439,1
R_JS036_FPKM,3.321449448,1.569476113,1
R_JS037_FPKM,0.70244579,0.995774801,1
