,RNA5SP494,RNA5SP493,RNA5SP82,Diagnosis
RNA1_FPKM,1.847494833,0.0,2.590509059,0
RNA102_FPKM,1.168262483,0.828054178,4.096050229,1
RNA104_FPKM,1.147958641,0.813662993,4.82804944,0
RNA108_FPKM,0.623152608,0.88337018,2.622133993,0
RNA110_FPKM,0.582167836,0.0,0.0,0
RNA114_FPKM,0.542485758,0.769018272,4.563248677,0
RNA115_FPKM,0.604794474,0.0,2.543247251,0
RNA116_FPKM,0.0,0.872876593,1.72767885,0
RNA126_FPKM,1.243677587,0.0,4.359630671,0
RNA132_FPKM,1.827411006,0.0,8.541476945,0
RNA140_FPKM,1.77474819,0.838317449,3.317710918,1
RNA145_FPKM,0.566465,0.0,2.382169041,0
RNA150_FPKM,0.627059504,0.888908528,3.516985915,1
RNA151_FPKM,0.562361124,0.0,1.576423349,0
RNA152_FPKM,0.651912243,0.0,3.655409044,0
RNA155_FPKM,0.605977346,0.0,0.849685627,0
RNA165_FPKM,2.043129504,0.965082086,5.728599082,0
RNA174_FPKM,1.244208467,0.0,4.361491636,1
RNA179_FPKM,1.910257378,0.902649091,4.463381899,0
RNA18_FPKM,3.825466185,0.0,0.8941837,1
RNA185_FPKM,1.821166012,1.721101946,6.808632538,1
RNA2_FPKM,1.859156159,1.757323597,4.34508252,0
RNA201_FPKM,1.512810518,0.715095971,2.121223443,1
RNA205_FPKM,0.641880008,0.909917813,2.700082207,0
RNA209_FPKM,0.671879659,0.952444791,1.883360753,0
RNA213_FPKM,0.608150572,0.862103558,2.5581986,0
RNA219_FPKM,0.0,0.896312907,0.886570376,0
RNA23_FPKM,0.619206294,2.634372837,7.816181436,1
RNA246_FPKM,1.093762107,1.550497931,1.533644693,1
RNA253_FPKM,2.514921731,0.89104468,3.526357645,1
RNA26_FPKM,7.305718215,0.941496154,2.793787499,0
RNA277_FPKM,1.506608413,1.067304288,1.055703155,0
RNA288_FPKM,0.0,1.663546113,3.291872763,0
RNA29_FPKM,0.0,0.0,3.999592607,0
RNA295_FPKM,1.557257563,0.0,0.728070076,0
RNA3_FPKM,0.0,1.038140599,2.053712925,0
RNA302_FPKM,0.0,0.824628515,1.630705293,0
RNA303_FPKM,0.583248106,1.65360452,0.817815279,1
RNA31_FPKM,1.289173073,0.0,2.711921688,1
RNA314_FPKM,1.466032296,0.0,1.028363705,1
RNA319_FPKM,0.595188705,0.0,0.0,0
RNA32_FPKM,0.77076119,1.092617511,3.242223702,1
RNA328_FPKM,0.0,1.748441331,2.594976776,0
RNA331_FPKM,0.0,0.767151959,2.275631943,0
RNA334_FPKM,1.070137978,0.0,1.500519556,0
RNA335_FPKM,0.698970964,0.0,3.918273574,1
RNA336_FPKM,0.608403543,0.0,1.706175154,0
RNA35_FPKM,1.147912537,1.627260629,2.414359521,0
RNA358_FPKM,1.537420617,1.089710217,4.310320358,0
RNA365_FPKM,1.537483933,0.0,4.311639724,0
RNA368_FPKM,0.591508456,0.838511987,0.829397726,0
RNA37_FPKM,2.480873196,2.637170624,4.347813564,0
RNA379_FPKM,0.0,1.223080498,3.628042018,1
RNA38_FPKM,0.576676544,0.817486529,1.617786283,0
RNA383_FPKM,0.627424956,0.889426587,3.52067391,0
RNA385_FPKM,1.233431397,0.583019083,4.611774066,1
RNA386_FPKM,2.050564786,0.0,0.958728847,0
RNA39_FPKM,1.279107571,0.907082056,3.587062537,1
RNA392_FPKM,1.419997696,1.006964146,4.978186337,0
