,RNA5SP494,RNA5SP493,RNA5SP82,RNA5SP37,RNA5SP498,RNA5SP310,RNA5SP317,RNA5SP207,Diagnosis
RNA1_FPKM,1.847494833,0.0,2.590509059,0.611094445,3.310094909,0.0,1.369694445,1.484902389,0
RNA102_FPKM,1.168262483,0.828054178,4.096050229,2.318551697,4.396187345,0.649594225,0.649594225,5.634536557,1
RNA104_FPKM,1.147958641,0.813662993,4.82804944,1.13912819,0.61702777,0.0,0.638304589,2.767232559,0
RNA108_FPKM,0.623152608,0.88337018,2.622133993,0.618359126,2.010302728,0.0,0.692988676,4.509090231,0
RNA110_FPKM,0.582167836,0.0,0.0,0.0,5.007779201,0.0,0.0,2.808100486,0
RNA114_FPKM,0.542485758,0.769018272,4.563248677,0.53831279,2.915318463,0.603281576,0.603281576,1.962074657,0
RNA115_FPKM,0.604794474,0.0,2.543247251,0.0,0.65015406,0.0,0.672573165,0.72914474,0
RNA116_FPKM,0.0,0.872876593,1.72767885,1.222665032,1.324553785,0.0,1.370228053,7.426629501,0
RNA126_FPKM,1.243677587,0.0,4.359630671,1.234110836,0.0,0.0,0.0,3.748467493,0
RNA132_FPKM,1.827411006,0.0,8.541476945,1.208678462,2.619531995,0.677653618,2.032207067,3.672445412,0
RNA140_FPKM,1.77474819,0.838317449,3.317710918,1.174274067,0.0,0.657645585,1.315996799,2.852611257,1
RNA145_FPKM,0.566465,0.0,2.382169041,0.562107577,3.043709322,0.0,0.629948146,1.365285672,0
RNA150_FPKM,0.627059504,0.888908528,3.516985915,0.0,2.022266901,1.394666828,2.789333657,1.511975253,1
RNA151_FPKM,0.562361124,0.0,1.576423349,1.115622678,1.813129443,0.0,1.250266794,2.033416198,0
RNA152_FPKM,0.651912243,0.0,3.655409044,0.0,2.802480267,0.0,1.449942748,1.571900549,0
RNA155_FPKM,0.605977346,0.0,0.849685627,0.0,1.954276942,0.0,0.0,2.191712458,0
RNA165_FPKM,2.043129504,0.965082086,5.728599082,4.054085504,2.928218132,0.0,3.786281429,7.388736651,0
RNA174_FPKM,1.244208467,0.0,4.361491636,1.851956449,4.011825919,0.691822811,2.767291245,1.50002703,1
RNA179_FPKM,1.910257378,0.902649091,4.463381899,3.7905554,4.106435016,0.708112649,0.708112649,6.140694733,0
