,IGLVI-70,IGLV2-5,Diagnosis
RNA1_FPKM,0.611094445,1.72077136,0
RNA102_FPKM,0.0,0.0,1
RNA104_FPKM,0.0,0.534608898,0
RNA108_FPKM,0.618554686,0.0,0
RNA110_FPKM,1.733418346,0.813599643,0
RNA114_FPKM,0.53831279,0.0,0
RNA115_FPKM,0.999843608,0.281655188,0
RNA116_FPKM,1.018781226,0.286757292,0
RNA126_FPKM,1.645244695,0.0,0
RNA132_FPKM,2.619363843,0.56724982,0
RNA140_FPKM,4.304832061,3.856836975,1
RNA145_FPKM,1.685682698,0.263805,0
RNA150_FPKM,0.62223597,1.168096405,1
RNA151_FPKM,0.0,1.309258857,0
RNA152_FPKM,0.0,1.214070874,0
RNA155_FPKM,0.0,0.0,0
RNA165_FPKM,1.351361835,0.951493524,0
RNA174_FPKM,0.823091755,1.737975127,1
RNA179_FPKM,0.0,0.593076298,0
RNA18_FPKM,2.530693015,0.8909556,1
RNA185_FPKM,0.803180908,0.0,1
RNA2_FPKM,1.435035998,0.288500712,0
RNA201_FPKM,1.66802924,0.234923225,1
RNA205_FPKM,1.061570782,0.896778206,0
RNA209_FPKM,0.0,0.0,0
RNA213_FPKM,1.005787484,1.132872545,0
RNA219_FPKM,0.418279357,0.294456587,0
RNA23_FPKM,1.843817159,1.153810614,1
RNA246_FPKM,0.542674276,0.509369357,1
RNA253_FPKM,1.871844904,1.756966335,1
RNA26_FPKM,0.878729743,0.0,0
RNA277_FPKM,0.0,0.350630651,0
RNA288_FPKM,0.582463964,1.093329582,0
RNA29_FPKM,0.943493641,0.0,0
RNA295_FPKM,0.0,0.241813888,0
RNA3_FPKM,0.484465613,0.0,0
RNA302_FPKM,0.0,0.270906841,0
RNA303_FPKM,0.578761582,0.0,1
RNA31_FPKM,0.852837571,0.600373019,1
RNA314_FPKM,1.455013472,0.682737062,1
RNA319_FPKM,0.19687011,1.386185069,0
RNA32_FPKM,0.0,0.358946547,1
RNA328_FPKM,3.264338857,0.861869543,0
RNA331_FPKM,0.894629357,0.755805555,0
RNA334_FPKM,0.176895017,0.249057966,0
RNA335_FPKM,1.386466034,1.301376061,1
RNA336_FPKM,0.603908311,0.283335946,0
RNA35_FPKM,1.328929514,0.0,0
RNA358_FPKM,20.08322078,0.715982887,0
RNA365_FPKM,0.25440546,0.0,0
RNA368_FPKM,0.0,1.101629921,0
RNA37_FPKM,0.0,0.288686663,0
RNA379_FPKM,8.274004261,0.803175236,1
RNA38_FPKM,0.0,0.5373153,0
RNA383_FPKM,1.660842663,0.292194294,0
RNA385_FPKM,0.0,0.5744139,1
RNA386_FPKM,1.356527474,0.318422577,0
RNA39_FPKM,0.21165248,0.595685475,1
RNA392_FPKM,0.0,0.0,0
RNA409_FPKM,3.191532243,2.567800777,0
RNA41_FPKM,0.577336745,1.625713577,0
RNA418_FPKM,2.01984751,0.853037695,0
RNA431_FPKM,1.130990081,1.194370486,1
RNA44_FPKM,0.0,0.0,1
RNA442_FPKM,3.0572799,1.721843336,0
RNA454_FPKM,0.0,0.0,0
RNA457_FPKM,0.442839444,0.415602796,0
RNA466_FPKM,1.249589634,1.759350026,0
RNA471_FPKM,0.973952193,0.587714504,0
RNA476_FPKM,0.691762838,0.649198398,0
RNA483_FPKM,0.341186952,0.720557281,0
RNA488_FPKM,0.741042894,0.521799569,0
RNA499_FPKM,0.979998025,1.931638137,0
RNA50_FPKM,0.0,0.536493483,1
RNA504_FPKM,1.117216146,0.715027441,0
RNA519_FPKM,0.21542259,0.303302564,0
RNA52_FPKM,0.0,0.0,0
RNA521_FPKM,0.869867241,0.816481887,0
RNA528_FPKM,0.0,0.0,0
RNA53_FPKM,1.456370472,0.227831723,0
RNA535_FPKM,2.247644486,1.438328454,1
RNA58_FPKM,0.656961671,0.924964085,0
RNA6_FPKM,2.513059723,1.179521647,0
RNA60_FPKM,0.641877212,0.0,0
RNA62_FPKM,0.0,0.920145881,0
RNA63_FPKM,0.570322739,0.267584191,0
RNA64_FPKM,0.578490945,0.0,0
RNA66_FPKM,0.0,0.0,0
RNA67_FPKM,0.0,0.0,0
RNA69_FPKM,0.599090889,1.124743411,0
RNA7_FPKM,0.211497597,1.191378788,0
RNA72_FPKM,0.391711815,0.275611444,0
RNA74_FPKM,1.646897806,0.772912328,0
RNA75_FPKM,0.0,0.23489449,0
RNA78_FPKM,0.0,0.0,1
RNA86_FPKM,0.0,0.0,1
RNA87_FPKM,1.790151015,0.945072635,0
RNA89_FPKM,0.0,0.0,0
RNA94_FPKM,0.0,0.0,1
RNA95_FPKM,0.416064483,0.585794759,0
RNA97_FPKM,1.716727036,0.345237737,0
RNA98_FPKM,0.766446611,0.359704186,1
R_JS001_FPKM,0.477077719,0.671697872,1
R_JS002_FPKM,0.660485806,0.232547009,1
R_JS003_FPKM,0.615411577,1.444300558,1
R_JS004_FPKM,3.841093082,1.423256541,1
R_JS005_FPKM,0.0,0.0,1
R_JS006_FPKM,0.640629153,0.60142017,1
R_JS007_FPKM,1.749233819,1.368129739,1
R_JS008_FPKM,1.319755452,1.23875963,1
R_JS009_FPKM,0.0,0.33058156,1
R_JS010_FPKM,1.731418903,2.19386489,1
R_JS011_FPKM,1.405324742,0.0,1
R_JS012_FPKM,2.156425437,0.910836737,1
R_JS013_FPKM,0.33815508,0.0,1
R_JS014_FPKM,1.052412427,0.0,1
R_JS015_FPKM,1.909557316,0.806585219,1
R_JS016_FPKM,0.0,0.0,1
R_JS017_FPKM,0.589478311,0.276734254,1
R_JS018_FPKM,0.879204707,0.0,1
R_JS019_FPKM,0.427118856,0.902199586,1
R_JS020_FPKM,0.683510139,0.320899388,1
R_JS021_FPKM,0.403538031,0.568158239,1
R_JS022_FPKM,2.241774855,0.315597072,1
R_JS023_FPKM,0.833047402,0.586441312,1
R_JS024_FPKM,0.0,0.646471019,1
R_JS025_FPKM,2.763659866,1.496501604,1
R_JS026_FPKM,1.424718031,1.14628019,1
R_JS027_FPKM,2.074758016,0.449423294,1
R_JS028_FPKM,0.775487814,0.272889373,1
R_JS029_FPKM,0.975040602,0.549174902,1
R_JS030_FPKM,0.205474789,1.157186539,1
R_JS031_FPKM,0.686597276,1.288919074,1
R_JS032_FPKM,1.408761649,0.0,1
R_JS033_FPKM,0.21881326,0.61584136,1
R_JS034_FPKM,0.410044586,1.154334652,1
R_JS035_FPKM,0.797007116,0.0,1
